time = 4	Re = 0.1
0.176516	0.094394	0
0.218593	0.108200	1
0.229647	0.136183	2
0.240638	0.164241	3
0.242288	0.205413	4
0.240377	0.249211	5
0.231313	0.299699	6
0.217960	0.354806	7
0.208059	0.386212	8
0.198084	0.418162	9
0.185512	0.454465	10
0.172349	0.492761	11
0.154955	0.537542	12
0.134451	0.588767	13
0.119849	0.621357	14
0.103366	0.656232	15
0.070383	0.704846	16
0.027348	0.715041	17
-0.006439	0.719774	18
-0.047906	0.714175	19
-0.081932	0.696310	20
-0.086511	0.677314	21
-0.115042	0.662571	22
-0.110042	0.650554	23
-0.141825	0.634356	24
-0.167826	0.611524	25
-0.176554	0.600796	26
-0.194465	0.588507	27
-0.219920	0.568495	28
-0.239431	0.550641	29
-0.267476	0.531824	30
-0.285052	0.515953	31
-0.313523	0.496985	32
-0.326838	0.483674	33
-0.360612	0.462145	34
-0.369591	0.450853	35
-0.402522	0.428563	36
-0.411903	0.417646	37
-0.445047	0.393424	38
-0.481566	0.359392	39
-0.519224	0.322548	40
-0.549349	0.287955	41
-0.584210	0.246662	42
-0.606678	0.213573	43
-0.636283	0.169549	44
-0.654476	0.135420	45
-0.678451	0.089087	46
-0.695167	0.049652	47
-0.710154	0.008836	48
-0.722699	-0.031889	49
-0.733637	-0.073946	50
-0.741452	-0.113020	51
-0.748007	-0.152930	52
-0.752546	-0.193168	53
-0.755844	-0.234056	54
-0.756789	-0.270738	55
-0.756927	-0.307906	56
-0.754999	-0.346443	57
-0.752076	-0.385371	58
-0.747922	-0.420233	59
-0.743084	-0.455272	60
-0.736274	-0.489021	61
-0.728917	-0.522965	62
-0.720956	-0.554515	63
-0.712782	-0.586228	64
-0.702807	-0.617322	65
-0.692533	-0.648714	66
-0.680662	-0.698563	67
-0.673037	-0.742096	68
