time = 7.8	Re = 0.1
0.196834	0.038267	0
0.240288	0.031165	1
0.255512	0.068879	2
0.264480	0.115659	3
0.261178	0.147226	4
0.257225	0.179153	5
0.247993	0.211472	6
0.237484	0.244518	7
0.222496	0.276973	8
0.206995	0.309155	9
0.189081	0.342926	10
0.171694	0.378041	11
0.152054	0.418613	12
0.132648	0.466190	13
0.121483	0.497530	14
0.110286	0.529791	15
0.096939	0.572970	16
0.082254	0.622678	17
0.069732	0.665152	18
0.054988	0.691420	19
0.008595	0.704105	20
-0.047928	0.698989	21
-0.064054	0.669976	22
-0.036061	0.687018	23
-0.036494	0.686869	24
-0.058504	0.660922	25
-0.081311	0.639466	26
-0.058438	0.660957	27
-0.036218	0.686964	28
-0.063918	0.639080	29
-0.097063	0.612112	30
-0.064554	0.639109	31
-0.036326	0.687003	32
-0.036495	0.687044	33
-0.052292	0.650693	34
-0.069885	0.625386	35
-0.111597	0.591889	36
-0.069645	0.625533	37
-0.051997	0.650836	38
-0.035989	0.686917	39
-0.053548	0.638714	40
-0.075985	0.613007	41
-0.101311	0.592626	42
-0.126431	0.572610	43
-0.145384	0.553455	44
-0.114917	0.576819	45
-0.083623	0.601752	46
-0.056406	0.629097	47
-0.046108	0.657070	48
-0.035969	0.686914	49
-0.044761	0.647466	50
-0.058863	0.620039	51
-0.091427	0.589664	52
-0.130161	0.558994	53
-0.166396	0.531527	54
-0.203966	0.500165	55
-0.215371	0.486684	56
-0.258265	0.451677	57
-0.263114	0.442985	58
-0.294142	0.415079	59
-0.279932	0.422445	60
-0.313280	0.393688	61
-0.344600	0.364971	62
-0.322694	0.379869	63
-0.348775	0.354481	64
-0.374179	0.328536	65
-0.348327	0.351670	66
-0.322118	0.374363	67
-0.345123	0.352072	68
-0.367967	0.329465	69
-0.407462	0.285633	70
-0.383052	0.310271	71
-0.358361	0.334299	72
-0.398238	0.290359	73
-0.432756	0.246767	74
-0.459692	0.201114	75
-0.462570	0.192033	76
-0.481469	0.155317	77
-0.499674	0.108764	78
-0.507798	0.077811	79
-0.521947	0.021503	80
-0.524824	-0.007036	81
-0.530431	-0.065501	82
-0.528834	-0.085963	83
-0.527823	-0.121679	84
-0.525571	-0.158774	85
-0.521680	-0.170290	86
-0.515421	-0.205315	87
-0.507770	-0.241523	88
-0.501680	-0.256150	89
-0.489503	-0.291070	90
-0.475571	-0.327024	91
-0.456957	-0.361930	92
-0.435529	-0.397987	93
-0.409961	-0.433816	94
-0.380610	-0.470239	95
-0.354279	-0.496983	96
-0.325708	-0.524061	97
-0.288872	-0.553878	98
-0.247968	-0.582959	99
-0.218878	-0.599175	100
-0.188629	-0.615429	101
-0.145014	-0.634954	102
-0.097808	-0.652828	103
-0.065477	-0.661484	104
-0.032108	-0.669882	105
0.014666	-0.678048	106
0.064511	-0.683919	107
0.103340	-0.685125	108
0.143952	-0.685058	109
0.183614	-0.681935	110
0.225005	-0.677238	111
0.263465	-0.669700	112
0.303438	-0.660472	113
0.342231	-0.648390	114
0.382311	-0.634287	115
0.416314	-0.619293	116
0.451247	-0.602840	117
0.484849	-0.584005	118
0.519274	-0.563470	119
0.550861	-0.541322	120
0.583009	-0.517413	121
0.613487	-0.491443	122
0.644277	-0.463497	123
0.668858	-0.437748	124
0.693574	-0.410808	125
0.716799	-0.381952	126
0.740080	-0.351629	127
0.761086	-0.319901	128
0.781862	-0.286599	129
0.800447	-0.252091	130
0.818790	-0.215793	131
0.832692	-0.182919	132
0.846323	-0.148971	133
0.857974	-0.113961	134
0.869233	-0.077709	135
0.877226	-0.043567	136
0.884872	-0.008509	137
0.890545	0.027058	138
0.895654	0.063535	139
0.898323	0.097776	140
0.900543	0.132787	141
0.900823	0.168894	142
0.900430	0.205950	143
0.897887	0.240065	144
0.894980	0.274755	145
0.889875	0.309898	146
0.883445	0.346552	147
0.877548	0.376934	148
0.871579	0.407175	149
0.861104	0.458552	150
0.855290	0.495247	151
0.851422	0.527868	152
