time = 7.35	Re = 0.1
0.188675	0.066100	0
0.232917	0.074811	1
0.274207	0.080996	2
0.312312	0.087021	3
0.349091	0.093369	4
0.378360	0.101486	5
0.407514	0.109643	6
0.450162	0.131038	7
0.463799	0.160333	8
0.469876	0.194396	9
0.451785	0.230464	10
0.430923	0.266704	11
0.399924	0.294163	12
0.367580	0.319339	13
0.330814	0.336707	14
0.293287	0.354023	15
0.251922	0.369730	16
0.206399	0.393522	17
0.180509	0.411262	18
0.155159	0.434821	19
0.126926	0.470656	20
0.111876	0.498592	21
0.097224	0.527318	22
0.078718	0.577343	23
0.068213	0.613187	24
0.058014	0.653635	25
0.042195	0.701677	26
0.008845	0.690093	27
-0.019574	0.688345	28
-0.053832	0.695985	29
-0.039374	0.688424	30
-0.073283	0.670455	31
-0.038918	0.688095	32
-0.038718	0.687960	33
-0.073610	0.662538	34
-0.118276	0.642856	35
-0.075199	0.662562	36
-0.038943	0.688098	37
-0.064988	0.668341	38
-0.091747	0.650759	39
-0.122201	0.637287	40
-0.152281	0.624239	41
-0.182849	0.611864	42
-0.212909	0.599559	43
-0.261129	0.577879	44
-0.294801	0.557898	45
-0.329752	0.538834	46
-0.363121	0.519106	47
-0.355969	0.520105	48
-0.400865	0.490724	49
-0.440829	0.461050	50
-0.439093	0.458569	51
-0.466142	0.435416	52
-0.493058	0.411434	53
-0.522625	0.380840	54
-0.550918	0.349743	55
-0.586655	0.303937	56
-0.607086	0.276719	57
-0.629164	0.248035	58
-0.659947	0.204170	59
-0.685026	0.169533	60
-0.714184	0.127503	61
-0.736041	0.083425	62
-0.749250	0.026073	63
-0.749153	-0.003949	64
-0.751093	-0.035201	65
-0.744901	-0.069737	66
-0.737435	-0.101547	67
-0.720367	-0.147374	68
-0.703704	-0.189895	69
-0.691558	-0.216723	70
-0.680723	-0.245026	71
-0.668114	-0.272238	72
-0.656101	-0.301441	73
-0.643288	-0.325692	74
-0.630325	-0.354079	75
-0.616024	-0.379388	76
-0.600933	-0.408444	77
-0.587909	-0.427351	78
-0.572539	-0.454067	79
-0.557949	-0.473077	80
-0.540159	-0.500096	81
-0.523877	-0.519053	82
-0.503528	-0.545966	83
-0.484972	-0.565544	84
-0.461792	-0.591890	85
-0.425880	-0.626027	86
-0.386102	-0.660871	87
-0.339663	-0.696947	88
-0.313539	-0.715310	89
-0.286798	-0.733835	90
-0.240875	-0.761160	91
-0.213884	-0.775368	92
-0.186679	-0.789450	93
-0.154339	-0.802934	94
-0.120542	-0.815406	95
-0.082403	-0.825739	96
-0.043167	-0.833732	97
-0.011009	-0.836608	98
0.020835	-0.839105	99
0.055051	-0.838528	100
0.088559	-0.837218	101
0.119472	-0.832648	102
0.149874	-0.828314	103
0.181058	-0.821324	104
0.211721	-0.814823	105
0.264106	-0.799979	106
0.290858	-0.790966	107
0.318531	-0.782777	108
0.366557	-0.764821	109
0.391168	-0.754195	110
0.417344	-0.743928	111
0.457862	-0.724107	112
0.503423	-0.700259	113
0.543739	-0.676103	114
0.588224	-0.647197	115
0.625052	-0.619537	116
0.662842	-0.588964	117
0.697544	-0.557227	118
0.732914	-0.522220	119
0.762968	-0.488424	120
0.793566	-0.451515	121
0.821951	-0.412513	122
0.849996	-0.369948	123
0.873349	-0.329057	124
0.896239	-0.284873	125
0.915414	-0.241000	126
0.933461	-0.193740	127
0.947737	-0.149116	128
0.960506	-0.102445	129
0.969450	-0.063192	130
0.977991	-0.024639	131
0.989686	0.025459	132
1.000012	0.069040	133
