time = 0.001	Re = 1	rotation = 0
0.074328	0.556234	4715	
0.506620	-0.139747	6888	
-0.101637	-0.926989	9980	
0.634688	-0.549454	961	
0.332655	-0.340214	8883	
0.289516	-0.521222	891	
0.788906	0.175691	3573	
0.139381	0.486024	3831	
0.477884	-0.597855	4826	
0.724008	0.047123	4318	
0.576206	-0.386628	3198	
0.659744	-0.403660	6723	
0.275396	0.845165	437	
0.439074	0.741430	7307	
0.194724	-0.447117	6301	
0.562918	0.618682	7252	
0.215154	-0.409035	1604	
0.161803	0.842578	1622	
-0.904881	0.281064	1325	
0.277665	0.879344	4399	
0.785116	-0.175872	4003	
0.451341	-0.189217	5628	
0.037917	0.249636	6153	
0.534308	0.010654	4011	
0.651811	0.267379	7703	
0.804065	0.088767	2888	
0.550372	-0.582815	6217	
0.584231	-0.643433	6893	
0.047284	0.467124	821	
0.728161	0.121362	1184	
0.215348	0.179222	1517	
0.378043	0.734701	3936	
0.079997	0.788305	1091	
0.932179	0.134761	428	
0.752306	-0.391061	5119	
0.191008	-0.641672	5938	
0.501817	0.661138	6619	
0.724091	-0.168667	3305	
0.838827	0.060159	6547	
0.383183	-0.378962	5465	
-0.321354	-0.870108	8373	
0.618361	-0.737062	780	
0.416498	-0.786965	8941	
0.708101	0.276425	2490	
0.760500	-0.386621	5631	
-0.569551	-0.808832	3621	
0.605689	-0.171077	5921	
0.222740	-0.575888	8047	
0.579625	-0.049103	1074	
0.754486	0.053578	3528	
0.775628	0.312380	5112	
0.091326	-0.745174	2123	
0.615657	0.481380	1530	
0.813338	0.472748	8902	
0.328826	0.593077	6793	
0.136373	-0.147910	9958	
0.542789	0.150731	6438	
0.110836	-0.076888	2356	
0.261520	0.073929	2113	
0.575399	0.619624	6450	
0.844795	0.180808	5784	
0.687361	0.674508	1032	
0.416109	0.519360	2956	
0.050165	0.206387	3112	
0.325628	-0.090432	6343	
0.455633	0.102385	4312	
0.192286	0.147727	9646	
0.157730	0.247462	1763	
0.939705	0.229647	9356	
0.286340	-0.328074	1204	
0.359072	-0.688958	2748	
0.583380	0.775460	7182	
0.223148	-0.683222	1218	
0.220630	0.122191	1156	
0.626687	-0.057660	8051	
0.715180	0.158966	963	
0.663787	-0.359488	6773	
0.498449	0.307033	2149	
0.864396	0.171054	6779	
-0.088633	0.937261	9257	
0.722588	0.375428	3817	
0.144256	0.482273	3831	
0.543242	-0.230737	2688	
0.585169	-0.514806	7657	
0.814236	0.331530	7291	
0.007644	0.970289	1409	
0.750699	0.068162	4953	
0.154053	-0.491768	3793	
0.867511	-0.064687	7276	
0.595948	0.637157	6450	
0.304686	-0.361284	6150	
0.689919	0.488998	3696	
0.531970	-0.295932	9677	
0.275731	0.807698	446	
0.231272	0.157837	2940	
0.208552	-0.468838	6969	
0.733215	0.598861	5019	
0.632213	0.214839	9627	
0.329082	-0.437374	538	
0.220813	0.007544	9909	
0.502180	-0.703027	5677	
0.539894	-0.324613	8876	
0.554683	-0.302105	3026	
0.435008	0.418802	3584	
0.723411	0.403924	2436	
-0.588366	0.771685	4869	
0.556494	0.457928	3754	
0.605184	-0.525782	9455	
0.410286	0.325678	7387	
0.385719	0.277845	4590	
0.893240	0.360464	5721	
0.401051	0.746215	5729	
0.253792	-0.569495	2072	
0.319398	-0.180724	5851	
0.109057	0.795692	1761	
0.273511	-0.669053	2992	
0.524272	0.313574	9080	
0.537261	0.364421	404	
0.241000	0.289458	8372	
0.307745	-0.566936	4180	
0.971058	-0.019790	4881	
0.187316	0.053372	5205	
-0.562987	0.724117	8473	
0.071556	-0.829253	5067	
0.133170	0.529403	3788	
0.524397	0.272024	8870	
0.194061	-0.718889	2461	
0.295574	0.478834	8158	
0.643560	-0.447294	8090	
0.184122	0.109815	6116	
0.150779	0.144683	2466	
0.462850	-0.031856	988	
0.895610	-0.001536	6027	
0.821517	0.375708	798	
0.081255	-0.695790	2442	
0.085968	-0.811254	7862	
0.471971	0.417107	4951	
0.706038	-0.260755	9537	
0.355600	0.643614	7577	
-0.813263	0.559871	1037	
-0.638338	-0.705711	1521	
0.015103	0.999399	1387	
0.088214	0.269470	4854	
0.726977	-0.597501	10098	
0.857848	-0.188574	6014	
0.321639	-0.759708	3462	
0.447303	0.290630	10087	
0.442653	-0.742029	8489	
0.725089	0.000001	6913	
0.534798	0.744500	8600	
0.088719	0.337708	4192	
0.289755	0.062639	4798	
0.697299	0.126772	5840	
0.387539	-0.599850	3770	
0.479381	0.535493	3611	
-0.991274	-0.034183	9778	
0.273850	-0.497089	7854	
0.248101	0.396249	4246	
0.367870	0.412519	6566	
0.468141	-0.299745	3677	
0.251337	0.467793	7962	
0.344358	-0.615729	10109	
0.477939	-0.392000	5572	
0.787908	0.004332	5456	
0.698488	-0.704557	1294	
0.676084	-0.510336	3392	
0.128476	0.260384	1309	
0.223485	-0.153393	4437	
-0.933185	0.061991	1739	
0.384633	0.836664	1472	
0.105448	-0.568213	7200	
0.132521	0.281546	2802	
0.814495	-0.057169	7616	
0.380872	-0.465749	6674	
0.716948	0.501275	4719	
0.796023	-0.126124	4967	
0.285442	0.416974	9002	
0.602845	0.141987	2492	
0.873459	-0.200228	6014	
0.304862	-0.405336	9338	
0.696857	-0.203097	2107	
0.733878	0.168912	845	
0.127873	-0.407164	509	
0.297063	-0.902296	5708	
0.566090	-0.684081	901	
0.214826	0.196617	8345	
0.456816	-0.737683	8489	
0.134626	0.642722	9031	
0.812496	-0.340049	6038	
0.572852	0.235252	9561	
0.515974	0.507536	2112	
0.633318	-0.340155	5422	
0.408836	-0.117839	3547	
0.169950	-0.007842	1976	
0.398974	-0.239527	3940	
0.491207	-0.013505	1428	
0.613826	-0.607342	6034	
-0.028706	-0.913274	940	
0.308568	-0.873221	1412	
0.782515	-0.300129	7882	
0.429164	-0.371102	5698	
0.220063	-0.234337	2474	
-0.362486	0.904548	5273	
0.719613	0.213853	816	
-0.703728	0.591922	7565	
0.338196	-0.344592	8883	
0.305420	-0.175662	1664	
0.486239	0.600735	3871	
0.681930	0.080768	5819	
0.538825	0.507951	3708	
0.782458	-0.450200	7522	
-0.729722	-0.627561	8485	
0.111813	0.532888	1016	
0.344179	0.607202	1390	
0.667230	0.007275	4146	
0.230109	-0.353144	500	
0.137025	-0.588934	1773	
0.483343	-0.180610	4830	
0.510765	0.417872	594	
0.297633	0.381656	6089	
0.312972	0.324326	4361	
0.564769	-0.327225	9671	
0.696060	-0.110522	7994	
0.846516	0.410616	864	
0.361802	-0.199478	7977	
0.394404	-0.806068	8974	
0.621657	0.523918	644	
0.946949	-0.174445	8602	
0.548301	0.003615	5303	
0.486337	-0.106974	8353	
0.656046	-0.301558	7397	
0.271953	0.308707	7479	
-0.413548	0.876964	2759	
0.728590	-0.673727	3866	
0.309001	0.141839	7319	
0.198530	0.838862	8066	
0.079003	-0.678145	2207	
0.214443	0.639476	2157	
0.777630	0.428533	6711	
0.781765	0.235057	2285	
0.047033	0.605955	9193	
0.217026	0.332261	6749	
0.170246	0.046174	2834	
0.506214	-0.130458	9249	
0.515353	0.317412	7119	
-0.596060	0.717737	528	
0.512816	0.277612	7764	
0.903630	0.230782	9608	
0.679320	0.586997	575	
0.409040	0.390672	6655	
0.653254	-0.259798	8306	
0.378848	0.606393	1018	
0.477541	-0.646288	6342	
0.519728	0.042225	3472	
0.553151	-0.786804	1007	
0.266781	-0.298409	736	
0.175796	-0.183069	5915	
0.411457	-0.243844	5322	
0.414637	-0.099921	4547	
0.837679	-0.440973	4496	
0.121622	0.746833	9830	
0.215101	-0.483926	7054	
0.061953	0.153903	9613	
0.802767	-0.132192	4967	
0.403908	0.190682	5015	
0.063906	0.551601	3164	
0.305643	0.644697	4857	
0.126432	-0.519183	6179	
-0.933894	0.027137	1738	
0.115108	-0.500368	5857	
0.562852	0.044628	3437	
0.318573	0.094726	1252	
-0.459032	0.790983	7910	
0.194686	0.733222	6527	
0.108815	0.248307	7495	
0.352255	0.250916	1366	
0.583315	-0.491933	5997	
0.652454	-0.056189	3271	
0.699292	-0.541623	5520	
0.448170	-0.637910	877	
0.252578	0.544409	7575	
0.408335	0.875386	3918	
-0.920566	-0.068742	9472	
0.478332	-0.221438	8335	
0.626600	-0.217886	6198	
0.184974	-0.828020	7066	
0.768046	-0.494324	6833	
0.226797	-0.178275	4511	
-0.826722	-0.399756	1539	
0.531724	-0.340344	9929	
0.201487	-0.251120	4278	
0.535637	0.149208	8642	
0.082537	-0.365488	4696	
-0.700365	-0.660079	7323	
0.790314	-0.386857	7259	
0.399277	0.153186	4539	
-0.162074	0.970507	1821	
0.357144	-0.554912	396	
0.625757	0.013028	2502	
0.613129	0.338839	4582	
0.481791	-0.235744	9121	
0.550789	-0.195805	9566	
0.086453	0.412210	4776	
0.837495	0.360373	1402	
0.493961	-0.135725	6230	
0.346879	-0.528267	6953	
0.837922	-0.315097	5139	
0.069373	0.210824	2256	
0.091954	-0.334220	3929	
0.674240	-0.338363	7370	
0.564437	-0.683687	901	
0.405553	-0.557919	2373	
0.251301	0.665288	6119	
0.056023	-0.413631	2686	
0.298238	-0.526422	891	
0.611458	-0.200876	7844	
0.991885	-0.094234	4170	
0.538220	0.035139	3472	
0.414255	-0.338780	6857	
0.151623	-0.573521	5078	
0.277510	0.186157	4279	
0.633705	0.637553	7300	
0.236523	-0.401180	2749	
0.611400	0.302803	4562	
0.851078	0.098097	5443	
0.291177	-0.351671	9056	
0.797362	0.064642	3782	
0.226541	0.596429	1352	
0.205241	0.577768	672	
0.822234	0.206240	4932	
0.649025	0.596649	9789	
0.347947	0.318972	470	
0.573400	-0.462105	4261	
0.044120	0.577957	4731	
0.308757	0.684366	6949	
0.078079	-0.200016	1882	
0.876232	0.086108	5776	
0.537764	-0.278326	8746	
0.368914	-0.704131	6096	
0.214574	0.732559	8491	
0.503594	-0.414922	8482	
0.637432	0.647161	7327	
0.562502	-0.409173	1864	
0.640815	0.092886	2518	
0.913376	-0.069800	513	
0.566486	-0.502130	7891	
0.948904	0.163619	9884	
0.089443	-0.780571	6827	
0.448357	-0.248545	2049	
0.563770	-0.412142	1864	
0.100848	0.730455	9844	
0.145943	-0.369863	3209	
0.609022	-0.679266	4558	
0.245532	-0.373018	2273	
0.408052	0.427806	8003	
0.145386	0.745971	985	
-0.932478	-0.316937	6550	
0.341547	0.179877	1930	
0.280884	-0.093298	3383	
0.595813	0.001353	2098	
0.837198	-0.336874	6038	
0.866037	0.149038	6401	
-0.700882	0.635043	3837	
-0.675582	-0.730243	9781	
0.167478	-0.274092	3065	
0.438259	0.250167	5787	
0.381218	-0.440673	8921	
0.085844	-0.229868	1759	
0.397237	-0.482767	2185	
0.590889	-0.369040	4069	
0.423372	-0.336278	6857	
0.546700	-0.097587	6166	
0.432647	0.391499	9102	
0.006689	0.899522	8953	
-0.768728	-0.530948	6297	
0.193977	-0.275472	1629	
0.971994	0.224809	6562	
-0.875146	-0.384388	1493	
-0.903509	-0.240905	7062	
0.662255	-0.558319	10107	
0.111593	0.636380	7215	
0.146639	-0.065460	6596	
-0.043507	-0.896294	9520	
0.222753	-0.231025	2474	
0.202080	-0.636540	5434	
0.126287	0.387788	9453	
0.067773	-0.457841	1607	
0.309700	0.157009	7044	
0.411374	0.110217	6086	
0.919700	-0.129066	8863	
0.545609	0.156987	6438	
0.362790	0.589223	9279	
0.734533	0.422286	4657	
0.460804	0.106053	4263	
-0.581124	0.729181	867	
0.710914	0.268936	2490	
0.331471	0.205118	826	
0.843633	0.431028	1311	
0.238625	-0.156811	6751	
0.614886	0.195108	1784	
-0.731550	0.603266	10097	
0.171147	-0.086772	1093	
0.153089	0.825041	4950	
0.488118	-0.483569	1488	
-0.260036	0.907244	9427	
0.482348	0.459588	6791	
0.915977	0.217083	10011	
0.790722	-0.344325	5618	
0.069989	-0.340355	471	
0.772232	0.281076	4541	
0.653939	0.620792	5435	
0.258804	-0.414019	3591	
0.163874	-0.249317	883	
0.506490	0.351898	8495	
0.691079	0.353542	1364	
0.209177	-0.307544	726	
0.846072	-0.149831	7024	
0.074790	-0.303842	3172	
-0.280171	-0.888668	4400	
0.773078	-0.215179	4466	
0.492841	-0.302431	5904	
0.147604	0.340854	3535	
0.376636	-0.125192	9531	
0.222920	-0.503665	7049	
0.176394	0.925259	9315	
0.452039	0.064552	7726	
0.196761	0.094824	7634	
0.803258	-0.302678	9752	
0.150297	0.421958	4995	
0.325800	0.670438	5863	
0.438918	-0.258159	8204	
0.486308	-0.113363	8353	
0.034410	-0.691814	8068	
0.342283	0.376794	8570	
0.720462	-0.482384	5568	
0.494490	-0.560844	1748	
0.663605	-0.050895	4752	
0.294521	0.742248	621	
0.281391	-0.586227	9086	
0.252817	-0.028137	3854	
0.342608	-0.184066	6466	
0.595905	-0.436711	5926	
0.657294	-0.329303	7370	
0.343838	-0.579626	9549	
0.136055	-0.650944	6486	
0.321106	-0.059500	5746	
0.679854	-0.087308	5933	
0.818186	0.167178	4884	
0.564411	-0.663633	647	
0.498441	-0.201806	4906	
-0.710255	-0.584340	2056	
0.493450	0.098593	4735	
0.101298	0.913426	9200	
0.164124	0.338320	3011	
0.141015	0.316483	1264	
0.548984	0.489378	4651	
0.718713	0.330741	2068	
0.673473	0.259976	7491	
0.768466	0.391818	5183	
0.355770	0.542555	8774	
0.580359	0.727358	9870	
0.257961	0.904428	7789	
0.033722	0.806027	7665	
0.813086	-0.290739	9752	
0.298143	0.237353	6582	
0.158188	0.215472	2164	
0.591395	-0.758696	780	
0.096798	-0.493170	843	
0.885545	0.061360	7437	
0.144627	-0.290380	2470	
0.344753	0.022719	3148	
0.373083	-0.735482	7850	
0.116510	0.246975	8195	
0.138124	-0.201545	1794	
0.819503	0.520610	1648	
0.504157	0.567925	2632	
0.391922	0.351106	7238	
0.231224	0.353856	4415	
0.197386	0.826705	7990	
0.226285	-0.462824	5995	
0.258429	-0.611527	1623	
0.699299	0.038497	7693	
0.402499	-0.153041	3404	
0.238133	-0.726911	3906	
0.276405	-0.915755	9428	
0.613417	0.133433	1394	
0.300879	0.873264	5794	
0.199479	0.251691	9722	
0.621513	-0.160598	5921	
0.756223	-0.393290	6152	
0.055956	-0.419771	8460	
0.345125	-0.743070	6968	
0.573509	0.203163	5749	
0.581857	0.722737	9870	
0.239174	-0.934394	6886	
0.072094	-0.651913	4521	
0.695552	0.119577	9073	
0.691748	0.217628	816	
0.046691	-0.966548	9234	
0.297319	-0.163620	1664	
0.361537	-0.328026	2209	
0.574373	-0.005798	7545	
0.846030	-0.313485	5139	
0.039063	0.943340	8082	
0.567335	-0.320088	9671	
-0.916571	-0.357423	5722	
0.403652	-0.514427	3086	
0.503044	-0.360792	6359	
0.638623	-0.689019	7894	
0.066538	-0.005338	6480	
0.520581	0.424970	594	
0.736570	0.120254	914	
0.616777	0.155575	2492	
0.596103	-0.189140	6257	
0.370335	-0.821798	8908	
0.166314	-0.323964	3463	
0.283172	-0.204404	2099	
0.539149	0.633726	8083	
0.439609	-0.267697	8030	
0.263100	0.029037	1024	
-0.792543	-0.469068	8725	
0.148422	-0.109728	9242	
0.728247	-0.519016	6789	
0.274883	-0.588756	7506	
0.673909	0.623212	1840	
-0.318230	-0.850569	5445	
0.287551	-0.892650	9034	
-0.640261	-0.718275	1639	
0.589248	-0.344619	4143	
0.154252	-0.180705	7579	
0.526363	0.364097	448	
0.598399	-0.692707	1145	
0.750163	-0.282997	2732	
0.321239	0.505606	4299	
0.807009	0.191596	4401	
0.239329	0.037556	5930	
0.063505	0.708073	1418	
0.450854	-0.134338	6611	
0.409856	0.804906	490	
0.095724	-0.628534	1486	
0.793136	-0.233246	5474	
0.478824	-0.514293	1168	
0.616778	0.458330	8380	
0.739751	-0.588654	10098	
0.351550	0.695749	9631	
0.137877	0.224116	1045	
0.186445	0.240419	5946	
0.563642	0.059470	9202	
0.519680	-0.335037	9929	
0.813234	-0.144236	5560	
0.247453	-0.524895	9499	
0.257932	-0.553636	713	
0.781570	-0.153747	3979	
0.714132	-0.638586	3838	
0.156252	-0.210090	1804	
0.307778	0.557954	5625	
0.894776	-0.309817	2005	
0.654086	-0.124813	5940	
0.209984	-0.081997	4507	
0.160638	0.465245	3891	
0.695760	-0.664870	8848	
0.026505	0.895630	1673	
0.252959	0.844441	437	
0.311204	0.887168	9119	
0.399973	-0.396710	9245	
0.059710	0.231049	5789	
0.161425	0.240698	2087	
-0.938451	0.137077	10038	
0.353336	0.096120	2791	
0.692549	0.130574	5840	
0.195863	-0.058640	4544	
0.506692	0.357342	9490	
0.940231	0.244317	5594	
0.417301	-0.309348	5831	
0.260007	0.385912	7124	
0.247237	-0.162766	6976	
0.131458	-0.626711	2698	
0.482883	0.528003	1757	
0.491338	0.275253	4045	
0.433733	0.862826	3924	
0.195977	-0.746753	2621	
0.483433	0.093310	4218	
0.357059	0.357190	4257	
0.352726	-0.808110	6668	
0.041700	0.152130	8556	
0.332161	-0.234286	5590	
0.396826	-0.379928	9245	
0.340733	0.612729	3608	
0.586569	-0.611691	6443	
0.542799	-0.049153	8135	
0.417146	0.883540	3918	
0.626195	0.484102	1530	
0.363518	-0.149841	4297	
0.935351	0.152238	9210	
0.302839	0.540432	4285	
0.578429	0.421355	4640	
0.085820	-0.519473	1708	
0.457255	0.272817	9666	
0.925136	0.204231	9779	
0.237579	-0.800747	8698	
0.212346	0.517960	6734	
0.452136	-0.586111	2898	
0.242870	-0.007662	8894	
0.291333	0.029615	1343	
0.753754	-0.570708	9004	
0.627028	0.009343	2502	
0.178835	0.891056	8267	
0.387579	0.859657	1282	
-0.887814	0.330832	9473	
0.369905	-0.621934	511	
0.497662	-0.273036	4513	
0.785581	-0.341931	5618	
0.747801	0.244790	7620	
0.644302	-0.443801	8090	
-0.070170	-0.994122	1963	
0.171207	0.157274	4494	
0.351542	0.903841	3048	
0.400986	-0.468560	8639	
0.649549	0.001915	4056	
0.047690	0.381226	7241	
0.214709	-0.724126	2744	
-0.401864	-0.913763	2925	
0.337439	0.406152	8714	
0.057095	0.041914	1497	
0.495145	-0.133963	6230	
-0.475420	0.778046	6385	
0.125336	0.222114	1045	
0.601659	0.273670	2300	
0.218089	0.137231	909	
0.238769	-0.760066	6510	
0.350921	-0.767747	6560	
0.816773	0.097102	2888	
0.186746	0.111158	6116	
0.271524	-0.290778	8497	
0.663546	0.157954	4926	
0.302854	0.562411	4378	
0.633789	0.071867	3598	
0.853733	-0.407452	1446	
0.442043	0.475476	4251	
0.547903	0.570934	5651	
0.806507	0.185086	4401	
0.041936	0.099690	9047	
0.170847	0.948942	10001	
0.616179	-0.190123	7844	
0.295971	0.438028	1590	
0.475963	-0.222954	8335	
0.511269	0.283305	7764	
0.568447	-0.275400	2434	
0.315671	0.422202	2822	
0.345950	-0.069359	6439	
0.257349	-0.475734	7805	
0.507071	-0.210589	2625	
0.282990	0.319404	9059	
