time = 0.187	Re = 1	rotation = -0.268138
-0.836383	0.357638	7008	
-0.835448	0.359778	7008	
-0.832788	0.365422	6057	
-0.828654	0.374376	6057	
-0.823182	0.386164	7093	
-0.816427	0.399686	8239	
-0.808627	0.414845	8239	
-0.799798	0.430953	8173	
-0.789808	0.448521	8173	
-0.778672	0.467563	6014	
-0.766446	0.487507	8127	
-0.753280	0.507221	8185	
-0.739027	0.527654	9784	
-0.723884	0.548373	5619	
-0.707907	0.568861	5619	
-0.691021	0.589130	5911	
-0.673254	0.609282	1242	
-0.654980	0.628765	960	
-0.636162	0.647876	6818	
