time = 5	Re = 1	rotation = 0.795616
0.060730	-0.377652	10826	
-0.699333	-0.239198	4492	
0.271168	0.150744	10818	
0.340211	0.531166	508	
-0.537561	-0.606945	1770	
0.320323	-0.577382	1463	
0.605367	0.060636	8758	
-0.090269	-0.469112	557	
0.527140	0.482267	7198	
0.180068	-0.582902	7543	
0.388552	-0.425695	7512	
0.234819	-0.066315	8738	
0.207585	-0.536383	5257	
-0.927696	-0.196210	535	
0.460477	0.504772	3676	
-0.771268	-0.500254	8656	
-0.682433	0.474950	4318	
-0.027783	0.196609	9603	
0.449599	0.599043	7767	
-0.489816	-0.735820	8602	
0.619816	-0.222602	5500	
0.247309	0.434606	966	
-0.940315	-0.318618	4280	
0.337245	0.008486	5470	
0.500451	-0.268785	9000	
0.622836	0.016267	6677	
0.657976	-0.148357	4596	
0.781661	-0.558000	2819	
0.079757	0.227619	10476	
0.255662	-0.864312	8467	
0.447833	-0.400956	5846	
-0.621752	-0.390099	2600	
0.307758	0.660895	774	
0.082685	-0.877119	7481	
-0.074692	-0.820686	8690	
0.086240	-0.256778	6392	
-0.201768	0.726261	7404	
-0.784128	-0.297936	4201	
-0.807971	-0.375667	875	
0.278485	-0.470212	7013	
0.307989	0.583820	6622	
-0.721630	-0.325687	4290	
0.152103	-0.856913	5308	
-0.008366	-0.850913	2442	
-0.093018	0.790908	2822	
0.573664	-0.220877	1818	
-0.818789	0.236957	7564	
0.288202	-0.163338	7988	
-0.574468	0.575999	6825	
0.327479	-0.101671	7507	
0.430820	-0.440441	7279	
-0.052999	0.729594	384	
0.088178	0.108801	5271	
0.532265	0.142274	9900	
-0.811781	0.448302	2758	
-0.857665	0.016254	7036	
0.399529	-0.046824	2251	
0.052951	-0.579135	9864	
-0.819736	-0.140561	8859	
0.112816	0.122524	4124	
-0.807927	-0.339671	5766	
-0.808133	0.455781	2758	
0.399807	0.278074	6379	
0.128472	0.249246	11050	
-0.600548	-0.564068	4509	
0.324403	0.233437	9594	
0.001361	-0.533498	1786	
0.799187	-0.551055	8545	
0.117760	-0.483269	6393	
-0.339628	-0.889633	1553	
0.574396	0.261551	3951	
-0.544351	-0.539611	4938	
-0.741030	-0.621246	10582	
0.324571	0.629986	7570	
-0.725167	-0.071509	1127	
0.333163	-0.224935	3618	
-0.620802	-0.433101	5454	
