time = 0.001	Re = 1	rotation = 0
0.593533	0.687938	6414	
0.623332	-0.231860	2045	
0.296648	-0.886871	6753	
0.272611	-0.044942	2731	
0.812128	-0.040858	1300	
0.393457	0.671764	6603	
0.337692	0.296006	2884	
0.141091	0.740034	2845	
0.474210	0.601348	10543	
0.520835	0.357238	9142	
0.720796	0.163319	894	
0.537890	0.516694	3901	
0.105855	-0.052905	10957	
0.186806	0.473650	3229	
0.215821	-0.729780	4214	
0.323440	-0.700974	6466	
0.222094	-0.227244	10007	
0.902498	-0.101003	7714	
0.100220	0.939518	9190	
0.652482	-0.658834	10727	
0.358653	0.501014	7958	
0.607480	-0.350513	7593	
0.038694	0.268510	6560	
0.581679	-0.171845	3244	
0.474944	0.246545	2913	
0.338357	0.349166	4393	
0.317758	0.556373	5803	
0.013817	0.245678	6746	
0.878212	0.018371	10999	
0.055617	-0.097737	2131	
0.019871	-0.116598	4574	
0.481271	0.376841	7283	
0.216952	0.130161	2908	
0.865120	0.017073	10232	
0.082668	-0.444646	6561	
0.010041	0.684674	9208	
0.647857	0.682125	10257	
0.264526	-0.204623	8123	
0.552151	-0.670672	5765	
0.369101	-0.707486	7869	
0.570026	0.406905	1915	
0.288343	-0.133712	5915	
0.755899	-0.208559	5026	
0.896316	0.276946	8009	
0.891914	0.359219	637	
0.116736	0.533931	5152	
0.412171	0.350466	5226	
0.249423	-0.373813	10629	
0.965593	0.175965	1048	
0.659734	0.065753	5164	
0.230323	-0.210492	7158	
0.618758	-0.050884	10397	
0.470564	0.431679	6945	
0.287758	-0.233363	6185	
0.102048	-0.815355	4472	
0.354150	0.103278	6632	
0.034563	0.937889	9196	
0.320440	-0.557795	6817	
0.140458	-0.805621	1212	
0.536918	-0.104685	4594	
0.099274	-0.295476	1736	
0.469931	0.681811	5346	
0.507649	-0.666813	4202	
0.410676	-0.720466	9390	
0.034188	0.965116	9502	
0.373131	-0.160222	10273	
0.050319	-0.269058	788	
0.016089	-0.538532	4619	
0.749678	-0.321942	9746	
0.489227	-0.322519	8091	
0.178832	-0.658206	603	
0.464200	0.748682	8733	
0.944336	0.215562	3871	
0.597222	0.566692	4078	
0.267621	0.357914	7906	
0.964598	0.107520	3468	
0.211835	-0.555326	6783	
0.218888	0.138928	4268	
0.617743	0.084380	2025	
0.478950	0.353684	5198	
0.607474	0.428787	5847	
0.469409	-0.088440	5709	
0.229982	0.762941	4940	
0.904716	0.290665	8569	
0.324722	0.039098	9436	
-0.000321	-0.376279	2927	
0.426222	0.770249	1418	
0.679791	-0.088420	2444	
0.483986	0.576995	7472	
0.230202	0.760365	4940	
0.314607	0.914588	4916	
0.472175	0.422696	6692	
0.154155	0.460730	872	
0.645694	-0.570885	10018	
0.187073	0.614974	3674	
0.747429	0.348947	4231	
0.276243	-0.650459	954	
0.704400	-0.074404	2886	
0.164208	-0.750498	1675	
0.217949	0.498291	4198	
0.208731	-0.426379	1081	
0.702858	-0.637441	2533	
0.512554	0.160382	1785	
0.787755	0.212163	9167	
0.218313	-0.089881	10436	
0.878854	-0.016342	9242	
0.715533	-0.028396	10474	
0.003587	-0.461045	2280	
0.410348	-0.143963	1723	
0.297644	-0.198033	3873	
0.121618	0.961278	6432	
0.406259	0.138015	8444	
0.344183	0.577402	9581	
0.411091	-0.281868	1411	
0.399102	-0.396738	4055	
0.326216	0.905416	2119	
0.305348	0.765415	1934	
0.250977	0.354573	7906	
0.810288	-0.136514	8949	
0.378227	-0.807279	9886	
0.256323	0.183614	7310	
0.476453	-0.024607	9375	
0.458564	0.048727	568	
0.442720	0.704827	8875	
0.434093	0.653307	5715	
0.508515	-0.827755	9344	
0.659453	-0.587471	5162	
0.847638	0.361871	500	
0.177507	-0.860460	6485	
0.010472	0.784089	4155	
0.134024	0.558250	6426	
0.490757	-0.061494	10624	
0.882686	-0.024063	10135	
0.413915	-0.652190	6352	
0.475857	0.566820	7472	
0.555749	-0.680822	5765	
0.144128	0.298782	7841	
0.538875	-0.349170	8981	
0.146334	-0.680407	6573	
0.129570	0.157715	8291	
0.093081	0.820997	4861	
0.083572	0.600674	4996	
0.426252	-0.053985	9092	
0.580629	0.431908	2642	
0.027532	0.462767	1701	
0.307752	-0.534577	5403	
0.622404	0.725423	728	
0.158617	0.984701	6388	
0.084190	-0.811169	4517	
0.936641	-0.106180	10919	
0.728180	0.483748	7458	
0.306225	-0.760764	6494	
0.443662	-0.216895	7132	
0.532540	0.690183	6294	
0.536635	0.360004	9808	
0.091139	-0.888160	9949	
0.086007	-0.525740	4719	
0.839557	0.043902	10160	
0.513374	0.299151	5857	
0.580694	0.541598	7000	
0.373414	-0.909055	10005	
0.310731	0.662728	5144	
0.807302	0.279241	9045	
0.367728	-0.374861	1920	
0.683334	-0.239225	4648	
0.853935	-0.005498	8788	
0.428479	0.644691	5715	
0.738120	-0.106450	8672	
0.398011	0.476968	7253	
0.449958	0.874119	8801	
0.256997	-0.236738	3490	
0.120543	-0.517029	4655	
0.228243	-0.021210	1623	
0.891238	-0.284676	8452	
0.386071	0.833068	2126	
0.114079	0.262137	7932	
0.132563	-0.251644	7073	
0.324765	0.359906	2855	
0.795542	0.007072	943	
0.297014	0.771628	1934	
0.352347	0.476429	7079	
0.554764	-0.597520	10404	
0.548558	0.038737	551	
0.148093	-0.736444	1392	
0.708335	0.417436	7643	
0.612092	0.343202	7525	
0.447908	0.391707	6556	
0.377526	-0.800314	9886	
0.020260	0.959127	9196	
0.147995	-0.482744	4353	
0.215689	0.159609	6391	
0.278563	0.789448	8985	
0.026774	0.251247	7583	
0.169379	0.802797	4912	
0.330714	0.778136	8019	
0.512473	0.020745	9349	
0.386887	0.059791	4285	
0.677392	0.277378	384	
0.547906	-0.455182	10280	
0.148981	0.712457	1727	
0.634656	-0.401348	7467	
0.557787	-0.278255	2778	
0.502017	-0.693247	6365	
0.426320	0.811918	2852	
0.009449	0.937719	9196	
0.289854	0.077857	1647	
0.723925	-0.222989	10182	
0.226994	-0.090507	8668	
0.441036	0.369743	8635	
0.919616	0.083994	4292	
0.806591	-0.078793	8040	
0.826902	0.077410	2453	
0.328112	-0.191478	6848	
0.544890	0.242841	758	
0.379440	0.083880	5884	
0.121281	0.361273	10940	
0.286205	-0.914334	10609	
0.115311	-0.787257	543	
0.315981	-0.507247	4463	
0.580302	0.195293	2909	
0.238205	0.161536	7110	
0.145541	-0.328884	7530	
0.625250	-0.278014	7933	
0.434191	0.034790	1686	
0.474036	-0.631749	6025	
0.434136	-0.625331	4161	
0.715253	0.045298	9471	
0.597601	0.297559	6646	
0.006130	0.940438	5052	
0.663452	-0.414375	8579	
0.201216	0.851204	7731	
0.309058	-0.193873	7307	
0.433463	0.856004	6844	
0.591944	-0.137022	10568	
0.592489	-0.291581	4903	
0.657324	0.303961	9030	
0.821524	-0.195288	9262	
0.038534	0.969225	6160	
0.449018	0.874822	8801	
0.671574	-0.467278	1511	
0.113030	-0.455655	1303	
0.082588	0.530459	5204	
0.020963	-0.725519	1132	
0.261371	0.741904	3195	
0.179277	-0.133622	4498	
0.325285	0.166483	3597	
0.052701	0.192370	3664	
0.212064	0.529777	4226	
0.189860	0.797330	2012	
0.008112	-0.819543	4684	
0.618947	-0.235739	2708	
0.473149	-0.040965	11042	
0.099038	-0.920799	2291	
0.483623	-0.083966	5709	
0.234380	-0.882494	9329	
0.124558	0.713386	663	
0.399430	-0.237605	5679	
0.021723	-0.250516	8742	
0.661858	0.250055	9273	
0.323715	-0.367884	2881	
0.281581	0.427573	6984	
0.561376	-0.201241	4945	
0.889651	0.363348	2389	
0.355922	0.696325	8078	
0.771115	0.440284	2497	
0.633029	-0.385881	7085	
0.536828	-0.451387	9060	
0.007740	-0.950119	7247	
0.144314	0.027375	5352	
0.222397	-0.261243	445	
0.055930	0.822339	4825	
0.332617	0.425521	6955	
0.426547	-0.397042	6511	
0.070254	-0.156381	4691	
0.387640	-0.679601	7962	
0.349398	-0.809110	10315	
0.871437	0.334315	9400	
0.193554	0.835991	6447	
0.579592	-0.088783	7123	
0.641859	-0.492592	1904	
0.550343	-0.736744	10430	
0.200544	0.027908	10995	
0.098197	0.703610	7816	
0.395010	-0.534240	6409	
0.585925	0.493087	5808	
0.609146	0.157413	1371	
0.170472	0.372554	470	
0.328984	0.605056	779	
0.836194	-0.170276	8586	
0.416481	0.872818	8852	
0.425134	-0.812637	6285	
0.643407	-0.271718	8484	
0.667858	0.143019	10055	
0.405097	0.790286	888	
0.065453	0.370889	2810	
0.231148	0.077506	8514	
0.773528	0.492395	1475	
0.721396	-0.034938	10265	
0.193434	-0.589061	6677	
0.535344	-0.124907	7268	
0.079424	0.453677	4819	
0.246118	-0.927125	10101	
0.407677	0.755094	6550	
0.431562	-0.432260	7241	
0.223516	-0.950718	5942	
