time = 25.3	Re = 1	rotation = 4.02646
-0.775801	-0.472171	8922	
-0.469211	0.504795	8122	
-0.819481	0.450082	10092	
-0.607102	0.154695	3382	
-0.440022	0.636297	1858	
-0.772825	-0.073304	9997	
0.056364	0.271880	1705	
0.341514	0.670455	917	
-0.601093	0.456826	4938	
-0.307842	0.228324	1940	
0.777567	-0.082453	1695	
0.305248	0.695588	2235	
-0.414181	0.193141	3137	
0.260756	0.414678	909	
0.544248	-0.503745	4157	
0.715089	0.245747	8107	
0.217042	-0.614066	6817	
-0.610147	0.659459	8135	
0.807575	-0.489437	10491	
-0.876520	0.311710	10269	
0.340522	0.219301	10153	
-0.722430	0.184463	4142	
-0.291907	0.334412	1633	
0.049295	-0.084489	1848	
-0.238857	0.243738	10600	
0.214208	0.274131	3226	
0.320293	0.197417	9765	
-0.388951	0.373113	4174	
0.726270	0.455631	10046	
0.187242	-0.142384	2818	
0.013162	-0.117879	1410	
-0.019472	0.221986	3437	
0.605969	0.153404	4768	
0.815517	-0.261714	9139	
0.018134	-0.457976	9150	
0.117958	0.173105	2519	
0.222289	-0.914487	10780	
-0.188315	-0.649629	5563	
0.856972	0.146118	9718	
-0.509606	0.604948	10141	
-0.691911	-0.034004	9322	
-0.047727	-0.129177	10856	
-0.606464	0.484630	3364	
-0.370766	-0.861914	5525	
0.533885	-0.799227	9715	
0.234473	0.481455	3475	
0.186115	0.240814	3038	
0.215563	-0.462556	4185	
0.872754	-0.447063	7348	
-0.352143	0.011053	9610	
0.005853	-0.672731	4799	
0.635713	0.252350	7246	
-0.086355	0.210099	3169	
0.119240	-0.647620	427	
-0.816749	-0.082927	10836	
-0.595781	-0.031055	7442	
0.706749	-0.616768	11022	
-0.504930	-0.306678	8616	
-0.836399	0.067434	8711	
-0.273565	0.141843	1621	
0.270757	-0.371162	2054	
0.847200	-0.058994	8712	
0.111349	-0.833433	4465	
-0.440815	-0.703711	8868	
0.907686	0.327783	9453	
-0.375041	-0.098814	7350	
0.334279	-0.366230	7885	
-0.100940	-0.529048	4547	
-0.246341	-0.786520	5547	
-0.534372	-0.290649	7284	
-0.181424	-0.156352	7108	
-0.736923	0.480218	10003	
0.601636	-0.757820	5651	
0.744639	-0.359691	6438	
0.201593	0.305380	6624	
0.551955	-0.795980	5565	
-0.099997	-0.600653	3237	
0.530936	0.416748	516	
-0.615142	0.020723	2026	
0.003352	0.227249	5474	
0.235361	0.726046	2993	
-0.265549	0.130119	400	
-0.188078	-0.775634	3838	
0.078660	-0.946771	9117	
-0.605814	0.142739	7968	
0.003971	-0.383093	2141	
-0.741357	0.471913	7207	
0.593990	-0.109516	9155	
-0.010264	0.763377	5392	
-0.312542	-0.731114	2011	
0.961636	0.101161	1058	
-0.060749	0.213245	2254	
0.220184	0.417369	922	
0.866221	0.064194	10746	
0.435899	0.236756	1877	
0.681873	-0.464268	10942	
-0.563592	0.274421	507	
0.257085	0.679968	1727	
0.729662	-0.254335	10876	
0.313854	0.408177	863	
0.139919	-0.481372	659	
-0.782641	-0.536208	5142	
-0.031325	0.700097	6574	
-0.068544	-0.814415	4517	
-0.155438	-0.008639	5377	
0.721616	0.465233	7812	
0.720418	-0.121620	6710	
-0.067120	-0.456142	600	
-0.058059	-0.133407	10054	
-0.387545	-0.546364	8146	
0.903636	0.346817	4781	
0.575682	0.337979	9006	
-0.072561	0.197444	2166	
-0.073652	-0.654253	4596	
-0.036970	-0.638129	3517	
0.959143	-0.092817	453	
0.828509	-0.181719	2042	
