time = 28	Re = 1	rotation = 4.45618
-0.904972	-0.138120	9753	
0.636271	0.083194	2243	
-0.690406	0.630430	1502	
0.517928	0.097144	7440	
0.431972	0.638048	6625	
-0.424305	0.656826	3172	
-0.248957	-0.379697	2884	
0.720326	-0.098941	9703	
0.266795	0.719403	9331	
0.081365	-0.163132	8374	
0.028628	-0.751748	1124	
0.736830	-0.047065	10437	
0.203797	-0.045564	1233	
0.102890	-0.547246	6542	
-0.433150	-0.605765	3560	
0.561751	-0.527254	5677	
-0.480571	0.136731	8812	
-0.304514	0.847396	9377	
0.694695	-0.639922	1501	
-0.756749	0.535465	7871	
-0.248944	-0.550080	10176	
0.353466	0.623174	4288	
0.072448	-0.258668	1705	
-0.080414	0.055043	1848	
-0.010868	-0.217493	3303	
-0.235509	-0.491934	4441	
-0.312398	-0.507791	9617	
0.224177	-0.184273	5478	
0.855182	-0.070452	5882	
-0.114978	0.051696	7940	
0.047835	0.116775	405	
-0.225421	-0.284247	6475	
0.072318	-0.698258	8608	
0.468800	-0.702844	5827	
-0.089469	0.427692	8206	
-0.336263	-0.301708	3136	
0.012465	-0.941098	5526	
-0.571206	0.234315	1334	
0.790377	-0.358049	5161	
0.262590	0.751296	3028	
0.014579	0.727704	978	
0.171337	0.180336	2907	
0.159628	0.771871	5337	
-0.557748	-0.753683	10726	
0.416858	-0.866207	430	
0.236515	-0.499326	9512	
-0.300904	-0.437033	3886	
-0.182396	0.310875	1294	
0.841668	-0.502859	5566	
0.434657	0.171640	1239	
-0.553137	0.160874	8305	
0.377498	-0.614870	684	
-0.155674	-0.242624	7217	
-0.509588	0.154067	2298	
-0.600012	0.557847	6693	
0.352716	0.587885	573	
0.550660	-0.760324	957	
-0.207808	0.627232	5349	
-0.476547	0.664098	5826	
0.155009	0.039095	7125	
-0.088478	0.283565	2691	
0.541423	-0.629059	8961	
-0.471180	-0.690246	7970	
-0.831124	-0.195194	8033	
0.946935	0.195008	5282	
0.460557	0.398967	711	
-0.151162	0.235282	1426	
-0.266626	0.429725	2071	
-0.740099	-0.377361	8884	
-0.230978	0.632740	4596	
0.383886	0.328363	5495	
-0.435162	0.767505	7518	
0.511035	-0.821784	11013	
0.283151	-0.779105	5234	
-0.182694	-0.505591	8169	
0.459940	-0.852514	7011	
-0.426011	0.332036	6316	
0.488291	-0.487840	6891	
0.511805	0.430804	2630	
-0.245037	-0.300832	7211	
0.749826	0.015698	3532	
0.164353	0.066563	4936	
-0.771653	-0.284232	1651	
-0.099588	-0.944710	5194	
0.532376	0.110554	10459	
0.064622	0.429137	3544	
-0.440043	0.763711	7518	
-0.595225	-0.159091	9155	
0.766281	0.228103	944	
-0.803028	-0.118909	9674	
0.965924	-0.040100	4384	
-0.183464	-0.256767	7473	
0.073564	-0.534304	5204	
0.739492	-0.445521	458	
-0.080658	-0.632011	1503	
0.171983	-0.814573	5464	
0.450062	0.013339	3137	
0.673794	-0.130944	5663	
-0.018179	-0.767028	3440	
0.144450	-0.561450	1564	
-0.174196	0.353083	2141	
-0.871816	-0.380172	8402	
0.614440	-0.077934	1661	
-0.655354	-0.476161	2394	
0.276782	0.184808	5582	
0.857970	-0.055523	8376	
-0.723956	-0.195346	10322	
-0.088296	0.466339	1422	
0.207337	0.200648	8589	
-0.538274	0.370540	4107	
0.942331	0.228195	2062	
0.416454	-0.561973	3563	
-0.159572	-0.231985	8011	
-0.529394	0.224456	6553	
-0.486382	0.249876	3397	
0.930586	-0.241919	9852	
0.433414	-0.701703	5024	
-0.183622	-0.495739	8109	
-0.792429	0.116039	1923	
0.803769	0.397052	9491	
0.391057	-0.085184	4842	
-0.416123	-0.142110	3260	
0.224080	0.102695	9556	
0.691781	-0.460943	2826	
-0.672342	0.396968	1857	
-0.497456	-0.833396	5555	
0.755614	0.463215	1897	
-0.880863	-0.294699	1709	
0.772668	-0.413201	3864	
-0.696484	0.332317	5458	
0.269494	-0.510159	8620	
0.477663	0.071850	8631	
0.859030	0.202949	10131	
0.713841	-0.271704	5428	
0.525074	-0.531513	5836	
0.882686	0.071281	8882	
-0.140817	-0.355037	6101	
0.190211	0.210056	3044	
0.009151	0.165418	3212	
0.606297	-0.205480	3205	
0.631578	-0.527733	6873	
0.315363	-0.511359	3914	
0.529726	0.092117	3600	
-0.191917	-0.714242	4051	
0.084571	-0.480534	2267	
-0.465139	0.391334	426	
0.610384	-0.734945	10779	
0.270213	0.958847	10647	
-0.297140	0.759618	4517	
-0.765476	-0.544220	7908	
0.141537	0.865753	6374	
-0.705478	0.409747	10732	
-0.233300	0.640390	5285	
0.040935	0.872399	10705	
0.310573	-0.065892	7142	
0.892193	0.105530	1260	
-0.263900	0.399292	8996	
-0.770238	-0.318782	5029	
-0.029039	-0.210160	2633	
-0.810288	-0.123746	1952	
-0.246232	-0.950742	10501	
-0.672008	-0.289397	2586	
0.853602	-0.041518	8446	
-0.406010	0.228621	2516	
-0.551074	-0.468670	2560	
-0.293911	-0.772633	4152	
-0.202556	0.753894	4156	
-0.685583	-0.299707	2566	
-0.338230	-0.450121	2952	
0.876424	0.444865	1954	
-0.469970	0.145398	1287	
-0.265152	0.383643	7686	
0.505497	0.095551	908	
-0.915398	-0.214214	7193	
-0.576523	-0.713490	9498	
0.015493	-0.270315	7259	
-0.291328	0.178877	607	
-0.208435	-0.513159	6845	
0.384541	-0.653789	3399	
0.548216	-0.617847	8859	
-0.147006	-0.592203	7280	
-0.793751	0.169651	6198	
0.328290	0.053322	3883	
-0.723619	0.048959	4648	
0.154063	-0.816015	5516	
-0.692819	0.083180	8484	
-0.327382	-0.380967	645	
0.886933	0.073981	9068	
0.956911	-0.057388	4139	
-0.210874	0.383218	4500	
0.587866	-0.087204	1971	
0.814248	-0.166321	6120	
0.178210	-0.206078	6792	
0.346429	-0.744421	544	
0.837777	0.222985	10081	
0.619270	-0.333327	11032	
0.354139	0.161706	4084	
0.555610	-0.505812	2550	
0.391358	0.596433	10426	
0.140549	0.708127	5143	
0.619757	-0.442567	4588	
0.182335	0.203499	6397	
0.308466	-0.800671	7515	
-0.641073	-0.654505	10065	
0.543516	-0.764457	6754	
0.536349	0.244999	3325	
0.743489	-0.112447	10048	
0.285877	0.186245	4432	
-0.321305	-0.399565	2782	
-0.889557	0.219349	7499	
0.170179	0.766010	7667	
-0.795918	0.074543	8832	
-0.405442	0.543566	1653	
0.278945	-0.084337	8752	
0.551071	0.345000	6172	
-0.136641	-0.458632	5116	
-0.935976	-0.211739	5281	
0.648902	0.444480	9416	
-0.469757	0.310432	6254	
0.339661	-0.617643	6574	
0.573993	-0.070456	357	
-0.064480	0.323542	6275	
0.557832	-0.450065	4492	
0.512662	0.107989	10521	
0.416895	0.666031	6510	
0.234635	-0.731706	2350	
0.205135	-0.697355	3300	
-0.640082	0.238563	8643	
0.630094	-0.697929	1733	
0.120094	0.784408	10204	
-0.380663	0.787795	6820	
-0.484825	0.460149	6908	
0.845625	-0.451798	5986	
0.174842	-0.009865	2969	
0.309687	-0.011809	1621	
0.205158	-0.724572	3309	
0.143479	-0.830138	6435	
0.902048	0.357455	3467	
0.872577	0.452727	1954	
-0.785349	-0.309766	2453	
-0.131616	0.411003	9432	
0.233681	-0.482904	9512	
-0.722330	-0.190163	344	
-0.710490	0.311675	6271	
0.476524	0.335016	10137	
0.516802	-0.048323	347	
0.545411	-0.090967	983	
0.187998	-0.562416	9720	
0.280756	-0.770633	5234	
-0.434202	0.694526	4465	
0.540864	0.070862	2989	
0.576250	-0.413483	672	
-0.175029	0.908956	4969	
0.179929	0.032752	3111	
0.218120	0.886814	1111	
0.375862	0.080285	3911	
-0.546292	0.311313	7239	
-0.224792	0.190149	5477	
-0.676167	-0.298319	2566	
-0.309779	0.252342	6209	
-0.031116	-0.578263	10201	
0.060121	0.151745	4670	
0.400473	-0.873287	430	
-0.564034	0.539804	7962	
-0.379307	0.805783	6671	
0.174734	-0.743139	1977	
