time = 1.002	Re = 1	rotation = -0.0936423
0.282214	0.863336	8411	
0.653982	0.137385	2708	
0.594390	-0.722056	2291	
0.255479	0.116328	10810	
0.724005	0.336724	9252	
0.025092	0.776755	7547	
0.107967	0.428181	10242	
-0.237620	0.714279	1095	
0.122847	0.754113	10627	
0.244277	0.577104	9484	
0.539612	0.515272	2656	
0.210128	0.713371	4200	
0.118263	0.013931	10957	
-0.109941	0.494315	3229	
0.542343	-0.534797	1392	
0.620298	-0.460966	1946	
0.319739	-0.059078	9991	
0.868448	0.251469	10644	
-0.232810	0.915625	2820	
0.848801	-0.373656	7763	
0.031750	0.611817	6957	
0.704397	0.013374	2569	
-0.126604	0.238708	1636	
0.586122	0.179031	3244	
0.252112	0.462696	2913	
0.081311	0.472951	3119	
-0.026632	0.637532	6565	
-0.134265	0.205871	6746	
0.791985	0.365896	5137	
0.101665	-0.048690	2131	
0.083939	-0.083521	4574	
0.197762	0.572967	7929	
0.101905	0.223234	938	
0.775215	0.368868	9139	
0.321910	-0.319870	6561	
-0.344393	0.591642	6499	
0.364332	0.867152	10577	
0.342517	-0.016722	10599	
0.782529	-0.378345	5574	
0.656217	-0.455402	5849	
0.276371	0.640154	8753	
0.322087	0.054463	4035	
0.758866	0.181838	992	
0.745577	0.573094	771	
0.725983	0.631747	8402	
-0.197486	0.508107	4351	
0.145616	0.514463	4964	
0.422449	-0.167756	10629	
0.868042	0.458275	2446	
0.509404	0.418164	10447	
0.317215	-0.040772	7158	
0.546725	0.304594	10397	
0.165473	0.612404	6945	
0.377914	-0.027389	6185	
0.457971	-0.682446	4684	
0.229515	0.278233	6632	
-0.299983	0.889204	512	
0.569506	-0.304262	8133	
0.489755	-0.655162	4591	
0.511548	0.216203	6313	
0.255733	-0.183734	1736	
0.114060	0.819166	10413	
0.750026	-0.375327	9390	
0.689148	-0.462336	6521	
-0.280949	0.923938	582	
0.407745	0.080676	451	
0.200441	-0.189071	1508	
0.311972	-0.439456	5357	
0.813772	0.059259	7502	
0.592120	-0.001555	8329	
0.493840	-0.471802	6774	
0.117383	0.872640	5607	
0.829261	0.501393	2314	
0.274802	0.774911	8806	
0.016226	0.441045	7906	
0.882695	0.402849	2578	
0.480809	-0.352798	6783	
0.098178	0.231602	4456	
0.461807	0.409388	2025	
0.205524	0.552769	5198	
0.311514	0.672821	7404	
0.445909	0.192421	6994	
-0.151538	0.781733	10263	
0.755643	0.578736	453	
0.245236	0.211256	9436	
0.217477	-0.307196	9774	
0.073716	0.876762	6348	
0.617422	0.298233	3109	
0.137590	0.738417	4828	
-0.151345	0.779304	10263	
0.001884	0.967182	8765	
0.170509	0.605856	7323	
-0.131777	0.465059	872	
0.827658	-0.242747	3015	
-0.166859	0.619271	3674	
0.508676	0.651922	6805	
0.569358	-0.420722	4223	
0.628556	0.319717	7061	
0.504567	-0.579892	1078	
-0.094164	0.532824	4198	
0.416401	-0.235637	703	
0.879529	-0.356233	586	
0.329333	0.412605	3845	
0.610173	0.555622	2721	
0.238444	0.048554	8668	
0.803845	0.336768	9033	
0.610877	0.373564	10474	
0.264603	-0.377694	600	
0.429371	0.114695	2773	
0.366419	0.007316	7307	
-0.193552	0.949369	10072	
0.252106	0.335447	8444	
-0.008024	0.669752	8666	
0.506371	-0.002276	10949	
0.556901	-0.112136	5693	
0.010362	0.962333	8196	
-0.071266	0.820379	5798	
0.003771	0.428987	2434	
0.774093	0.248774	7224	
0.668868	-0.589787	7975	
0.102305	0.289369	7473	
0.411131	0.245651	9375	
0.349709	0.292933	691	
0.082497	0.827389	2787	
0.071811	0.779599	677	
0.745481	-0.622895	11014	
0.842128	-0.267768	6386	
0.654647	0.651512	8299	
0.513724	-0.712845	7556	
-0.360672	0.696083	4114	
-0.192846	0.539233	6426	
0.447125	0.225548	10692	
0.811714	0.328829	2312	
0.676846	-0.374624	6504	
0.130455	0.726306	4032	
0.786492	-0.393013	6241	
-0.055825	0.322847	1669	
0.646812	-0.006885	3206	
0.474231	-0.510331	6700	
0.013655	0.199270	8291	
-0.283729	0.775693	4974	
-0.253250	0.550181	4996	
0.388542	0.195309	3033	
0.280152	0.664421	2800	
-0.239502	0.396424	1701	
0.549237	-0.286669	6196	
0.341381	0.892747	10419	
-0.129999	0.988852	4326	
0.443044	-0.684814	5383	
0.913205	0.226961	10091	
0.459959	0.743488	7914	
0.616875	-0.541126	4316	
0.497863	0.071302	7132	
0.195754	0.848907	3972	
0.258926	0.587092	9808	
0.436145	-0.779099	9629	
0.364222	-0.390236	4719	
0.735961	0.398540	8760	
0.262099	0.526193	3032	
0.256429	0.749977	8781	
0.632514	-0.752188	6022	
-0.061232	0.727933	8475	
0.613161	0.602718	9143	
0.520060	-0.107169	1920	
0.709458	0.144704	8219	
0.767036	0.353628	9762	
0.066171	0.769668	812	
0.678494	0.287650	10781	
0.078163	0.612375	7253	
0.162678	0.969591	7417	
0.354195	-0.047370	6063	
0.388712	-0.363851	4655	
0.205968	0.107489	1436	
0.933742	0.055270	10337	
0.045245	0.916870	1158	
-0.060377	0.275789	9086	
0.258680	-0.128932	7540	
0.064212	0.474425	1668	
0.686073	0.381258	1216	
-0.079778	0.822393	5798	
0.035601	0.587615	7079	
0.767257	-0.279040	5531	
0.430725	0.335065	551	
0.489181	-0.570664	670	
0.440146	0.694576	5661	
0.344137	0.608505	5576	
0.159896	0.567746	8615	
0.668938	-0.579716	7559	
-0.299297	0.911410	582	
0.394850	-0.318208	4353	
0.083240	0.247062	4681	
-0.097645	0.830942	5730	
-0.126733	0.217762	7979	
-0.210816	0.792535	4318	
-0.040634	0.844011	9653	
0.413019	0.301502	9349	
0.283404	0.261880	4083	
0.442141	0.583815	8455	
0.706250	-0.113027	8913	
-0.226284	0.691068	1811	
0.752365	-0.035344	5427	
0.624962	0.069058	7007	
0.750712	-0.412104	2063	
0.089164	0.912527	10184	
-0.323998	0.879994	5526	
0.192027	0.221585	913	
0.736758	0.166257	7767	
0.246116	0.053210	8668	
0.163082	0.545968	6591	
0.828185	0.405711	9055	
0.736489	0.304651	1584	
0.713653	0.431848	1451	
0.388070	0.029811	3251	
0.317583	0.497050	2318	
0.262205	0.276794	5884	
-0.108798	0.362257	10722	
0.574585	-0.766742	9197	
0.468599	-0.643349	2471	
0.543498	-0.256045	3993	
0.373136	0.477438	2909	
0.100402	0.261017	7136	
0.312501	-0.186047	7530	
0.681062	0.092046	3676	
0.338696	0.268691	930	
0.716525	-0.334949	5222	
0.684226	-0.336808	6881	
0.573765	0.433542	9471	
0.346015	0.566585	2629	
-0.325505	0.882325	5526	
0.782606	-0.046846	9920	
-0.167758	0.858157	386	
0.373585	0.017164	7786	
0.124115	0.951358	728	
0.574903	0.215708	10568	
0.660892	0.068569	7856	
0.408993	0.596500	770	
0.819091	0.186766	5881	
-0.273422	0.930647	4916	
0.161816	0.969934	7417	
0.812150	-0.109502	1346	
0.352553	-0.312940	9616	
-0.225156	0.486204	5204	
0.380804	-0.617887	10888	
-0.119071	0.776815	10203	
0.230132	-0.008199	4498	
0.168738	0.313649	8539	
-0.071289	0.184613	4848	
-0.112751	0.556937	4226	
-0.190627	0.796705	1934	
0.376926	-0.727631	4862	
0.652477	0.132175	2609	
0.419268	0.231481	11042	
0.429927	-0.820292	5925	
0.455046	0.203895	372	
0.551455	-0.727828	6593	
-0.249169	0.679319	1811	
0.472758	0.030132	9542	
0.166328	-0.189787	6770	
0.434504	0.557854	7163	
0.480368	-0.123314	2881	
-0.006157	0.507516	6984	
0.585897	0.142915	2977	
0.721910	0.635500	8402	
-0.017386	0.780737	5772	
0.526975	0.715631	9516	
0.743579	-0.018680	4157	
0.695524	-0.112041	7827	
0.332200	-0.890172	8879	
0.106914	0.098780	5354	
0.338969	-0.086954	607	
-0.318600	0.759856	4912	
0.039765	0.533867	6955	
0.579417	-0.099762	6511	
0.150694	-0.086089	9439	
0.664093	-0.415428	5829	
0.648670	-0.596952	7518	
0.696461	0.624426	8814	
-0.180176	0.838663	853	
0.537323	0.252185	7123	
0.798214	-0.140984	9520	
0.786023	-0.477546	6311	
0.152414	0.128957	3572	
-0.271216	0.656001	7966	
0.618995	-0.248901	1257	
0.270851	0.714343	6681	
0.418288	0.462527	1825	
-0.073514	0.399252	470	
-0.030593	0.685970	9581	
0.822043	0.208701	8375	
0.111407	0.960606	5888	
0.699514	-0.593339	10639	
0.693012	0.103173	6076	
0.484438	0.481032	8625	
0.052638	0.886103	6650	
-0.160486	0.339085	5554	
0.145162	0.187198	8137	
0.529593	0.748949	10219	
0.618571	0.368606	10709	
0.480143	-0.394703	6113	
0.521904	0.198301	7268	
-0.191525	0.417390	4819	
0.539986	-0.792868	5051	
0.046873	0.856283	6294	
0.601102	-0.131290	7692	
0.508773	-0.833676	6159	
-0.357549	0.776305	7909	
0.422095	0.685777	10667	
0.448703	0.388975	9424	
0.259383	0.413808	2926	
0.692446	0.123091	6578	
0.607372	0.295530	3109	
0.366699	-0.398284	4719	
0.273911	-0.244748	1294	
0.662254	0.100408	3676	
0.478850	0.653531	2394	
0.467366	-0.494314	4799	
0.319868	-0.353574	2258	
0.645747	-0.618747	6342	
0.306200	0.670425	5841	
0.314778	-0.168833	1219	
0.488407	0.632582	8582	
0.738670	0.450711	8033	
0.379430	-0.800297	7944	
0.098775	0.786481	1639	
0.506633	0.442699	3274	
0.325903	0.932364	4075	
0.572285	0.189668	4872	
0.752697	0.098020	9946	
-0.082485	0.387982	1498	
-0.338068	0.692832	2993	
0.748155	0.376596	1620	
-0.037872	0.267638	8309	
0.044308	0.344913	7069	
0.293315	0.401538	3233	
0.531995	-0.375646	1653	
0.332106	0.752902	5736	
0.067493	0.541783	4441	
0.262634	0.811216	3792	
-0.143454	0.608548	1419	
0.451719	-0.185262	3102	
0.135209	0.134292	10515	
0.595413	-0.238360	1011	
0.430442	0.630881	2204	
0.240455	-0.259294	2605	
0.739464	-0.362299	9390	
0.124748	-0.029794	1880	
-0.061951	0.834494	5798	
0.622622	0.318453	7061	
0.128276	0.266852	5182	
-0.106566	0.506483	3209	
0.206898	-0.134062	5445	
0.554238	0.512124	1629	
0.387348	0.412955	7001	
0.414128	-0.676911	2382	
0.311947	0.701581	8441	
-0.077237	0.956341	6376	
0.886336	-0.197739	9707	
0.720124	0.052473	2331	
0.546424	0.520503	1521	
0.890652	-0.164514	6000	
0.124703	0.107708	5173	
0.914230	0.045841	10694	
-0.055723	0.515423	863	
0.927568	0.306690	1302	
0.455185	0.044206	7016	
0.566220	0.694793	7831	
0.724572	0.657405	4783	
0.675319	-0.289074	2549	
0.369607	0.749854	8517	
