time = 5.002	Re = 1	rotation = -3.16813e-06
-0.272164	-0.867298	6597	
-0.077010	-0.716572	418	
-0.523666	0.774590	585	
0.402184	-0.046957	3579	
-0.305354	-0.725681	10264	
0.581682	-0.506795	5458	
-0.046595	0.287682	4167	
0.758173	-0.100101	8221	
0.563542	-0.511793	5458	
0.346636	0.176027	10618	
0.301697	-0.684405	2102	
0.582244	-0.458439	3327	
0.176349	-0.096185	1206	
0.074553	0.406480	4816	
-0.751355	-0.143950	1522	
-0.757208	-0.166937	4110	
0.471033	-0.343620	7936	
-0.839503	-0.334264	10220	
0.107511	-0.938762	9585	
-0.816955	0.435086	6669	
0.301147	0.268178	10153	
-0.361779	-0.628299	10212	
-0.338312	0.288515	6714	
0.257155	-0.657130	4242	
0.127412	0.210577	6247	
0.009924	0.316306	3602	
0.375177	0.254466	7171	
-0.362983	0.260826	367	
-0.653502	-0.561102	10045	
0.113993	-0.082294	5072	
0.125968	-0.093388	4028	
0.279479	0.212610	6475	
-0.007230	0.139474	5837	
-0.586881	-0.608233	10975	
0.082042	-0.514731	3616	
0.525584	0.276913	2507	
-0.468080	-0.815771	869	
0.499769	-0.328316	9975	
-0.840758	0.221419	10593	
-0.830175	-0.052452	5290	
0.721439	-0.065015	363	
0.553845	-0.174912	3036	
-0.468261	-0.630025	6648	
-0.788644	-0.503935	1476	
-0.830093	-0.483994	9316	
0.170079	0.422021	5869	
0.115804	0.277395	9088	
0.177607	-0.564056	4089	
-0.955872	-0.223919	2357	
0.555070	0.049804	8328	
0.490527	-0.315575	8091	
0.659270	-0.111272	5043	
0.360729	0.196889	10373	
0.454013	-0.411885	5646	
-0.722886	0.366178	9804	
0.149146	0.043465	5382	
0.202130	-0.916562	7479	
-0.375160	-0.507156	7955	
-0.743574	0.312486	10395	
0.581254	-0.324424	7856	
0.373613	-0.377834	1920	
0.271351	-0.785604	6399	
-0.856231	0.075361	5092	
-0.829042	0.137945	9770	
0.077717	-0.962714	5088	
0.549183	-0.308695	8899	
0.387909	-0.313690	7885	
-0.150586	-0.480493	3988	
-0.679666	-0.447352	5939	
-0.012256	-0.675228	5389	
-0.510833	-0.358063	9141	
0.017245	-0.882072	9633	
-0.912539	-0.323433	572	
0.111460	-0.821255	4472	
-0.060995	0.343625	10652	
-0.947472	-0.211456	3872	
-0.266577	-0.518374	4951	
-0.041545	0.146755	3677	
0.438016	0.070762	1107	
0.238160	0.221109	7179	
0.497360	-0.562361	791	
0.621306	-0.142777	5123	
0.625619	-0.477190	9920	
-0.825388	-0.468105	10606	
0.227803	0.004787	1496	
0.222135	-0.432113	703	
0.066301	-0.879025	9377	
0.360709	-0.622040	6923	
0.604663	-0.432659	5009	
0.632472	-0.462431	9326	
-0.213772	-0.943300	8879	
0.345234	0.200782	3257	
0.023765	0.422252	5520	
-0.883105	0.032309	10136	
0.398405	0.294006	2043	
-0.186231	-0.807403	5629	
-0.565230	-0.349965	9079	
0.347222	-0.634259	7581	
-0.799044	-0.061303	1397	
0.151126	0.381635	3512	
0.077018	-0.566285	6317	
-0.811276	0.490581	10394	
0.188329	0.137738	4129	
-0.238933	-0.776664	4011	
0.479721	-0.109236	1514	
-0.676391	-0.535470	5254	
0.663321	-0.128237	5911	
0.041813	-0.486989	5098	
0.564742	-0.296969	4894	
0.507067	-0.340563	9975	
-0.024625	-0.968732	6159	
0.109717	0.126727	5256	
0.474842	0.197659	6913	
0.236531	-0.610506	1653	
-0.054216	-0.639449	3802	
-0.204972	-0.940467	10505	
0.466836	-0.678312	6874	
-0.082895	0.345952	6719	
-0.524912	-0.616942	2676	
-0.720376	0.519925	7119	
-0.110898	0.187703	3169	
0.524589	-0.024126	7727	
0.316200	0.049691	9066	
0.283384	-0.785335	5826	
0.523377	-0.581326	4289	
-0.579495	0.779679	7743	
-0.872830	0.166761	9068	
-0.673942	-0.625799	10116	
-0.627333	0.611364	3864	
0.740982	-0.219888	7753	
0.235100	0.394527	4910	
0.627930	-0.073707	6944	
-0.699664	-0.513604	5388	
-0.728482	-0.232680	8359	
0.652075	-0.309605	2791	
-0.831317	0.277149	7509	
-0.240429	0.312697	6851	
-0.192732	-0.666227	5757	
-0.551489	-0.312614	6452	
-0.178841	0.156260	7752	
0.616672	-0.540318	1390	
0.318793	0.379162	3208	
0.566892	-0.055575	2133	
0.622596	-0.350382	5261	
-0.031454	0.474832	623	
-0.300329	-0.540205	7279	
-0.496699	-0.816624	3814	
-0.187657	-0.979675	7199	
-0.726065	0.343456	1924	
-0.933793	-0.146563	10282	
-0.330241	-0.810469	854	
-0.800487	0.186067	8095	
0.369931	-0.555495	1257	
-0.025940	-0.873203	7632	
0.403456	0.154668	4836	
-0.513742	0.729434	7901	
-0.125407	-0.512335	3200	
-0.427042	-0.696187	6630	
0.241808	0.194575	6353	
0.285276	-0.748966	5849	
-0.405215	0.895485	1434	
0.761980	-0.048543	8755	
-0.412358	-0.744626	6549	
0.050044	-0.630105	3517	
-0.291493	-0.687953	9710	
-0.537257	-0.634615	3692	
0.571243	-0.513441	5458	
-0.048434	-0.748117	3060	
0.309934	0.246796	6072	
-0.420722	-0.888618	8851	
0.455860	-0.390838	8307	
-0.112863	-0.527659	5151	
0.353945	-0.046433	10207	
-0.941418	0.033923	7194	
-0.068297	-0.915988	1184	
-0.284100	0.272649	8969	
0.431563	-0.326941	3338	
0.007264	0.325689	5368	
-0.062309	-0.761705	3060	
0.462121	-0.684996	6874	
0.241784	0.291865	7423	
-0.813345	-0.163751	8551	
