time = 7.102	Re = 1	rotation = 1.09465
-0.020861	-0.908057	8780	
-0.239713	-0.677941	683	
-0.779480	0.525234	1803	
0.284289	-0.250148	4072	
-0.355808	-0.702553	1364	
0.497953	-0.595592	7753	
0.177581	0.229460	4561	
0.685845	-0.274967	894	
0.459561	-0.606545	10686	
0.434789	-0.084614	8076	
0.165953	-0.720730	3375	
0.454366	-0.584430	9700	
0.079446	-0.152902	3820	
0.329243	0.269354	4950	
-0.755746	0.009602	6839	
-0.770238	-0.046454	6659	
0.209360	-0.505974	2298	
-0.726465	-0.540666	5177	
0.460264	-0.824738	650	
-0.918415	0.104405	10924	
0.447980	0.020605	9714	
-0.493985	-0.536058	664	
-0.068983	0.396621	8864	
0.064141	-0.693325	729	
0.267938	0.069253	9693	
0.237800	0.220347	8242	
0.500188	-0.025001	8508	
-0.102372	0.386200	2055	
-0.573883	-0.644532	7422	
0.043490	-0.123428	1988	
0.042507	-0.135484	3448	
0.400950	-0.017121	3257	
0.099882	0.099053	10855	
-0.532649	-0.658346	6436	
-0.214971	-0.469967	3942	
0.624583	-0.011099	9484	
-0.125132	-0.931981	1734	
0.247880	-0.505268	3650	
-0.855462	0.066547	7578	
-0.807540	-0.029045	8805	
0.636865	-0.400789	4676	
0.329447	-0.416863	7355	
-0.517257	-0.594252	4047	
-0.552238	-0.756151	9195	
-0.530831	-0.801126	5051	
0.408789	0.239411	8747	
0.300384	0.127229	1134	
-0.106436	-0.571990	6809	
-0.711121	-0.677060	10075	
0.512299	-0.287087	926	
0.234097	-0.492350	7682	
0.489571	-0.432639	1470	
0.458527	-0.074165	3136	
0.196799	-0.551403	7936	
-0.748297	0.353626	2722	
0.170323	-0.036568	7353	
0.521593	-0.780161	10293	
-0.559678	-0.318789	4822	
-0.755244	0.304863	8551	
0.379023	-0.524329	4415	
0.088440	-0.491409	4919	
0.292099	-0.773699	1511	
-0.833968	0.001296	5507	
-0.810804	0.091648	562	
0.506083	-0.822528	8869	
0.319650	-0.507717	1972	
0.111773	-0.444086	6713	
-0.406450	-0.317534	5796	
-0.686977	-0.445273	1974	
-0.229483	-0.632551	603	
-0.637817	-0.109429	5891	
0.183963	-0.861113	5210	
-0.658803	-0.709777	6387	
0.135292	-0.814143	10404	
0.194700	0.286433	7508	
-0.736618	-0.632647	8583	
-0.490795	-0.336927	9228	
0.082034	0.125505	7807	
0.434231	-0.210308	3878	
0.371118	0.013548	7285	
0.369048	-0.644596	4307	
0.426058	-0.430331	9876	
0.584877	-0.556393	9359	
-0.566304	-0.761776	9501	
0.212073	-0.112453	10704	
-0.077854	-0.462009	4638	
0.227921	-0.849601	5162	
0.184596	-0.683207	10280	
0.487316	-0.568001	3639	
