Time	U_x	U_y	P	Max.Res.	Omega_1(Wall)
0	0	0	0	0	1
0.0001	4.785257709e-07	-7.938624381e-07	0.0004481552182	1	1
0.0002	7.365938473e-06	-9.243104352e-06	0.009855408656	28.90066254	1
0.0003	1.607968174e-05	-1.641640054e-05	0.02505901018	86.95354418	1
0.0004	1.894032455e-05	-1.720762938e-05	0.03245571878	13.997829	1
0.0005	1.525641314e-05	-1.242569174e-05	0.02816995121	64.11226696	1
0.0006	6.829598846e-06	-3.751901866e-06	0.01304486678	39.94410738	1
0.0007	-4.085730754e-06	6.824879752e-06	-0.009498911707	27.29820755	1
0.0008	-1.569480721e-05	1.780841902e-05	-0.03525463779	52.52096311	1
0.0009	-2.683345257e-05	2.822962247e-05	-0.06028090103	26.28277143	1
0.001	-3.688139332e-05	3.757359795e-05	-0.08156547768	16.85892268	1
0.0011	-4.558957737e-05	4.563136753e-05	-0.0972764125	24.05830061	1
0.0012	-5.291829101e-05	5.236907032e-05	-0.106718634	6.321904528	1
0.0013	-5.89182434e-05	5.783069301e-05	-0.110107083	3.436574616	1
0.0014	-6.365981284e-05	6.20796978e-05	-0.108265956	2.535346122	1
0.0015	-6.72016558e-05	6.517238583e-05	-0.1023332751	2.8153248	1
0.0016	-6.958577002e-05	6.715316867e-05	-0.09351901041	3.581444029	1
0.0017	-7.084671564e-05	6.806192472e-05	-0.08293705064	2.316815527	1
0.0018	-7.102549996e-05	6.794560263e-05	-0.07151107227	1.295639298	1
0.0019	-7.018195948e-05	6.686875929e-05	-0.05994197562	4.297705801	1
0.002	-6.840243436e-05	6.492011291e-05	-0.04871901844	1.764337814	1
0.0021	-6.580181123e-05	6.221415575e-05	-0.03815633915	2.410046886	1
0.0022	-6.252049246e-05	5.888820716e-05	-0.0284392922	2.267466355	1
0.0023	-5.871763818e-05	5.509605215e-05	-0.01966923094	1.250537682	1
0.0024	-5.456228992e-05	5.099960878e-05	-0.01189985807	4.430231078	1
0.0025	-5.022388441e-05	4.676001694e-05	-0.005162199834	1.156893893	1
0.0026	-4.586336857e-05	4.252929403e-05	0.0005217584973	1.31079446	1
0.0027	-4.16257519e-05	3.844336354e-05	0.005134822726	2.881523448	1
0.0028	-3.763455563e-05	3.46169054e-05	0.008666846657	2.341285442	1
0.0029	-3.398830655e-05	3.114018004e-05	0.01112044525	3.2797812	1
0.003	-3.075898306e-05	2.807773699e-05	0.01251748359	4.066687353	1
0.0031	-2.810710273e-05	2.556897369e-05	0.01290449772	6.476101941	1
0.0032	-2.583825537e-05	2.344901164e-05	0.01267143523	9.951840443	1
0.0033	-2.390743075e-05	2.16767981e-05	0.01192205019	1.15307494	1
0.0034	-2.242822815e-05	2.03224931e-05	0.01027735365	1.434567273	1
0.0035	-2.150322394e-05	1.945506704e-05	0.007471089145	1.544070452	1
0.0036	-2.095823065e-05	1.894766468e-05	0.004074657693	1.077625736	1
0.0037	-2.073678276e-05	1.875188245e-05	0.0003012864686	2.813987521	1
0.0038	-2.078108278e-05	1.880766901e-05	-0.003602902438	6.385508625	1
0.0039	-2.103059845e-05	1.905604673e-05	-0.007412833642	2.090662026	1
0.004	-2.142398344e-05	1.943687049e-05	-0.01095251927	1.184121428	1
0.0041	-2.169207168e-05	1.973378442e-05	-0.01348496494	3.72632156	1
0.0042	-2.175608608e-05	1.987075849e-05	-0.01496940369	6.608769621	1
0.0043	-2.185552263e-05	2.001220922e-05	-0.01625726105	2.58774916	1
0.0044	-2.195533329e-05	2.012734903e-05	-0.0172882	2.220662476	1
0.0045	-2.204735159e-05	2.021556279e-05	-0.01810164718	3.455057441	1
0.0046	-2.212453792e-05	2.027227177e-05	-0.01873966059	5.029473593	1
0.0047	-2.219501739e-05	2.030418578e-05	-0.01928633586	2.204188766	1
0.0048	-2.224491316e-05	2.030320947e-05	-0.01975181451	2.643768898	1
0.0049	-2.226248231e-05	2.026466005e-05	-0.02013664827	3.070166548	1
0.005	-2.224580836e-05	2.018923118e-05	-0.02046133096	4.042135538	1
0.0051	-2.219490762e-05	2.007851613e-05	-0.02074444816	3.682633323	1
0.0052	-2.211070575e-05	1.993503812e-05	-0.02099653848	6.158791762	1
0.0053	-2.198397207e-05	1.974870029e-05	-0.02125336673	3.729808789	1
0.0054	-2.180791648e-05	1.95154107e-05	-0.02151499272	3.353207751	1
0.0055	-2.158430564e-05	1.923880549e-05	-0.0217710624	2.345586736	1
0.0056	-2.131930654e-05	1.892587621e-05	-0.02201340767	12.94940996	1
0.0057	-2.101625582e-05	1.858044058e-05	-0.02224079917	6.077732305	1
0.0058	-2.068176073e-05	1.820961133e-05	-0.02244724266	2.639297423	1
0.0059	-2.032022776e-05	1.781795451e-05	-0.0226304473	2.92185187	1
0.006	-1.993789467e-05	1.741172151e-05	-0.0227868673	2.27511793	1
0.0061	-1.953770935e-05	1.699395223e-05	-0.02291703663	1.753493816	1
0.0062	-1.912593248e-05	1.657052998e-05	-0.02301961841	3.198668909	1
0.0063	-1.870521679e-05	1.614400391e-05	-0.02309708524	2.8423758	1
0.0064	-1.828142964e-05	1.571952717e-05	-0.02315081187	2.581652712	1
0.0065	-1.785661156e-05	1.529897061e-05	-0.02318481834	1.737794427	1
0.0066	-1.743402499e-05	1.488507703e-05	-0.02320270778	2.160910115	1
0.0067	-1.701484588e-05	1.447883947e-05	-0.02320860517	1.687522281	1
0.0068	-1.659824687e-05	1.407968541e-05	-0.0232065011	0.6477830454	1
0.0069	-1.618479721e-05	1.368783948e-05	-0.02320004261	1.365381028	1
0.007	-1.577791211e-05	1.330543115e-05	-0.02319287064	4.233834404	1
0.0071	-1.538070823e-05	1.29345568e-05	-0.02318848591	2.285528574	1
0.0072	-1.499345848e-05	1.257556917e-05	-0.02319037169	1.344401014	1
0.0073	-1.461841047e-05	1.222971454e-05	-0.0232014646	1.29696424	1
0.0074	-1.425637528e-05	1.189752134e-05	-0.02322398546	1.261696162	1
0.0075	-1.390713662e-05	1.15789262e-05	-0.02326053304	0.6325326155	1
0.0076	-1.357117901e-05	1.127396522e-05	-0.02331300094	0.6800394659	1
0.0077	-1.324882363e-05	1.098263698e-05	-0.02338263939	1.353079448	1
0.0078	-1.294026097e-05	1.070486833e-05	-0.02347012057	0.4319740743	1
0.0079	-1.264556632e-05	1.044050413e-05	-0.02357558604	0.5399029812	1
0.008	-1.236471063e-05	1.01893212e-05	-0.02369868793	0.4554474737	1
0.0081	-1.209757004e-05	9.95103635e-06	-0.02383863159	0.9255731343	1
0.0082	-1.1844175e-05	9.725874002e-06	-0.02399880078	36.30240501	1
0.0083	-1.160452006e-05	9.513550682e-06	-0.02417926574	1.222826562	1
0.0084	-1.13780085e-05	9.313043203e-06	-0.02437378107	2.470111753	1
0.0085	-1.116617892e-05	9.126755808e-06	-0.02460013582	0.8011802548	1
0.0086	-1.097185406e-05	8.957692744e-06	-0.02488365045	0.6951017256	1
0.0087	-1.079369289e-05	8.802897334e-06	-0.02520752131	0.5522491547	1
0.0088	-1.063085502e-05	8.661524337e-06	-0.02556437429	0.6981069342	1
0.0089	-1.048440869e-05	8.53488059e-06	-0.02596385952	0.8695563097	1
0.009	-1.035234055e-05	8.420468826e-06	-0.0263859993	1.777230313	1
0.0091	-1.023553913e-05	8.319575402e-06	-0.02683989393	1.189856023	1
0.0092	-1.013392403e-05	8.231935604e-06	-0.02732471093	0.4855430935	1
0.0093	-1.004717554e-05	8.157248079e-06	-0.02783915808	0.7449522712	1
0.0094	-9.976373327e-06	8.09658764e-06	-0.02839503679	0.4274975283	1
0.0095	-9.924476369e-06	8.052640091e-06	-0.02901958982	0.5057959778	1
0.0096	-9.88806994e-06	8.021839945e-06	-0.02968311121	0.9052001977	1
0.0097	-9.868009826e-06	8.005274786e-06	-0.03039704728	2.372420913	1
0.0098	-9.863981034e-06	8.002498631e-06	-0.03115725021	0.6905428611	1
0.0099	-9.875758555e-06	8.013336762e-06	-0.03195813159	0.597279098	1
0.01	-9.903250623e-06	8.037728206e-06	-0.03279275486	1.142500821	1
0.0101	-9.944704154e-06	8.07423075e-06	-0.03363752823	1.621769613	1
0.0102	-9.999991711e-06	8.122932556e-06	-0.03448425765	2.524351144	1
0.0103	-1.006913104e-05	8.183946234e-06	-0.03532455155	1.089131585	1
0.0104	-1.015032935e-05	8.255896596e-06	-0.03613580555	0.8884368445	1
0.0105	-1.024519253e-05	8.340341158e-06	-0.03692523535	0.7742710047	1
0.0106	-1.035018665e-05	8.434327042e-06	-0.03765977209	0.5729330869	1
0.0107	-1.0464872e-05	8.537731807e-06	-0.03833693719	0.4383194271	1
0.0108	-1.058905857e-05	8.650386995e-06	-0.03895562931	0.3196821402	1
0.0109	-1.072258784e-05	8.772184214e-06	-0.03951600911	0.4318127636	1
0.011	-1.08633797e-05	8.901265531e-06	-0.04000994957	0.5199312225	1
0.0111	-1.101089807e-05	9.037206384e-06	-0.04044179796	0.9456934423	1
0.0112	-1.116663263e-05	9.181333198e-06	-0.040824414	0.3888466597	1
0.0113	-1.132852712e-05	9.331551243e-06	-0.04115464483	0.5329291609	1
