time = 250	Re = 1	rotation = 39.7886
-0.909238	-0.058813	10931	
0.584424	0.340004	2984	
-0.356771	-0.864458	9167	
0.057302	0.114736	6327	
0.558249	0.592300	5784	
0.780099	0.092194	4425	
-0.397424	-0.228687	880	
-0.677092	-0.283315	10659	
-0.361641	-0.665848	8470	
-0.549595	-0.327435	3474	
0.758507	-0.138982	2453	
0.541053	0.511497	7128	
0.113412	0.074231	4827	
-0.436513	-0.178388	10832	
-0.571026	-0.470471	8898	
-0.111518	0.748616	8973	
-0.152383	0.080557	859	
-0.542495	0.729460	8880	
-0.196995	0.922094	9044	
-0.683257	-0.626481	9333	
0.534372	-0.352795	8139	
-0.587781	0.424930	11196	
0.045178	0.055338	3851	
-0.620869	0.251386	10961	
-0.433018	-0.333876	8995	
0.057682	0.463752	8604	
0.657543	-0.170248	9328	
-0.000342	-0.879179	8663	
0.318200	-0.020176	1232	
-0.662175	0.110382	9471	
-0.109219	0.209505	5322	
-0.837739	0.252153	9066	
0.402379	-0.187555	6133	
-0.677799	0.049497	7681	
0.666549	0.661877	10672	
-0.408690	0.186028	4968	
-0.387114	0.776788	9128	
0.049113	0.786560	4522	
-0.699679	-0.166620	7458	
0.274301	-0.240086	6078	
0.037718	0.781171	478	
0.938842	0.016018	7859	
-0.913144	0.306483	2102	
0.539817	-0.183624	7629	
-0.544230	0.277468	10193	
0.454372	0.115964	7829	
0.014788	-0.982304	8551	
0.406286	0.528301	4083	
-0.294988	0.136706	10806	
0.085134	0.614944	6835	
0.058962	-0.629460	764	
-0.507436	0.046112	8347	
-0.439585	-0.673368	9430	
0.517905	-0.050668	9718	
0.457678	0.816509	802	
-0.177507	-0.588395	9315	
-0.703194	-0.392501	6391	
-0.296548	0.480858	4010	
-0.082578	0.109848	2619	
-0.718137	-0.410812	7499	
-0.803478	-0.247697	7167	
0.098783	0.817973	5615	
-0.377309	-0.888527	8259	
0.377948	0.213849	7359	
0.303440	-0.021211	10230	
0.135761	0.335453	4866	
0.637893	0.508054	3807	
0.480695	0.347618	4315	
-0.410475	-0.488235	3235	
0.728663	-0.499841	1790	
-0.927395	-0.283360	8320	
-0.832299	0.081473	7718	
0.547999	-0.062461	8615	
-0.892103	-0.385852	626	
-0.330246	0.450661	1036	
-0.100553	0.235710	7652	
-0.472027	0.450137	2527	
-0.387080	-0.444961	10108	
0.591778	0.454549	9474	
0.553672	0.060800	2254	
-0.503454	0.602529	4242	
0.064138	0.948884	9500	
0.165335	-0.302344	10861	
0.631020	-0.613474	7679	
0.711380	-0.164753	9724	
-0.070664	0.742490	1287	
-0.257677	0.734408	9688	
-0.405544	-0.879173	5725	
-0.675230	-0.010767	8826	
0.375026	0.192351	8258	
0.155136	0.847391	7714	
-0.168964	-0.559904	9668	
-0.828157	-0.104346	6760	
-0.683445	0.233944	8238	
0.348805	-0.624561	7647	
0.165343	-0.725231	9540	
-0.323379	0.401194	693	
-0.349491	0.315346	9460	
0.913164	0.262306	2056	
0.117008	-0.527423	4027	
0.149564	0.799810	6885	
0.015207	0.235859	5852	
0.041285	-0.879131	6404	
0.478388	0.536271	6122	
0.460779	-0.555270	7839	
-0.541759	-0.000578	5886	
-0.298312	-0.209820	4389	
-0.083115	-0.965722	5698	
0.084696	0.418570	5694	
-0.217795	-0.612700	344	
-0.590693	0.102287	1640	
0.397065	0.384730	6611	
-0.814772	-0.512776	10072	
-0.390794	0.715831	8191	
-0.274311	0.332496	1488	
-0.481038	0.672496	5070	
0.090886	-0.883525	7940	
-0.472631	0.142196	6855	
0.466631	0.215064	5215	
0.538338	0.069401	2804	
-0.407504	-0.719717	4023	
0.040094	0.775064	4522	
-0.768238	0.596961	6110	
-0.269390	-0.839730	10428	
-0.238681	-0.890057	1800	
-0.590773	0.645605	9612	
-0.076195	-0.752885	6346	
-0.376902	0.370796	11146	
0.134225	0.478730	4148	
0.411677	-0.781584	6666	
-0.763059	0.194667	1163	
0.383481	-0.632480	7259	
-0.810860	-0.339625	6184	
0.323396	-0.008286	1784	
0.365241	-0.538276	2986	
-0.030693	0.649790	9448	
-0.107085	0.249165	7017	
-0.154024	0.795952	2449	
-0.250003	0.464051	6075	
-0.323920	0.348670	5853	
-0.477806	0.554860	7194	
0.372633	0.452879	7200	
-0.955288	-0.221168	4977	
-0.850150	0.440560	11219	
0.508378	0.855442	10788	
-0.724294	0.367374	5344	
0.934152	0.129241	9238	
-0.063362	-0.872282	5632	
0.361517	-0.726324	7090	
-0.188300	-0.453310	3175	
-0.277979	-0.824847	7536	
-0.051085	0.640438	629	
-0.354242	-0.812602	6267	
0.488684	0.040907	6169	
0.559470	-0.633993	9191	
-0.209294	-0.547253	9885	
-0.504289	-0.609902	3717	
0.458118	-0.223132	7447	
-0.930861	-0.317435	3647	
0.501120	0.508121	4463	
0.026143	0.854885	1571	
-0.442567	-0.280837	8294	
