Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_x	Time: 1.7100	Mesh (Number of cells): 259
0.7777365992 	 -0.1039812750 	 0.0767982595 	 0.0767982339 	 129
-0.7777365992 	 0.1039812750 	 -0.0767982597 	 -0.0767982342 	 130
0.8998733124 	 0.0197918233 	 -0.0106683041 	 -0.0106683404 	 131
-0.8998733124 	 -0.0197918233 	 0.0106683032 	 0.0106683396 	 132
-0.4250648166 	 0.7238791480 	 -0.5707821185 	 -0.5707824159 	 133
0.4250648166 	 -0.7238791480 	 0.5707820829 	 0.5707823805 	 134
0.1879697739 	 0.8442834143 	 -0.7635264771 	 -0.7635270873 	 135
-0.1879697739 	 -0.8442834143 	 0.7635264757 	 0.7635270858 	 136
-0.1879697734 	 0.8442834146 	 -0.7665491142 	 -0.7665497506 	 137
0.1879697734 	 -0.8442834146 	 0.7665490847 	 0.7665497212 	 138
0.0642641004 	 0.9258347050 	 -0.9608131358 	 -0.9608137042 	 139
-0.0642641004 	 -0.9258347050 	 0.9608131528 	 0.9608137211 	 140
-0.0642641002 	 0.9258347052 	 -0.9639700975 	 -0.9639706702 	 141
0.0642641002 	 -0.9258347052 	 0.9639701122 	 0.9639706847 	 142
0.8701983130 	 -0.2521139310 	 0.2238978182 	 0.2238978203 	 143
-0.8701983130 	 0.2521139310 	 -0.2238978176 	 -0.2238978197 	 144
-0.1362810234 	 0.1927668046 	 0.0174264042 	 0.0174264330 	 145
0.1362810234 	 -0.1927668046 	 -0.0174263748 	 -0.0174264038 	 146
-0.1398748117 	 -0.1897558548 	 -0.0183132943 	 -0.0183133099 	 147
0.1398748117 	 0.1897558548 	 0.0183132550 	 0.0183132707 	 148
-0.6184490227 	 -0.5533685875 	 0.4201333265 	 0.4201334584 	 149
0.6184490227 	 0.5533685875 	 -0.4201333195 	 -0.4201334515 	 150
-0.0757594535 	 0.7586547495 	 -0.5191099950 	 -0.5191107772 	 151
0.0757594535 	 -0.7586547495 	 0.5191099356 	 0.5191107181 	 152
0.0757594536 	 0.7586547495 	 -0.5194809558 	 -0.5194817264 	 153
-0.0757594536 	 -0.7586547495 	 0.5194808972 	 0.5194816680 	 154
-0.2994071195 	 0.6229800330 	 -0.2932763034 	 -0.2932767024 	 155
0.2994071195 	 -0.6229800330 	 0.2932762463 	 0.2932766456 	 156
-0.1148257331 	 0.5586033123 	 0.0082696362 	 0.0082696293 	 157
0.1148257331 	 -0.5586033123 	 -0.0082696384 	 -0.0082696315 	 158
0.1147990974 	 0.5584342227 	 0.0104747470 	 0.0104747456 	 159
-0.1147990974 	 -0.5584342227 	 -0.0104747482 	 -0.0104747468 	 160
0.2486844576 	 -0.1993689078 	 -0.0200369863 	 -0.0200369823 	 161
-0.2486844576 	 0.1993689078 	 0.0200370389 	 0.0200370346 	 162
-0.2526740709 	 -0.1899222962 	 -0.0177949063 	 -0.0177948679 	 163
0.2526740709 	 0.1899222962 	 0.0177948404 	 0.0177948023 	 164
0.8081309021 	 0.1552331082 	 -0.1127128356 	 -0.1127128367 	 165
-0.8081309021 	 -0.1552331082 	 0.1127128328 	 0.1127128339 	 166
0.4215789458 	 0.7319939205 	 -0.5774149409 	 -0.5774152312 	 167
-0.4215789458 	 -0.7319939205 	 0.5774149642 	 0.5774152544 	 168
0.7641154881 	 0.4966567190 	 -0.4351752099 	 -0.4351752017 	 169
-0.7641154881 	 -0.4966567190 	 0.4351752127 	 0.4351752045 	 170
0.7538979330 	 -0.3532009735 	 0.2750519224 	 0.2750519466 	 171
-0.7538979330 	 0.3532009734 	 -0.2750519246 	 -0.2750519489 	 172
-0.1111568567 	 -0.3104721436 	 0.0023023494 	 0.0023023646 	 173
0.1111568567 	 0.3104721436 	 -0.0023023570 	 -0.0023023722 	 174
0.1093676696 	 -0.3168123411 	 0.0044597829 	 0.0044597984 	 175
-0.1093676696 	 0.3168123411 	 -0.0044597779 	 -0.0044597935 	 176
