time = 5.001	Re = 1	rotation = 4.40096e-10
-0.115970	0.907585	3392	
-0.546010	-0.368294	1678	
0.918250	-0.180149	2740	
0.026755	-0.275914	2527	
0.776927	-0.238589	1706	
0.745092	0.014728	1169	
0.248752	0.263148	685	
-0.867251	0.466732	2872	
0.464553	-0.474414	2339	
0.717287	-0.165932	1659	
-0.333614	-0.531600	1182	
0.494006	-0.556977	1009	
0.626620	-0.366006	2132	
0.116907	0.376492	210	
-0.457973	-0.585252	1143	
-0.259179	-0.716361	1480	
-0.089551	-0.305745	1035	
0.705415	0.584433	440	
-0.781800	0.522729	375	
0.914746	0.120055	3191	
-0.261246	-0.564460	1866	
-0.368821	-0.601167	929	
-0.619176	0.087043	641	
-0.199556	0.532123	382	
0.156484	0.374245	2124	
-0.271397	-0.544247	591	
0.735272	0.508828	2227	
-0.477751	-0.365008	2301	
0.193696	-0.153928	487	
0.787223	0.392683	2302	
0.374246	-0.256081	1719	
-0.365406	0.859734	3431	
0.008246	-0.335330	3001	
0.736465	-0.447419	2586	
0.083667	-0.798204	523	
0.524392	-0.504842	1112	
0.023717	-0.317791	3445	
0.416753	-0.640153	1369	
0.157017	0.931330	679	
-0.154210	0.949053	2151	
0.081110	0.483487	1628	
-0.330601	0.423187	772	
0.434674	-0.109739	2763	
-0.091959	0.978177	1739	
-0.366439	-0.547309	918	
-0.085987	-0.300312	1035	
-0.606424	-0.065998	541	
-0.072260	-0.648915	281	
0.163721	-0.333236	1388	
-0.057566	-0.810171	1773	
0.340202	-0.096652	1531	
-0.775799	0.518473	375	
-0.566060	0.273864	2170	
-0.048773	-0.807974	1773	
-0.111017	0.649532	558	
-0.222140	-0.217884	1206	
0.628710	0.512151	2423	
0.596540	-0.605604	2362	
0.487891	-0.698069	2508	
-0.915060	0.308360	3024	
0.372021	-0.145988	2588	
-0.246995	-0.117372	2950	
0.458157	0.272078	1549	
0.593267	-0.536420	1953	
-0.373651	0.472533	1008	
-0.678673	0.033793	1382	
0.106428	0.892152	427	
-0.051690	0.969546	2402	
0.724030	0.351242	1498	
0.239359	0.229765	1338	
0.051560	0.973570	1019	
-0.127912	0.683440	3216	
0.196983	-0.157947	487	
-0.509570	-0.393903	1201	
-0.410582	0.892199	2721	
-0.557807	-0.177594	1904	
0.659205	-0.345410	1736	
0.315608	0.323638	1973	
0.722911	0.207595	2422	
0.018896	0.954768	499	
0.206534	-0.247488	3165	
-0.136294	-0.350417	2023	
0.065863	0.896226	414	
-0.211134	-0.671665	1535	
0.666066	-0.288500	940	
0.727599	0.175987	2304	
-0.800751	0.539633	2858	
-0.161737	-0.622818	2688	
0.140158	0.287344	3418	
0.745641	-0.409071	2013	
-0.491570	-0.273547	1249	
0.781174	0.252912	2569	
-0.634674	-0.353265	1996	
-0.143317	-0.682461	949	
-0.451769	-0.599517	1362	
-0.151292	0.556947	3240	
0.471719	0.003676	1186	
0.876897	0.354843	2454	
-0.211059	0.542332	382	
0.807206	0.230180	3065	
0.019518	-0.237094	2026	
0.762847	0.461871	2471	
-0.051653	-0.696683	1020	
-0.096112	-0.685583	724	
0.366651	-0.279731	1999	
0.420737	0.044747	1365	
0.130603	-0.333404	1651	
0.342009	0.183584	1411	
-0.008519	-0.633382	560	
0.344636	0.339458	1744	
0.067532	0.718625	628	
-0.766376	0.578283	2835	
0.597203	0.529440	2825	
0.258049	0.194124	1187	
0.762319	-0.290788	1779	
0.798628	-0.409602	2590	
0.259142	-0.144929	824	
0.288699	0.341105	1211	
0.305808	0.293160	699	
0.586474	0.567251	2902	
0.751945	0.063700	1585	
0.841808	-0.232875	1714	
0.235913	0.896762	1018	
0.589662	-0.666156	1923	
0.663677	-0.201167	3140	
0.034658	0.702648	3439	
0.244789	0.407423	1878	
0.752037	0.486471	2227	
-0.118426	-0.762714	1255	
0.593685	-0.393823	2016	
0.783387	-0.380345	2413	
0.248984	0.066561	485	
-0.649823	-0.062481	2591	
-0.696667	-0.095338	885	
0.151267	0.136435	1622	
0.595857	0.501242	2032	
0.046615	0.611425	1685	
0.404132	0.084533	1525	
0.578950	-0.445431	1842	
-0.464907	0.435945	2393	
0.885902	0.414605	2827	
-0.500806	0.808340	3026	
-0.138767	-0.792074	1547	
0.503696	0.804738	422	
0.522462	0.691743	2529	
0.214699	-0.796711	1931	
0.324468	0.348614	1569	
0.305931	0.822103	1077	
-0.162835	-0.628608	2955	
0.603429	-0.667217	3082	
0.440825	0.288142	1497	
0.829716	0.206748	2794	
-0.567820	-0.175358	1904	
0.768898	0.047096	1978	
0.333994	-0.160003	1599	
0.514887	-0.450848	1316	
0.715827	0.469612	2411	
0.291011	0.436991	1553	
-0.002333	-0.738735	1209	
0.827725	0.250490	2987	
0.740435	-0.050899	1254	
0.151894	-0.709084	691	
-0.204567	-0.598513	789	
-0.810491	0.555811	2858	
0.044871	-0.348371	1038	
0.427238	0.305241	1285	
0.103616	-0.205029	2020	
0.718602	0.600842	440	
-0.418767	0.802777	2999	
0.206962	0.111026	415	
-0.204735	-0.196999	2884	
0.158579	0.362549	2059	
0.722967	-0.334022	1951	
0.576127	0.557407	2902	
-0.513202	-0.273467	1696	
0.495670	-0.665401	2189	
-0.243621	0.522162	479	
-0.549033	-0.499463	1286	
0.775741	0.229225	3041	
0.493798	-0.538354	869	
-0.545783	-0.206650	2117	
0.774077	-0.446776	2675	
-0.893148	0.348489	3314	
0.476325	0.150293	1174	
0.212145	-0.147524	979	
-0.330165	0.922059	3097	
0.490182	0.652970	2444	
-0.907470	0.396507	3447	
0.627180	0.460165	2190	
0.429912	0.714158	1015	
0.154831	0.514519	2461	
