Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_eps	Time: 1.1050	Mesh (Number of cells): 5013
-0.4405640947 	 -0.3019520157 	 0.0593824664 	 -0.0489825261 	 347
0.5226200222 	 -0.3912610845 	 0.2373585735 	 0.1900095854 	 348
0.0845701538 	 -0.6155433411 	 -0.0111963333 	 -0.0015236326 	 349
0.5243722687 	 0.0521882833 	 0.0640076759 	 0.0636932004 	 350
0.2143245557 	 0.0883780041 	 -0.0430276895 	 -0.0397787761 	 351
0.2892468673 	 -0.7364713164 	 0.6516564312 	 0.2382225656 	 352
0.0848156507 	 -0.5397669586 	 -0.1376538416 	 -0.0213677266 	 353
0.5255213336 	 -0.1595281798 	 0.0903355416 	 0.0864406023 	 354
-0.3612909423 	 0.5762949174 	 0.2888496863 	 -0.1534283139 	 355
0.5522740014 	 -0.1554660335 	 0.1249337926 	 0.1202596817 	 356
-0.4618851545 	 -0.2849283478 	 0.0729598078 	 -0.0620956442 	 357
-0.0751161042 	 -0.3369737260 	 -0.0788845925 	 0.0171632211 	 358
-0.4877267384 	 -0.2985477968 	 0.1132229498 	 -0.0965679753 	 359
0.8671172358 	 0.2345022593 	 0.7552982483 	 0.7271146996 	 360
-0.5793623328 	 -0.0433006551 	 0.1380978181 	 -0.1377137387 	 361
0.0664816652 	 0.7030500724 	 1.0822823469 	 0.1018887080 	 362
-0.2244323304 	 0.0972717852 	 -0.0544312821 	 0.0499426065 	 363
-0.7316730158 	 0.5157518002 	 0.7423793612 	 -0.6059623649 	 364
-0.4280800040 	 -0.0365174375 	 -0.0369819475 	 0.0368478609 	 365
0.5294870766 	 -0.0976241614 	 0.0778042590 	 0.0765146834 	 366
0.3684260848 	 -0.0655339980 	 -0.0715441274 	 -0.0704383426 	 367
0.3721375321 	 -0.3245041612 	 0.0034919021 	 0.0026320584 	 368
-0.1294459926 	 0.8125782329 	 1.1904972518 	 -0.1872888606 	 369
-0.2305208665 	 0.0136555163 	 -0.0449091810 	 0.0448309064 	 370
0.5402882513 	 0.0332728548 	 0.0825408895 	 0.0823849417 	 371
0.8232822992 	 0.3898754331 	 0.7833023945 	 0.7061849841 	 372
0.8508623068 	 0.3704215805 	 0.8064367036 	 0.7537430210 	 373
0.8865564910 	 0.2031268543 	 0.7814774104 	 0.7598783347 	 374
0.0878867475 	 -0.6294812035 	 0.0720770253 	 0.0099669625 	 375
-0.0756482225 	 0.6132078672 	 -0.0398422028 	 0.0048778859 	 376
-0.2496040335 	 -0.8882638778 	 0.9158193873 	 -0.2536366196 	 377
0.0568477593 	 0.4152439510 	 -0.0462863374 	 -0.0062781202 	 378
0.8997844919 	 0.0843308845 	 0.7663906420 	 0.7635489583 	 379
-0.2391585255 	 0.0910656831 	 -0.0635787304 	 0.0594173757 	 380
0.0761154892 	 -0.4753203304 	 -0.1333405363 	 -0.0210838589 	 381
0.5556212679 	 -0.1042053112 	 0.1143803999 	 0.1124203214 	 382
0.2014322134 	 -0.4897411552 	 -0.0470757645 	 -0.0179065729 	 383
-0.0798621536 	 0.3553849259 	 -0.0969853940 	 0.0212643830 	 384
0.7045617580 	 0.1653830855 	 0.3802293175 	 0.3701674710 	 385
0.3113068483 	 -0.7218697686 	 0.6046723863 	 0.2394490001 	 386
0.1353285146 	 -0.8963565872 	 1.0739963136 	 0.1617470712 	 387
0.0760743609 	 -0.5283496527 	 -0.1309592698 	 -0.0186635799 	 388
0.6759270478 	 -0.6087527699 	 0.7795728292 	 0.5758004958 	 389
0.2981771502 	 0.3012112685 	 -0.0621003285 	 -0.0436884042 	 390
0.7783192749 	 0.2061284581 	 0.5451384084 	 0.5269700399 	 391
0.0772969466 	 0.7026755876 	 1.0770590196 	 0.1177709567 	 392
0.1165845931 	 -0.4728404774 	 -0.1544415154 	 -0.0369720908 	 393
-0.4489741042 	 -0.0468498841 	 -0.0184136931 	 0.0183139846 	 394
0.5400912824 	 -0.3686757265 	 0.2413303385 	 0.1993194295 	 395
-0.1799611819 	 0.8878390227 	 1.0134203328 	 -0.2020518107 	 396
-0.5060676756 	 -0.2774710654 	 0.1231888525 	 -0.1080182724 	 397
-0.0831927867 	 -0.3478864481 	 -0.0975508120 	 0.0226883603 	 398
0.1097770363 	 -0.4575436624 	 -0.1572546878 	 -0.0366883700 	 399
0.3232490571 	 -0.6807972516 	 0.5015903209 	 0.2151409944 	 400
0.1817119613 	 -0.6085063220 	 0.2090444416 	 0.0598155008 	 401
0.1805207825 	 0.1114348618 	 -0.0182172304 	 -0.0155017626 	 402
-0.3913887499 	 0.2602361695 	 -0.0114072629 	 0.0094989658 	 403
-0.0767439943 	 -0.6162936957 	 -0.0156877853 	 0.0019381966 	 404
0.3553369016 	 0.5177136732 	 0.1778594843 	 0.1006494503 	 405
0.3169551261 	 0.3067006343 	 -0.0489697479 	 -0.0351910795 	 406
-0.2406621139 	 -0.8581181384 	 0.9650193838 	 -0.2473939377 	 407
0.1648028131 	 -0.8944057928 	 1.0536404722 	 0.1887332133 	 408
-0.5538876005 	 -0.2680156301 	 0.1833463783 	 -0.1650404463 	 409
0.8428363574 	 0.0539753041 	 0.6321751034 	 0.6308770770 	 410
-0.1413725541 	 0.6561144307 	 0.4353716595 	 -0.0917055024 	 411
-0.0821052662 	 0.6247885879 	 0.0160793239 	 -0.0020953689 	 412
0.1322615009 	 0.3190165959 	 -0.1065658852 	 -0.0408128016 	 413
0.4321458498 	 -0.4863127595 	 0.2250477013 	 0.1494882485 	 414
0.2261953140 	 -0.5912445960 	 0.1978488908 	 0.0706957142 	 415
0.0956856295 	 -0.7356097329 	 1.2923446275 	 0.1667003639 	 416
0.3502895554 	 -0.3194397403 	 -0.0182298780 	 -0.0134697652 	 417
0.1377094700 	 0.5006425703 	 -0.1195062031 	 -0.0316944096 	 418
0.3175020538 	 -0.6148646145 	 0.3339907382 	 0.1532412458 	 419
0.2178697755 	 -0.4600200091 	 -0.0555226510 	 -0.0237651438 	 420
0.0264766946 	 0.8648441093 	 1.3367955715 	 0.0409062396 	 421
0.1423972100 	 -0.6286755496 	 0.2497427934 	 0.0551708232 	 422
0.0865826143 	 0.3923709828 	 -0.1249287201 	 -0.0269197619 	 423
-0.1057523225 	 0.6410953794 	 0.2312743537 	 -0.0376419605 	 424
0.6913828176 	 -0.5763615325 	 0.7529191066 	 0.5778751430 	 425
-0.0177602556 	 -0.7171858216 	 0.3399793283 	 -0.0084166532 	 426
0.6077479111 	 0.5998974660 	 0.6455054610 	 0.4589845242 	 427
-0.0646153236 	 0.7275503053 	 1.3452137110 	 -0.1190036003 	 428
-0.0559941944 	 0.7022759489 	 0.8002131600 	 -0.0636015162 	 429
0.3582377704 	 -0.0493178478 	 -0.0766401264 	 -0.0759239544 	 430
-0.2201463144 	 0.1744404766 	 -0.0707812780 	 0.0554766492 	 431
0.0929974669 	 -0.5921473924 	 -0.0556728569 	 -0.0086372894 	 432
0.1983600329 	 0.4929931383 	 -0.0469001268 	 -0.0175061466 	 433
-0.2207070173 	 -0.9061730787 	 0.9333083159 	 -0.2287317550 	 434
0.0778798961 	 0.4267249509 	 -0.1235386036 	 -0.0221800973 	 435
0.2245434648 	 -0.0641186480 	 -0.0462221820 	 -0.0444459949 	 436
0.2466356850 	 -0.0803324667 	 -0.0665481609 	 -0.0632766467 	 437
-0.1701770805 	 -0.6644253600 	 0.4949490987 	 -0.1228065663 	 438
0.2103224618 	 -0.5061163802 	 -0.0137731936 	 -0.0052850021 	 439
-0.0786021064 	 -0.4364471441 	 -0.1281782499 	 0.0227187015 	 440
-0.1683770545 	 -0.9151207206 	 0.9951545473 	 -0.1839404964 	 441
-0.6126770044 	 0.0649781168 	 0.1915645949 	 -0.1904960719 	 442
-0.5806347038 	 0.0254942493 	 0.1385336990 	 -0.1384003231 	 443
-0.1136788326 	 0.5202633544 	 -0.1350217037 	 0.0288223082 	 444
-0.0854955606 	 -0.6289225693 	 0.0693642669 	 -0.0093439019 	 445
0.2416596926 	 -0.0943882767 	 -0.0655882932 	 -0.0610939107 	 446
0.4947919757 	 -0.3099227884 	 0.1298227367 	 0.1100217344 	 447
-0.1247616422 	 0.5310684535 	 -0.1097803681 	 0.0251063974 	 448
-0.0930102780 	 -0.4372960812 	 -0.1481373743 	 0.0308184010 	 449
-0.1781642376 	 -0.6821962639 	 0.5916434435 	 -0.1495019148 	 450
-0.0833033469 	 -0.2525920445 	 -0.0381861351 	 0.0119600267 	 451
0.4526722940 	 0.7792885754 	 0.7743231032 	 0.3891095556 	 452
0.0890087995 	 -0.4732457719 	 -0.1520888454 	 -0.0281121504 	 453
-0.1381998887 	 -0.3535086439 	 -0.1245447121 	 0.0453470866 	 454
