time = 4	Re = 1
0.141803	0.139397	0
0.140482	0.161140	1
0.110463	0.192051	2
0.058569	0.221518	3
0.022240	0.232747	4
-0.013061	0.243173	5
-0.046998	0.253254	6
-0.078430	0.265176	7
-0.106620	0.284653	8
-0.132984	0.305410	9
-0.156277	0.336273	10
-0.168031	0.366079	11
-0.173050	0.401087	12
-0.160645	0.432440	13
-0.120014	0.452068	14
-0.071484	0.448758	15
-0.023682	0.447913	16
0.009543	0.456628	17
0.043859	0.464184	18
0.067635	0.487392	19
0.087827	0.516280	20
0.091239	0.551288	21
0.091694	0.584881	22
0.084151	0.622430	23
0.074563	0.663377	24
0.042617	0.700663	25
0.006813	0.707040	26
-0.032774	0.711207	27
-0.056590	0.703211	28
-0.082581	0.678606	29
-0.113450	0.659492	30
-0.134752	0.645613	31
-0.175633	0.629728	32
-0.213940	0.614468	33
-0.257817	0.601035	34
-0.299403	0.586457	35
-0.316285	0.577355	36
-0.361190	0.558598	37
-0.402339	0.538247	38
-0.451754	0.508498	39
-0.494456	0.477151	40
-0.524967	0.450207	41
-0.553869	0.422089	42
-0.587207	0.385545	43
-0.617024	0.348117	44
-0.647278	0.300053	45
-0.666741	0.265317	46
-0.685257	0.229478	47
-0.703777	0.182786	48
-0.715473	0.149066	49
-0.726814	0.114381	50
-0.738112	0.064361	51
-0.746405	0.014087	52
-0.751474	-0.036478	53
-0.753855	-0.087705	54
-0.752371	-0.127537	55
-0.749687	-0.168717	56
-0.744400	-0.211761	57
-0.737404	-0.256041	58
-0.729196	-0.290279	59
-0.720121	-0.325504	60
-0.708106	-0.363677	61
-0.694527	-0.402837	62
-0.681168	-0.434303	63
-0.666981	-0.466410	64
-0.651212	-0.496785	65
-0.634524	-0.527758	66
-0.617263	-0.555758	67
-0.599340	-0.584249	68
-0.579758	-0.611615	69
-0.559347	-0.639487	70
-0.539292	-0.663433	71
-0.518885	-0.687595	72
-0.496632	-0.711136	73
-0.473757	-0.734944	74
-0.450716	-0.756018	75
-0.427352	-0.777247	76
-0.401927	-0.797835	77
-0.375828	-0.818519	78
-0.350354	-0.836041	79
-0.324680	-0.853534	80
-0.296840	-0.870174	81
-0.268576	-0.886715	82
-0.239791	-0.901080	83
-0.210777	-0.915217	84
-0.179989	-0.927917	85
-0.149053	-0.940318	86
-0.120124	-0.949875	87
-0.091329	-0.959391	88
-0.061551	-0.967450	89
-0.032236	-0.975433	90
0.021156	-0.987443	91
0.072648	-0.997654	92
