time = 0.002	Re = 1	rotation = 9.68942e-10
0.592845	0.688531	4265	
0.623564	-0.231237	1602	
0.297535	-0.886574	4052	
0.272656	-0.044670	5104	
0.812169	-0.040046	1983	
0.392785	0.672158	3111	
0.337396	0.296344	2156	
0.368242	0.914310	1409	
0.140351	0.740175	5116	
0.473608	0.601822	1297	
0.520477	0.357759	437	
0.720633	0.164040	2115	
0.537373	0.517231	4117	
0.186332	0.473836	2663	
0.216550	-0.729564	1549	
0.324141	-0.700650	2396	
0.222321	-0.227022	3418	
0.902598	-0.100100	797	
0.099280	0.939618	5408	
0.653140	-0.658181	494	
0.358152	0.501372	2354	
0.607831	-0.349906	2127	
0.038425	0.268548	1278	
0.581850	-0.171263	2405	
0.474698	0.247020	2945	
0.338008	0.349505	2393	
0.317202	0.556691	2623	
0.013572	0.245692	1165	
0.878193	0.019249	4318	
0.480894	0.377322	5082	
0.216822	0.130378	933	
0.865103	0.017938	4612	
0.083112	-0.444563	448	
0.647174	0.682772	5264	
0.264730	-0.204358	4739	
0.552821	-0.670119	3728	
0.369808	-0.707116	1976	
0.569618	0.407475	3039	
0.288476	-0.133424	291	
0.756107	-0.207803	1969	
0.896038	0.277842	709	
0.891554	0.360111	1189	
0.116202	0.534047	5572	
0.411820	0.350878	2180	
0.249796	-0.373563	5322	
0.659668	0.066413	4987	
0.230533	-0.210261	5529	
0.470132	0.432149	2250	
0.287991	-0.233076	3588	
0.102863	-0.815252	831	
0.354047	0.103633	1010	
0.033625	0.937924	5047	
0.320997	-0.557475	2622	
0.141264	-0.805480	2481	
0.537023	-0.104148	5321	
0.099569	-0.295377	4210	
0.469249	0.682280	3078	
0.508315	-0.666305	3539	
0.411397	-0.720055	3176	
0.033222	0.965150	5218	
0.373291	-0.159849	3510	
0.050588	-0.269008	2542	
0.749999	-0.321192	4707	
0.489549	-0.322030	3319	
0.179490	-0.658027	1446	
0.463451	0.749146	4196	
0.944120	0.216506	2236	
0.596655	0.567288	2370	
0.267263	0.358181	2696	
0.964490	0.108485	5128	
0.212391	-0.555114	468	
0.218749	0.139147	933	
0.617658	0.084998	4423	
0.478596	0.354163	932	
0.607045	0.429394	5314	
0.469497	-0.087971	3751	
0.229219	0.763171	2836	
0.904425	0.291569	709	
0.324683	0.039422	4070	
0.000055	-0.376280	1558	
0.425452	0.770675	3136	
0.679879	-0.087740	3144	
0.483409	0.577479	1778	
0.229442	0.760595	2836	
0.313692	0.914902	1435	
0.471752	0.423168	2250	
0.153694	0.460884	3845	
0.646264	-0.570239	2718	
0.186458	0.615161	1920	
0.747079	0.349695	3417	
0.276894	-0.650182	1652	
0.704474	-0.073700	3722	
0.164959	-0.750334	1000	
0.217450	0.498509	3094	
0.209157	-0.426170	3474	
0.703495	-0.636738	5062	
0.512393	0.160894	4609	
0.787542	0.212951	2959	
0.218403	-0.089662	1151	
0.878870	-0.015464	5237	
0.004048	-0.461041	1592	
0.410492	-0.143552	4813	
0.297842	-0.197735	5015	
0.120657	0.961399	4636	
0.406120	0.138422	1365	
0.343605	0.577746	3885	
0.411372	-0.281457	4673	
0.399499	-0.396338	527	
0.325310	0.905741	4255	
0.304582	0.765720	4628	
0.250623	0.354824	5543	
0.810424	-0.135704	708	
0.379034	-0.806901	3284	
0.256140	0.183870	4713	
0.476477	-0.024131	1119	
0.458515	0.049185	5717	
0.442015	0.705270	3793	
0.433439	0.653741	2099	
0.509342	-0.827246	922	
0.660040	-0.586811	5001	
0.847275	0.362718	5354	
0.178367	-0.860282	3448	
0.009688	0.784099	881	
0.133465	0.558384	5206	
0.490819	-0.061003	5601	
0.882709	-0.023180	5270	
0.414567	-0.651776	1361	
0.475289	0.567296	1778	
0.556429	-0.680266	3728	
0.143829	0.298926	3645	
0.539224	-0.348630	1918	
0.147014	-0.680260	1441	
0.092260	0.821089	836	
0.082972	0.600757	5122	
0.426306	-0.053559	3954	
0.580197	0.432488	3950	
0.027069	0.462795	4943	
0.308286	-0.534269	2412	
0.557811	-0.805063	2165	
0.621678	0.726045	2013	
0.085001	-0.811084	831	
0.936746	-0.105243	5143	
0.727696	0.484476	3250	
0.306986	-0.760457	4627	
0.443879	-0.216451	2755	
0.531849	0.690715	4038	
0.536275	0.360540	1834	
0.092028	-0.888068	4405	
0.086532	-0.525653	3909	
0.839513	0.044741	4013	
0.513075	0.299664	3253	
0.580152	0.542178	977	
0.376227	-0.017951	1040	
0.374323	-0.908681	1299	
0.310068	0.663039	3344	
0.807023	0.280048	5310	
0.368102	-0.374493	1610	
0.683573	-0.238542	2207	
0.853940	-0.004644	4462	
0.427834	0.645119	2099	
0.738227	-0.105712	5178	
0.397533	0.477365	2555	
0.449083	0.874569	1074	
0.257233	-0.236480	3870	
0.121060	-0.516909	3438	
0.228264	-0.020981	1359	
0.891523	-0.283785	707	
0.385237	0.833454	3296	
0.113817	0.262251	5267	
0.132815	-0.251511	2435	
0.324405	0.360231	2393	
0.795535	0.007867	1005	
0.296242	0.771925	817	
0.351871	0.476781	1863	
0.555361	-0.596965	2342	
0.148829	-0.736296	3633	
0.707917	0.418144	4442	
0.611748	0.343814	4403	
0.447516	0.392154	4529	
0.378326	-0.799936	2695	
0.019301	0.959147	4922	
0.148478	-0.482595	1580	
0.215529	0.159825	4916	
0.277774	0.789726	4878	
0.026523	0.251273	1165	
0.168576	0.802966	1185	
0.329936	0.778467	640	
0.386827	0.060178	1675	
0.677114	0.278055	3012	
0.548361	-0.454634	1139	
0.148269	0.712606	5116	
0.635057	-0.400713	4243	
0.558065	-0.277697	2278	
0.502710	-0.692745	3731	
0.425508	0.812344	4077	
0.008512	0.937728	4922	
0.289776	0.078147	3910	
0.724148	-0.222265	962	
0.227084	-0.090280	1151	
0.914791	0.334570	2549	
0.440666	0.370184	4642	
0.919531	0.084914	4109	
0.806669	-0.077986	1191	
0.826824	0.078236	2846	
0.328303	-0.191150	2548	
0.544647	0.243386	1350	
0.379356	0.084259	1313	
0.120919	0.361394	1234	
0.287119	-0.914047	2049	
0.116098	-0.787141	299	
0.316488	-0.506930	2919	
0.562783	0.812708	2168	
0.580107	0.195873	1848	
0.238044	0.161775	416	
0.145870	-0.328738	3309	
0.625528	-0.277389	1773	
0.434156	0.035224	377	
0.474668	-0.631275	1836	
0.434761	-0.624896	2501	
0.715208	0.046013	1193	
0.597303	0.298157	5057	
0.005190	0.940444	4922	
0.663866	-0.413711	3424	
0.200364	0.851404	4305	
0.309251	-0.193564	5015	
0.432606	0.856437	795	
0.592081	-0.136430	1512	
0.592780	-0.290988	4947	
0.657020	0.304618	2188	
0.821719	-0.194466	3798	
0.037565	0.969263	4995	
0.448143	0.875270	1074	
0.672041	-0.466606	726	
0.113486	-0.455541	4344	
0.082058	0.530541	3514	
0.021689	-0.725497	997	
0.260629	0.742165	3280	
0.179410	-0.133443	1263	
0.325118	0.166808	3693	
0.211534	0.529989	4259	
0.189063	0.797519	1808	
0.008931	-0.819534	3694	
0.619183	-0.235120	1602	
0.096563	0.969867	610	
0.473190	-0.040492	5724	
0.099959	-0.920699	5299	
0.483706	-0.083482	4017	
0.235263	-0.882259	1738	
0.123844	0.713510	4086	
0.399667	-0.237206	950	
0.021974	-0.250495	5730	
0.661607	0.250716	3371	
0.324083	-0.367560	2743	
0.281153	0.427854	4964	
0.561577	-0.200680	4690	
0.889287	0.364238	1189	
0.355225	0.696680	3219	
0.770674	0.441055	308	
0.633415	-0.385248	3820	
0.537279	-0.450850	846	
0.008690	-0.950111	4921	
0.222658	-0.261021	3277	
0.055107	0.822394	4691	
0.332191	0.425854	5496	
0.426943	-0.396615	5693	
0.388320	-0.679213	3222	
0.350207	-0.808760	3257	
0.871103	0.335187	891	
0.192718	0.836184	3675	
0.579681	-0.088203	4955	
0.642352	-0.491950	2831	
0.551079	-0.736194	5084	
0.097493	0.703707	995	
0.395544	-0.533844	4482	
0.585432	0.493673	1616	
0.608989	0.158022	1179	
0.170100	0.372724	3314	
0.328379	0.605384	2666	
0.836364	-0.169440	5139	
0.415608	0.873234	1044	
0.425946	-0.812211	3394	
0.643678	-0.271075	1404	
0.667715	0.143687	1448	
0.404307	0.790690	3769	
0.065082	0.370955	1088	
0.231070	0.077737	4378	
0.773035	0.493169	4623	
0.721430	-0.034217	4675	
0.194023	-0.588867	2488	
0.535468	-0.124371	5326	
0.078970	0.453756	4455	
0.247045	-0.926878	5464	
0.406922	0.755502	3290	
0.431994	-0.431828	1803	
0.224467	-0.950494	2229	
0.007468	0.854805	4456	
0.693153	0.410295	3162	
0.596065	0.074471	5598	
0.455579	0.200386	2431	
0.654082	-0.253920	1251	
0.668234	-0.086231	4068	
0.085067	-0.533652	3909	
0.081372	-0.355965	2015	
0.611327	-0.264748	1527	
0.726227	0.356119	3775	
0.144691	-0.663915	2017	
0.064435	-0.471334	5575	
0.348357	-0.823504	2122	
0.602229	0.428751	5303	
0.157222	-0.315725	3733	
0.727250	0.326636	2246	
0.854460	0.109207	1860	
0.025756	-0.885359	4374	
0.456688	0.649595	2471	
0.668606	0.091835	4525	
0.588812	0.792960	4335	
0.575078	-0.156362	2847	
0.702952	-0.285585	2611	
0.156653	0.368251	3314	
0.034071	0.770415	649	
0.844854	0.020256	4469	
0.127689	0.242946	5266	
0.239337	0.261742	2643	
0.476946	0.171187	2926	
0.253626	-0.597979	808	
0.637856	0.521487	2574	
0.359111	0.417795	463	
0.587375	0.619187	3570	
0.204072	0.592794	2487	
0.266408	-0.403471	629	
0.375994	-0.515801	2881	
0.684553	0.338474	5485	
0.045234	-0.349406	1632	
0.496915	-0.655609	2674	
0.311486	0.777231	817	
0.697274	-0.073312	3722	
0.264620	0.151068	4911	
0.194901	0.482463	2981	
0.748224	-0.005286	4773	
0.087383	-0.227105	1591	
0.729448	0.156421	3234	
0.559774	0.129333	1337	
0.051170	-0.791842	3939	
0.614438	0.463267	4988	
0.244032	0.927951	5465	
0.741238	-0.523977	3974	
0.644420	-0.320487	1494	
0.727481	0.169185	3084	
0.756654	-0.497072	3936	
0.863476	-0.304604	5646	
0.242637	0.462130	2588	
0.977518	0.007496	2349	
0.392431	-0.216134	892	
0.794506	0.412122	3228	
0.891580	0.401856	4016	
0.440777	-0.585408	1560	
0.664965	0.507780	385	
0.118042	0.569461	2680	
0.491591	0.708230	4433	
0.134819	0.930179	739	
0.491201	-0.855299	939	
0.280114	0.805160	5340	
0.444121	-0.265908	3597	
0.789770	-0.065761	1006	
0.075567	0.657682	5112	
0.790462	0.029986	3568	
0.009683	-0.727286	1095	
0.711991	0.181715	2115	
0.700045	-0.278131	1958	
0.629377	-0.130347	1097	
0.413801	-0.169935	3803	
0.032056	-0.878010	4374	
0.849319	0.391051	5437	
0.230412	-0.763747	2837	
0.920272	-0.267511	631	
0.930839	0.091559	5021	
0.574092	-0.642729	3778	
0.115861	-0.511248	3438	
0.124289	-0.553417	5188	
0.539813	0.736510	4660	
0.231382	-0.019779	1359	
0.228857	-0.732102	1549	
0.128697	-0.299350	3646	
0.252700	-0.854492	5230	
0.644479	-0.497576	2831	
0.450224	-0.423399	1252	
0.921192	-0.099582	788	
0.535802	-0.094539	472	
0.326118	-0.399621	2248	
0.266788	-0.600941	808	
0.492632	-0.309724	3319	
0.330601	-0.867586	2430	
0.013865	0.823314	3695	
0.413758	0.354089	2180	
0.452399	-0.598725	1560	
0.481375	-0.816544	1972	
0.229276	0.370830	4910	
0.526413	0.100109	3086	
0.904827	0.302455	924	
0.185448	0.791822	1206	
0.126728	-0.204024	1825	
0.760049	0.125895	2438	
0.730478	-0.614308	5452	
0.412052	-0.003224	4531	
0.392967	0.849680	1034	
0.251627	-0.684232	2112	
0.062036	-0.799995	4914	
0.317898	0.051902	4070	
0.117820	-0.287370	4210	
0.266284	0.614837	825	
0.163559	0.753679	999	
0.458412	-0.029939	4171	
0.375350	0.282266	1438	
0.206064	-0.385654	2706	
0.245278	-0.597808	808	
0.074895	-0.273572	529	
0.823753	-0.449149	316	
0.368491	0.522873	2880	
0.695947	-0.175133	3377	
0.164319	0.787546	1270	
0.575062	-0.486464	1617	
0.236790	-0.103229	635	
0.403147	-0.862239	1030	
0.496548	-0.346195	4383	
0.181476	-0.667421	1823	
0.240490	-0.558943	1905	
0.709701	0.539268	2727	
0.363482	-0.681213	1779	
0.644734	-0.334338	2711	
0.005315	-0.879329	5228	
0.595584	-0.290358	4947	
0.033772	-0.834248	3822	
0.363224	-0.506455	2573	
0.493591	-0.695434	3731	
0.616941	0.479016	2124	
0.601714	0.190395	1642	
0.736985	0.451567	4329	
0.279172	0.594508	1965	
0.247618	0.654102	1461	
0.718981	-0.353269	2410	
0.674683	0.346381	2359	
0.647210	0.345778	2729	
0.577413	0.554756	977	
0.143529	-0.397382	937	
0.755868	-0.314158	4756	
0.603649	0.242785	3076	
0.298614	-0.078181	2515	
0.684799	0.547318	482	
0.647218	-0.228522	1158	
0.031575	0.802016	3566	
0.009375	-0.795220	1019	
0.055981	0.901912	3648	
0.523365	-0.238809	3617	
0.446547	-0.810606	665	
0.771241	-0.443342	4768	
0.139133	0.402882	2234	
0.388169	0.111358	2001	
0.356440	0.263437	1417	
0.462583	0.292658	2735	
0.609537	-0.598099	3048	
0.337841	-0.393494	2012	
0.230306	-0.885059	834	
0.948443	-0.047994	1594	
0.265930	-0.709129	3147	
0.643419	-0.506846	3743	
0.315022	0.805958	4150	
0.922094	0.275681	2467	
0.097896	-0.478178	4212	
0.177930	0.240107	4446	
0.552440	-0.544259	1029	
0.227157	-0.466108	2420	
0.897057	0.129254	3150	
0.125811	-0.589977	1585	
0.936845	-0.253788	2445	
0.350387	-0.060013	976	
0.394161	-0.323437	2125	
0.366480	0.732917	2055	
0.127087	0.493376	2925	
0.242531	0.020040	678	
0.252473	0.298063	1306	
0.549237	0.286398	5344	
0.570423	-0.452645	2539	
0.220824	-0.692835	3100	
0.759873	0.585437	4819	
0.550338	0.064651	3626	
0.361106	-0.848300	2986	
0.205499	-0.150295	620	
0.652514	0.105292	1048	
0.251200	-0.351895	5546	
0.221330	-0.535367	458	
0.927958	0.006899	4706	
0.196374	-0.945844	2229	
0.517121	0.292981	2780	
0.471207	0.316398	2861	
0.000717	-0.970438	4725	
0.802734	0.227404	3593	
0.755738	-0.243193	2571	
0.117492	0.626447	5125	
0.105373	0.929022	5298	
0.712639	0.047989	1193	
0.781491	0.139412	2991	
0.726851	-0.085701	4716	
0.802216	0.487062	5530	
0.431253	0.062390	400	
0.470647	0.395988	1899	
0.541822	0.084681	4933	
0.286454	0.803301	4878	
0.642234	0.527737	2574	
0.312511	-0.687803	3863	
0.651467	-0.325838	2071	
0.430235	0.698673	3089	
0.924292	0.012500	608	
0.144179	-0.207531	5481	
0.148975	-0.754510	723	
0.266680	0.542184	1906	
0.528320	0.745981	4660	
0.143078	0.886206	583	
0.211302	-0.910140	505	
0.404422	-0.869763	1030	
0.711614	0.139668	863	
0.151386	0.254682	5266	
0.457835	0.024977	4969	
0.263347	0.860222	5600	
0.373449	0.543264	3288	
0.339843	-0.563744	3413	
0.308819	0.013931	4437	
0.221781	0.460005	2409	
0.576657	-0.368658	2057	
0.063825	0.696126	5634	
0.101374	-0.426548	821	
0.302878	0.289654	2325	
0.748973	0.215248	4187	
0.369941	0.169280	3513	
0.157281	-0.924472	712	
0.392753	-0.691740	2725	
0.176935	-0.600242	1420	
0.575139	-0.085874	556	
0.718119	-0.073900	4666	
0.307307	0.271736	1882	
0.247767	0.350116	5543	
0.252567	0.438938	2386	
0.386538	0.518980	2880	
0.125707	0.946192	5306	
0.149499	0.399072	936	
0.345514	-0.626126	3311	
0.114767	-0.933813	5407	
0.627717	0.181996	1666	
0.196700	-0.425717	3474	
0.446737	-0.752409	3876	
0.859725	0.431244	639	
0.501462	-0.760549	3196	
0.274041	0.841095	5418	
0.772628	0.544114	4685	
0.753086	-0.190713	1969	
0.086955	0.861754	2449	
0.694394	0.556483	883	
0.382342	0.869562	986	
0.469588	-0.568081	1199	
0.514625	0.287994	2780	
0.319420	-0.786387	5335	
0.456865	-0.024401	1452	
0.670430	-0.704020	2080	
0.681115	-0.316034	2890	
0.845086	-0.087257	4044	
0.233708	0.525049	457	
0.134428	-0.591253	1292	
0.379661	-0.006844	1040	
0.474885	-0.128234	3073	
0.308658	0.913883	2607	
0.666005	0.575257	883	
0.515595	-0.267706	2387	
0.371213	-0.453233	1345	
0.546963	0.708274	4038	
0.783764	-0.210552	4108	
0.743794	-0.221426	1363	
0.315387	-0.529035	3087	
0.239098	-0.397279	5271	
0.607631	-0.148365	1867	
0.343454	0.058620	1501	
0.622566	-0.460799	5239	
0.261170	-0.907232	5029	
0.360635	-0.640187	3158	
0.420985	0.171256	3707	
0.721138	0.552842	5169	
0.453880	-0.205681	2400	
0.385760	-0.863414	935	
0.163264	0.393655	3641	
0.227431	0.694035	3101	
0.601626	0.506521	1656	
0.225809	0.502762	4656	
0.836053	0.084035	2846	
