time = 50,Re = 1
-0.969073,-0.105846,711
-0.964109,-0.146466,402
-0.950981,-0.220739,6481
-0.923256,-0.322411,6708
-0.872682,-0.446234,6693
-0.788833,-0.586612,6433
-0.347148,0.885906,397
-0.388919,0.868386,784
-0.45662,0.835276,4818
-0.544715,0.781879,4910
-0.657858,0.69234,709
-0.776614,0.560993,6789
-0.882732,0.381851,689
-0.953922,0.15373,312
-0.965248,-0.10444,711
-0.895574,-0.388624,2727
-0.727054,-0.660659,676
0.8438,0.379413,5592
0.82576,0.417871,3570
0.787491,0.488109,5818
0.722296,0.582896,4847
0.617892,0.696062,4605
0.46722,0.809209,4735
0.241339,0.909908,6592
-0.054347,0.946169,6527
-0.355185,0.878773,5491
-0.628137,0.715306,5541
-0.843884,0.453476,625
-0.960218,0.098613,5900
-0.929617,-0.2858,319
-0.734611,-0.649351,6840
-0.38828,-0.909904,2813
0.408953,-0.801605,4340
0.448621,-0.780525,3856
0.520769,-0.735693,3386
0.615996,-0.660387,3126
0.724739,-0.54294,3045
0.833373,-0.363446,3958
0.90214,-0.139917,4466
0.908266,0.128969,4060
0.826616,0.408561,5302
0.630258,0.681144,5318
0.315542,0.882061,5096
-0.156655,0.933246,279
-0.556686,0.768483,490
-0.848023,0.442766,625
-0.96584,-0.011574,5725
-0.853857,-0.470357,6629
-0.511756,-0.841656,6561
-0.790909,-0.372618,5832
-0.771693,-0.411554,5334
-0.725954,-0.489917,2860
-0.645174,-0.595311,3149
-0.521275,-0.709616,2624
-0.347055,-0.812618,3363
-0.117674,-0.87952,5883
0.162742,-0.876998,3207
0.46819,-0.765785,3305
0.729778,-0.532553,2770
0.896352,-0.161472,3963
0.883675,0.24749,3134
0.675332,0.6325,6677
0.267608,0.898142,6885
-0.315508,0.890696,575
-0.737694,0.601531,276
-0.955395,0.113813,6591
-0.874811,-0.425612,6693
-0.303627,0.806862,1018
-0.350923,0.784194,756
-0.439035,0.734709,5154
-0.545805,0.657726,5588
-0.669778,0.533064,5403
-0.781205,0.357215,6453
-0.854477,0.12077,2415
-0.849057,-0.181118,4385
-0.736387,-0.468729,2556
-0.481323,-0.735595,2501
-0.107273,-0.879302,4164
0.32428,-0.832315,4833
0.705927,-0.560467,4214
0.906922,-0.083388,4864
0.814858,0.426527,3570
0.443179,0.817968,5735
-0.209375,0.920459,791
-0.722029,0.618131,944
-0.958807,0.075564,6343
-0.82756,-0.512927,6580
-0.357327,-0.919337,1240
0.825378,0.003625,4283
0.824205,0.050042,4391
0.814285,0.143678,4902
0.783199,0.270169,3127
0.70982,0.432224,4367
0.579346,0.601453,1629
0.357598,0.768263,2266
-0.025597,0.875981,5140
-0.430668,0.736646,4912
-0.719636,0.462034,4094
-0.85788,0.082264,2467
-0.784654,-0.375785,1458
-0.486851,-0.729983,2501
0.007239,-0.886359,3339
0.535202,-0.718868,3061
0.869646,-0.254948,5624
0.844962,0.357146,3574
0.440167,0.818571,5735
-0.285915,0.898512,1065
-0.802791,0.511377,5032
-0.955958,-0.131479,317
-0.662621,-0.719243,804
-0.057033,-0.99025,2757
-0.207842,-0.772558,3568
-0.162916,-0.783588,3203
-0.076193,-0.797674,3279
0.060608,-0.800837,2986
0.24201,-0.76867,4148
0.441372,-0.677949,4857
0.647435,-0.492178,3270
0.793073,-0.202393,5074
0.80423,0.183628,5274
0.635963,0.535471,4861
0.276023,0.807748,1744
-0.347194,0.781535,756
-0.737765,0.430986,2240
-0.859396,-0.084054,2599
-0.639656,-0.593991,3149
-0.114185,-0.87585,5883
0.500944,-0.741078,3342
0.879131,-0.218668,5578
0.796721,0.456668,4145
0.25895,0.898091,6592
-0.515598,0.790768,6857
-0.927531,0.234289,6145
-0.850556,-0.46819,6577
-0.315308,-0.933546,6783
-0.641109,0.434148,2902
-0.665916,0.395376,4267
-0.706032,0.320162,988
-0.756428,0.179882,2886
-0.780674,-0.018194,3248
-0.73763,-0.269284,2650
-0.587575,-0.5284,4747
-0.32699,-0.724896,5383
0.012778,-0.800226,3628
0.394522,-0.703242,4318
0.715399,-0.387529,4050
0.814378,0.113108,4903
0.582463,0.593998,5143
-0.009387,0.874661,4852
-0.628897,0.572827,4836
-0.860858,0.006374,2429
-0.6376,-0.594967,3149
-0.039312,-0.882721,3954
0.619812,-0.647296,3126
0.909287,0.022851,4510
0.621385,0.681959,3436
-0.16721,0.926644,370
-0.80868,0.499484,1583
-0.93598,-0.236018,6566
-0.505197,-0.839928,6561
