time = 0.001	Re = 1	rotation = 0
0.592845	0.688531	786	
0.623564	-0.231237	1212	
0.297535	-0.886574	5226	
0.812169	-0.040046	6032	
0.392785	0.672158	2128	
0.337396	0.296344	3132	
0.140351	0.740175	4632	
0.473608	0.601822	3556	
0.520477	0.357759	5578	
0.720633	0.164040	6226	
0.537373	0.517231	2026	
0.186332	0.473836	4877	
0.216550	-0.729564	1086	
0.324141	-0.700650	1778	
0.222321	-0.227022	2390	
0.902598	-0.100100	5510	
0.099280	0.939618	2074	
0.653140	-0.658181	598	
0.358152	0.501372	4776	
0.607831	-0.349906	3788	
0.581850	-0.171263	4544	
0.474698	0.247020	1616	
0.338008	0.349505	2380	
0.317202	0.556691	5206	
0.878193	0.019249	5626	
0.480894	0.377322	1182	
0.216822	0.130378	5727	
0.865103	0.017938	5518	
0.083112	-0.444563	3842	
0.647174	0.682772	414	
0.264730	-0.204358	1330	
0.552821	-0.670119	5050	
0.369808	-0.707116	4642	
0.569618	0.407475	2432	
0.288476	-0.133424	3763	
0.756107	-0.207803	5200	
0.896038	0.277842	1374	
0.891554	0.360111	770	
0.116202	0.534047	1841	
0.411820	0.350878	1436	
0.249796	-0.373563	5042	
0.965416	0.176930	1878	
0.659668	0.066413	5375	
0.230533	-0.210261	6432	
0.470132	0.432149	4516	
0.287991	-0.233076	3118	
0.102863	-0.815252	5668	
0.354047	0.103633	2077	
0.033625	0.937924	3022	
0.320997	-0.557475	5370	
0.141264	-0.805480	2570	
0.537023	-0.104148	1041	
0.099569	-0.295377	462	
0.469249	0.682280	4344	
0.508315	-0.666305	3314	
0.411397	-0.720055	5432	
0.033222	0.965150	3724	
0.373291	-0.159849	2904	
0.749999	-0.321192	5368	
0.489549	-0.322030	1600	
0.179490	-0.658027	1864	
0.463451	0.749146	4796	
0.944120	0.216506	2004	
0.596655	0.567288	5456	
0.267263	0.358181	582	
0.212391	-0.555114	4472	
0.218749	0.139147	1797	
0.617658	0.084998	511	
0.854614	0.487669	6706	
0.478596	0.354163	3728	
0.607045	0.429394	2010	
0.469497	-0.087971	681	
0.229219	0.763171	3363	
0.904425	0.291569	1374	
0.425452	0.770675	6184	
0.679879	-0.087740	451	
0.483409	0.577479	936	
0.229442	0.760595	6245	
0.313692	0.914902	6268	
0.471752	0.423168	4092	
0.153694	0.460884	2123	
0.646264	-0.570239	5336	
0.186458	0.615161	6221	
0.747079	0.349695	4954	
0.276894	-0.650182	5616	
0.704474	-0.073700	809	
0.164959	-0.750334	5908	
0.217450	0.498509	4365	
0.209157	-0.426170	4362	
0.703495	-0.636738	5792	
0.512393	0.160894	3428	
0.787542	0.212951	1694	
0.218403	-0.089662	2791	
0.878870	-0.015464	484	
0.715561	-0.027681	5955	
0.410492	-0.143552	3862	
0.297842	-0.197735	2680	
0.120657	0.961399	2648	
0.406120	0.138422	427	
0.343605	0.577746	2042	
0.411372	-0.281457	1748	
0.399499	-0.396338	4502	
0.304582	0.765720	2263	
0.250623	0.354824	402	
0.810424	-0.135704	5110	
0.379034	-0.806901	6002	
0.256140	0.183870	3801	
0.442015	0.705270	4664	
0.433439	0.653741	2362	
0.660040	-0.586811	4818	
0.847275	0.362718	1140	
0.178367	-0.860282	6646	
0.009688	0.784099	6900	
0.133465	0.558384	1251	
0.490819	-0.061003	5651	
0.882709	-0.023180	644	
0.414567	-0.651776	3420	
0.475289	0.567296	936	
0.556429	-0.680266	5050	
0.143829	0.298926	4110	
0.539224	-0.348630	1760	
0.147014	-0.680260	2552	
0.092260	0.821089	820	
0.082972	0.600757	1719	
0.426306	-0.053559	3699	
0.580197	0.432488	1630	
0.308286	-0.534269	2450	
0.621678	0.726045	6120	
0.157632	0.984859	3988	
0.085001	-0.811084	5668	
0.936746	-0.105243	6844	
0.727696	0.484476	6908	
0.306986	-0.760457	2330	
0.443879	-0.216451	2056	
0.531849	0.690715	4518	
0.536275	0.360540	666	
0.092028	-0.888068	6138	
0.086532	-0.525653	1186	
0.839513	0.044741	532	
0.513075	0.299664	2156	
0.580152	0.542178	4036	
0.310068	0.663039	6190	
0.807023	0.280048	3554	
0.368102	-0.374493	486	
0.683573	-0.238542	2787	
0.853940	-0.004644	5240	
0.427834	0.645119	1264	
0.738227	-0.105712	5709	
0.397533	0.477365	6164	
0.449083	0.874569	2702	
0.257233	-0.236480	3402	
0.121060	-0.516909	2942	
0.891523	-0.283785	1922	
0.385237	0.833454	6368	
0.113817	0.262251	2861	
0.132815	-0.251511	2805	
0.324405	0.360231	1028	
0.795535	0.007867	4192	
0.296242	0.771925	2263	
0.351871	0.476781	4640	
0.555361	-0.596965	840	
0.148829	-0.736296	6078	
0.707917	0.418144	5646	
0.611748	0.343814	4714	
0.447516	0.392154	4908	
0.378326	-0.799936	4590	
0.019301	0.959147	3776	
0.148478	-0.482595	2822	
0.215529	0.159825	1865	
0.277774	0.789726	3867	
0.168576	0.802966	5344	
0.329936	0.778467	3966	
0.386827	0.060178	4103	
0.677114	0.278055	906	
0.548361	-0.454634	4524	
0.148269	0.712606	1651	
0.635057	-0.400713	6486	
0.558065	-0.277697	2212	
0.502710	-0.692745	4564	
0.425508	0.812344	1234	
0.008512	0.937728	704	
0.289776	0.078147	3597	
0.724148	-0.222265	4333	
0.227084	-0.090280	3581	
0.914791	0.334570	4146	
0.440666	0.370184	3628	
0.919531	0.084914	3090	
0.806669	-0.077986	696	
0.826824	0.078236	6296	
0.328303	-0.191150	2558	
0.544647	0.243386	1562	
0.379356	0.084259	599	
0.120919	0.361394	3989	
0.287119	-0.914047	2850	
0.116098	-0.787141	1518	
0.316488	-0.506930	2302	
0.580107	0.195873	6311	
0.238044	0.161775	3185	
0.145870	-0.328738	3124	
0.625528	-0.277389	1730	
0.474668	-0.631275	4630	
0.434761	-0.624896	3270	
0.597303	0.298157	3370	
0.005190	0.940444	704	
0.663866	-0.413711	6666	
0.200364	0.851404	6454	
0.309251	-0.193564	2602	
0.432606	0.856437	2702	
0.592081	-0.136430	2139	
0.592780	-0.290988	3208	
0.657020	0.304618	3048	
0.821719	-0.194466	6400	
0.037565	0.969263	3724	
0.448143	0.875270	2702	
0.672041	-0.466606	3002	
0.113486	-0.455541	5386	
0.082058	0.530541	6503	
0.021689	-0.725497	404	
0.260629	0.742165	5383	
0.179410	-0.133443	493	
0.325118	0.166808	3088	
0.211534	0.529989	5065	
0.189063	0.797519	6072	
0.008931	-0.819534	4243	
0.619183	-0.235120	1212	
0.096563	0.969867	6546	
0.099959	-0.920699	608	
