time = 25.55	Re = 1	rotation = 4.06625
0.757527	0.502130	5207	
-0.273160	-0.620527	4074	
0.128849	-0.926220	5750	
-0.003991	0.358821	6876	
0.621120	-0.525823	7289	
0.760825	0.151836	8561	
-0.319292	0.315343	1039	
0.698610	0.266583	3095	
0.763308	-0.001340	2026	
0.202484	-0.610095	7142	
0.508902	-0.539239	1498	
0.721156	-0.180903	1988	
0.013944	0.113513	4549	
-0.430753	-0.251374	2554	
-0.492953	-0.576344	7334	
-0.363823	-0.680670	4325	
0.257021	0.157575	1148	
0.841068	-0.342563	7431	
0.242804	0.913251	9134	
0.499547	-0.781034	8970	
0.276179	-0.553897	7414	
-0.216462	-0.676597	8187	
-0.067642	0.226003	2431	
-0.483412	-0.380903	2752	
-0.449483	-0.314774	6747	
-0.476627	-0.003426	314	
0.450737	-0.446831	6120	
0.821943	-0.309771	5535	
0.064427	-0.056808	988	
0.105614	-0.016645	5779	
0.107616	-0.617110	2133	
0.240606	0.144987	5916	
0.793063	-0.346145	8667	
0.217102	-0.352422	7442	
0.669845	0.009899	2743	
0.752860	0.564473	503	
-0.245173	0.184093	4999	
0.226168	-0.838804	7425	
-0.226784	-0.765766	3868	
0.547916	-0.436284	1390	
-0.276934	0.115932	3680	
0.377593	-0.689945	4992	
0.931200	0.114818	4291	
0.925104	0.262387	7983	
-0.150116	-0.533495	3365	
-0.360151	-0.427470	782	
0.385059	-0.118787	2478	
0.973150	0.128772	3104	
0.060225	-0.675408	2290	
0.249473	0.181256	2192	
-0.311887	-0.558356	4022	
0.316735	-0.560166	534	
-0.234902	-0.315851	6947	
-0.408517	-0.712357	8435	
0.369419	-0.018802	5257	
0.195830	0.918001	1401	
-0.621016	-0.083792	1997	
-0.386981	-0.719815	8595	
-0.544642	-0.040907	2555	
0.194513	0.059473	5460	
0.770585	0.301313	5279	
0.076421	-0.835133	4089	
-0.071633	-0.826750	5825	
0.122169	0.958031	5877	
0.394637	-0.007518	646	
0.165722	0.513676	5791	
0.404364	-0.709994	822	
-0.575277	-0.037292	5020	
-0.648187	-0.160335	2061	
0.706143	0.526781	875	
0.959352	0.134706	3104	
0.813734	0.121433	3245	
-0.295613	0.325385	972	
0.970206	0.030809	952	
-0.464302	0.329132	1017	
0.199743	0.249727	5125	
-0.150316	-0.627441	6993	
-0.017548	-0.615981	743	
0.683159	-0.290607	5299	
-0.266239	0.412499	2799	
0.690258	0.393646	5902	
0.936496	0.161790	7825	
-0.058960	-0.401360	6038	
0.111007	0.365063	8786	
0.680177	0.558953	6782	
0.012362	-0.698388	585	
0.746318	-0.076732	375	
0.693432	0.382804	4652	
0.393143	0.883828	1621	
0.282989	-0.574191	8077	
-0.455377	-0.012266	4911	
0.331969	-0.795519	5324	
0.522588	-0.350899	6854	
0.813882	-0.133238	3488	
-0.582972	-0.386326	1376	
0.152386	-0.701218	752	
-0.512067	-0.569006	7291	
-0.217581	-0.512526	5396	
0.426916	0.062511	3690	
0.604671	-0.731194	9210	
-0.485774	-0.254148	4868	
0.759167	-0.299007	5400	
-0.158153	-0.270471	871	
0.810347	-0.340474	4017	
0.240212	-0.682538	1793	
0.227350	-0.679785	1760	
0.304841	-0.282138	5795	
0.288650	0.365099	2341	
-0.269085	-0.263083	5037	
0.199540	0.948321	3999	
-0.066169	0.467237	1092	
0.578016	-0.328839	6745	
-0.139569	0.491300	2455	
-0.475290	0.266057	2623	
0.416666	0.867636	702	
0.692418	0.445079	5197	
-0.173153	0.408441	830	
0.583541	-0.579437	4458	
0.089630	-0.886923	6744	
-0.232921	-0.277722	5480	
-0.329431	0.357262	2725	
-0.280362	0.385221	1035	
0.754791	0.349372	7827	
0.770242	0.136356	4956	
0.444995	-0.863641	6692	
0.404733	-0.784868	246	
0.907919	0.159003	7825	
-0.161545	-0.863610	7882	
0.591008	0.511023	4488	
0.104170	-0.565430	401	
-0.405258	0.286032	841	
0.816162	-0.337016	4017	
-0.264676	-0.727071	3821	
0.724867	-0.132069	403	
0.259452	-0.839605	7900	
-0.281948	-0.126444	7055	
-0.500904	-0.406268	4736	
-0.650745	-0.209387	799	
0.147633	0.214728	4481	
0.550947	0.614613	7566	
0.375620	-0.456799	4902	
0.190344	0.437756	688	
0.634070	-0.346258	8401	
-0.333312	0.252271	2068	
-0.588087	0.091528	3404	
0.513384	-0.834195	3044	
0.706222	0.644315	1853	
0.166905	0.983361	5323	
-0.441889	-0.684453	5050	
0.907001	-0.256931	3609	
0.858750	0.163925	4595	
-0.219082	-0.790577	7075	
-0.219628	0.453704	2340	
0.763315	0.421198	5358	
0.282682	-0.590085	2304	
-0.203837	-0.869329	747	
0.179512	0.500602	5791	
0.746508	-0.386841	4159	
-0.087908	-0.611294	3320	
0.792924	0.000953	1759	
0.368771	-0.067035	2790	
0.333047	-0.924707	421	
0.725928	0.002675	7061	
0.845650	-0.120751	5137	
-0.218380	0.474110	3565	
0.049151	-0.730583	3191	
0.756529	-0.396277	4159	
0.765917	0.092071	1216	
0.303971	-0.686225	8222	
0.276740	-0.561195	8077	
0.487366	0.854006	3040	
-0.287567	0.108516	3680	
0.167343	0.502998	4921	
0.089074	-0.272244	1006	
0.823643	-0.443820	5185	
0.573771	0.717066	7409	
0.233231	0.012302	4600	
0.186098	0.021132	267	
-0.473544	0.004540	1075	
0.595645	-0.528868	6598	
0.683585	0.463568	5390	
0.108395	-0.594099	2117	
0.067068	-0.813872	4187	
-0.511048	-0.226153	2588	
-0.565902	-0.487063	3751	
0.819315	-0.065241	3630	
0.506491	-0.488141	4485	
0.024319	-0.613136	3676	
0.068921	-0.882137	6744	
0.125727	0.951128	8240	
0.368966	0.313707	5500	
0.081392	0.349237	6862	
0.655174	0.520197	6657	
0.101301	-0.130878	7122	
0.616134	0.540155	5002	
0.674260	0.509475	876	
-0.508213	0.067167	2271	
0.360267	0.203353	6221	
0.565200	-0.467218	5147	
-0.292956	-0.655537	2297	
0.707973	0.129184	4592	
-0.004856	-0.756322	4098	
-0.506999	-0.370221	4107	
0.125216	-0.846936	5997	
0.610478	0.684574	8599	
0.173311	0.921729	1401	
-0.301460	-0.095992	342	
0.240625	-0.723015	5443	
0.058902	-0.299167	6859	
0.936109	0.269738	8266	
-0.131158	-0.584308	6961	
0.915281	-0.122775	1544	
0.586279	-0.560674	3919	
0.736741	-0.383762	3849	
0.146960	-0.368868	7419	
-0.136543	-0.605571	4217	
0.360645	0.195342	6116	
0.300880	-0.139860	3955	
0.180022	-0.940999	3311	
-0.473577	-0.637536	5863	
-0.539879	0.195986	5238	
-0.092575	-0.628202	6932	
-0.242457	0.140188	3766	
0.264826	0.149111	1520	
-0.221496	-0.659513	5911	
-0.021021	0.481506	1781	
-0.129190	-0.780916	4140	
