time = 25.45	Re = 1	rotation = 4.05034
0.756795	0.503021	8633	
-0.271202	-0.620210	5464	
0.128771	-0.926288	935	
-0.017630	0.363099	8423	
0.623447	-0.523630	5136	
0.759638	0.155827	1008	
-0.328099	0.310759	1002	
0.696502	0.270208	4657	
0.763096	0.003349	1380	
0.206357	-0.610912	8284	
0.512331	-0.537143	2824	
0.722451	-0.175946	4766	
0.002940	0.113642	4549	
-0.423971	-0.256619	2143	
-0.490936	-0.576864	6077	
-0.362820	-0.680459	5623	
0.246075	0.166567	1520	
0.841848	-0.340731	1154	
0.243063	0.913165	921	
0.500253	-0.780684	1054	
0.281356	-0.553884	6117	
-0.215432	-0.676357	3772	
-0.086230	0.223387	2431	
-0.478553	-0.383512	2484	
-0.443328	-0.318551	5116	
-0.475422	-0.012447	320	
0.455915	-0.443784	5256	
0.822902	-0.307354	3662	
0.069763	-0.050434	988	
0.106658	-0.007392	5779	
0.110878	-0.618431	3031	
0.229603	0.154591	5916	
0.794255	-0.343597	5236	
0.228341	-0.350844	8232	
0.669288	0.016080	3688	
0.752425	0.564962	563	
-0.254401	0.175931	4513	
0.226643	-0.838946	4797	
-0.226706	-0.765553	5505	
0.551756	-0.432833	4485	
-0.282139	0.105653	3894	
0.379844	-0.689545	7632	
0.931017	0.116100	1132	
0.924888	0.263088	652	
-0.146160	-0.533555	4047	
-0.354099	-0.428587	325	
0.388402	-0.109205	1474	
0.973092	0.129159	952	
0.062022	-0.676373	585	
0.237413	0.189458	1148	
-0.308702	-0.558185	5547	
0.321567	-0.559701	2304	
-0.222538	-0.318189	7296	
-0.407890	-0.712223	5058	
0.368721	-0.008235	4707	
0.196132	0.917926	807	
-0.619228	-0.090258	801	
-0.386416	-0.719636	5625	
-0.542932	-0.048755	3381	
0.187764	0.071520	8250	
0.769240	0.303868	3666	
0.076518	-0.835410	8960	
-0.071853	-0.826838	3082	
0.122377	0.958006	579	
0.393494	0.002697	7019	
0.161173	0.513616	2355	
0.406249	-0.709533	2624	
-0.573854	-0.044734	8453	
-0.645892	-0.165702	360	
0.705170	0.527733	5243	
0.959251	0.135357	952	
0.813018	0.124807	2808	
-0.305042	0.321420	554	
0.970181	0.031457	4611	
-0.469790	0.323945	5516	
0.184012	0.254951	5771	
-0.148504	-0.627462	5822	
-0.015127	-0.617010	1814	
0.685359	-0.286098	1018	
-0.275018	0.411171	2153	
0.688339	0.395886	4013	
0.936307	0.162793	8809	
-0.049463	-0.403444	6286	
0.099081	0.365705	8386	
0.679235	0.559752	5169	
0.013542	-0.699112	4085	
0.746702	-0.071746	403	
0.691498	0.385145	5595	
0.393242	0.883771	4475	
0.287666	-0.574176	6974	
-0.453789	-0.021552	1260	
0.332938	-0.795456	7885	
0.527074	-0.346114	5932	
0.814450	-0.129594	3414	
-0.579693	-0.388975	3505	
0.154247	-0.701962	2193	
-0.510070	-0.569633	6298	
-0.213004	-0.512274	6966	
0.423469	0.071741	1658	
0.605248	-0.730766	7978	
-0.480277	-0.259219	2533	
0.760652	-0.295546	419	
-0.140002	-0.274361	2093	
0.811390	-0.338134	4542	
0.242684	-0.682950	1279	
0.229842	-0.680275	1279	
0.314016	-0.276746	5809	
0.279548	0.366644	5428	
-0.256972	-0.267755	7010	
0.199729	0.948278	4785	
-0.073903	0.469915	1781	
0.581627	-0.323908	6885	
-0.146791	0.493078	4052	
-0.480223	0.259665	8363	
0.416750	0.867576	4475	
0.690803	0.446782	7242	
-0.183490	0.409179	737	
0.585787	-0.577713	6727	
0.089548	-0.887067	8973	
-0.219364	-0.281603	6419	
-0.337763	0.353649	2651	
-0.289435	0.383067	7489	
0.753382	0.351619	4283	
0.769191	0.140319	3614	
0.445191	-0.863561	620	
0.405719	-0.784614	6927	
0.907603	0.160555	5357	
-0.161911	-0.863527	8574	
0.588957	0.512265	5856	
0.108737	-0.567112	1971	
-0.411806	0.280048	6666	
0.817158	-0.334736	5249	
-0.264228	-0.726793	4370	
0.725771	-0.126904	1309	
0.259969	-0.839686	3359	
-0.273060	-0.136148	322	
-0.496618	-0.408535	4153	
-0.648189	-0.214146	2228	
0.128890	0.222657	2205	
0.549702	0.615079	5000	
0.381808	-0.454544	5545	
0.182948	0.437650	2357	
0.636956	-0.341936	2786	
-0.341358	0.245724	1221	
-0.589048	0.084148	1085	
0.513561	-0.834098	6962	
0.705954	0.644563	6459	
0.166928	0.983358	3135	
-0.441018	-0.684427	3776	
0.907359	-0.255682	6488	
0.858174	0.166316	5135	
-0.219173	-0.790389	6486	
-0.227909	0.453914	3503	
0.762236	0.422710	4893	
0.287001	-0.590124	5474	
-0.204183	-0.869209	6495	
0.174537	0.500459	2355	
0.748100	-0.384076	4523	
-0.085699	-0.611789	6178	
0.792749	0.005124	1340	
0.370232	-0.056665	3002	
0.333102	-0.924697	7917	
0.725599	0.007984	1104	
0.846065	-0.117657	5803	
-0.226037	0.474520	5451	
0.050084	-0.731238	1553	
0.758000	-0.393727	6652	
0.765073	0.096376	2026	
0.306413	-0.686241	3658	
0.281736	-0.561202	6117	
0.487384	0.853983	496	
-0.292160	0.098102	3421	
0.162452	0.502929	2355	
0.106918	-0.271629	1488	
0.824308	-0.442638	4193	
