time = 0.001	Re = 1	rotation = 0
0.593533	0.687938	6869	
0.623332	-0.231860	1124	
0.296648	-0.886871	803	
0.272611	-0.044942	3631	
0.812128	-0.040858	4300	
0.393457	0.671764	6322	
0.337692	0.296006	1445	
0.141091	0.740034	2123	
0.474210	0.601348	3845	
0.520835	0.357238	6034	
0.720796	0.163319	959	
0.537890	0.516694	1542	
0.105855	-0.052905	1384	
0.186806	0.473650	6019	
0.215821	-0.729780	4698	
0.323440	-0.700974	6552	
0.222094	-0.227244	7392	
0.902498	-0.101003	7200	
0.100220	0.939518	916	
0.652482	-0.658834	8071	
0.358653	0.501014	5304	
0.607480	-0.350513	3419	
0.038694	0.268510	1944	
0.581679	-0.171845	1644	
0.474944	0.246545	3040	
0.338357	0.349166	699	
0.317758	0.556373	4542	
0.878212	0.018371	8649	
0.055617	-0.097737	8385	
0.481271	0.376841	3736	
0.216952	0.130161	7173	
0.865120	0.017073	8649	
0.082668	-0.444646	2805	
0.647857	0.682125	963	
0.264526	-0.204623	2898	
0.552151	-0.670672	5995	
0.369101	-0.707486	7410	
0.570026	0.406905	2202	
0.288343	-0.133712	5359	
0.755899	-0.208559	8409	
0.896316	0.276946	7955	
0.891914	0.359219	8269	
0.116736	0.533931	9163	
0.412171	0.350466	1439	
0.249423	-0.373813	8774	
0.965593	0.175965	5656	
0.659734	0.065753	4724	
0.230323	-0.210492	7914	
0.618758	-0.050884	1970	
0.470564	0.431679	3753	
0.287758	-0.233363	944	
0.102048	-0.815355	5376	
0.354150	0.103278	2686	
0.034563	0.937889	1629	
0.320440	-0.557795	5822	
0.140458	-0.805621	4480	
0.536918	-0.104685	4486	
0.099274	-0.295476	4530	
0.469931	0.681811	3562	
0.507649	-0.666813	7571	
0.410676	-0.720466	1305	
0.034188	0.965116	2716	
0.373131	-0.160222	1891	
0.050319	-0.269058	2929	
0.749678	-0.321942	4986	
0.489227	-0.322519	682	
0.178832	-0.658206	3585	
0.464200	0.748682	5432	
0.944336	0.215562	5600	
0.597222	0.566692	6077	
0.267621	0.357914	3112	
0.964598	0.107520	1080	
0.211835	-0.555326	2884	
0.218888	0.138928	7173	
0.617743	0.084380	2228	
0.478950	0.353684	4284	
0.607474	0.428787	4996	
0.469409	-0.088440	6479	
0.229982	0.762941	7096	
0.904716	0.290665	8531	
0.324722	0.039098	6133	
0.426222	0.770249	6384	
0.679791	-0.088420	4988	
0.483986	0.576995	3032	
0.230202	0.760365	7096	
0.314607	0.914588	1042	
0.472175	0.422696	3140	
0.154155	0.460730	2761	
0.645694	-0.570885	2242	
0.187073	0.614974	2630	
0.747429	0.348947	3835	
0.276243	-0.650459	7598	
0.704400	-0.074404	7327	
0.164208	-0.750498	469	
0.217949	0.498291	8912	
0.208731	-0.426379	6398	
0.702858	-0.637441	8286	
0.512554	0.160382	4262	
0.787755	0.212163	3955	
0.218313	-0.089881	5446	
0.878854	-0.016342	5433	
0.715533	-0.028396	901	
0.708544	-0.004428	849	
0.410348	-0.143963	4200	
0.297644	-0.198033	8900	
0.121618	0.961278	1022	
0.406259	0.138015	5081	
0.344183	0.577402	7731	
0.411091	-0.281868	5911	
0.399102	-0.396738	6580	
0.326216	0.905416	2350	
0.305348	0.765415	2324	
0.250977	0.354573	5588	
0.810288	-0.136514	4433	
0.378227	-0.807279	8812	
0.256323	0.183614	3194	
0.476453	-0.024607	4319	
0.458564	0.048727	781	
0.442720	0.704827	8517	
0.434093	0.653307	4962	
0.508515	-0.827755	4918	
0.659453	-0.587471	9170	
0.847638	0.361871	8558	
0.177507	-0.860460	5953	
0.010472	0.784089	9288	
0.134024	0.558250	2764	
0.490757	-0.061494	2643	
0.882686	-0.024063	5433	
0.413915	-0.652190	7422	
0.475857	0.566820	8910	
0.555749	-0.680822	8120	
0.144128	0.298782	1281	
0.538875	-0.349170	3879	
0.146334	-0.680407	3712	
0.129570	0.157715	1470	
0.093081	0.820997	8095	
0.083572	0.600674	2473	
0.426252	-0.053985	7251	
0.580629	0.431908	3873	
0.307752	-0.534577	3968	
0.557006	-0.805620	4715	
0.622404	0.725423	7640	
0.158617	0.984701	6826	
0.084190	-0.811169	2194	
0.936641	-0.106180	8458	
0.728180	0.483748	4900	
0.306225	-0.760764	4630	
0.443662	-0.216895	7737	
0.532540	0.690183	5965	
0.536635	0.360004	2002	
0.091139	-0.888160	8514	
0.086007	-0.525740	3167	
0.839557	0.043902	5551	
0.513374	0.299151	5046	
0.580694	0.541598	5536	
0.376208	-0.018327	486	
0.373414	-0.909055	7536	
0.310731	0.662728	4356	
0.807302	0.279241	4528	
0.367728	-0.374861	4276	
0.683334	-0.239225	5167	
0.853935	-0.005498	6835	
0.428479	0.644691	4962	
0.738120	-0.106450	1269	
0.398011	0.476968	7114	
0.449958	0.874119	7910	
0.256997	-0.236738	8500	
0.120543	-0.517029	2690	
0.228243	-0.021210	5232	
0.891238	-0.284676	9137	
0.386071	0.833068	598	
0.114079	0.262137	6982	
0.132563	-0.251644	5560	
0.324765	0.359906	685	
0.795542	0.007072	3486	
0.297014	0.771628	4090	
0.352347	0.476429	4292	
0.554764	-0.597520	6652	
0.548558	0.038737	4239	
0.148093	-0.736444	507	
0.708335	0.417436	3751	
0.612092	0.343202	4432	
0.447908	0.391707	2180	
0.377526	-0.800314	8812	
0.020260	0.959127	2219	
0.147995	-0.482744	4269	
0.215689	0.159609	5997	
0.278563	0.789448	4082	
0.169379	0.802797	7115	
0.330714	0.778136	3063	
0.512473	0.020745	2624	
0.386887	0.059791	2313	
0.677392	0.277378	9065	
0.547906	-0.455182	1869	
0.148981	0.712457	5117	
0.634656	-0.401348	5506	
0.557787	-0.278255	6634	
0.502017	-0.693247	7591	
0.426320	0.811918	5605	
0.009449	0.937719	2219	
0.289854	0.077857	4999	
0.723925	-0.222989	6129	
0.226994	-0.090507	5932	
0.915125	0.333655	2820	
0.441036	0.369743	1423	
0.919616	0.083994	5225	
0.806591	-0.078793	4344	
0.826902	0.077410	6161	
0.328112	-0.191478	8101	
0.544890	0.242841	5758	
0.379440	0.083880	2096	
0.121281	0.361273	6066	
0.286205	-0.914334	7295	
0.115311	-0.787257	7246	
0.315981	-0.507247	3554	
0.580302	0.195293	862	
0.238205	0.161536	772	
0.145541	-0.328884	1905	
0.625250	-0.278014	1313	
0.434191	0.034790	1091	
0.474036	-0.631749	3426	
0.434136	-0.625331	7394	
0.715253	0.045298	1063	
0.597601	0.297559	2060	
0.006130	0.940438	2219	
0.663452	-0.414375	7069	
0.201216	0.851204	8537	
0.309058	-0.193873	8900	
0.433463	0.856004	1898	
0.591944	-0.137022	453	
0.592489	-0.291581	5356	
0.657324	0.303961	8040	
0.821524	-0.195288	4497	
0.038534	0.969225	2716	
0.449018	0.874822	7910	
0.671574	-0.467278	5960	
0.113030	-0.455655	1104	
0.082588	0.530459	8699	
0.020963	-0.725519	1778	
0.261371	0.741904	2073	
0.179277	-0.133622	7868	
0.325285	0.166483	858	
0.052701	0.192370	8647	
0.212064	0.529777	8503	
0.189860	0.797330	5509	
0.008112	-0.819543	6256	
0.618947	-0.235739	1124	
0.473149	-0.040965	2335	
0.099038	-0.920799	8176	
0.483623	-0.083966	6479	
0.234380	-0.882494	7197	
0.124558	0.713386	2054	
0.399430	-0.237605	6584	
0.661858	0.250055	5447	
0.323715	-0.367884	4065	
0.281581	0.427573	4234	
0.561376	-0.201241	909	
0.889651	0.363348	8269	
0.355922	0.696325	2557	
0.771115	0.440284	6567	
0.633029	-0.385881	4753	
0.536828	-0.451387	2037	
0.007740	-0.950119	1790	
0.144314	0.027375	4788	
0.222397	-0.261243	8920	
0.055930	0.822339	6533	
0.332617	0.425521	2361	
0.426547	-0.397042	8627	
0.070254	-0.156381	2821	
0.387640	-0.679601	7405	
0.349398	-0.809110	7510	
0.871437	0.334315	6428	
0.193554	0.835991	7717	
0.579592	-0.088783	495	
0.641859	-0.492592	6285	
0.550343	-0.736744	1203	
0.200544	0.027908	1881	
0.098197	0.703610	8623	
0.395010	-0.534240	8092	
0.585925	0.493087	6207	
0.609146	0.157413	2199	
0.170472	0.372554	3016	
0.328984	0.605056	6210	
0.836194	-0.170276	5043	
0.416481	0.872818	8266	
0.425134	-0.812637	335	
0.643407	-0.271718	3922	
0.667858	0.143019	6566	
0.405097	0.790286	6052	
0.065453	0.370889	7903	
0.231148	0.077506	714	
0.773528	0.492395	5904	
0.721396	-0.034938	9207	
0.193434	-0.589061	3002	
0.535344	-0.124907	3949	
0.079424	0.453677	2840	
0.246118	-0.927125	1582	
0.407677	0.755094	6455	
0.431562	-0.432260	7189	
0.223516	-0.950718	3388	
0.008323	0.854797	8290	
0.693563	0.409602	2271	
0.596139	0.073875	1242	
0.455779	0.199931	717	
0.653828	-0.254574	3573	
0.668147	-0.086899	4375	
0.084533	-0.533737	1635	
0.081016	-0.356047	2878	
0.611062	-0.265359	1387	
0.726583	0.355392	3811	
0.144027	-0.664059	2181	
0.063964	-0.471399	352	
0.347533	-0.823851	6266	
0.602658	0.428149	4996	
0.156906	-0.315882	1905	
0.727576	0.325908	3287	
0.854569	0.108352	6245	
0.024871	-0.885384	5370	
0.080095	0.034194	2863	
0.457337	0.649138	5767	
0.668697	0.091167	5649	
0.589604	0.792371	7584	
0.574921	-0.156937	6086	
0.702666	-0.286288	7271	
0.157022	0.368095	3016	
0.034841	0.770380	8271	
0.844873	0.019411	6381	
0.127932	0.242818	589	
0.239599	0.261503	2932	
0.477117	0.170710	6575	
0.253028	-0.598233	7279	
0.638377	0.520849	3377	
0.359528	0.417436	4335	
0.587994	0.618599	7206	
0.204665	0.592589	5133	
0.266004	-0.403737	9224	
0.189795	0.041560	3068	
0.375478	-0.516176	6363	
0.684891	0.337789	3293	
