time = 40.3	Re = 1	rotation = 6.41379
-0.841426	0.343336	457	
0.212522	-0.622838	779	
-0.297208	0.887529	2588	
-0.141283	-0.465403	4603	
-0.220905	0.790848	8552	
0.549650	0.558999	3489	
-0.491826	-0.280464	6605	
-0.643682	0.319059	5890	
0.731745	-0.223543	4164	
-0.117769	-0.025354	2529	
-0.507439	0.567665	507	
-0.433981	-0.611859	3551	
-0.490436	0.336364	4772	
0.073708	-0.526989	8748	
-0.341061	0.710714	2174	
-0.448939	-0.629748	3350	
-0.327184	-0.491223	6837	
-0.073089	0.905386	6918	
0.309144	-0.891624	2097	
-0.426757	0.829521	4734	
-0.396128	-0.513692	3724	
-0.123649	-0.680756	2044	
-0.210293	0.274856	8148	
-0.013582	-0.392508	6884	
-0.533602	-0.039386	538	
-0.541198	0.038265	5701	
0.597359	0.308679	4889	
0.876147	0.047499	8523	
0.198493	-0.431660	1611	
-0.441140	-0.452412	2199	
-0.560317	0.082976	5468	
0.642979	-0.585130	7042	
-0.605521	0.150671	7423	
-0.324669	-0.882933	1170	
-0.093390	-0.445111	7573	
0.167697	-0.856431	3625	
0.795932	-0.055923	5959	
0.569868	-0.398414	6707	
-0.135446	-0.370787	7073	
0.690675	-0.360075	7139	
-0.798377	-0.492281	684	
0.217811	-0.937270	1042	
-0.161836	0.083108	3891	
-0.421159	0.147446	3066	
-0.116490	-0.535476	4351	
0.813382	-0.549904	4107	
-0.632813	0.112121	2845	
-0.237487	-0.518275	7326	
0.021419	-0.511124	3899	
-0.406422	0.522241	794	
-0.126764	-0.343360	5097	
0.636318	-0.482632	3694	
-0.236695	-0.348430	3132	
-0.017794	-0.933096	928	
0.409562	-0.593961	9010	
0.690547	-0.394213	8643	
-0.447820	0.037449	3502	
0.062205	-0.587742	3531	
-0.398431	-0.727072	3751	
-0.827178	0.137018	1652	
-0.489249	0.697790	5978	
0.963232	-0.046794	6797	
-0.338517	-0.117428	810	
0.105184	-0.274278	8505	
-0.201567	0.799085	9117	
-0.006258	-0.437816	8004	
0.279308	0.617564	4147	
0.254727	0.842796	6886	
0.386236	-0.889503	1022	
-0.717377	-0.409549	4853	
-0.472199	0.168793	2114	
0.371823	-0.897790	6826	
0.187881	-0.535963	5263	
-0.565495	0.064613	6901	
0.016566	-0.531401	4543	
0.002916	-0.368954	4699	
-0.691855	-0.285435	1237	
-0.443555	-0.136331	1227	
0.067439	0.781359	4904	
-0.358003	-0.880377	460	
-0.198604	-0.352041	1953	
0.256912	0.841204	6886	
-0.277477	0.656290	8624	
0.221752	-0.742152	8287	
0.197948	0.757343	4815	
0.947725	-0.192563	7282	
-0.200281	0.236251	7635	
-0.145053	-0.588186	467	
-0.080666	-0.857354	3160	
0.630821	-0.146150	4757	
-0.814233	-0.131128	5976	
0.106670	-0.699011	6490	
0.154202	-0.685728	2028	
-0.101314	0.738797	7958	
-0.047285	-0.581784	1610	
-0.608129	-0.070678	5023	
-0.946493	-0.071140	8053	
-0.521501	-0.100561	5173	
-0.655807	0.488790	3693	
-0.540794	-0.270510	1970	
0.876921	0.041396	9232	
0.639467	-0.285721	1193	
0.197494	-0.683888	3203	
-0.393308	-0.098141	2837	
-0.157063	-0.309196	5165	
0.967189	0.045257	5339	
-0.296400	-0.345566	6947	
-0.297030	-0.616957	2993	
-0.312083	-0.056329	5382	
-0.012213	-0.494809	4234	
0.872413	-0.406359	3342	
-0.606406	-0.556110	4600	
-0.437382	0.188582	1628	
-0.637291	0.524532	1786	
0.845622	-0.278603	7064	
-0.485148	-0.326895	8060	
-0.427827	-0.202635	2335	
-0.378338	-0.269354	4373	
-0.167300	-0.814324	7298	
0.271937	0.738079	7711	
-0.623228	-0.745838	4054	
0.836710	-0.281896	5996	
-0.905659	0.169523	947	
-0.241033	-0.835137	6935	
-0.677018	-0.296060	559	
-0.084545	-0.068595	6430	
-0.458302	-0.147371	3817	
0.848801	0.241231	3534	
-0.151972	-0.756733	4083	
-0.557603	-0.499771	2945	
0.660006	-0.587132	7726	
0.080321	-0.433140	1984	
-0.093742	0.056215	6319	
0.210311	0.641130	2926	
0.115922	-0.515956	4638	
-0.694451	0.393000	8644	
-0.386734	0.473313	4342	
-0.386687	-0.174969	7251	
-0.178433	0.712247	2941	
0.338022	-0.611776	2139	
-0.269121	-0.942053	3664	
0.425842	-0.858652	2305	
0.270339	0.960125	3663	
0.041301	-0.782281	2557	
-0.878641	-0.340958	8622	
0.788927	0.379805	6495	
0.318839	0.752757	1349	
-0.401459	-0.015378	1514	
0.680561	0.547898	5487	
-0.299834	0.610011	4101	
0.275663	-0.843724	1841	
-0.618784	0.112738	2748	
-0.590993	-0.597374	5451	
-0.112895	-0.204782	3437	
-0.020396	0.794381	6586	
-0.308085	-0.218541	3665	
-0.334062	-0.924535	6840	
-0.732983	-0.074835	5259	
0.363831	-0.789747	7370	
-0.083334	-0.331538	1546	
0.657913	0.309811	527	
0.020353	-0.852009	4780	
0.707338	0.330539	2291	
-0.606811	0.422889	3184	
-0.271319	-0.578873	2002	
0.907864	0.378307	5647	
-0.086618	-0.469220	7579	
0.125244	-0.410914	6158	
-0.510797	-0.315232	1362	
-0.920455	0.165785	8751	
-0.859753	-0.322466	9024	
-0.534738	-0.359407	4093	
-0.075527	-0.144847	595	
-0.519835	0.095144	5239	
0.653370	0.453672	4078	
-0.507297	-0.649866	2920	
-0.623016	0.010468	2918	
0.012375	0.816568	7211	
-0.499289	-0.003303	7492	
0.710091	-0.129473	2798	
-0.816938	-0.095553	4986	
0.476501	-0.555608	6949	
0.052517	-0.483947	1065	
0.681242	-0.568127	7479	
0.898327	-0.331759	676	
-0.153146	-0.005943	6394	
-0.538904	0.128069	6987	
-0.036362	-0.829755	8439	
-0.755987	0.262915	5030	
0.551653	-0.658099	9136	
-0.471694	-0.184310	3177	
-0.291873	-0.280050	3176	
-0.222454	0.712188	2767	
0.660774	-0.255356	8197	
0.595296	0.391814	870	
-0.737211	0.126714	4257	
-0.574402	0.162835	8770	
-0.512588	-0.687608	5383	
-0.885771	-0.238286	8903	
-0.041891	-0.931322	928	
-0.186068	-0.457070	4972	
-0.685435	-0.328470	7103	
-0.437514	-0.407066	1806	
0.705588	-0.672360	3491	
-0.171498	-0.118179	2769	
-0.846527	0.367637	1987	
-0.010890	0.805681	7268	
-0.823358	-0.091830	5872	
-0.239458	-0.203525	4669	
-0.158079	-0.149780	4928	
-0.274202	-0.307207	4298	
-0.542142	-0.345926	4145	
-0.957571	0.031552	2119	
-0.755512	-0.138735	7271	
-0.035667	-0.155585	5907	
0.002158	-0.384185	6482	
-0.562543	-0.176944	5774	
-0.227433	0.099624	1040	
-0.428976	0.595273	6622	
-0.356092	-0.255449	1091	
0.748885	-0.250983	5029	
-0.617050	-0.459853	1747	
0.673162	-0.201803	8157	
0.647745	0.176948	3592	
0.123680	-0.928277	1250	
0.596906	-0.518493	4380	
0.633897	0.592672	6227	
-0.187947	-0.267331	5192	
0.749828	-0.600019	6925	
-0.028222	-0.362704	6450	
-0.010163	-0.634411	5278	
0.163283	0.698228	1589	
-0.606678	-0.587144	5451	
0.956135	0.157034	5597	
0.904399	0.386996	5647	
-0.233134	0.796517	5990	
