time = 0.001	Re = 1	rotation = 0
0.593533	0.687938	8427	
0.623332	-0.231860	3059	
0.296648	-0.886871	8636	
0.272611	-0.044942	4660	
0.812128	-0.040858	6578	
0.393457	0.671764	3821	
0.337692	0.296006	6902	
0.141091	0.740034	3537	
0.474210	0.601348	5701	
0.520835	0.357238	3378	
0.720796	0.163319	557	
0.537890	0.516694	4578	
0.105855	-0.052905	6737	
0.186806	0.473650	7228	
0.215821	-0.729780	4099	
0.323440	-0.700974	6349	
0.222094	-0.227244	1327	
0.902498	-0.101003	4617	
0.100220	0.939518	355	
0.652482	-0.658834	8464	
0.358653	0.501014	5238	
0.607480	-0.350513	3856	
0.038694	0.268510	522	
0.581679	-0.171845	1378	
0.474944	0.246545	6709	
0.338357	0.349166	1361	
0.317758	0.556373	5099	
0.878212	0.018371	6411	
0.055617	-0.097737	5423	
0.481271	0.376841	1735	
0.216952	0.130161	2513	
0.865120	0.017073	6673	
0.082668	-0.444646	2971	
0.010041	0.684674	1200	
0.647857	0.682125	691	
0.264526	-0.204623	4898	
0.552151	-0.670672	2883	
0.369101	-0.707486	5923	
0.570026	0.406905	1206	
0.288343	-0.133712	7390	
0.755899	-0.208559	4194	
0.896316	0.276946	930	
0.891914	0.359219	808	
0.116736	0.533931	1977	
0.412171	0.350466	5095	
0.249423	-0.373813	6198	
0.965593	0.175965	718	
0.659734	0.065753	4458	
0.230323	-0.210492	668	
0.618758	-0.050884	1625	
0.470564	0.431679	1815	
0.287758	-0.233363	8092	
0.102048	-0.815355	8158	
0.354150	0.103278	8050	
0.034563	0.937889	7839	
0.320440	-0.557795	3930	
0.140458	-0.805621	1619	
0.536918	-0.104685	3266	
0.099274	-0.295476	2423	
0.469931	0.681811	5256	
0.507649	-0.666813	2339	
0.410676	-0.720466	5628	
0.034188	0.965116	7839	
0.373131	-0.160222	4838	
0.050319	-0.269058	1014	
0.016089	-0.538532	2211	
0.749678	-0.321942	8369	
0.489227	-0.322519	2157	
0.178832	-0.658206	8541	
0.464200	0.748682	5606	
0.944336	0.215562	4864	
0.597222	0.566692	5185	
0.267621	0.357914	2988	
0.964598	0.107520	5018	
0.211835	-0.555326	9105	
0.218888	0.138928	3233	
