time = 5	Re = 1	rotation = 0.795616
0.604125	0.353507	6489	
-0.141048	0.241018	1923	
-0.436305	-0.871402	9102	
0.313969	0.347685	5300	
0.180256	-0.598726	5887	
0.400038	0.538968	6658	
0.432802	-0.215774	6355	
-0.173363	0.934585	1065	
0.595575	-0.102818	9283	
-0.140828	-0.453256	8659	
0.238389	-0.379267	7329	
-0.721805	0.353437	5930	
-0.268294	0.735622	2070	
-0.648297	-0.658088	5229	
-0.624275	-0.468528	4484	
-0.355904	0.495668	3888	
0.679228	-0.458352	1519	
0.471175	0.682105	6272	
-0.270012	-0.647036	8013	
0.539790	0.174915	4433	
-0.195940	0.293694	1942	
-0.900508	0.338564	2649	
0.931942	0.260591	5596	
0.016310	0.238493	4479	
-0.161816	-0.286401	3224	
0.540976	-0.116005	6931	
0.324254	0.554002	5436	
0.919366	0.264112	545	
0.624624	-0.448789	2115	
-0.894447	0.087221	2830	
-0.965292	-0.065303	4887	
-0.433918	0.001771	6358	
0.066077	0.573699	2521	
0.555137	-0.491983	1324	
-0.868425	-0.373620	1077	
0.628941	0.387111	954	
-0.053885	0.510174	509	
-0.525015	-0.362652	3726	
-0.600271	-0.441690	2552	
-0.122050	-0.382952	4952	
0.275735	0.362449	4258	
-0.248319	-0.489482	2667	
0.848984	0.009923	6381	
0.854402	0.150019	2200	
-0.035797	0.961162	9385	
-0.682899	0.639311	875	
0.116406	-0.317352	2726	
-0.558152	0.345987	4018	
0.943652	0.095665	9115	
-0.245763	0.050169	4395	
-0.273353	0.516095	7402	
-0.072444	0.139608	7730	
0.015807	0.484165	6261	
0.606224	0.672914	4911	
0.148495	-0.154397	4674	
-0.691045	-0.024218	8040	
0.127190	0.161656	4694	
-0.859118	-0.058561	6299	
0.536150	0.361658	4499	
-0.579448	-0.256158	6958	
0.645622	0.653441	6384	
-0.568336	-0.452551	2848	
0.288085	0.016290	391	
-0.922428	-0.177603	7814	
-0.239717	-0.534268	6510	
0.393663	-0.060189	851	
-0.719054	-0.571997	5250	
0.407879	0.598796	1227	
0.913241	0.080903	693	
0.609698	-0.163871	8509	
-0.176276	-0.877170	6246	
0.310031	0.486554	2431	
0.814307	0.350670	1369	
0.937013	0.002276	1024	
-0.752987	-0.286042	2750	
0.081573	0.569808	2016	
0.001366	0.943887	1663	
0.176446	-0.884009	4328	
-0.874579	0.179933	8963	
-0.181033	0.001511	4664	
0.811059	0.298327	8485	
-0.354492	-0.168230	3246	
0.138359	-0.430033	2640	
0.137482	0.068162	7990	
-0.427434	0.831645	6213	
0.864104	0.065889	7146	
0.231343	-0.130752	1615	
