time = 500	Re = 1	rotation = 79.5774
-0.911672	0.088510	575	
0.650171	-0.181710	4155	
0.881526	0.312683	817	
-0.047181	-0.035521	697	
0.513721	-0.628368	9046	
-0.787544	0.055615	4521	
0.151180	-0.462215	3428	
0.739908	-0.195056	1868	
-0.264044	-0.755453	7290	
0.651718	0.006752	2673	
0.569275	0.460935	8184	
0.516144	0.582393	8462	
0.025453	0.052478	705	
0.364734	0.406042	4249	
-0.130306	0.744157	1882	
-0.360190	-0.728533	7745	
-0.026660	-0.258959	2949	
0.781924	0.470014	8995	
0.934756	-0.101059	5271	
-0.927421	-0.021150	9062	
0.581368	-0.342136	2922	
0.408434	0.619885	2003	
-0.402962	0.322136	5442	
-0.024879	0.489920	8449	
-0.061055	-0.367713	1435	
0.520306	0.149543	7694	
-0.199130	-0.666750	8197	
-0.167695	0.368656	7666	
0.726355	0.491726	4413	
0.330300	-0.002792	7188	
0.079932	0.091391	813	
-0.497592	0.400842	465	
0.346195	-0.247566	1372	
0.342089	-0.793294	6936	
-0.191306	0.579331	845	
0.285140	-0.610061	3540	
0.006949	-0.938497	9500	
-0.433864	0.102852	1853	
-0.869358	-0.073401	4383	
-0.701912	0.404123	7052	
-0.635262	0.320194	6301	
0.417271	-0.092164	4745	
-0.722398	-0.284109	730	
-0.904770	0.243655	564	
-0.900859	0.341937	983	
0.142670	0.536357	8761	
-0.375913	0.440645	8701	
0.549799	0.126777	5503	
-0.131429	-0.970980	2254	
0.076145	-0.635097	7861	
0.148566	-0.372231	1733	
0.319222	0.354958	3974	
-0.589365	0.315327	5165	
0.266016	0.165251	3241	
-0.452741	-0.685553	7196	
0.102259	0.119743	7159	
-0.922512	-0.154380	1030	
-0.054028	-0.667539	7183	
-0.355803	-0.750627	5369	
-0.038628	0.376227	5870	
0.511392	-0.231153	4675	
0.806792	-0.229085	5772	
-0.831189	0.144321	7800	
-0.122001	-0.833566	1904	
0.797186	-0.547189	6887	
0.455389	-0.116279	7117	
0.478278	0.109828	5372	
0.279869	0.487221	3294	
-0.211261	-0.804905	9395	
0.089103	0.395049	1957	
0.020861	-0.700304	7426	
0.737067	-0.490258	5014	
0.423925	-0.869855	6909	
0.801713	-0.211516	4221	
0.410414	0.251051	343	
0.967480	-0.076184	5444	
0.257602	0.576950	7415	
-0.118847	0.213231	8788	
0.372806	0.356983	8688	
0.316458	0.360320	3974	
-0.734729	0.152693	8014	
-0.141861	0.344359	1221	
-0.404423	0.695034	5332	
-0.937655	-0.158634	555	
-0.065883	0.129659	3720	
0.407890	0.311762	3623	
0.609811	-0.640837	4522	
-0.431196	-0.426847	8849	
0.749140	0.148664	7396	
0.799195	0.092447	6751	
0.861085	-0.440616	1139	
-0.217254	-0.472840	324	
0.143261	0.420817	582	
-0.478149	-0.728294	7881	
-0.406597	-0.519909	2002	
-0.069469	-0.825977	1028	
-0.404913	0.605574	6840	
0.329147	-0.625031	4572	
0.068231	0.750564	3125	
0.418857	0.421122	6875	
0.520066	0.253660	2540	
0.006240	0.948769	2525	
0.042070	0.315876	4979	
-0.171249	-0.810807	1740	
-0.221544	0.012754	5378	
0.575765	0.671938	7889	
-0.278711	0.641204	4420	
0.057053	0.658219	7266	
-0.212118	-0.416951	583	
0.324193	-0.345033	4553	
-0.221910	0.324790	6698	
0.965004	0.070612	2867	
-0.112780	0.283483	3999	
-0.355313	0.602933	3698	
0.326154	0.232772	3980	
0.312462	0.342439	4504	
-0.570288	-0.779708	2007	
-0.165799	0.805654	5587	
0.438612	0.236271	2256	
0.521417	0.655502	7495	
-0.825865	-0.344370	332	
0.207529	0.122278	5521	
0.334039	-0.354984	4648	
0.455844	0.005377	7484	
0.233224	0.807205	6047	
0.693055	0.381704	7612	
0.577511	-0.780341	5236	
-0.350926	-0.822251	8299	
-0.795588	0.475385	8869	
-0.220033	-0.854835	7848	
-0.681627	-0.308647	5044	
0.291346	0.583976	584	
0.494874	-0.139048	2837	
-0.734710	-0.484043	6906	
0.495349	-0.617262	7868	
0.709818	-0.287684	3087	
-0.334481	0.812853	6972	
-0.177355	0.436823	4531	
-0.043004	-0.623126	6558	
-0.290755	0.637489	4420	
-0.193962	-0.076815	4852	
0.815094	0.078989	3136	
-0.359984	-0.512245	1297	
0.420094	-0.198747	7582	
-0.600439	0.422704	1984	
-0.564506	-0.227539	6930	
-0.352132	-0.530885	8833	
-0.772391	0.598811	323	
0.931054	0.217716	1323	
0.995608	-0.024387	8830	
0.704049	0.392183	2022	
-0.421204	-0.843060	1549	
0.847377	-0.221814	5135	
-0.782651	-0.250213	7101	
-0.301453	0.399880	9001	
0.874389	-0.039074	6431	
-0.643370	0.161463	6425	
-0.146220	-0.877486	3457	
-0.415318	0.517808	2775	
0.509700	0.684148	9477	
-0.301299	0.507139	7026	
0.780431	0.193328	3741	
-0.347460	0.161953	9536	
-0.750205	-0.632266	3293	
-0.441097	-0.629806	8720	
-0.678493	-0.505222	6356	
0.160708	0.325768	9129	
