time = 32	Re = 1	rotation = 5.0928
-0.614478	-0.676433	8420	
-0.064713	-0.589112	4824	
-0.892897	0.278779	5405	
0.274063	-0.108239	3343	
-0.005223	-0.803005	2832	
-0.144594	-0.767466	8516	
0.198153	-0.449227	917	
-0.231047	0.703236	5220	
-0.698297	-0.309902	1353	
0.631751	0.009398	2632	
0.716499	-0.172803	3053	
-0.186008	0.723203	5794	
0.070512	-0.060024	790	
0.435505	0.289886	5862	
0.600712	0.460357	9745	
-0.257098	0.734807	3953	
-0.377902	0.345857	3768	
-0.887871	0.189565	7807	
0.852633	-0.401211	1113	
-0.923306	0.093980	9620	
0.630435	-0.218930	5500	
-0.050387	0.678012	5486	
0.389765	0.149039	1995	
0.405644	-0.452519	2019	
0.262101	-0.463773	3457	
0.551605	-0.134932	502	
0.227406	0.564637	3535	
0.468104	0.083064	4883	
-0.196921	0.853633	4153	
0.270811	-0.342746	6223	
0.423296	-0.065116	7022	
0.582861	0.120982	5256	
0.329795	-0.030308	7700	
0.308635	0.812446	1301	
-0.418361	-0.338020	7779	
0.393892	-0.854348	8349	
-0.042110	0.229239	4714	
0.721793	0.485970	7795	
-0.774702	-0.199032	2405	
-0.701884	-0.000532	7940	
0.389959	-0.176589	4691	
-0.744644	0.247156	6325	
-0.169689	-0.922388	2826	
0.635146	-0.722004	9504	
-0.081912	-0.611985	447	
0.570131	-0.049058	919	
-0.028505	-0.405113	1672	
0.913461	-0.360750	292	
0.432732	-0.497178	3931	
-0.156937	0.375914	5620	
0.530361	-0.324107	730	
0.585076	-0.323495	2843	
-0.313373	0.378744	3516	
-0.796345	0.120789	2446	
0.144835	-0.168038	4488	
0.749734	-0.559507	1211	
-0.252987	-0.565866	411	
-0.804007	0.043633	3445	
-0.035679	-0.267032	5383	
-0.187599	-0.215363	2955	
0.671959	0.489351	2603	
0.597585	-0.596232	9145	
0.196819	-0.807574	7538	
0.889148	0.373227	1154	
0.418266	-0.183130	9627	
-0.310307	-0.163750	7388	
-0.059101	-0.806451	4317	
0.261461	-0.530708	9744	
0.052326	0.674164	8595	
-0.880172	0.074566	6265	
0.698842	-0.670944	8844	
0.820445	0.081280	4146	
0.531022	0.052389	1110	
0.669633	-0.702989	9327	
-0.487819	-0.344910	2098	
0.068016	-0.012169	4697	
0.590170	-0.189138	4782	
0.570443	0.098669	6179	
0.302690	0.693748	1564	
-0.108161	0.303454	2971	
0.434101	-0.669877	3573	
0.238779	-0.919147	358	
0.264224	-0.208465	5561	
-0.192269	-0.324758	536	
-0.880734	0.055979	6265	
-0.485670	-0.365478	4818	
-0.697101	0.322676	5714	
0.337085	-0.718861	2246	
0.946720	0.198068	1621	
0.642083	-0.142135	4145	
0.426508	0.299008	5862	
0.788041	0.345299	5664	
0.684869	0.022147	5818	
0.779287	-0.275162	3492	
-0.284423	-0.676644	2176	
0.116324	0.651855	6364	
0.667261	0.340305	1514	
0.508563	0.267355	2057	
-0.027933	-0.512289	9284	
-0.714964	-0.624659	1013	
0.051924	-0.373428	1127	
0.371933	-0.723639	3210	
0.380552	-0.159976	3934	
-0.187699	0.856320	5263	
-0.705328	0.065828	614	
0.103515	0.654171	6556	
0.216615	0.459075	1751	
0.240248	0.019169	754	
0.055792	0.114010	7671	
0.876310	0.411513	1200	
0.414216	-0.183198	5172	
-0.700717	0.031243	8233	
-0.151055	-0.177236	2229	
0.163485	-0.553418	1038	
0.961978	0.027647	8186	
0.693876	0.442522	4531	
0.518189	0.076548	7361	
0.291655	-0.763890	4346	
0.238922	0.860957	7023	
-0.164220	0.334327	2698	
-0.021704	0.168547	1645	
0.316052	-0.004348	5024	
0.543734	0.654384	7943	
0.027138	-0.784252	3028	
-0.319050	-0.918202	2244	
0.176505	0.865972	7530	
-0.611793	-0.694431	8561	
0.854956	0.170357	7004	
-0.665268	0.363530	5182	
-0.197174	-0.535690	4615	
-0.385685	0.311856	4705	
-0.325080	0.819374	7201	
-0.424292	0.659483	2974	
-0.151629	0.727187	1465	
0.448250	0.770155	7465	
0.470859	0.112558	1596	
0.107987	-0.609774	6187	
-0.137739	0.681635	1133	
-0.323340	-0.031631	4865	
0.803685	-0.095679	4310	
0.324572	0.399226	1526	
0.317491	-0.041913	5638	
0.684677	-0.265522	3524	
-0.213984	-0.514451	2914	
-0.383353	-0.358670	1071	
-0.014134	-0.979907	8466	
0.812333	-0.504108	8252	
0.232149	0.970310	2331	
-0.607139	0.519583	5398	
-0.403719	-0.853689	9354	
-0.540722	0.688591	5710	
-0.354975	-0.757814	7942	
-0.373139	-0.073095	8283	
-0.729090	0.484769	6501	
0.607656	-0.266209	3747	
0.740326	0.481717	7067	
0.216595	0.534345	3956	
0.837426	0.007259	6849	
0.588584	-0.001617	783	
0.072365	-0.787959	4056	
0.190130	-0.154504	5889	
-0.122949	-0.975649	2235	
-0.159391	0.721445	1426	
0.470133	0.729950	8288	
0.050696	-0.492813	2166	
-0.363263	-0.652388	7778	
0.705696	0.473887	7315	
-0.396198	-0.704511	1786	
0.733672	0.062459	2786	
0.646806	-0.130257	3420	
0.814740	0.551477	1969	
-0.397023	0.325955	2912	
-0.626804	-0.158667	5491	
0.333351	-0.129427	2165	
-0.739949	-0.573304	9839	
-0.048689	-0.916673	7966	
0.526499	-0.017951	3190	
-0.437465	-0.084076	578	
0.557310	-0.042226	6015	
-0.659384	-0.425371	2475	
0.641961	0.526700	1953	
0.566188	0.189790	3317	
-0.181689	-0.797214	2399	
0.013381	-0.327608	3556	
0.471893	-0.581493	3760	
0.778216	-0.272963	3492	
-0.504606	0.498407	5298	
0.554262	0.149714	7788	
0.468746	0.763834	7713	
0.942121	0.170222	1171	
-0.238739	-0.333472	2721	
-0.042479	0.170051	771	
0.317148	0.783624	9647	
0.456008	0.099726	3191	
0.811785	-0.005150	4195	
-0.039989	0.843296	8457	
-0.405630	-0.028825	2416	
0.157452	-0.160907	5049	
0.641674	-0.361691	5999	
-0.500623	-0.516984	3338	
0.599771	0.375132	2379	
0.598688	0.437376	9753	
0.400386	-0.489081	2020	
0.858432	-0.004980	7024	
-0.127399	-0.908287	505	
0.742557	-0.567380	5198	
0.260021	-0.247542	8485	
0.460879	0.634887	312	
0.374768	-0.131004	3488	
0.876501	-0.425817	4282	
0.556939	0.097620	5302	
-0.768364	-0.511147	833	
-0.156416	-0.787018	8516	
0.739965	-0.377458	4560	
0.119742	0.064343	9809	
0.588137	-0.104066	1634	
0.144051	-0.147600	3913	
0.250370	0.245435	2315	
-0.843545	-0.453115	1092	
0.080550	0.764025	867	
-0.130258	-0.507570	6691	
0.598487	-0.101164	1634	
0.097090	0.043640	9641	
-0.097000	-0.304029	4270	
0.231196	0.458912	5810	
0.262196	-0.026836	3156	
-0.796636	-0.010820	4131	
0.020380	0.760439	4325	
-0.694448	-0.087193	5900	
-0.017846	-0.616556	7592	
0.805439	-0.479803	1879	
-0.701171	0.358460	6327	
-0.830703	0.263815	5438	
0.104556	0.076299	4655	
0.944199	-0.173111	4512	
0.424947	-0.434874	6237	
-0.084249	-0.578049	4227	
0.189857	-0.687607	5970	
0.842156	-0.036902	6614	
0.826010	0.506813	275	
0.810801	0.557608	8978	
-0.028851	-0.812795	2924	
-0.306191	-0.317763	3208	
-0.394932	-0.414299	4514	
0.537646	-0.455565	4618	
0.116653	-0.775321	4689	
0.349371	-0.299466	4494	
0.019718	0.056127	4100	
0.218474	-0.422568	1839	
0.656516	-0.020532	4304	
0.811335	0.045164	4158	
-0.512406	0.610170	3329	
0.001257	-0.607615	7565	
0.768647	0.598827	2700	
-0.000821	0.144187	1633	
-0.497697	0.776554	1240	
-0.353449	0.339681	1654	
-0.263746	0.871633	6137	
0.702770	-0.179939	4398	
-0.468202	0.018456	371	
-0.418902	-0.120386	3404	
-0.566732	0.430432	4083	
-0.007635	-0.411045	1491	
0.432655	0.216774	8646	
0.329083	-0.492805	572	
0.627183	-0.728429	3486	
0.026228	-0.781993	3028	
-0.822699	0.336756	8088	
0.742228	-0.042826	8653	
-0.692616	0.181454	8389	
-0.937350	0.137698	9787	
0.142937	-0.235246	4010	
-0.476978	-0.010722	9368	
0.728825	-0.343426	7480	
0.477138	0.198264	7652	
0.218150	-0.559250	8673	
-0.006589	0.203452	3097	
-0.705532	0.368002	6327	
0.622550	0.632821	9260	
-0.265319	-0.895594	1692	
-0.366689	0.769616	8448	
0.259527	-0.497421	5450	
-0.412202	-0.722826	7684	
-0.799709	0.457512	7891	
0.320837	-0.242619	2299	
-0.381364	-0.630860	1793	
0.195629	-0.652335	5945	
-0.767354	0.076964	1668	
0.613626	-0.100187	1601	
0.323336	0.219478	2888	
0.072378	-0.693342	4045	
0.781806	0.328632	5664	
0.962880	0.093065	2597	
-0.646463	0.652329	9593	
0.541147	0.367288	3056	
-0.341858	-0.365140	9104	
-0.856183	-0.235848	8540	
0.204517	0.296615	4907	
0.228325	-0.270756	7870	
-0.620662	-0.679966	8420	
-0.510514	-0.480629	1441	
0.310657	0.383385	9235	
-0.013916	-0.305300	527	
0.630371	0.129431	2486	
-0.848431	-0.446146	1144	
-0.450150	0.734135	6596	
0.115498	-0.598256	6187	
-0.465989	-0.859260	936	
0.099252	0.826457	2527	
0.224552	-0.769995	3865	
0.495916	-0.340467	5802	
-0.110339	-0.152362	1357	
0.388713	0.616865	1308	
-0.096883	-0.580323	7813	
0.220129	0.459347	1179	
-0.094366	-0.394240	6684	
-0.144478	-0.537015	8202	
0.270376	-0.758841	2492	
0.473919	0.499834	4669	
-0.416760	0.536721	5115	
0.199958	0.871823	7264	
0.488315	0.589950	4608	
-0.137387	-0.244873	5381	
-0.262411	-0.756292	9063	
0.383402	0.780912	8781	
0.869944	0.079492	6394	
0.405893	-0.108184	4575	
0.377341	-0.707233	3280	
-0.055131	-0.601992	5035	
0.831214	0.534759	429	
0.332202	-0.485650	611	
0.377757	0.686325	605	
0.304177	0.224173	4665	
0.001497	0.722860	1743	
0.821760	0.177016	7445	
0.472491	-0.278523	6118	
0.133482	-0.412740	322	
-0.141406	-0.133974	1857	
0.178031	-0.656340	5945	
0.825301	0.003453	4195	
0.498979	0.181208	8805	
-0.041694	0.851553	8457	
0.362096	0.428554	3847	
0.008765	-0.491493	9447	
0.264794	-0.279982	3941	
-0.557534	-0.286530	2250	
-0.464097	0.608978	6844	
-0.114056	-0.367780	6428	
0.053230	-0.821113	4139	
0.180629	-0.326877	684	
0.273844	0.798055	8112	
0.638686	-0.287880	3616	
0.403173	-0.111711	4575	
0.458448	0.287854	6926	
0.677811	0.264826	7554	
-0.507991	0.035395	3464	
0.653179	0.312678	7544	
0.331321	-0.456919	5340	
0.633205	0.411143	2534	
-0.771351	0.010734	1954	
0.959060	0.005139	4124	
-0.696881	0.583128	4750	
-0.485940	-0.540270	7152	
0.621688	0.372617	5809	
-0.654713	0.626445	537	
0.228382	-0.288777	1877	
-0.907951	0.117247	7093	
0.415766	0.261331	7574	
-0.398531	0.311461	6079	
-0.885133	0.131430	7211	
0.948460	-0.240594	9463	
0.737252	-0.131281	2987	
0.713646	0.430695	7859	
0.462050	-0.387232	5883	
-0.364383	-0.393027	6491	
-0.502176	0.705121	6221	
0.749528	-0.563959	1211	
0.116261	-0.980138	2953	
-0.270300	0.807071	5536	
-0.085367	-0.230499	2245	
-0.741759	-0.244695	4450	
-0.255227	-0.590555	8897	
-0.737028	-0.252215	4450	
0.527329	-0.467157	4496	
0.612108	-0.410937	5330	
0.587538	0.450580	9779	
0.506307	-0.399229	4257	
-0.067524	0.251662	597	
0.832208	-0.242001	6522	
-0.148200	-0.923071	2826	
-0.738843	0.308876	5377	
0.799452	0.584401	6665	
-0.046124	-0.956901	4204	
-0.447392	-0.825156	921	
0.815017	0.279150	5407	
-0.636848	-0.132957	6008	
-0.388362	0.557789	5110	
-0.394163	-0.829651	9202	
0.329590	-0.128944	555	
0.347127	0.709947	1851	
-0.184037	-0.211060	3586	
0.496242	0.749397	7104	
-0.194609	-0.791062	2399	
0.105444	-0.601403	5949	
-0.806771	-0.454137	5345	
-0.059906	-0.233270	2055	
0.049032	-0.511620	1605	
0.632859	0.227331	3551	
0.239502	-0.530175	9669	
-0.813331	0.449071	9521	
0.665959	-0.448520	7950	
0.570173	-0.024440	6166	
0.476388	0.630616	313	
-0.878561	-0.355127	571	
0.446299	0.166854	323	
-0.034379	-0.242088	2960	
0.368674	-0.879455	8271	
0.765371	-0.263184	2794	
-0.389583	0.345543	3463	
-0.440466	0.629552	1938	
-0.547418	-0.784159	6410	
0.162676	-0.088845	1425	
0.535866	-0.768740	4570	
0.509311	-0.548679	8710	
0.185668	0.749322	5979	
0.267959	-0.217727	6700	
-0.232048	-0.183861	5884	
-0.596260	-0.313052	1354	
-0.726445	-0.210439	4199	
0.415756	-0.183993	9627	
0.113473	-0.416788	260	
-0.030236	-0.451246	9197	
-0.200960	-0.613872	8729	
-0.285526	-0.168500	876	
-0.790371	-0.505285	2864	
-0.217747	-0.408768	7179	
-0.645195	-0.246513	6371	
0.460015	-0.651895	2385	
0.491428	0.609925	1097	
0.382386	-0.145199	4026	
-0.868004	-0.389748	856	
0.314107	-0.533078	3103	
-0.497689	0.519162	6784	
-0.573404	-0.261486	3583	
-0.887767	0.085727	6610	
-0.351284	0.698863	2910	
-0.059708	-0.699752	7039	
0.832410	-0.243097	6522	
-0.125199	-0.553300	9605	
-0.778120	-0.220638	5103	
-0.213542	-0.373427	7208	
0.848426	-0.120182	6589	
-0.602866	-0.498613	3465	
0.618275	-0.069650	1047	
-0.148522	0.849309	5552	
0.167675	0.631531	1074	
0.698051	-0.207571	2090	
-0.645128	-0.467356	1614	
-0.204392	0.723336	2712	
0.730939	0.001604	9056	
0.358949	-0.719470	3210	
-0.073751	-0.460705	2653	
0.047983	-0.809997	4139	
0.616619	-0.221880	5500	
0.248145	-0.086142	2481	
-0.680900	0.555739	4688	
0.237836	0.531204	4708	
-0.390044	-0.698723	1786	
0.672463	0.337119	1514	
-0.551704	-0.714924	9060	
0.174580	-0.515279	4412	
-0.836328	0.399602	1965	
-0.189335	0.867927	4936	
0.279207	0.265727	4422	
0.156655	-0.043082	2781	
-0.012982	-0.237329	4007	
0.505640	-0.287098	6877	
0.854829	0.036311	7061	
0.050794	-0.507447	2166	
-0.302874	0.860303	7858	
-0.117729	-0.941598	7582	
0.398702	0.572400	7504	
0.513836	0.594191	980	
-0.001314	-0.815501	2832	
-0.689506	0.526350	5254	
0.587809	-0.762150	1511	
-0.563221	-0.261633	3583	
0.211107	-0.433731	2672	
0.206087	-0.335455	3342	
-0.533466	0.575843	1823	
-0.048817	-0.533410	8624	
-0.905066	0.030825	5731	
0.264467	0.387503	346	
0.366813	-0.898891	4548	
0.203755	-0.116601	5429	
-0.026997	-0.335070	2876	
0.762892	0.299228	1902	
0.649119	0.059568	3429	
0.328531	-0.171903	3274	
0.415683	-0.361866	1931	
0.604945	0.031158	561	
0.355301	-0.642357	3057	
0.222325	-0.699246	2097	
0.765672	-0.578444	993	
0.056008	-0.395367	2413	
-0.706191	0.594316	7864	
0.424131	-0.098981	5616	
0.490776	-0.442189	2785	
-0.065093	-0.315533	2499	
0.323352	-0.023096	8419	
-0.282828	-0.333312	4416	
-0.252093	-0.096836	3063	
-0.723700	-0.581315	1025	
-0.767153	-0.585931	4042	
-0.028024	0.232339	3650	
0.589615	-0.014733	6339	
0.577758	-0.078970	1192	
-0.800057	-0.547646	3189	
0.831066	-0.050972	4922	
-0.753821	-0.219604	5129	
0.432511	-0.418774	5589	
-0.595287	-0.266879	8443	
0.629055	-0.688002	8096	
-0.663255	0.261198	5112	
0.976773	-0.041743	5175	
-0.631839	-0.467311	1614	
0.091959	-0.703814	339	
0.073988	-0.935150	6740	
0.139565	0.080292	8312	
0.316099	-0.034435	5638	
0.593633	0.117270	9574	
0.035212	-0.358922	4072	
0.225835	-0.605946	4308	
-0.254067	-0.457394	7698	
-0.289959	0.801243	5648	
0.775764	0.290319	2154	
0.407328	0.684025	1403	
0.072074	-0.708182	6100	
0.770019	0.285116	2154	
-0.789602	-0.479078	1744	
-0.387942	0.345246	3463	
0.717523	0.217610	8029	
0.407868	-0.533637	5043	
-0.344039	-0.851207	8335	
-0.702599	-0.550316	6262	
-0.830883	0.425359	8783	
-0.747027	-0.602473	4042	
-0.211439	-0.667017	2293	
0.476513	-0.275860	6118	
0.291113	-0.326779	4397	
-0.627629	-0.648576	8346	
0.059318	-0.660561	8817	
0.401530	-0.569326	8110	
0.273723	-0.176115	6439	
0.400512	0.266725	7363	
-0.190365	0.340282	3340	
-0.455133	-0.450964	654	
0.194553	0.621206	1360	
-0.199465	-0.344271	5251	
0.179074	-0.441105	649	
-0.769948	0.105338	1410	
0.164854	0.022612	926	
-0.851342	0.389376	9465	
-0.785970	-0.143860	2990	
0.259646	-0.301613	3004	
-0.261939	-0.558161	411	
0.211689	-0.500284	4321	
-0.522151	-0.459631	1287	
0.049014	-0.326177	7352	
0.523988	0.061549	4637	
0.401257	0.238368	6565	
-0.465026	-0.389287	548	
0.949208	-0.082279	1215	
0.281430	0.256885	2814	
0.132998	-0.711290	3279	
-0.872302	0.346311	367	
0.597431	-0.271507	3747	
-0.040371	-0.506111	8451	
0.667614	0.573066	5171	
0.699704	-0.660220	8844	
-0.553167	0.725491	9222	
-0.866863	-0.166341	5943	
0.346740	-0.878807	8271	
-0.522811	0.574685	2171	
-0.483577	0.704400	6536	
-0.883339	0.113481	7093	
0.848414	-0.427412	9385	
0.742027	0.065805	2786	
0.588256	-0.045534	1661	
0.665729	-0.531796	4599	
0.214868	-0.331952	3342	
-0.097785	-0.967438	1930	
0.638643	0.359562	8542	
0.803436	0.260485	3668	
0.641860	0.061095	2584	
0.253034	0.394984	939	
0.188018	-0.161402	4519	
-0.456918	0.209159	6011	
0.957579	0.114970	3570	
-0.778038	0.415963	5521	
0.223432	-0.522916	6824	
0.102191	-0.588394	5949	
-0.841394	-0.303177	4836	
0.394310	0.465911	1026	
-0.190203	-0.784199	2147	
-0.482791	0.607398	3124	
-0.327216	-0.341583	8692	
-0.009931	-0.474535	6037	
0.498255	-0.384196	7964	
-0.039286	-0.973876	8245	
0.230773	-0.224774	4025	
-0.451740	0.635164	3055	
-0.942601	0.035359	9462	
0.748564	0.022393	2948	
-0.351501	0.328090	1654	
-0.752228	-0.509424	833	
-0.365995	-0.074968	8283	
-0.928775	-0.176684	9143	
0.294423	0.244225	6162	
0.032600	0.724816	2616	
-0.334202	-0.732396	3817	
0.527122	0.253654	1616	
0.836303	0.026205	4879	
-0.121981	-0.344003	4374	
-0.891063	0.291173	7037	
0.507178	-0.325510	6852	
-0.448694	-0.787674	7969	
0.097279	0.028443	7254	
-0.175746	-0.931744	2407	
0.832100	-0.440159	8734	
-0.352254	-0.722455	1893	
0.035740	0.668483	8538	
-0.106327	-0.511501	1987	
0.559788	-0.111842	414	
-0.221048	0.714347	2712	
0.385877	-0.911616	6071	
-0.778598	0.435306	5521	
0.769657	-0.594304	7915	
-0.779475	-0.050054	2167	
0.570505	-0.206178	9562	
-0.502076	-0.003412	2853	
0.829720	-0.215641	6152	
-0.214226	-0.968214	4831	
-0.333922	-0.344992	7518	
0.256816	0.038050	1501	
-0.132198	-0.549481	8985	
-0.872625	0.282585	5722	
0.023458	0.769026	4325	
-0.254986	-0.085939	9852	
0.114345	-0.157895	2066	
0.394083	0.792124	9479	
0.037493	0.874803	8761	
-0.150510	0.327036	2615	
0.832783	0.238931	6809	
0.680558	-0.442627	5744	
0.431036	-0.385814	5321	
0.680143	0.299080	1391	
0.342805	-0.454494	6067	
-0.917209	0.202025	374	
0.301435	-0.042734	8174	
0.290181	-0.309307	3701	
0.275348	-0.214813	6700	
0.138085	-0.392133	4483	
0.928611	0.259389	7514	
-0.063636	0.642637	7115	
0.180328	-0.617325	3182	
-0.653756	0.448079	3470	
0.451420	0.530926	4253	
-0.293877	0.369419	736	
-0.467892	-0.432072	383	
-0.037534	-0.710236	7462	
-0.787545	0.081586	1697	
0.264391	-0.607024	4923	
-0.139964	0.646592	4249	
0.538189	-0.637934	3459	
0.042697	0.124296	7671	
0.043085	-0.086732	1040	
0.799643	-0.162547	4385	
-0.885535	0.103613	6610	
0.800178	-0.519006	8252	
-0.425468	-0.416156	5356	
0.476575	-0.814564	9403	
-0.246996	0.844650	4350	
0.544108	-0.332088	4335	
0.617405	-0.098025	1601	
-0.707231	0.324354	5714	
0.529218	-0.275676	8359	
