time = 10.002	Re = 10	rotation = 3.52112e-11
0.815610	0.276688	8063	
-0.106576	0.291392	1735	
-0.577111	-0.064177	10513	
0.452566	0.396670	6556	
-0.819992	0.076285	1829	
0.637777	0.571800	10046	
0.460055	0.557510	4758	
-0.154039	-0.791994	2149	
0.422806	0.236869	6394	
0.643390	0.286386	8166	
-0.687092	0.281084	9814	
-0.883419	-0.251261	1155	
-0.149888	-0.956929	6387	
0.531791	0.215995	10811	
0.527565	0.373061	10597	
0.267320	0.138730	8697	
0.162398	0.908188	10086	
-0.712410	0.593293	8656	
-0.445024	0.122816	3137	
0.100485	-0.801015	1364	
-0.234391	0.234196	744	
-0.162734	0.311923	1220	
0.264591	0.466669	1603	
-0.634334	0.357662	2332	
0.615086	0.590814	3972	
0.377321	0.830749	2126	
0.364967	0.181627	9324	
0.397349	-0.696223	7996	
0.791158	0.386633	5307	
-0.529565	0.696135	6385	
0.384596	0.803720	6480	
0.199108	0.589413	1419	
-0.567681	0.301462	4893	
0.551888	0.325980	8713	
0.654477	-0.174294	3180	
0.127896	0.590847	1738	
0.244963	0.213382	6258	
0.113784	0.114264	4445	
0.137918	0.620984	8833	
0.286782	0.339789	485	
0.487369	0.212633	3000	
0.041416	0.362487	800	
0.724293	-0.055982	10319	
0.007840	0.601427	2648	
0.405368	-0.672940	5222	
0.204557	0.541244	5004	
-0.074148	0.667208	4552	
-0.133262	0.723952	3046	
-0.189900	0.349716	4785	
-0.368623	0.791742	8717	
0.837209	-0.168856	8586	
-0.693640	0.356805	7369	
-0.381179	0.580752	6442	
0.504639	0.435185	9006	
-0.197251	0.500188	6750	
0.366516	-0.898708	10005	
0.190174	0.242944	1328	
-0.414554	0.307459	5584	
-0.328237	-0.110767	5456	
0.439665	0.757646	8733	
-0.236114	-0.775914	4392	
0.756631	-0.299710	10525	
0.463091	0.429753	6692	
0.403714	-0.692803	7996	
-0.636203	0.152694	3323	
0.196872	0.386488	2671	
0.442203	0.259203	5577	
-0.115149	0.748343	6615	
-0.222779	0.401781	1024	
-0.653086	-0.478815	8805	
0.216807	0.552498	6327	
-0.235190	0.866300	7976	
0.183855	0.330132	4219	
-0.553959	-0.550816	5731	
-0.372088	0.036873	819	
-0.338816	0.151345	10022	
0.356141	-0.757612	8860	
0.309303	0.596782	590	
0.267892	0.299350	5361	
0.632311	-0.281201	6076	
-0.348091	-0.067782	4128	
0.698960	0.031538	10330	
-0.499563	0.072102	1255	
-0.818986	-0.446297	10924	
-0.505342	0.496962	10297	
0.514723	0.271480	1994	
-0.383619	0.608815	5534	
0.581492	0.287696	2870	
-0.257641	0.131396	6239	
0.127910	0.455881	2391	
0.271018	-0.793917	6399	
-0.369097	0.639782	6889	
0.581581	0.687906	6414	
0.314533	0.251485	6072	
0.321532	0.257735	10868	
0.675613	-0.172278	2838	
-0.241688	0.453501	936	
-0.003220	0.592060	1118	
0.132864	0.520709	3199	
0.798100	0.273414	8063	
-0.354231	0.432964	7693	
-0.389450	0.468760	4190	
-0.490537	-0.832666	9427	
0.789532	0.275728	8323	
-0.186522	0.747060	3399	
-0.926178	-0.286104	1198	
-0.584089	-0.323358	8693	
-0.640942	-0.392644	7403	
-0.148511	0.419998	4724	
-0.050399	0.461300	849	
0.734386	0.428293	7577	
0.793702	-0.255879	7860	
-0.321022	0.145456	8367	
-0.973010	-0.091723	3467	
-0.466597	-0.083124	4663	
-0.189023	0.394441	6877	
0.491601	0.762419	10445	
0.025992	0.698769	10259	
-0.624043	-0.452483	8968	
-0.570408	0.297463	7104	
-0.148282	-0.953809	9457	
-0.382133	0.251835	1445	
-0.577971	0.419880	10588	
-0.644637	-0.682871	10258	
0.615084	0.391140	6912	
-0.162179	0.457325	8995	
0.430939	0.593859	9411	
-0.088060	0.657071	4552	
-0.898925	-0.306819	7907	
-0.380713	0.592882	5534	
0.191193	0.876207	9552	
0.685542	0.437890	5940	
-0.589245	-0.790846	9304	
0.862152	0.180658	8647	
0.130262	0.094711	10392	
-0.335451	0.392587	3081	
0.848733	-0.151870	8586	
0.392729	0.207264	4812	
-0.598113	0.291806	4904	
0.765335	-0.223320	7224	
0.007316	0.859255	6370	
0.676947	-0.515034	3247	
0.368725	0.393574	7408	
-0.674307	-0.375299	6934	
-0.046184	0.522623	4696	
-0.645306	-0.056018	10169	
-0.779492	0.469511	8139	
0.746381	0.461202	7300	
-0.323944	0.514310	4464	
-0.439941	0.062442	3557	
0.065078	0.298423	6325	
-0.899455	-0.340164	638	
0.783766	-0.351443	10004	
0.765788	-0.310541	10525	
0.282445	0.223575	7711	
-0.796169	-0.085419	1076	
-0.947711	-0.096940	621	
0.220177	0.586915	1419	
0.513779	-0.599459	4289	
-0.551929	0.475219	2600	
0.642419	-0.566727	10018	
-0.891508	-0.303326	7907	
0.841126	0.114208	361	
-0.756898	-0.154800	2020	
-0.692993	0.317228	10764	
-0.219286	-0.950831	8809	
-0.133408	-0.789231	3217	
-0.549055	0.223512	1643	
-0.009212	0.407199	4501	
-0.354468	-0.024780	8761	
-0.027137	0.736135	3300	
-0.005541	-0.825626	5383	
-0.198174	-0.058643	4327	
-0.163546	-0.071852	8994	
-0.590631	-0.300501	6645	
0.514289	0.764695	2646	
-0.690237	-0.248560	9266	
0.661608	-0.452810	8664	
0.087503	0.936788	9190	
-0.766061	-0.560473	10206	
-0.074956	0.415316	4513	
0.041052	0.527640	4489	
0.611857	0.355414	7525	
-0.453198	0.221042	7971	
-0.203248	0.216962	7475	
-0.294304	0.268033	7294	
-0.187163	0.682544	1448	
-0.716861	0.568101	8303	
-0.610559	0.093874	9128	
0.418898	0.178758	2897	
0.201467	0.279624	2048	
0.577966	0.391402	5602	
0.238415	0.144977	7154	
0.534501	0.027337	644	
-0.522751	0.561552	1690	
0.503185	-0.680429	6365	
-0.111912	0.557348	8620	
0.294663	0.418637	6067	
0.093393	0.536056	4400	
-0.472441	-0.047826	1239	
-0.455967	-0.605404	10381	
-0.148324	0.638877	6767	
-0.448882	0.796926	10452	
0.271611	0.403699	6099	
-0.234967	-0.752924	3731	
0.159462	-0.774721	1366	
-0.135568	0.271105	4932	
-0.056135	0.477824	5097	
-0.349190	0.596340	6916	
-0.208727	0.662176	994	
0.256599	0.181824	2693	
0.390968	0.229878	679	
-0.134392	0.221849	3608	
-0.047616	0.580386	9626	
-0.670218	0.640208	9799	
-0.950608	0.053389	5282	
-0.110537	0.328326	5469	
-0.228146	0.258324	446	
0.706719	0.121758	9004	
-0.252063	0.729277	1945	
-0.944447	-0.117613	5171	
-0.157141	0.199228	1375	
