time = 7.702	Re = 10	rotation = 1.68396
-0.531166	-0.679637	5537	
-0.235695	0.567894	8757	
-0.340451	-0.061727	3562	
0.049639	0.231749	6211	
0.671861	0.403336	6054	
-0.214254	-0.835821	7464	
0.599068	-0.385584	2569	
-0.326407	0.733210	6446	
-0.154396	0.187314	1361	
0.168911	-0.718246	961	
0.720775	0.243235	9488	
0.353248	0.848005	2210	
-0.943282	0.222396	1666	
0.095035	0.153873	10679	
0.243605	0.157270	3043	
-0.098257	0.118950	6735	
0.645086	-0.658351	10985	
0.864584	0.342358	9400	
-0.045541	0.696262	10801	
-0.526021	0.602805	4290	
-0.094464	0.636752	3184	
-0.128482	0.585736	1907	
-0.133093	0.320059	5487	
0.721381	0.199644	2022	
-0.193143	-0.836553	6448	
0.392641	-0.823247	5642	
-0.161505	0.152888	6790	
-0.699184	0.374347	3364	
-0.369117	-0.808095	6374	
0.833380	-0.268449	8601	
0.241780	-0.857580	7559	
0.135009	0.302038	7841	
0.533536	0.389489	10014	
0.245958	0.146011	3311	
-0.524907	-0.472621	1873	
0.108299	0.336546	7708	
-0.404532	0.183434	2543	
-0.186657	0.111274	2415	
0.199220	0.295037	1791	
-0.329442	0.271742	5598	
-0.007840	0.176812	6931	
-0.326782	0.449190	10364	
-0.186081	-0.698430	1812	
0.151612	0.362474	424	
-0.712214	0.303833	8128	
0.003461	0.336444	5368	
0.389868	0.256378	979	
0.762755	-0.011286	3960	
-0.062960	0.569224	7863	
0.749711	-0.442331	7210	
-0.778716	-0.321985	8132	
0.816248	0.093087	1147	
0.584556	0.212963	2895	
0.323295	0.148318	10638	
0.115991	0.466405	1245	
-0.903618	-0.355256	638	
-0.474682	0.234862	629	
0.275084	0.538556	6322	
-0.143308	0.034833	5449	
0.105616	-0.870418	7429	
-0.238393	0.772492	3007	
-0.824998	-0.152062	9417	
0.151881	0.204966	8428	
-0.702004	0.369882	7369	
0.450355	0.538719	4758	
-0.328239	0.335851	2515	
-0.123864	0.198554	3169	
0.673286	-0.279847	9632	
0.022275	0.537013	5296	
0.308063	0.760319	1934	
0.042106	0.324243	6987	
0.755569	-0.480330	7755	
-0.407661	0.323856	560	
0.089776	0.785238	4048	
-0.561983	0.038055	10873	
-0.126091	0.672943	6170	
-0.679950	0.479930	1330	
0.297655	0.204437	5291	
-0.387172	0.254466	1445	
-0.626234	-0.326640	5575	
-0.263236	0.057542	10838	
0.633976	0.026919	10026	
-0.408532	0.577352	617	
-0.018820	0.938255	7248	
0.669021	0.185085	2225	
0.061052	0.186235	3193	
0.680544	0.132149	8293	
0.319643	0.123423	7911	
-0.404572	0.552625	1341	
-0.221032	0.381824	6797	
-0.628294	0.548385	1345	
0.776648	-0.003026	9595	
0.086953	-0.899299	9949	
-0.342566	0.205841	6748	
-0.334189	0.209369	6748	
-0.556470	-0.449097	10477	
0.109176	0.497816	2287	
0.131976	0.375278	8246	
-0.077180	0.374154	5988	
-0.544319	-0.646581	3692	
0.274878	0.467298	1603	
0.384865	0.395645	7873	
-0.776948	0.574358	5175	
-0.540705	-0.640480	3510	
0.660789	-0.354665	4937	
-0.224369	0.945390	5941	
-0.439643	-0.098198	3321	
0.171626	0.751517	932	
-0.066693	0.518887	3615	
-0.125596	0.467617	9615	
-0.389236	-0.766096	6336	
-0.814959	-0.221643	10223	
-0.195102	0.658106	994	
-0.070940	0.971082	7647	
-0.185781	-0.011538	8721	
-0.034103	0.540694	5440	
0.237743	-0.876510	7975	
0.474448	0.182672	5426	
0.197973	0.759989	2023	
0.534527	0.391036	10014	
-0.927512	0.268140	3343	
0.182710	0.604034	4105	
0.694104	0.195834	4803	
-0.351392	0.872800	957	
0.033344	-0.752422	2349	
-0.002636	0.498221	2339	
0.511857	-0.521264	3720	
0.367219	0.274633	416	
-0.015679	0.954073	7248	
0.618233	0.184183	7591	
0.456672	-0.770656	7915	
-0.364440	-0.739222	4387	
-0.888229	0.428841	10424	
-0.596789	-0.630798	2988	
-0.030709	0.111306	2027	
0.199845	0.515350	3547	
-0.772283	-0.346766	5632	
-0.174432	0.170349	9130	
0.577625	0.360839	9080	
-0.766606	-0.247341	8581	
0.456174	-0.724910	5676	
-0.865251	0.092076	1935	
-0.141288	0.267085	7791	
0.311047	0.723306	10799	
-0.011836	0.438200	9431	
-0.472564	-0.049488	1239	
0.844455	0.350662	890	
-0.296406	-0.834778	5177	
0.340593	0.392478	3469	
-0.616050	0.285959	7047	
-0.422615	0.413704	7034	
-0.195546	0.945509	1530	
-0.854663	-0.186668	8080	
-0.836489	-0.150110	9597	
-0.367840	0.188003	4118	
0.515573	0.560515	10627	
0.285436	0.899167	4916	
0.143597	0.291722	3367	
-0.752075	0.230594	4068	
0.736400	0.130893	2656	
-0.855796	0.147374	5138	
0.076848	0.942675	5228	
-0.640668	-0.508937	1601	
0.439822	0.622035	7547	
0.772723	0.171454	9452	
-0.957078	0.192460	7688	
-0.362420	0.708084	7870	
0.426119	0.510959	9764	
-0.235146	0.470180	1126	
-0.284729	-0.024516	2554	
0.734222	-0.047580	10385	
-0.424512	0.703049	6694	
-0.402610	0.076106	2111	
-0.260111	0.095769	6389	
-0.416011	-0.101735	2686	
0.329828	-0.861484	5314	
0.219513	0.721952	917	
-0.828963	0.075911	8759	
0.812411	-0.472979	10337	
-0.303868	0.902974	6754	
-0.161304	0.498868	4354	
-0.051864	0.408555	4508	
0.274171	-0.683587	1128	
0.268001	0.593791	7771	
-0.188736	0.625787	6643	
0.050269	0.619362	1817	
0.571548	0.168148	3903	
0.882002	0.262670	1156	
0.143755	0.697351	4021	
-0.080345	0.155778	5665	
-0.450946	0.271833	7601	
0.611878	-0.346023	7593	
-0.175070	0.126051	3826	
0.447043	0.027581	3260	
0.766796	-0.128237	8691	
-0.771946	0.341838	10839	
0.128774	0.420012	4950	
-0.200430	0.299081	9796	
-0.041176	0.385760	2536	
-0.282746	-0.047059	360	
-0.212293	0.733125	4213	
0.369433	0.293110	3514	
0.902270	-0.169363	10270	
-0.251116	0.303790	6967	
-0.312276	0.719901	5830	
-0.596710	0.501897	6272	
-0.216177	0.587833	1777	
-0.092692	0.462484	1292	
0.560446	0.221414	5145	
0.520826	0.207979	2786	
-0.320312	0.157179	7037	
-0.205394	0.184824	8337	
-0.315119	0.569678	8134	
0.128729	0.393780	3647	
0.889842	0.271969	782	
0.433049	0.832142	786	
-0.192094	0.558491	6080	
-0.071892	0.625861	440	
0.018100	-0.731817	3299	
0.678018	-0.325820	9946	
0.264502	0.906124	512	
-0.331815	0.571008	6907	
-0.375602	0.890509	10815	
-0.677943	-0.446521	5939	
-0.870956	-0.420356	4359	
-0.299804	0.717779	1955	
-0.048380	0.191734	542	
-0.706703	0.646820	2534	
-0.251739	-0.953797	4341	
-0.216690	0.577014	8515	
-0.358617	0.758060	1555	
-0.042974	0.524910	4696	
-0.563020	0.788116	7743	
-0.674596	0.371482	3364	
0.002691	0.544338	5358	
-0.242266	-0.061960	8353	
0.220053	0.473779	4797	
-0.392789	0.085733	2030	
0.284072	0.376786	3272	
-0.670322	-0.494723	7659	
-0.033567	0.603133	4860	
0.488331	0.027414	2222	
0.006018	-0.754744	3310	
0.802175	-0.394378	3070	
0.301355	-0.848637	5314	
-0.190762	0.621811	6643	
0.303174	0.571550	9985	
-0.319053	-0.929909	4257	
0.726202	-0.487220	4977	
-0.012658	0.170839	5522	
-0.175809	0.768922	1365	
0.395012	0.418057	9037	
-0.911522	0.293444	4384	
0.378299	0.164557	9012	
-0.410938	-0.093662	5671	
-0.194903	0.541901	7415	
-0.169299	0.649379	604	
0.599056	0.255171	2718	
-0.563011	0.549983	6265	
0.474135	0.277734	3019	
0.714986	0.267353	667	
-0.281993	0.295325	8864	
-0.620827	0.722121	10713	
0.209222	-0.846345	7518	
0.667493	0.417108	8441	
-0.118420	0.945015	10632	
0.658215	0.028620	10866	
-0.110300	-0.047929	3997	
-0.290554	0.549425	6195	
-0.270414	0.202115	10600	
0.895254	0.210843	1595	
0.250147	0.722676	2941	
0.893603	-0.240663	1492	
-0.342165	0.194286	3252	
0.010618	0.157786	4530	
-0.037165	0.576448	9720	
-0.227434	0.013470	1624	
0.768347	-0.458744	7527	
0.427494	0.396340	9871	
0.514861	0.044884	518	
-0.383591	0.026643	3911	
0.064109	0.802983	3837	
-0.317129	0.380504	3022	
-0.133365	0.354593	1534	
-0.335546	0.513940	5992	
-0.401141	0.354838	2558	
0.507256	-0.691889	6365	
0.816419	0.364595	8168	
-0.166091	0.601783	6114	
-0.176133	0.796301	861	
0.637113	0.333647	6360	
0.465162	0.780515	5752	
-0.433999	-0.085712	3725	
0.645118	-0.338091	2373	
-0.199781	0.745712	3399	
0.167329	0.786620	3905	
0.024376	-0.899035	9231	
-0.931116	0.196702	2654	
0.717563	0.036961	846	
-0.825922	0.136777	9770	
-0.301814	0.238292	528	
0.877076	-0.258387	10644	
-0.119046	0.582963	2843	
-0.456931	0.373378	8410	
-0.969227	0.070325	2313	
-0.870138	0.072111	8917	
-0.971655	-0.042178	1482	
-0.844034	-0.053237	10356	
0.029676	0.711588	11029	
-0.175727	0.379448	4053	
0.280788	0.235089	8453	
-0.208252	0.783219	4315	
0.548285	0.519921	2501	
-0.727392	0.384531	6197	
-0.746167	-0.653644	6667	
0.236986	0.319113	7019	
0.932760	0.222349	2153	
-0.831755	0.057970	1865	
0.447843	0.288439	1069	
0.799753	0.056202	955	
-0.942304	-0.221350	3872	
0.577180	0.210519	3473	
-0.634266	0.701266	8804	
-0.765768	0.589046	5175	
-0.394469	0.270925	4434	
0.673746	0.297600	6619	
-0.793557	0.541037	10910	
