time = 16.002	Re = 10	rotation = 7.23654
0.788500	0.354561	8233	
-0.051688	0.612812	440	
-0.176757	-0.685117	1490	
-0.412739	0.225343	9541	
0.242012	0.751025	3732	
0.504549	0.703593	9153	
-0.573834	-0.421635	2595	
-0.747424	0.235823	4068	
-0.578116	0.219322	3003	
-0.363462	-0.658008	5958	
0.780740	0.083130	8189	
0.061669	-0.909543	7243	
-0.076795	0.966374	7647	
-0.650103	0.109635	2743	
-0.543103	0.110445	5700	
0.043477	0.683764	6499	
-0.926981	0.006718	2232	
-0.280015	-0.885721	6597	
0.050825	0.114887	1139	
-0.786865	0.115106	9356	
0.300083	0.542269	7280	
0.021153	0.597495	1322	
-0.204684	0.387556	6875	
0.725429	-0.161831	4125	
0.549515	0.663310	3691	
-0.792841	0.452536	6638	
-0.515354	0.428200	4658	
-0.676127	-0.417949	8478	
0.339830	0.819655	386	
-0.726582	0.484636	4978	
-0.368707	0.811547	10885	
-0.074658	0.335325	9535	
-0.135896	0.022634	4852	
-0.628349	0.074378	6943	
-0.278461	0.668452	1127	
0.005996	0.350273	7508	
-0.433229	0.497568	6467	
0.545741	0.376232	9073	
-0.030502	0.318479	4546	
-0.416140	0.352732	3978	
-0.620267	0.163241	6006	
-0.236091	0.517910	2674	
-0.268491	0.661971	953	
0.111561	0.335934	10878	
-0.779447	-0.163576	8529	
-0.079356	0.376489	5988	
0.017907	0.250196	7979	
-0.306590	0.123044	5385	
0.070134	0.569096	8126	
-0.445106	0.742901	6279	
0.548146	-0.629983	2825	
0.420122	0.674508	5420	
-0.102315	0.142341	7490	
-0.504263	0.118148	3107	
0.253657	0.401208	5116	
-0.598349	0.764531	6188	
-0.414036	0.495633	4108	
0.443172	0.320795	2122	
-0.237110	-0.649063	5084	
0.020778	0.877692	7631	
-0.787061	0.153754	1583	
0.176397	-0.804661	862	
-0.408321	0.202049	5658	
-0.663946	-0.438522	5939	
-0.351999	0.063906	1033	
-0.304882	0.427407	5747	
-0.561423	0.198267	2978	
-0.306340	-0.653060	5143	
0.172589	0.512776	3078	
-0.827338	0.120027	9761	
-0.088286	0.362354	4542	
-0.787053	0.416707	8050	
-0.388618	0.427352	7341	
-0.604854	0.509225	10141	
-0.320037	-0.039779	9435	
0.503113	0.175980	5762	
-0.309074	-0.768416	1933	
-0.239566	0.251132	608	
-0.465743	0.356867	7156	
-0.452284	0.568864	672	
-0.646650	-0.228495	6728	
0.313095	0.639179	7419	
-0.305688	-0.067123	4122	
0.810402	-0.466371	10337	
-0.357079	0.082397	2387	
-0.584899	0.129789	9048	
-0.265840	0.110361	7216	
-0.716313	-0.120119	4228	
0.491142	0.154773	3845	
-0.132941	0.456828	9615	
-0.432310	-0.702371	9654	
-0.265667	-0.669194	5924	
-0.480304	0.767877	7994	
-0.527762	0.326677	10565	
-0.526963	0.314726	7650	
-0.492159	0.522268	1046	
0.260332	0.437141	8450	
0.125219	0.345061	10178	
-0.031625	0.415314	4504	
0.865881	0.042041	9835	
0.372637	0.328976	1859	
0.310540	0.240183	7427	
0.358509	0.898457	10072	
0.850242	-0.089719	1936	
0.388605	-0.634701	2549	
0.877331	0.407678	9979	
0.664510	0.264623	770	
-0.271678	0.734442	4450	
0.083264	0.522589	4400	
0.033030	0.493126	8669	
0.686434	0.522078	5387	
0.458821	-0.697241	6874	
0.499319	0.169319	3378	
0.878445	0.415755	4360	
-0.228757	-0.662437	5859	
0.109561	0.534785	5152	
-0.661020	0.625027	10360	
-0.120787	0.227137	5448	
-0.517936	0.600125	4290	
-0.139630	0.019010	4556	
0.056254	0.964690	5228	
0.457401	0.356061	6599	
0.491349	-0.541315	879	
0.943381	0.064110	771	
-0.050300	-0.763070	3060	
0.159583	0.478911	3987	
-0.443401	-0.572527	9036	
0.050723	0.254803	7078	
0.908367	-0.270724	1453	
-0.149338	0.127335	3068	
-0.604341	0.659284	875	
0.840414	-0.086162	8760	
-0.242431	0.956791	5941	
0.822453	0.279544	9045	
0.579761	0.323031	8694	
0.345852	0.409360	5066	
0.632568	-0.551375	1346	
-0.577038	0.292540	7104	
-0.219656	0.075444	7312	
-0.288759	-0.741333	1900	
0.225660	0.819182	5719	
0.826326	-0.276807	7510	
-0.362816	0.311145	4403	
-0.503842	0.619011	2310	
0.127382	0.426068	6778	
-0.054755	-0.708793	10894	
-0.285263	-0.877097	6597	
0.264458	0.846255	6444	
0.298219	0.263425	10153	
-0.354523	-0.066634	2974	
-0.303419	0.538378	5404	
0.935355	0.223456	2153	
0.882244	0.106789	8820	
0.457153	-0.701338	6857	
-0.500280	0.413156	4085	
0.305365	0.713712	10799	
0.641629	-0.683302	7411	
-0.099502	0.329472	5469	
-0.555859	-0.573292	6461	
0.605771	-0.413182	4157	
0.803634	-0.336646	7208	
0.785189	-0.514533	8910	
0.573139	-0.590148	10732	
0.170712	0.760468	932	
0.654727	0.407373	7611	
-0.259180	0.941438	10533	
-0.688256	0.350584	3364	
0.026336	0.130636	10855	
-0.112921	0.522675	5264	
-0.463060	-0.023989	1693	
-0.310881	0.131566	1461	
-0.769658	-0.258954	8372	
-0.654706	-0.168331	798	
-0.609647	-0.274914	5324	
0.667998	0.260395	770	
-0.860198	0.335337	10547	
0.141959	0.758803	1772	
0.056684	-0.824004	4591	
-0.708820	-0.618772	810	
0.934673	0.188474	8829	
-0.022358	0.530525	4620	
0.055325	0.423278	5701	
-0.325248	-0.674159	7758	
0.462442	0.211186	5496	
0.325254	0.537087	7393	
0.309605	0.514214	4972	
-0.119009	0.179152	3152	
-0.494702	-0.775036	10446	
-0.232315	0.047023	7985	
-0.571632	0.341182	4717	
-0.444231	0.427937	7258	
-0.491656	-0.539613	4753	
0.042966	0.681061	6499	
0.681363	0.025816	8447	
0.747752	0.235455	8471	
0.282356	-0.801726	6399	
0.210125	0.360954	2110	
-0.292587	0.371939	2747	
0.019645	0.409258	4703	
-0.673157	-0.174326	3508	
-0.157320	0.744354	1391	
0.094702	0.247470	8114	
-0.859469	-0.306559	10822	
-0.306305	0.384841	2891	
-0.552911	0.533185	5459	
-0.680788	0.333647	9945	
0.033587	0.620553	2482	
0.068832	0.476721	2597	
-0.068767	0.162403	4692	
-0.053976	0.197710	542	
-0.317616	0.595894	5781	
-0.572248	0.258965	2326	
0.221000	0.598032	7005	
0.162531	0.350231	8460	
-0.400397	-0.835699	549	
0.657422	-0.673348	8261	
-0.066353	0.588740	10458	
0.217906	0.574122	1535	
-0.705598	-0.226648	6530	
0.542912	-0.512082	3375	
0.649354	-0.675795	10985	
0.361673	0.523513	7946	
0.807483	0.529857	9789	
0.357465	-0.733419	8962	
-0.586832	0.769118	7743	
-0.435893	0.628358	4162	
-0.589086	0.165336	4871	
0.617828	0.732761	1060	
-0.905945	-0.391074	3051	
-0.024298	0.614417	3405	
-0.610671	-0.558243	2195	
0.107060	0.521501	4400	
0.595772	0.764134	5922	
-0.733355	0.207790	7372	
0.148690	0.527171	4303	
-0.171201	-0.683597	1490	
0.338304	0.365300	2855	
-0.643477	-0.187243	1062	
0.239126	0.284013	7252	
0.685823	-0.471406	1329	
0.146584	0.578810	2495	
0.717129	0.029213	10256	
-0.024169	-0.766249	1960	
-0.806737	0.372684	10341	
-0.581406	0.688135	7352	
0.285892	0.559415	10735	
0.442558	0.207532	2926	
-0.949550	-0.257611	1057	
-0.457760	0.738943	6279	
-0.621019	0.188820	1099	
-0.599473	0.494063	6272	
0.340448	0.232937	6288	
0.267172	0.919792	582	
-0.312418	0.203881	7320	
0.678168	0.254852	9265	
-0.079564	0.573699	6866	
0.515702	0.332355	7626	
-0.140002	0.092273	2698	
-0.710035	0.281905	8162	
0.067765	0.198868	3303	
0.747592	0.178951	2089	
-0.342561	0.377150	5890	
0.768335	0.563727	10205	
0.051236	0.869986	9656	
0.140243	0.781428	2150	
0.941009	-0.129317	1388	
-0.182987	0.687098	1448	
-0.084932	-0.685592	7815	
-0.071663	0.619391	504	
-0.544506	0.275126	2517	
-0.590084	-0.701025	9277	
-0.097808	0.775159	1077	
-0.798912	-0.459586	10066	
-0.528185	0.354323	5021	
-0.612184	0.252700	2610	
0.102353	0.567994	8903	
-0.654746	-0.042297	10557	
-0.791154	0.407526	8050	
0.285458	0.212169	6475	
0.028911	0.710989	11029	
-0.348072	-0.030023	9647	
-0.752678	0.275469	10217	
-0.244431	0.465779	1126	
-0.114581	0.418000	5311	
-0.154451	0.602244	8744	
-0.356712	0.453223	10773	
0.153639	0.837124	7191	
-0.422125	-0.805849	2851	
0.074804	0.612692	3700	
-0.834406	0.000052	5971	
0.597220	-0.402505	2301	
-0.279788	-0.855458	6345	
0.687684	0.237878	8455	
-0.650689	-0.261194	8564	
-0.333702	0.690192	5833	
-0.735067	0.325273	1924	
-0.349866	0.830639	974	
0.323238	0.893977	2119	
-0.440026	0.111676	3137	
0.423471	-0.730757	7600	
-0.477180	0.303210	7030	
-0.889737	-0.208361	1596	
0.023938	0.593171	1322	
-0.323925	0.538234	6291	
-0.248724	0.938366	4263	
0.842944	-0.230861	1106	
-0.351384	0.905296	10285	
0.129328	-0.814817	4472	
-0.206286	-0.018374	4358	
-0.094626	0.445156	9149	
-0.142716	0.282504	4932	
-0.800745	0.122896	9360	
0.514009	0.565967	10627	
-0.204446	-0.802615	4973	
-0.991602	0.050213	4467	
0.073065	0.303030	8094	
0.163569	-0.942918	429	
-0.002907	-0.822629	5383	
0.095376	0.209328	3288	
0.741447	0.233442	8433	
-0.413430	0.874575	1864	
-0.092975	0.151846	5665	
0.817200	0.477967	10605	
0.375531	0.891482	10120	
-0.444623	0.373607	6548	
