time = 3.502	Re = 10	rotation = 0.557202
0.526784	0.694366	6443	
-0.029112	-0.415960	3926	
0.272777	-0.059280	2521	
0.348448	0.618446	8607	
0.804206	-0.174081	4557	
0.110431	0.864936	7518	
0.319920	0.688765	3060	
0.435037	0.694575	4911	
0.715484	0.019690	769	
0.765174	-0.202323	1487	
0.636886	0.453099	3028	
-0.690517	0.608968	10930	
-0.579230	0.776025	10581	
0.663424	0.007554	5341	
0.432577	-0.053963	2686	
0.154473	0.687321	8440	
0.896291	0.212736	8017	
0.413896	0.835484	5925	
-0.297230	-0.469854	5152	
0.169660	0.802585	543	
-0.152074	-0.406169	8837	
-0.059537	-0.368991	4542	
0.521575	-0.303489	8783	
0.256517	0.733174	2349	
-0.063835	0.866450	1556	
0.876097	0.252967	8486	
0.687835	0.218592	3559	
-0.194574	0.786229	6302	
0.869736	0.189641	8467	
-0.647840	0.568040	5733	
0.567574	0.692726	6345	
0.500998	0.466529	8146	
-0.436663	-0.258354	3208	
0.524244	-0.017372	3377	
0.724417	0.146054	5842	
0.607115	0.307505	1290	
0.346482	-0.478208	8330	
0.573861	0.462168	4052	
0.585645	0.324914	3314	
0.348574	-0.392490	5567	
0.202699	0.672822	10802	
0.120004	-0.388290	8397	
0.624160	0.412907	10234	
0.678016	-0.284472	9292	
-0.156947	0.651979	1257	
0.667932	0.158737	8674	
0.247211	0.007678	7345	
0.293711	0.564170	3922	
-0.063130	-0.319471	4559	
-0.614821	0.608134	10004	
0.329509	0.788425	7597	
0.198004	-0.633889	6410	
-0.462358	-0.110880	1356	
0.486478	0.013811	3092	
0.013754	-0.185034	9963	
-0.884419	0.402467	2314	
0.220148	-0.510578	4056	
-0.279806	-0.231070	4219	
0.301438	0.576897	3737	
0.235557	0.852621	10345	
0.644130	0.506443	6760	
-0.112872	0.827921	2063	
0.443515	0.489615	5620	
-0.190395	0.787901	6761	
-0.605850	-0.043670	712	
0.269267	-0.370434	1445	
0.698497	0.144580	7814	
0.731475	0.214107	5821	
-0.080499	-0.251919	2561	
0.518804	-0.546022	9945	
0.611272	0.324073	1290	
0.102954	0.897153	7975	
0.229292	-0.431601	7520	
0.486530	0.644795	4392	
0.636485	0.385493	7471	
-0.224376	-0.469643	3501	
0.788750	0.293593	1026	
0.179670	-0.049346	10490	
0.314414	-0.436814	2297	
0.276585	-0.581834	5800	
0.356705	0.532961	2483	
-0.531169	0.164941	9936	
-0.560319	-0.245392	9775	
-0.459234	0.820566	1275	
-0.607775	0.164316	3190	
0.256215	0.625574	4706	
-0.605195	0.114570	4732	
-0.434190	-0.029058	7374	
-0.208231	-0.526128	7844	
0.252607	-0.303211	4842	
0.820664	0.179641	5735	
-0.004154	0.740882	1918	
0.878938	0.207709	8369	
0.402882	-0.425277	1805	
0.408907	-0.418213	1805	
0.268784	-0.587058	7238	
-0.076649	-0.199442	7316	
0.549655	-0.270955	3202	
0.460754	-0.281829	3291	
0.026570	0.858672	5828	
-0.196358	-0.153824	7102	
-0.216573	-0.109366	7998	
-0.319307	0.911938	2148	
-0.192690	0.828429	6857	
0.682625	-0.382277	9248	
0.579794	0.779074	8583	
0.566130	0.001727	9600	
-0.013833	0.785516	4449	
-0.009228	-0.264283	7989	
0.098052	-0.255872	789	
0.228814	0.839026	7516	
0.264178	0.807744	7165	
-0.216902	-0.486618	4489	
0.753748	0.615455	9427	
0.613391	0.194169	5333	
-0.051460	-0.274447	787	
0.881506	0.215752	8369	
0.232308	0.034239	1401	
0.480485	0.645016	4392	
-0.434743	-0.267771	5076	
-0.666275	0.697788	10250	
-0.263587	-0.303287	8246	
0.063743	0.652161	6153	
-0.665445	0.666350	8869	
0.101605	-0.630442	6291	
0.002028	-0.225377	3484	
0.720908	0.216284	5821	
0.177426	-0.009394	6614	
0.130483	0.945645	7479	
-0.483031	-0.209331	5756	
0.509752	0.742745	10681	
-0.379490	0.625746	3327	
0.308305	0.936806	5948	
0.732027	0.479359	6649	
0.385925	-0.061505	5074	
-0.189918	-0.199950	8463	
0.448409	0.730902	7192	
0.719305	0.003520	769	
-0.473948	-0.325793	4145	
-0.217998	0.643179	6419	
-0.577655	0.592883	6177	
0.851575	0.113282	1600	
0.684016	-0.300234	9237	
0.653490	0.464786	5716	
0.206404	-0.228863	7169	
0.531502	-0.112556	8311	
-0.196567	0.896428	8780	
0.814780	0.355462	5376	
-0.114013	-0.120325	3211	
-0.598674	-0.168524	7929	
0.104660	-0.464385	8688	
0.365562	0.893465	9501	
0.860389	0.104570	1600	
0.257082	0.807901	7533	
0.390731	-0.447932	4892	
0.357049	0.706294	4113	
0.043720	0.943478	6753	
0.474627	0.492154	2186	
-0.323151	0.669562	3375	
0.000517	0.750436	1712	
0.860874	-0.101086	10745	
-0.098753	0.941374	476	
-0.431509	0.685241	8388	
0.175755	0.769586	1364	
0.797036	-0.171213	1835	
-0.357128	0.907742	4120	
0.170663	0.796525	543	
-0.396922	-0.288522	6099	
0.100353	-0.324183	4884	
0.249761	-0.075601	378	
0.185573	0.616637	3653	
0.761664	0.327287	4077	
0.738817	-0.032152	7306	
0.621151	0.398991	9412	
0.564366	0.001658	9600	
0.887931	-0.213342	10738	
-0.157887	0.691079	2489	
-0.223658	0.790078	5531	
0.915369	-0.167990	4699	
-0.234449	0.923739	586	
0.050071	-0.295098	7539	
0.335886	-0.259527	6004	
0.758770	-0.061990	2750	
-0.325602	-0.301224	3593	
-0.132079	-0.443098	623	
-0.184949	-0.339259	1950	
-0.453269	-0.075599	679	
0.054320	0.920057	10639	
-0.572187	-0.188969	7444	
0.315104	0.655675	8566	
0.229869	-0.478938	1756	
0.056100	0.730580	3626	
0.630027	0.371878	6093	
-0.413433	0.122299	930	
0.762308	-0.303804	1083	
0.843263	0.110500	1600	
0.176480	-0.193278	1442	
0.439118	-0.323689	9076	
0.480844	-0.277712	3752	
0.220935	-0.111070	9782	
-0.042759	0.652883	10028	
0.159702	-0.012731	5955	
0.351933	0.848107	5903	
0.373430	-0.340877	7249	
-0.099522	0.790665	7869	
-0.295623	0.701369	1689	
-0.061662	-0.422382	5328	
0.111678	-0.240926	10541	
-0.415064	-0.084045	6213	
-0.224919	-0.065814	4129	
0.503701	-0.399577	1542	
0.728719	-0.268312	5471	
-0.079256	-0.476283	1292	
0.359599	-0.237295	2354	
0.454440	0.813395	2060	
0.020833	0.939747	6753	
-0.011203	-0.376661	8928	
-0.137419	-0.385290	4501	
0.752442	-0.049028	8359	
0.654960	-0.406118	866	
0.040324	0.944156	6753	
-0.100907	-0.490873	6457	
0.223048	0.940091	10631	
-0.426338	0.655858	9326	
-0.944841	0.192313	10281	
-0.221873	0.740346	6025	
0.426548	0.589303	1812	
-0.506783	0.814110	365	
-0.977882	0.108969	2358	
-0.041508	-0.412054	3460	
0.776015	-0.351936	2917	
-0.027798	-0.260451	1507	
0.102977	0.962534	9117	
-0.044958	0.644180	10028	
-0.076709	-0.265760	658	
0.367653	-0.183286	4710	
-0.141736	-0.164688	3303	
0.748159	-0.213802	9908	
0.067873	-0.125161	4116	
-0.106520	0.841661	2063	
-0.117260	-0.346541	9508	
-0.440255	0.132178	1852	
-0.329013	-0.535259	4901	
-0.053236	0.900109	10886	
0.750645	0.503009	1065	
-0.124870	-0.439920	823	
-0.336934	-0.280775	5722	
-0.978559	0.056159	1197	
-0.525962	0.702995	5927	
0.192120	0.670532	6533	
0.139029	0.796016	1212	
-0.283635	-0.127714	6202	
-0.824587	0.488154	10527	
0.492636	-0.002887	3234	
0.533699	-0.077125	4689	
0.011364	-0.360801	6744	
-0.178305	-0.459370	3981	
-0.468859	-0.217564	3281	
-0.212036	0.767848	6545	
-0.088714	-0.094879	1717	
0.692170	0.363822	9744	
0.359089	-0.357551	7399	
-0.588787	0.749136	10393	
-0.064817	0.878029	9886	
0.782143	-0.291216	5971	
-0.049169	0.951459	10780	
-0.544297	0.166474	10859	
0.514667	0.056302	3114	
-0.016850	-0.439468	5299	
0.494728	-0.374073	2701	
0.014301	0.918971	6581	
-0.067568	0.773889	6466	
0.716291	0.587647	869	
0.415213	-0.426867	1971	
0.323719	0.572745	3798	
-0.083809	-0.317594	5401	
0.369761	-0.172664	8937	
0.062827	0.900364	8521	
-0.305501	-0.120175	7179	
-0.551267	0.118043	10439	
0.469558	-0.201153	9383	
0.761045	0.283500	934	
0.212538	-0.357894	10863	
0.420068	-0.292013	3917	
0.020478	-0.446116	6358	
0.199911	-0.425597	3319	
-0.584122	0.588883	10840	
-0.701624	0.548093	8601	
-0.081079	-0.406259	4513	
0.782294	0.252147	1601	
0.018556	0.660520	427	
-0.767255	0.480578	8101	
0.525857	-0.086195	10771	
0.730035	0.210014	6682	
-0.233190	0.710976	4587	
0.786828	0.197666	8727	
0.857381	0.275334	8412	
-0.925270	0.185827	10281	
-0.585884	0.182564	10760	
0.335324	0.772943	7291	
0.410607	-0.389025	357	
0.406510	0.822078	5925	
-0.057965	-0.361065	8952	
0.115734	-0.484886	3101	
-0.645850	0.723426	11048	
0.854319	0.099672	794	
-0.709849	0.661613	4080	
-0.175705	0.810690	5875	
-0.544334	-0.256077	2808	
0.295497	-0.289373	1986	
0.311229	-0.197728	2387	
0.697051	0.431088	4151	
0.272328	0.740019	3830	
0.590919	0.595383	8719	
-0.575485	0.808069	6483	
0.490458	-0.251758	2956	
0.947507	-0.075973	781	
-0.283202	0.763713	2793	
0.073677	-0.083851	8479	
0.768894	0.112183	6934	
-0.893702	0.370630	2061	
-0.449965	-0.097315	897	
-0.776289	0.541560	6274	
-0.304073	0.916969	2200	
0.293030	-0.434902	10290	
0.068531	0.764450	4214	
-0.546087	0.790156	10635	
-0.222363	-0.536877	1322	
0.564040	-0.401838	2667	
-0.719075	0.557716	10644	
0.770403	-0.175788	1043	
0.267956	0.918871	5088	
0.232003	-0.330889	373	
-0.759707	0.447586	8881	
0.721114	0.298850	6510	
0.006228	-0.552725	6965	
-0.053204	-0.446096	9909	
0.771649	-0.150570	942	
0.076196	-0.555138	9175	
-0.414895	0.736845	7876	
0.755156	-0.351954	1865	
-0.317012	0.841132	946	
-0.106875	-0.171411	4848	
0.759443	0.520968	1065	
-0.321076	-0.073581	2447	
0.712843	0.427824	2788	
0.132562	-0.371972	6967	
0.351244	0.789093	7636	
-0.228271	-0.186550	4138	
0.682199	-0.371293	9248	
0.797303	-0.151664	1136	
-0.977164	0.147916	1953	
0.763094	-0.195317	1487	
0.114207	-0.481786	3101	
0.068346	-0.407938	6340	
-0.110631	-0.192810	3524	
-0.897107	0.246396	7454	
0.423653	-0.215706	11040	
0.402159	0.825373	4969	
0.908769	0.099610	9466	
-0.383590	-0.333168	833	
-0.364368	0.662607	5458	
-0.267328	0.672594	1045	
0.408760	0.777947	9620	
-0.634806	0.196800	10906	
-0.576707	0.155639	5147	
0.019770	0.747654	1744	
0.563025	0.791914	4341	
0.486723	-0.235645	9180	
0.537952	-0.512396	9814	
-0.426678	0.678954	9326	
0.260023	-0.151300	2079	
-0.177896	-0.462520	2167	
-0.329003	-0.144546	9705	
0.901646	0.312553	698	
-0.369243	-0.506459	3351	
-0.055167	-0.318175	5412	
0.067680	-0.114684	10173	
0.178520	-0.136162	5001	
-0.269986	-0.238497	5061	
0.425675	-0.095136	1230	
0.576002	0.459969	4052	
-0.361208	-0.076724	4494	
0.701670	-0.453991	9426	
-0.310008	0.822686	393	
0.159317	-0.306686	350	
-0.601935	-0.170479	9972	
-0.416597	0.120997	930	
0.257312	-0.628873	5746	
-0.497817	0.672456	9650	
0.789437	-0.098241	9937	
-0.123815	-0.553043	6318	
0.101819	-0.224825	9130	
0.482650	0.816897	11003	
-0.091910	0.946059	1734	
0.254217	-0.172405	3965	
-0.643399	0.529490	7860	
0.549273	0.435810	10982	
-0.504743	0.656577	9650	
-0.337026	0.872491	8803	
-0.007762	-0.249638	6776	
0.610769	-0.488377	8235	
0.527064	0.507495	5143	
-0.616948	0.135762	3360	
0.186340	0.657668	5285	
0.436789	-0.230180	10623	
-0.772074	0.509533	7964	
0.363291	-0.539678	3155	
0.188126	0.801056	4472	
0.191563	-0.457512	4206	
-0.302849	-0.349194	8349	
0.138852	0.708139	8051	
0.557178	0.103735	3020	
-0.294767	-0.235962	5078	
0.331976	0.558764	3798	
0.687011	-0.185175	7219	
0.697984	0.537003	8734	
