time = 9.802	Re = 10	rotation = 1.55988
0.850176	-0.248761	2421	
-0.296574	-0.451868	5152	
0.493901	-0.150434	517	
-0.379306	0.252615	6935	
-0.617524	-0.498462	7668	
0.843045	0.214522	6508	
-0.102100	-0.756298	3399	
0.530894	-0.615453	9804	
-0.720216	0.257436	821	
-0.738920	0.070612	5572	
-0.129610	-0.777615	1365	
-0.175376	0.904642	7763	
-0.376383	0.892500	5565	
-0.470448	0.378678	3244	
0.441697	0.553847	6535	
-0.273412	0.225166	3040	
0.816735	-0.437245	9754	
0.804059	0.471741	4806	
-0.059439	-0.385453	10060	
0.723669	-0.413908	9761	
-0.159226	-0.492263	2368	
-0.274164	-0.499915	8126	
0.169099	-0.084747	10376	
0.239268	-0.736265	2272	
0.793580	0.352200	10400	
0.787485	-0.469284	8889	
-0.708340	0.011739	9273	
0.813397	-0.083580	9168	
0.599808	-0.656403	3069	
0.337034	0.797807	7597	
0.895533	-0.043205	9831	
-0.268586	0.272578	10235	
0.158460	-0.473902	3022	
-0.257249	0.618341	7185	
-0.706195	-0.198265	3630	
-0.375058	0.300872	5893	
-0.247357	-0.112064	9651	
-0.647657	-0.338270	4754	
-0.313369	0.304207	4378	
-0.362989	-0.075688	6269	
-0.254410	0.226846	4430	
-0.466208	-0.316220	6182	
-0.553344	-0.509969	7757	
-0.000100	0.722323	1128	
-0.036626	0.177457	2735	
-0.495846	0.319667	9121	
0.654216	0.115040	9079	
0.026523	0.284634	1214	
-0.302105	-0.521946	6588	
0.351269	0.795959	7632	
0.845467	-0.192294	9151	
0.010412	-0.175347	9440	
0.245415	-0.555156	7242	
-0.214432	0.631445	5599	
-0.603499	-0.077041	5015	
-0.763897	0.598316	7348	
-0.387858	-0.167177	10967	
0.006668	-0.603142	8757	
-0.010934	0.269202	8001	
0.856712	0.211597	6508	
0.324283	-0.751824	10731	
0.829634	0.085274	562	
-0.137580	0.280391	7158	
0.813956	-0.081975	9168	
0.391894	-0.431229	1805	
-0.487210	-0.096510	6978	
-0.706225	0.169306	2770	
-0.547627	-0.541567	10389	
-0.373328	-0.517667	3351	
-0.770245	0.176268	941	
-0.430053	0.294814	3687	
0.750944	0.501212	1065	
-0.468896	-0.172653	3318	
0.376216	-0.710110	9335	
-0.605533	-0.435831	4453	
-0.116307	-0.413802	5321	
0.308895	-0.784389	8532	
0.603552	-0.128627	3333	
-0.392443	-0.101106	7427	
-0.073397	-0.162714	7835	
-0.028773	0.289080	7073	
-0.661627	0.216725	9771	
0.250306	-0.369193	531	
-0.022724	0.940975	10780	
-0.208724	-0.690337	441	
-0.078438	0.235020	4396	
0.267239	-0.639381	4094	
0.092520	-0.672414	6891	
-0.141441	-0.351655	404	
-0.484113	-0.037110	3118	
0.174835	-0.824401	6858	
-0.040680	-0.747952	1743	
0.702349	-0.569102	10643	
-0.165638	-0.107320	1238	
-0.153775	-0.108074	9368	
-0.071216	-0.164200	8194	
-0.517516	-0.396579	5895	
0.273341	-0.161906	1116	
0.194683	-0.015956	4584	
0.839282	0.173078	7457	
-0.316088	-0.588017	4867	
-0.390754	-0.555184	4917	
-0.068558	0.964145	1863	
0.791074	0.312473	7811	
-0.754719	0.032426	9482	
0.741706	0.626967	8802	
-0.358360	0.521321	5022	
0.567043	-0.532283	7981	
-0.475191	-0.415563	9641	
-0.577486	-0.155258	5198	
0.864358	0.075789	5308	
0.844200	-0.168105	5125	
-0.128091	-0.396484	4504	
0.866688	0.442515	5887	
-0.338878	0.348043	5639	
-0.384372	-0.497984	4105	
0.736000	-0.534367	4302	
0.613397	0.285404	1463	
0.345787	-0.722198	7114	
0.150858	-0.469047	2891	
-0.453819	0.851718	1035	
-0.014216	-0.556530	7877	
0.082459	0.221025	4579	
-0.295116	0.894873	2148	
-0.174574	-0.185773	8658	
-0.566323	-0.281707	1931	
-0.617691	-0.438954	4914	
0.637165	-0.049860	7410	
0.469409	0.831153	2666	
0.218810	-0.464453	5224	
0.896229	0.079205	9466	
0.496295	-0.540891	2792	
0.408034	0.897639	4419	
0.712599	-0.513075	10151	
0.667498	0.088187	8693	
-0.219187	-0.611249	3780	
0.818933	-0.312513	11000	
-0.720969	0.236448	7884	
0.137268	-0.393583	9658	
-0.146332	0.167432	4135	
0.627509	0.550943	5729	
0.275288	-0.814064	3016	
-0.395691	0.571574	7301	
0.109814	-0.797972	8919	
-0.326143	-0.026180	1153	
0.292759	0.654553	10888	
0.436195	0.808854	8256	
0.712091	-0.535475	1415	
-0.622679	-0.164486	10597	
0.325349	-0.374270	7664	
-0.406367	-0.309718	8450	
0.600012	0.756353	581	
0.334482	-0.799177	4311	
0.840923	-0.182955	9597	
-0.166443	-0.113059	886	
0.322462	-0.718097	6265	
0.462529	0.823851	2666	
-0.241876	0.267521	9793	
0.513037	-0.535725	10262	
0.144466	-0.739909	2550	
0.040327	-0.856890	1779	
0.315046	0.893020	9877	
0.782511	0.220400	8805	
0.456529	-0.633268	8573	
-0.668692	-0.406800	6647	
-0.181121	0.958619	9344	
0.674321	-0.462635	8095	
0.113274	-0.485170	2438	
-0.511950	-0.304261	7079	
0.299101	-0.097872	5704	
0.074302	0.254856	615	
0.229834	-0.799282	2976	
-0.723285	0.086648	2797	
-0.649927	-0.342458	4754	
-0.355935	0.524259	3206	
0.386973	-0.814979	5209	
-0.676887	-0.159450	1915	
0.817887	0.063951	9288	
0.602728	-0.701270	10655	
0.128764	0.944526	9117	
-0.500289	-0.356119	5823	
0.076551	-0.079547	8479	
-0.732179	-0.080737	6363	
0.050823	-0.525896	1126	
-0.187032	-0.455839	3981	
-0.114318	-0.548095	8700	
0.220301	-0.599406	3788	
0.622463	0.680136	4390	
0.288575	-0.389607	2525	
-0.687821	-0.116510	7143	
-0.423605	-0.168012	4759	
-0.365088	-0.643457	435	
-0.689978	-0.207200	10478	
-0.555598	0.186745	9732	
-0.741848	-0.185117	6681	
0.191630	-0.829687	6858	
-0.075780	-0.087589	1890	
0.029719	-0.116286	1996	
0.196290	-0.031347	3670	
0.381662	-0.112132	9930	
0.103156	0.199429	3525	
0.627327	-0.058429	5048	
0.821828	0.408493	4976	
-0.270599	-0.066824	7136	
0.730224	-0.376828	8039	
0.616108	-0.455325	4238	
-0.258829	-0.461630	4436	
-0.576041	-0.079712	3032	
0.153519	-0.631715	1012	
-0.523538	-0.438527	590	
0.264858	-0.178532	4749	
-0.533118	0.431579	3026	
-0.243199	-0.412811	2597	
0.302661	-0.019326	4033	
0.828143	0.426316	1059	
0.474446	0.811882	2666	
-0.333355	-0.464440	6426	
-0.172590	-0.510684	5440	
-0.730967	-0.034657	6619	
-0.756396	0.066555	7775	
0.455703	0.828267	9509	
-0.225741	-0.400010	6491	
0.468629	0.845166	6431	
0.791218	-0.040190	8472	
-0.831150	0.486705	2480	
0.633324	-0.450938	2488	
-0.692463	-0.082275	7730	
-0.219035	0.933740	586	
-0.955029	0.236966	4783	
-0.283370	-0.461278	4400	
-0.483048	-0.669452	2688	
-0.453727	-0.443096	1837	
0.342015	0.905829	5974	
0.142446	0.199177	6706	
-0.353091	-0.524204	8833	
0.265156	-0.060744	2521	
-0.459882	-0.480000	2069	
-0.681539	0.331903	8188	
-0.179194	-0.040071	2303	
0.822043	0.203100	9737	
-0.204234	-0.536765	1118	
-0.583577	0.197334	10760	
-0.012248	-0.300180	1565	
0.658826	0.616413	6479	
0.878840	-0.245705	7453	
-0.193773	-0.458375	8669	
0.070610	-0.534527	9883	
-0.957094	0.212466	6635	
0.368067	0.802283	9289	
-0.199541	0.219587	7127	
0.641378	-0.488358	7223	
-0.106908	-0.656634	6163	
-0.608691	0.737827	11001	
-0.195808	0.646310	6419	
-0.070051	0.700519	6829	
-0.372778	-0.449377	10193	
-0.150394	-0.435250	599	
0.205002	-0.472392	5224	
0.796966	-0.214134	1942	
-0.577331	0.048424	9229	
-0.216011	-0.760462	3750	
-0.333259	-0.063838	5513	
-0.273779	0.912963	2200	
0.753419	0.455581	6649	
-0.675306	-0.410162	6647	
0.316977	0.898581	9877	
-0.668049	0.182507	9346	
-0.303883	0.541038	1762	
-0.305428	-0.425849	3199	
0.139527	-0.093823	3301	
0.607370	0.690438	4390	
0.533470	-0.552093	10764	
0.924644	0.054940	10305	
-0.112377	-0.121520	3211	
-0.044063	0.264494	3607	
-0.271142	-0.536598	1817	
0.216671	-0.090958	4339	
0.729981	0.530713	10446	
-0.060373	-0.661335	1114	
-0.166997	-0.697382	8052	
0.376392	-0.173356	6042	
0.018961	-0.817747	9637	
-0.521687	-0.152529	2228	
0.123141	-0.033480	3129	
-0.341899	-0.396523	5795	
-0.475070	-0.209074	3281	
0.613179	0.569192	4387	
0.050972	0.889338	6459	
-0.238163	-0.482023	5252	
0.080529	-0.822477	2510	
0.064477	0.210390	3392	
-0.139063	0.890345	7915	
0.052366	0.708977	4042	
-0.570626	-0.512530	8078	
0.442923	-0.599391	7468	
-0.089019	-0.812816	4315	
0.731155	-0.529570	4302	
-0.695207	0.632138	10491	
-0.675817	0.056987	1061	
0.789623	-0.349065	8034	
-0.176725	-0.095184	8291	
0.849219	0.344656	10676	
-0.280154	-0.503371	8028	
-0.401736	-0.283815	6099	
-0.464464	0.851564	7137	
0.269145	-0.816982	3016	
-0.544833	0.803134	5081	
0.823076	0.093314	562	
0.229669	-0.377584	1633	
-0.359242	-0.034886	3597	
0.387656	-0.070902	5074	
0.248343	-0.782699	2310	
0.367298	-0.691037	10141	
0.565913	-0.614145	3442	
-0.523278	0.842388	3896	
0.192635	-0.076883	10456	
0.817229	-0.485876	1999	
0.811567	0.070684	5794	
0.088447	-0.047014	1789	
-0.521610	-0.583923	3195	
-0.752430	0.605092	4383	
0.226804	-0.581260	3430	
-0.474069	0.818116	447	
-0.050327	0.965069	1863	
-0.424151	-0.111941	10900	
0.314092	-0.696046	4043	
-0.276938	0.919871	2200	
-0.128268	-0.335623	9508	
-0.389314	0.593516	10587	
-0.132039	0.900537	7915	
-0.741000	-0.026710	6619	
0.571153	0.767812	511	
-0.521118	-0.090479	2796	
0.096977	0.868975	7203	
-0.295656	-0.732548	4155	
-0.299666	-0.292250	3449	
-0.267154	-0.436631	3705	
-0.739433	-0.079769	6363	
-0.333644	-0.250036	2110	
0.680779	0.509687	9654	
-0.655341	-0.457757	5715	
0.453759	0.778457	7944	
-0.532937	-0.386278	6992	
0.919611	-0.072559	8603	
-0.155344	-0.666213	5305	
0.351675	-0.753599	1799	
-0.488928	-0.292135	7046	
0.861675	-0.113192	10745	
-0.141879	-0.632045	3184	
-0.749485	0.128999	1981	
-0.659231	-0.423167	7547	
-0.957704	0.243234	2158	
-0.737410	0.093019	2075	
-0.402687	-0.287700	6099	
-0.406027	-0.377835	3840	
-0.459705	-0.470077	2069	
-0.526754	0.756426	8910	
0.238050	-0.049670	8183	
0.844673	0.358406	10676	
0.699824	-0.588265	7573	
0.075230	-0.460857	480	
0.656966	-0.412663	866	
0.181579	-0.717154	3423	
0.878760	-0.022763	9717	
-0.506164	-0.507254	5120	
-0.469782	-0.540774	1267	
0.071183	-0.749764	6503	
0.725472	0.646479	8802	
0.211792	-0.122763	9545	
-0.756264	0.268066	7335	
0.792113	0.143268	8478	
0.399369	-0.103001	634	
-0.151626	-0.431969	599	
0.041072	-0.641140	8210	
0.953540	-0.041620	7907	
0.018876	-0.308928	5247	
-0.316114	-0.515776	1414	
-0.103266	-0.058738	472	
0.517469	-0.108579	5614	
-0.006602	-0.601861	8515	
0.666432	-0.070462	802	
-0.645623	-0.343696	4754	
-0.005822	-0.673747	1654	
-0.533747	-0.634835	4318	
0.589549	0.655809	5177	
-0.552954	-0.159589	5258	
0.328370	-0.370181	7971	
-0.574408	0.191519	10750	
0.192904	-0.178248	7188	
0.653232	0.533383	6372	
-0.671083	-0.388647	812	
-0.206196	-0.325394	2810	
-0.574385	-0.050725	1994	
0.778406	0.542193	1543	
0.292026	0.904813	9197	
0.442921	-0.095874	3289	
0.548122	0.632940	8986	
-0.421362	0.279026	952	
0.686326	0.475663	6058	
0.156911	0.923097	7479	
-0.507544	-0.380630	6565	
-0.764784	-0.153987	8441	
-0.679453	-0.224319	10478	
0.220741	-0.665996	730	
-0.096916	0.218257	9119	
0.241584	-0.041402	8056	
-0.310571	0.868843	10751	
0.093533	-0.138257	2698	
0.731830	-0.407179	9735	
-0.448813	-0.215453	2855	
0.006990	-0.499623	6679	
-0.684332	0.067262	2225	
