time = 0.003	Re = 10	rotation = 9.86959e-11
0.185689	0.844266	6447	
0.247127	0.384382	1913	
-0.404931	0.056713	3482	
-0.454687	0.477665	7186	
0.624337	0.479977	8781	
-0.214430	0.836079	7450	
-0.325208	0.648172	6828	
-0.052784	0.800911	3756	
0.040955	0.678880	5499	
0.441265	0.582020	9035	
0.074746	0.758616	3250	
-0.788185	0.473600	10693	
-0.627335	0.736918	5635	
-0.566899	0.135218	10646	
-0.351718	0.149675	10786	
-0.555357	0.386489	10416	
0.805197	0.449950	10503	
0.226127	0.902349	9760	
0.306280	0.170910	3415	
-0.283696	0.750686	5850	
0.215661	0.325047	6038	
0.163701	0.414369	5869	
-0.050605	0.623510	440	
-0.323985	0.674752	4363	
-0.365597	0.778345	1555	
0.756387	0.509624	8018	
-0.038213	0.688661	9473	
-0.566356	0.565189	10407	
0.730205	0.508969	7375	
-0.833775	0.277719	7509	
0.294348	0.841386	5178	
-0.470540	0.397821	1523	
0.105643	0.164940	1238	
-0.260384	0.146442	8041	
0.139237	0.703737	4021	
-0.423047	0.433288	7691	
0.512213	0.396098	5334	
-0.176360	0.675439	1280	
-0.500407	0.313218	8306	
0.319337	0.533206	7393	
-0.538934	0.394869	4575	
0.237617	0.474868	4250	
-0.059736	0.716075	537	
-0.424018	0.383462	5695	
-0.794273	0.092374	10688	
-0.291907	0.551816	6195	
-0.358006	0.221263	7588	
-0.717472	0.097260	10444	
0.074045	0.447926	8032	
-0.800862	0.352312	10003	
-0.061502	0.841140	5234	
0.809295	0.037559	1901	
0.016631	0.166848	5380	
-0.177207	0.139973	5415	
-0.253418	0.420075	4809	
-0.898824	0.365496	4079	
0.499998	0.339404	7544	
-0.020902	0.338985	6676	
-0.641019	0.170987	5960	
-0.073098	0.874573	10346	
0.193311	0.783644	2012	
-0.465475	0.679091	6873	
-0.575219	0.222443	3003	
-0.562501	0.569574	10407	
0.361089	0.085296	5768	
0.235316	0.542499	5007	
-0.042807	0.677082	4595	
0.214090	0.714697	917	
-0.061006	0.456015	849	
0.812836	0.137220	2721	
-0.350634	0.519711	425	
