time = 10.452	Re = 10	rotation = 0.103739
-0.036003	0.869726	5766	
-0.029159	0.430794	9658	
-0.560872	0.369100	11051	
-0.264645	0.025232	6397	
-0.183449	-0.771690	5829	
-0.772963	0.481274	4291	
0.083979	-0.747465	4495	
0.386177	0.750038	4613	
-0.724360	0.006402	2641	
-0.686036	0.230681	4876	
0.753156	-0.247678	2394	
-0.553383	-0.735988	949	
-0.220632	-0.945144	1433	
0.015810	-0.125055	1880	
0.326820	-0.350268	5709	
-0.441220	0.105712	1797	
-0.185690	0.898739	8656	
-0.886831	0.260925	9399	
0.336492	0.371514	2295	
0.144964	0.826705	2510	
0.097781	0.377301	8400	
-0.049470	0.396498	9407	
0.575449	-0.463082	344	
0.663486	-0.495591	1726	
-0.847407	0.233390	7481	
-0.083954	0.905214	875	
-0.540038	-0.541455	3095	
0.729871	0.329760	6825	
0.326810	0.827733	7560	
-0.657012	0.584094	8917	
-0.333052	0.822368	7528	
-0.452668	0.064875	4730	
0.371941	0.196015	3449	
-0.094556	-0.147481	8393	
-0.284973	-0.720569	4214	
-0.297739	0.021805	5181	
0.341922	0.567413	4552	
-0.313916	-0.697279	1788	
-0.383131	0.037770	5589	
0.331850	0.593123	5305	
-0.468915	0.104939	2608	
-0.146974	0.533998	3337	
0.269054	-0.706346	7467	
0.132813	-0.142794	2385	
-0.619772	-0.049578	6691	
0.171226	-0.081288	10481	
0.396003	-0.491983	5123	
-0.510497	-0.304386	6328	
-0.109098	0.389069	9095	
-0.643966	0.597613	10378	
-0.253358	0.821960	5085	
0.623289	0.131816	2699	
0.268847	0.122031	3038	
-0.097287	-0.157699	8393	
-0.012593	0.688261	6420	
0.397804	-0.891253	9943	
0.098575	0.596755	5302	
0.131620	0.248621	4167	
-0.557808	-0.215336	4344	
-0.658125	0.631637	9754	
0.782040	0.273087	6057	
-0.139577	0.823758	1547	
-0.543264	-0.033644	6289	
0.720430	0.353866	3387	
0.329016	0.026837	7179	
0.107791	0.657598	6381	
-0.716401	-0.200617	9412	
0.190516	-0.745529	6283	
-0.199071	0.404894	7015	
-0.741771	0.076941	7403	
-0.004358	-0.114206	1995	
-0.871146	0.224392	889	
-0.025406	0.610484	6788	
0.629108	0.546546	4912	
0.163018	-0.741950	6271	
0.242969	0.396632	823	
0.815913	0.190127	3691	
-0.201698	-0.695850	1918	
0.164061	0.632116	342	
0.559206	0.345446	10179	
-0.541492	-0.230508	4183	
-0.208888	0.663054	6046	
0.495273	0.078921	4393	
-0.496755	-0.808639	9585	
-0.334908	0.327232	4037	
-0.584688	-0.058795	9872	
-0.087616	0.162698	4925	
0.006429	0.192450	4074	
0.295898	0.427473	3595	
0.474586	0.513390	7466	
0.828202	0.015439	1602	
-0.711682	-0.039756	10426	
0.092403	0.896916	7994	
0.513179	0.443881	5624	
0.539718	0.411998	4965	
0.563210	0.337297	5619	
-0.289459	0.471597	1612	
0.599732	-0.457865	10121	
-0.446076	0.237536	5633	
-0.756591	0.499975	2005	
-0.173837	0.336643	10236	
-0.226958	0.351360	640	
-0.541692	-0.802932	5948	
-0.529509	0.681666	9953	
-0.706693	0.181486	2559	
-0.969606	-0.047167	7174	
-0.228882	-0.077314	7099	
0.695684	-0.406017	3074	
-0.250184	0.483991	983	
-0.024171	0.675183	5600	
-0.552963	0.694241	10151	
-0.332331	0.791432	7674	
0.252250	0.407944	5097	
-0.956889	0.158098	4611	
-0.330220	0.001707	7309	
-0.198487	0.420760	7015	
0.016149	0.905199	7901	
0.377515	-0.448709	10645	
0.658900	0.505563	4974	
0.374666	0.202957	3449	
-0.073624	-0.966998	8745	
0.171770	0.283420	5401	
-0.549377	-0.305407	1838	
-0.128105	-0.943512	2580	
0.448708	0.450964	3738	
-0.248013	0.567605	7008	
0.097923	-0.763971	1857	
0.249414	-0.625178	4718	
-0.904076	-0.305556	8195	
0.396731	0.146114	2434	
-0.470333	0.763301	9116	
0.377400	-0.610419	8203	
-0.870746	-0.463095	8851	
0.283216	0.828390	6460	
0.446217	-0.463511	2244	
-0.094259	0.312461	8488	
-0.024452	0.862539	6385	
-0.726743	-0.005851	3629	
0.457044	0.210895	8499	
-0.525524	0.129747	2999	
-0.151943	0.798849	7114	
0.797006	0.314087	8823	
-0.252818	0.649934	5405	
0.803642	-0.007163	8806	
0.403597	-0.136893	9820	
0.303176	-0.318552	2880	
-0.854133	-0.359591	869	
0.187598	0.867235	9885	
-0.315554	0.534825	1243	
0.450305	0.015071	3974	
-0.045543	0.525536	4483	
-0.946435	-0.194507	5887	
0.740625	0.450279	853	
-0.324559	0.793481	7674	
0.475960	0.478382	4867	
0.777808	0.211985	3638	
-0.904335	-0.272198	9967	
-0.478881	0.061105	6605	
0.381684	-0.612932	6017	
-0.530278	-0.531405	3095	
0.843376	0.072214	2196	
-0.838519	-0.441727	549	
0.539374	0.600934	3837	
0.768811	-0.092423	6054	
-0.408846	-0.674538	3749	
-0.440473	-0.871758	7054	
0.340740	0.760996	5032	
0.339621	0.230312	3647	
-0.193185	0.561279	8330	
-0.293837	0.200862	8761	
-0.513328	-0.331589	1536	
0.818693	0.005745	1602	
-0.734143	-0.112584	4031	
-0.074443	-0.761449	5678	
-0.226300	-0.079011	6248	
0.556825	0.705400	8916	
0.298180	-0.129189	2401	
0.489953	0.656138	4683	
0.262273	0.879480	5313	
-0.715079	-0.631697	9697	
-0.228754	0.528261	4892	
-0.500278	0.209826	1028	
-0.727088	-0.202117	10381	
0.255829	0.261399	800	
0.108382	0.405881	2486	
0.086332	0.328871	5487	
0.188577	0.140439	5196	
-0.917807	-0.009901	8412	
0.468343	0.059466	2931	
0.204474	-0.209845	6264	
0.041601	0.603156	4464	
-0.501091	0.488308	4598	
-0.341017	-0.686275	1675	
0.573281	-0.393434	1739	
-0.708776	-0.306026	7277	
0.831198	0.133918	11055	
-0.636427	0.125964	2869	
0.138448	0.008210	4147	
-0.337449	0.181370	4030	
-0.459156	0.306283	552	
-0.546695	-0.329752	1504	
0.194821	-0.653219	8643	
-0.836303	0.390941	8679	
0.642939	0.213390	1510	
0.765286	-0.070941	7611	
0.535005	-0.554432	9247	
0.009985	0.419038	6960	
0.197856	0.670660	3563	
0.131731	0.172066	7316	
-0.315409	0.397980	3917	
0.327545	-0.080189	10051	
-0.393914	0.569536	3900	
0.088456	0.442981	462	
-0.577055	0.250866	1826	
-0.868592	0.322210	8603	
-0.906146	-0.250144	1763	
-0.093237	0.428512	5598	
0.061717	0.369894	916	
-0.729363	-0.181949	10544	
-0.697611	0.220568	9266	
-0.901989	-0.282027	9967	
0.128013	0.444181	6308	
-0.905551	-0.339108	3814	
0.754722	0.195584	6647	
0.150375	-0.934828	5005	
0.572286	-0.546475	10908	
-0.529405	0.491730	364	
-0.384907	-0.881852	9117	
0.568954	-0.796534	7348	
-0.021412	0.422926	9658	
0.418601	-0.691360	10218	
-0.244625	0.463245	629	
-0.843916	-0.475030	10119	
-0.492691	-0.400638	5206	
