time = 16.002	Re = 10	rotation = 7.23654
0.651171	0.572689	6366	
0.475037	-0.288432	6182	
-0.695469	0.152183	6535	
-0.619754	0.267276	519	
0.268084	0.712552	9945	
-0.455769	0.754096	5308	
0.409121	0.620157	3328	
0.633098	-0.533608	10962	
0.747509	-0.149095	1095	
0.607541	-0.453295	9580	
-0.734107	-0.338212	3150	
0.049999	-0.923445	1582	
0.720935	0.650364	7743	
-0.120575	0.149232	2968	
0.099186	-0.286992	1647	
-0.471295	-0.486817	6468	
-0.698064	0.596593	10676	
-0.821601	-0.419799	987	
0.458283	0.076908	823	
0.707246	-0.424209	5346	
0.557686	-0.071027	8999	
0.473429	-0.323945	5431	
0.051600	-0.747129	10322	
-0.537319	0.548363	5807	
-0.626420	0.617036	5287	
-0.366566	0.832172	9309	
0.740300	-0.035821	435	
-0.308041	-0.735075	7370	
0.609177	0.639833	458	
0.506512	0.674118	1547	
-0.425660	0.792704	889	
-0.346815	-0.556819	3793	
0.445876	0.341462	10717	
-0.397746	0.500182	9483	
0.680987	0.305125	1743	
-0.675046	0.032346	4868	
0.289450	0.059253	8905	
0.724816	-0.097191	1727	
-0.533898	-0.405741	5580	
0.262985	0.094455	1213	
-0.354481	-0.564919	4576	
0.264817	-0.323384	7974	
-0.342620	0.703311	2203	
0.120618	-0.532523	5275	
-0.129722	-0.518723	7355	
0.140566	-0.630625	3662	
-0.046788	-0.222616	5002	
-0.343892	-0.236080	6339	
0.375985	-0.425920	2952	
0.439276	0.724457	3262	
0.362365	0.792202	7674	
0.165568	0.454614	5640	
0.596628	0.241533	6643	
-0.451539	0.453670	9496	
0.164370	0.104100	6904	
-0.066709	0.975980	2062	
0.302856	-0.182923	2048	
0.621190	-0.020149	3700	
-0.290383	-0.340981	2040	
-0.722786	0.533751	6413	
0.234261	-0.811956	9643	
0.829502	0.146639	5234	
-0.216021	-0.513137	2547	
-0.283938	-0.744741	1923	
0.579474	0.320267	10027	
0.235481	-0.013858	4677	
0.755201	-0.040883	3096	
-0.330092	0.714282	4740	
0.237565	-0.412646	2607	
0.774830	0.118578	3992	
-0.097911	0.103888	3491	
-0.884184	0.168759	6831	
0.256671	-0.195039	4425	
0.364357	-0.742922	5994	
0.003784	0.792867	1809	
0.495026	0.011568	8669	
0.398066	-0.748202	8004	
-0.143279	-0.234546	4833	
0.264519	-0.048433	4830	
0.258207	0.281926	6200	
-0.312716	-0.317996	10108	
0.061554	0.344624	3331	
0.290534	0.474356	5628	
0.870680	-0.377467	6844	
-0.072397	0.261067	968	
-0.187706	-0.491934	630	
-0.119094	0.180331	5310	
0.287248	-0.544636	6702	
0.445351	-0.012444	8199	
0.216950	0.239345	10008	
0.142905	-0.849421	857	
0.661871	-0.341150	4453	
0.117434	0.891267	2991	
0.249293	0.236952	1000	
0.236680	0.268069	8708	
0.256071	0.288223	6972	
0.141743	-0.061281	6157	
0.715801	-0.035616	417	
-0.653379	0.251499	7420	
-0.266634	0.838901	8648	
0.215303	-0.427693	3242	
0.168286	-0.224449	7110	
0.922307	0.297808	5941	
0.021460	0.880154	10378	
0.729164	-0.247619	10389	
0.849177	-0.473243	8765	
-0.657269	0.063918	3798	
-0.607147	0.473249	10628	
0.190571	-0.209818	8436	
0.183207	0.052186	522	
-0.605663	0.659771	8250	
0.152426	0.864733	1105	
0.482548	-0.002560	4175	
0.699010	-0.674086	5443	
-0.619754	-0.254809	1113	
0.244558	-0.409143	3055	
-0.104234	0.904438	6238	
0.039124	-0.179404	4935	
0.300148	-0.774230	10318	
0.445106	0.333040	9899	
0.632586	0.735830	5566	
0.588933	0.091475	9720	
-0.293543	-0.275505	8398	
0.948687	0.078394	5052	
0.326562	0.122179	9100	
0.138777	0.034623	2233	
0.033210	0.785301	8946	
-0.081015	-0.209034	9824	
0.611711	-0.733683	10419	
0.410342	0.404787	10743	
-0.818098	0.405408	5751	
0.142176	0.725707	726	
0.864081	0.476373	9042	
0.805076	0.323944	6404	
-0.033191	-0.354011	1034	
0.323419	-0.488049	1827	
0.760452	0.400322	10316	
0.753456	-0.121638	1379	
0.386887	0.321274	4096	
-0.199877	-0.624718	2609	
0.790343	-0.227393	1934	
0.712278	-0.480852	5538	
-0.407117	0.569830	5949	
-0.293837	-0.765997	6177	
0.682416	0.105411	6534	
0.097187	-0.320158	3713	
-0.177483	-0.911163	8887	
0.572614	0.668423	6261	
0.029474	0.139639	5551	
0.312140	0.532295	10117	
0.356040	-0.327349	3340	
0.834681	-0.489471	8196	
0.835249	-0.229945	8974	
0.196244	0.853259	8602	
0.266609	0.192969	8366	
-0.212474	-0.783430	10278	
0.316697	-0.893056	940	
-0.272790	-0.581215	8899	
0.090186	0.744638	2867	
0.377637	-0.593863	5576	
0.498615	-0.697608	6131	
0.546758	-0.775022	9315	
-0.219709	-0.753820	8832	
-0.659782	-0.458410	7996	
0.533869	0.542315	792	
0.717819	0.663115	7701	
0.472109	-0.664696	7643	
0.476484	0.291015	1834	
0.198234	-0.165281	9724	
-0.051426	0.402532	9272	
-0.332425	-0.222085	4786	
-0.064331	-0.840490	9769	
0.765191	0.041880	1959	
0.584180	0.461327	4060	
-0.655978	0.073822	3798	
0.565376	0.694272	5999	
0.264635	-0.627973	1042	
0.042341	-0.827254	1707	
-0.245680	0.885706	4699	
0.833661	-0.464501	8196	
0.190285	-0.174339	8066	
-0.525012	-0.454405	1342	
0.750957	0.160390	1077	
0.539866	0.210013	4090	
0.534546	-0.088335	4351	
0.587829	-0.067472	1414	
0.645355	-0.075770	2484	
-0.663105	-0.640194	7871	
0.304339	0.496984	7935	
0.083088	-0.399031	6174	
0.286703	-0.203090	7069	
-0.644875	-0.323871	1128	
0.731934	-0.052548	663	
0.663751	-0.256544	7419	
0.673296	0.381829	6465	
0.451525	-0.722737	793	
0.165235	-0.720848	2566	
0.193442	-0.601217	1825	
-0.164866	0.673351	4671	
-0.119569	0.703635	8943	
-0.287745	-0.264519	6193	
-0.092155	-0.192647	1234	
-0.909738	0.048486	8256	
0.126591	0.450575	3146	
-0.685358	-0.411280	6652	
-0.016886	0.779440	8490	
0.510304	-0.224648	2439	
0.207090	0.117835	3451	
0.594862	-0.246430	9985	
-0.080609	0.153889	7017	
0.665760	-0.154319	4994	
-0.462849	-0.562200	9192	
0.501993	-0.152314	3209	
-0.205217	-0.653889	7761	
-0.865716	-0.314667	9645	
0.159762	-0.931807	622	
0.402176	-0.382511	7406	
0.562331	-0.119164	9969	
0.756512	0.127782	2866	
0.685239	-0.343281	6014	
0.343154	-0.883470	8009	
0.496093	-0.120862	5795	
0.909725	-0.331227	2376	
-0.566364	-0.550753	1855	
0.925870	0.201533	676	
-0.171769	0.757365	990	
-0.615497	-0.370594	3308	
0.942606	0.193380	10632	
-0.430840	0.882031	638	
0.487440	-0.274532	6182	
-0.776497	-0.304920	4465	
0.202240	-0.262229	3408	
0.959574	-0.137737	8880	
-0.318999	-0.179694	7530	
0.258861	-0.441196	2922	
-0.145277	0.689398	9477	
0.159976	-0.168408	4998	
