time = 13.367	Re = 10	rotation = -15.7498
-0.825231	0.465098	2789	
-0.327600	0.400460	348	
-0.429711	0.020088	1092	
0.065748	0.265566	1214	
0.045690	0.647156	8209	
-0.618768	-0.218550	3643	
0.124710	0.611254	627	
-0.480722	-0.051378	2043	
0.012461	0.483144	1660	
-0.180755	0.007612	10669	
-0.776260	0.343031	345	
0.395472	0.364355	3476	
-0.075223	0.343754	607	
-0.901975	-0.120584	8411	
0.178487	0.640452	603	
0.023920	0.727665	7581	
-0.151046	0.461479	4404	
-0.583955	0.024576	1827	
0.670303	0.572488	5177	
0.418384	0.395011	9182	
-0.370162	0.824346	7120	
-0.048742	0.274788	3765	
-0.589181	-0.153974	2430	
-0.714041	0.493393	8036	
-0.448141	0.165120	4664	
-0.432824	-0.093710	10368	
0.199514	0.782434	2812	
-0.195476	0.549516	8307	
-0.340516	0.250556	9092	
0.392441	0.794430	10345	
-0.003367	0.792604	5222	
-0.238963	0.601618	6422	
-0.249852	0.607112	3808	
-0.095230	0.793033	1855	
-0.777426	0.059529	10063	
-0.488447	0.550693	9700	
-0.042859	0.793951	6302	
-0.587212	0.380904	1697	
-0.410921	0.193180	4248	
-0.391090	0.355281	3687	
-0.298376	0.271335	2029	
-0.402794	0.631645	4307	
-0.619310	0.323007	10330	
-0.414223	0.629584	9946	
-0.416448	0.628614	9946	
-0.451547	0.611682	8163	
-0.465815	0.199813	2306	
-0.386776	0.637984	4937	
-0.275205	0.253567	1170	
-0.355357	0.555119	7103	
-0.487457	0.341642	9422	
-0.113184	0.792416	2309	
-0.339577	0.262053	9092	
-0.644676	0.383398	9486	
-0.881416	0.219476	8604	
-0.532753	0.282877	8047	
-0.620151	0.520972	9359	
-0.345477	-0.048927	8333	
-0.284716	0.009698	8590	
-0.560518	0.535674	2104	
-0.662363	0.350357	8848	
-0.561058	0.257411	2829	
-0.713147	0.522262	10377	
-0.141547	0.106890	4459	
-0.525110	0.237265	10514	
-0.546058	0.446344	2181	
-0.657633	0.191750	1121	
-0.024987	0.538685	9112	
-0.442292	0.051393	1798	
0.740958	0.518521	6479	
0.337467	0.893326	761	
-0.194754	0.438570	4433	
-0.784635	0.464258	2231	
0.018036	0.673090	6892	
0.260125	0.883099	9329	
-0.335228	0.876567	447	
0.115013	0.332758	9536	
0.120983	0.556810	3613	
-0.248422	0.875414	10359	
-0.367278	-0.040609	8191	
-0.307054	0.671236	4157	
-0.864368	0.384229	5172	
-0.380742	0.108712	9222	
-0.460822	0.427414	4954	
-0.091161	0.556407	7694	
-0.646315	0.376740	11067	
-0.199770	0.691381	10239	
0.184880	0.615537	6153	
-0.350224	0.698315	8574	
-0.629212	-0.013727	8252	
0.494518	0.703713	7636	
0.067175	0.506000	6680	
-0.819684	-0.009701	7643	
-0.326200	0.152151	8980	
0.237729	0.765360	1366	
-0.664392	0.167407	801	
0.360138	0.817732	7669	
0.249670	0.792179	5031	
-0.027331	0.826789	5875	
-0.819048	0.005087	7643	
0.236259	0.784178	4316	
-0.696178	-0.134154	1874	
0.529890	0.676733	7716	
-0.031072	0.750966	2549	
-0.624157	-0.093123	9495	
0.244475	0.696993	3045	
-0.645666	0.431914	9521	
-0.442564	-0.100130	4759	
-0.512386	0.221874	4550	
-0.499553	0.399193	2244	
0.426127	0.842514	9197	
-0.131117	0.751275	2727	
-0.609829	0.392799	10265	
0.279543	0.833944	6342	
-0.506686	0.219613	5275	
-0.481555	-0.208566	8109	
-0.861442	0.334052	4700	
-0.488300	-0.139067	3281	
-0.283040	0.278085	4209	
-0.102956	0.931571	10430	
0.183673	0.415621	850	
-0.774942	-0.278825	2787	
0.499245	0.798612	9195	
-0.259937	-0.028740	4681	
-0.276303	0.003189	7154	
-0.701472	0.602599	10270	
-0.521747	-0.011894	1383	
-0.632601	-0.058115	10595	
0.409611	0.777023	7556	
-0.448107	0.535544	7749	
-0.241775	0.089211	8931	
-0.094877	0.180031	2164	
-0.087506	0.150966	3820	
-0.366089	0.644703	2331	
-0.355486	0.325746	7621	
-0.338200	0.303869	3976	
-0.286117	0.259766	1967	
-0.438444	0.618988	10047	
-0.171770	0.276521	7230	
-0.121900	0.226280	6909	
-0.089132	0.119589	6295	
-0.089270	0.145686	3820	
-0.089530	0.143584	3820	
-0.090518	0.151564	3820	
-0.089829	0.146015	3820	
-0.089192	0.132221	2766	
-0.089090	0.128638	2766	
-0.089606	0.116979	6295	
-0.111771	0.210799	3228	
-0.196975	0.289546	8368	
-0.280342	0.102093	8380	
-0.306368	0.275543	2029	
0.226617	0.706803	1788	
-0.385724	0.287963	11039	
-0.706444	0.389412	7335	
-0.755343	0.292388	1836	
0.142341	0.855135	7867	
-0.465078	-0.021585	979	
-0.412241	0.013981	10373	
-0.458076	0.108285	2729	
-0.767956	0.016261	6933	
-0.579725	-0.075223	6599	
-0.530180	0.077639	7703	
-0.647899	-0.170671	1464	
-0.632507	0.219410	8147	
0.371968	0.513324	3922	
0.167587	0.292317	7507	
0.069962	0.624394	8482	
-0.546818	0.467220	8501	
0.446105	0.615094	3249	
-0.771220	-0.365502	8104	
0.220490	0.510787	6634	
0.608273	0.669951	7689	
0.033014	0.775991	7896	
0.507541	0.552848	1123	
0.046167	0.733360	6827	
-0.355308	0.663125	7467	
-0.912464	0.209362	8569	
0.422200	0.699305	5383	
0.828740	0.411493	2645	
0.257643	0.896249	9645	
0.232319	0.861100	7559	
-0.264290	0.459206	7602	
-0.598792	-0.090541	7283	
-0.741677	0.046589	9995	
0.557057	0.681359	7944	
-0.784358	-0.195665	10442	
-0.823623	0.076489	4231	
-0.564285	0.302649	7709	
-0.808119	0.226128	10224	
-0.434011	0.526358	2771	
-0.534663	0.513351	4125	
-0.748687	0.212757	9998	
-0.795418	-0.140238	933	
-0.761835	0.087786	2695	
-0.714558	0.255094	1921	
-0.734203	0.126468	468	
-0.701657	0.195507	3345	
0.089712	0.623017	341	
-0.499999	0.340499	1408	
-0.516179	0.497623	9848	
-0.872822	-0.047205	5616	
0.229070	0.798052	4316	
-0.822728	0.006070	7643	
-0.072733	0.531644	6316	
0.185713	0.777958	2812	
0.188722	0.780865	3008	
-0.797796	-0.273082	3509	
-0.133599	0.404722	5597	
0.487531	0.753576	9289	
-0.520610	0.765211	2214	
-0.414287	0.400468	6906	
-0.289497	-0.121416	740	
-0.729519	-0.352824	6057	
-0.782917	-0.061044	8984	
-0.345387	0.110855	5768	
-0.006497	0.385827	4505	
-0.340715	0.662316	7467	
0.423765	0.550122	7815	
-0.675672	0.662869	8850	
-0.818348	0.441089	1709	
-0.470182	0.027290	4045	
0.223532	0.896334	10639	
-0.430673	-0.025690	7271	
-0.425498	-0.026135	7271	
-0.618620	0.668456	10644	
0.141464	0.871924	10112	
-0.886450	-0.041871	8468	
-0.221690	0.580456	1762	
-0.479639	0.225801	1831	
-0.126217	0.230092	6909	
-0.173465	-0.138378	2633	
-0.185060	-0.141852	4331	
-0.092943	0.149464	3820	
-0.182884	0.274991	8645	
-0.177786	0.272339	5915	
-0.154681	0.254543	8042	
-0.092234	0.137770	4124	
-0.138999	-0.103369	3969	
-0.160070	-0.123543	2519	
-0.199511	-0.143016	5240	
-0.192930	-0.138089	5240	
-0.194615	-0.137833	5240	
-0.192002	-0.136310	4331	
-0.193956	-0.136960	5240	
-0.199588	-0.139517	5240	
-0.199215	-0.140274	5240	
-0.201231	-0.143627	5240	
-0.161637	-0.124926	2519	
-0.131554	-0.082308	6157	
-0.133927	0.232862	8997	
-0.170462	0.267257	7141	
-0.615830	0.326114	10330	
-0.308859	0.273383	2112	
0.159948	0.784827	3150	
-0.407353	0.620380	4307	
0.308240	0.755742	543	
-0.632170	0.003545	7620	
-0.598336	0.019941	2507	
-0.581947	0.069857	2318	
-0.364107	0.514452	2325	
-0.782269	-0.176610	7000	
-0.843109	-0.123524	3792	
-0.404254	-0.110445	10079	
0.049783	0.623339	6974	
0.192365	0.335938	2248	
0.357800	0.476746	8027	
0.286101	0.402291	2268	
-0.282834	0.037728	7461	
