time = 1.807	Re = 10	rotation = 2.66915
-0.357965	0.361338	3192	
-0.354274	0.361960	3192	
-0.345255	0.364040	3192	
-0.330177	0.368321	872	
-0.306899	0.377262	922	
-0.276952	0.391679	8747	
-0.234328	0.414826	5110	
-0.166037	0.452306	2130	
-0.046258	0.503598	591	
0.169480	0.577189	4099	
-0.325657	0.792506	6294	
0.447641	0.690208	1300	
0.547041	0.483748	9911	
0.585602	0.394832	9204	
0.624599	0.334539	5406	
0.670129	0.285699	3529	
0.700154	0.261679	4026	
0.706485	0.261617	5453	
0.659049	0.310850	4157	
0.450086	0.691347	1300	
-0.353017	0.408483	3078	
-0.373860	0.533724	7771	
-0.422128	0.564139	5120	
-0.436368	0.579382	5120	
-0.432120	0.590756	5945	
-0.540237	0.579368	4940	
-0.727192	0.499666	9656	
-0.774272	0.487877	1221	
-0.746414	0.552332	5926	
-0.665691	0.642528	9760	
-0.589059	0.708725	4389	
-0.497448	0.767833	2852	
-0.449315	0.792521	5752	
-0.460821	0.782979	1112	
-0.482942	0.768020	2852	
-0.471187	0.773514	1112	
-0.436416	0.791309	5752	
-0.406554	0.805402	10445	
-0.373559	0.819122	10663	
-0.345795	0.829668	8029	
-0.326222	0.836812	8059	
-0.307372	0.843316	5607	
-0.294773	0.847695	6414	
-0.287946	0.849951	6414	
-0.286608	0.850592	6414	
-0.292122	0.849041	6414	
-0.300847	0.846125	6414	
-0.317306	0.840479	8059	
-0.337815	0.833336	8059	
-0.362024	0.824200	8029	
-0.396110	0.810106	10663	
-0.430600	0.794110	5752	
-0.472319	0.772371	1112	
-0.514909	0.748180	6480	
-0.560131	0.717834	524	
-0.606044	0.681137	6598	
-0.650690	0.638739	9840	
-0.695218	0.589637	10086	
-0.717364	0.552000	8255	
-0.706448	0.539321	9751	
-0.644154	0.559608	7191	
-0.467308	0.605586	9892	
-0.181289	0.606725	1931	
0.049019	0.614727	3164	
0.052615	0.600498	1853	
-0.081547	0.561991	5258	
-0.194070	0.514783	6845	
-0.187065	0.504315	6070	
-0.202988	0.504592	6955	
-0.195662	0.519944	6845	
-0.156525	0.542246	7607	
-0.105541	0.562232	8635	
-0.087456	0.572288	5258	
-0.098443	0.575452	8615	
-0.117136	0.576730	6556	
-0.150191	0.575103	10498	
-0.185847	0.573292	10470	
-0.238774	0.569209	7956	
-0.286363	0.565696	6715	
-0.331283	0.561491	6572	
-0.374930	0.555548	8145	
-0.416514	0.548111	2185	
-0.451731	0.539651	5860	
-0.483408	0.530089	977	
-0.512901	0.519357	1811	
-0.538202	0.508732	1124	
-0.563189	0.495994	597	
-0.585589	0.482691	2845	
-0.605739	0.469072	3096	
-0.621197	0.457202	3250	
-0.633046	0.447192	3250	
-0.642146	0.438467	1927	
-0.650161	0.431029	1927	
-0.656223	0.425243	1927	
-0.660136	0.421436	1927	
-0.662197	0.419368	1927	
-0.662049	0.419787	1927	
-0.659802	0.422388	1927	
-0.655381	0.427152	1927	
-0.648572	0.433993	1927	
-0.639885	0.442622	4114	
-0.630547	0.451986	3250	
-0.616802	0.463602	3250	
-0.598863	0.476694	2993	
-0.577845	0.490312	2845	
-0.554892	0.503303	1124	
-0.529728	0.515172	2235	
-0.501259	0.526811	6536	
-0.470108	0.537510	1267	
-0.436322	0.547059	5083	
-0.398188	0.554777	3935	
-0.356913	0.561188	520	
-0.315015	0.565669	5895	
-0.267390	0.569601	7946	
-0.214876	0.573859	9210	
-0.156453	0.579531	2808	
-0.096627	0.586988	7444	
-0.037984	0.595742	7544	
0.004945	0.604588	5015	
0.007959	0.610040	5015	
-0.099751	0.607286	7323	
-0.326496	0.612641	10813	
-0.553280	0.591572	4391	
-0.675656	0.554996	7909	
-0.700066	0.568495	6320	
-0.655415	0.626583	9840	
-0.586490	0.692164	1313	
-0.501550	0.751965	1560	
-0.408551	0.800332	10445	
-0.321578	0.835203	8059	
-0.243677	0.859071	10485	
-0.174521	0.873289	5288	
-0.119131	0.878701	6255	
-0.089664	0.876888	6507	
-0.081895	0.873492	6507	
-0.065437	0.873368	6507	
-0.040759	0.874426	7458	
-0.017645	0.875071	7300	
0.003165	0.875065	6131	
0.018712	0.874736	1925	
0.031304	0.874271	1925	
0.040759	0.874003	1925	
0.046640	0.873724	8268	
0.048932	0.873877	8268	
0.047393	0.874110	8268	
0.042554	0.874598	8268	
0.034242	0.875147	1925	
0.023097	0.875515	1925	
0.009478	0.875723	2497	
-0.007924	0.875626	7300	
-0.028979	0.874956	8468	
-0.051991	0.873287	7458	
-0.078922	0.870809	6507	
-0.103905	0.867217	5387	
-0.132085	0.862378	5253	
-0.163037	0.856158	5288	
-0.195501	0.848381	3972	
-0.228367	0.839020	10399	
-0.260959	0.828193	2987	
-0.292122	0.815954	5607	
-0.319942	0.802631	5538	
-0.343432	0.788617	6294	
-0.360019	0.774767	10015	
-0.365043	0.761631	10015	
-0.352368	0.750002	5346	
-0.320532	0.739291	3638	
-0.266463	0.729310	812	
-0.236199	0.723813	9580	
-0.253108	0.724081	9743	
-0.287095	0.726013	677	
-0.325218	0.726081	3747	
-0.361552	0.723180	5420	
-0.394428	0.717341	6759	
-0.425064	0.708569	5798	
-0.454090	0.697033	4388	
-0.481407	0.683048	8720	
-0.507718	0.667354	8867	
-0.532567	0.650209	6862	
-0.555877	0.631887	8985	
-0.577719	0.612901	5034	
-0.598025	0.593789	4974	
