time = 15.432	Re = 10	rotation = -10.3222
-0.918558	0.288517	1388	
0.237351	0.841259	9620	
-0.332501	0.597677	6856	
-0.576029	0.198414	9876	
-0.628755	0.250435	2783	
-0.297555	-0.342539	1913	
-0.233999	0.382433	10108	
-0.164761	-0.011044	5378	
-0.713813	0.044217	7220	
-0.456594	0.457321	3156	
-0.768748	-0.299488	8517	
0.018409	0.300528	3471	
-0.507184	0.618084	7113	
-0.570127	-0.306557	5334	
-0.084049	0.400253	3175	
-0.665580	0.246389	9106	
-0.825303	0.278793	5137	
-0.333099	-0.070021	7911	
0.217915	0.659602	8607	
0.095877	0.345286	8247	
-0.311419	0.863171	9409	
-0.657342	0.144800	2644	
-0.194202	-0.257470	2996	
-0.915235	0.132422	2231	
-0.497615	0.668623	4212	
-0.160680	0.077264	3030	
-0.671817	-0.068602	797	
0.203495	0.777194	4047	
-0.459787	0.098619	2372	
0.167882	0.693499	10894	
-0.787046	-0.139655	8371	
-0.576371	0.549560	8406	
-0.589906	-0.192482	2835	
-0.647092	0.272072	2838	
-0.678953	0.299470	3639	
0.112595	0.793880	3830	
-0.825135	-0.029714	8689	
-0.592024	0.374069	6578	
-0.823995	0.095741	5128	
-0.659665	0.327092	9700	
-0.595155	0.124805	1242	
-0.884242	0.110721	8407	
-0.076995	0.521991	1477	
-0.885376	0.093134	2805	
-0.886172	0.080397	7937	
-0.882121	-0.075257	10848	
-0.723613	-0.090650	4803	
-0.873153	0.172865	10135	
-0.595601	0.129725	1408	
-0.257411	0.686748	6890	
-0.308970	0.532456	8043	
0.006790	0.619799	10509	
-0.523384	0.109927	10576	
-0.816971	0.114672	975	
-0.765947	-0.347979	5736	
-0.824559	0.079606	3503	
-0.877833	-0.157129	9832	
-0.457142	-0.009847	3290	
-0.352036	0.524367	3429	
-0.694348	-0.243754	6363	
-0.419849	-0.083955	8444	
-0.096047	0.515868	6088	
-0.893349	0.254989	9753	
-0.758440	0.354377	8621	
-0.295266	0.778917	9390	
-0.495591	-0.121371	6913	
-0.112759	0.543545	7878	
-0.659857	-0.207952	4019	
-0.127809	0.657699	427	
0.286029	0.672396	1812	
0.478280	0.834958	2120	
-0.824907	0.268229	2625	
-0.923476	0.203279	1554	
0.372165	0.753740	5033	
0.655020	0.688844	8195	
-0.328449	0.881277	2580	
-0.487905	0.197739	3918	
-0.371620	0.347718	10949	
-0.164013	0.906062	6581	
-0.398610	-0.027394	8988	
-0.475374	0.737043	457	
-0.954650	0.135833	5364	
-0.545404	0.632437	1346	
-0.409310	-0.097042	928	
0.041639	0.876422	7516	
-0.780176	-0.080709	9998	
0.612778	0.645374	10664	
-0.103070	0.382896	8399	
-0.140028	0.869771	6459	
-0.205520	-0.113136	4129	
-0.164621	0.471399	659	
-0.257721	0.781862	2509	
-0.747783	0.429353	5733	
-0.463529	0.044538	6217	
-0.253832	0.790467	8860	
-0.277116	0.465943	7397	
0.306999	0.716509	1380	
-0.695902	-0.138866	9193	
0.061758	0.681604	9474	
-0.085332	0.852156	7449	
-0.670544	-0.097270	1061	
-0.289463	-0.259245	7423	
0.016174	0.533533	5512	
-0.661751	-0.050365	2162	
-0.190929	-0.206078	8342	
-0.003005	0.469366	2258	
-0.738138	0.303117	2659	
-0.148559	0.057018	4992	
0.317840	0.749349	2687	
-0.135165	0.845607	5828	
0.700242	0.659930	1763	
-0.821240	0.020560	1704	
-0.357383	0.449163	5696	
0.224148	0.718007	2994	
-0.201500	0.810164	8845	
-0.071880	-0.230638	4677	
-0.934449	-0.098378	940	
-0.081183	-0.154352	3969	
-0.666646	0.131077	413	
-0.035762	0.942807	761	
-0.313163	0.294427	805	
-0.507042	-0.339971	6556	
0.835637	0.475406	10654	
-0.386691	0.583345	4349	
-0.372828	0.515732	7239	
-0.790095	0.521264	8869	
-0.212670	-0.066719	587	
-0.185772	-0.167165	6853	
-0.016284	0.542372	9511	
-0.088752	0.735062	3626	
-0.802157	0.134307	11026	
-0.828767	0.103316	5128	
-0.783097	0.330335	9396	
-0.854039	0.241462	1765	
0.413535	0.787954	5177	
-0.051574	0.810844	862	
-0.609958	0.129701	8710	
-0.888539	-0.008119	9874	
-0.260797	0.767493	8772	
-0.554022	0.511704	5394	
-0.474156	0.439809	3206	
-0.776293	0.348076	10594	
-0.783402	0.330303	9396	
-0.741579	0.417600	5881	
-0.767601	0.367476	8730	
-0.845612	-0.007512	9598	
0.079189	0.802089	3755	
-0.501273	0.427402	9923	
-0.565385	0.454313	7523	
-0.124538	0.771679	1946	
-0.813590	0.198192	8760	
-0.625948	0.126205	648	
-0.038701	0.462321	9150	
0.351832	0.761370	5033	
-0.540928	-0.117297	6822	
-0.577192	-0.232074	7620	
0.289005	0.726641	1380	
-0.244425	-0.059035	7346	
-0.344939	0.597643	6419	
0.409975	0.743407	6861	
0.070532	0.796802	3755	
-0.143915	-0.162094	2342	
-0.160974	0.647411	7892	
-0.286003	-0.301689	8253	
-0.070748	0.574919	3989	
0.135050	0.417943	6815	
-0.397863	0.167979	4879	
-0.537195	0.284066	2977	
-0.740195	0.293560	5961	
0.218294	0.575692	8834	
-0.597622	-0.426539	4287	
-0.177563	0.314921	1235	
0.055693	0.599386	4859	
-0.657921	-0.070819	4356	
0.310680	0.578589	10180	
-0.534032	0.299647	3004	
-0.686750	0.558733	7527	
-0.834353	-0.321312	2497	
0.024927	0.520765	3671	
0.488991	0.627329	7667	
0.513915	0.801053	10119	
0.737134	0.529492	6245	
0.127434	0.760892	5050	
-0.163782	-0.193911	7102	
-0.842127	-0.120290	2441	
-0.072650	0.503620	4353	
-0.389565	-0.276231	3119	
-0.242116	0.503859	10464	
-0.812091	0.114656	975	
-0.588468	-0.267370	9808	
-0.251716	0.694986	5835	
-0.001095	0.765891	6616	
-0.442674	0.413546	9975	
-0.313305	-0.196804	9539	
-0.378077	0.421539	5698	
-0.595992	0.319721	2771	
-0.200767	0.508478	5862	
-0.204516	0.549335	3010	
-0.386620	0.350923	2532	
0.194942	0.742161	3249	
-0.213491	0.709688	4364	
-0.406909	-0.083116	9681	
-0.725540	-0.138861	8455	
0.053062	0.860211	7516	
0.570509	0.681167	4947	
-0.733942	0.031096	2115	
-0.686090	-0.037980	10055	
-0.521294	-0.331626	5935	
-0.076662	0.663673	603	
0.128220	0.674894	6500	
-0.563518	0.747273	10359	
0.169975	0.853632	7632	
-0.227727	0.115722	7485	
-0.549457	-0.402827	662	
-0.496895	-0.031169	9070	
-0.731311	-0.061779	2797	
-0.505729	0.640588	1800	
-0.684652	0.560138	7527	
0.243044	0.510970	5053	
-0.729121	0.619969	10393	
-0.932232	0.202519	5281	
-0.379734	0.607633	2451	
0.549139	0.774170	785	
-0.295041	-0.054258	2815	
-0.305219	-0.052561	4034	
-0.705732	0.609061	11022	
0.764530	0.519574	10116	
-0.353545	-0.184797	7211	
0.244741	0.798975	5547	
-0.795809	-0.016119	1135	
-0.499387	0.513296	10311	
-0.588573	0.495898	5737	
-0.541274	0.531143	6331	
-0.723389	0.448068	10922	
-0.221226	0.782975	9638	
-0.730988	0.139798	10189	
-0.411481	0.121437	2262	
-0.783587	0.330544	9396	
-0.486292	0.162754	564	
-0.260353	-0.010563	8286	
-0.571792	0.032595	5784	
-0.523821	0.541395	5427	
-0.529655	0.538472	5427	
-0.498425	0.551617	4026	
-0.513245	0.546472	5453	
-0.731408	0.278914	2073	
-0.746428	0.147069	9940	
-0.517798	0.017156	2636	
-0.300767	-0.011726	3214	
-0.543512	0.194744	4335	
-0.495281	0.518949	10357	
-0.582329	0.134561	9422	
-0.780272	0.245377	8841	
-0.605824	0.124219	9138	
-0.666679	-0.075863	797	
-0.877492	-0.086407	10841	
-0.625170	0.408240	10261	
-0.243537	-0.099157	4268	
-0.299253	-0.079960	9860	
-0.299993	0.616752	1483	
-0.542098	-0.042014	1894	
-0.360644	-0.254593	10368	
-0.328228	-0.179145	8191	
-0.185082	0.117537	9824	
-0.724221	0.222953	9146	
-0.412686	0.251343	4296	
0.058041	0.366617	403	
-0.147848	0.253782	3462	
-0.754620	0.401907	8375	
0.568064	0.709744	1111	
-0.602570	-0.422108	3901	
-0.346021	0.827053	7993	
-0.629675	0.223409	6622	
0.663909	0.615030	8060	
0.681720	0.534124	2988	
-0.715716	0.548928	8049	
-0.445130	-0.014266	1107	
0.253365	0.720040	2846	
-0.702728	0.310777	7371	
-0.920041	0.266196	1388	
0.264753	0.901411	2666	
0.079374	0.496973	2340	
-0.649967	0.263270	1103	
-0.337072	-0.255584	10967	
-0.702312	0.379245	9688	
0.064827	0.681380	9474	
-0.604937	-0.302342	1943	
0.007211	0.766657	1078	
0.111261	0.831139	5298	
-0.754242	-0.272735	5843	
-0.768874	-0.101859	8433	
-0.043294	0.534822	1455	
0.179411	0.794033	4826	
-0.364908	-0.123193	10618	
-0.127313	0.719065	3570	
-0.086722	0.755050	4214	
0.213482	0.810399	5515	
-0.306892	0.671493	2549	
-0.098118	0.850892	7035	
-0.483469	0.112865	5011	
-0.815190	-0.082567	9493	
-0.486928	-0.200419	4744	
-0.444293	0.420711	10118	
-0.270021	0.696746	6890	
