time = 0.65	Re = 10
0.139477	0.143666	0
0.190737	0.154442	1
0.233746	0.171165	2
0.268602	0.199211	3
0.297274	0.236628	4
0.320724	0.283443	5
0.339453	0.336864	6
0.344955	0.367755	7
0.350357	0.398700	8
0.353084	0.431767	9
0.354423	0.465858	10
0.352810	0.501401	11
0.349710	0.537457	12
0.343310	0.574537	13
0.335409	0.611554	14
0.323794	0.648841	15
0.310735	0.685530	16
0.294623	0.721530	17
0.276704	0.757139	18
0.256609	0.790784	19
0.235487	0.823521	20
0.212971	0.854491	21
0.190406	0.884355	22
0.167265	0.912485	23
0.144797	0.940644	24
0.124432	0.992392	25
