time = 9	Re = 10
0.112222	0.175546	0
0.151926	0.136107	1
0.181417	0.105358	2
0.208532	0.061121	3
0.222730	0.003228	4
0.220754	-0.033977	5
0.221224	-0.063326	6
0.212472	-0.096132	7
0.204767	-0.127554	8
0.185642	-0.164730	9
0.164292	-0.203082	10
0.150572	-0.243425	11
0.148577	-0.287010	12
0.154435	-0.338604	13
0.164350	-0.384301	14
0.193561	-0.419448	15
0.231794	-0.433855	16
0.264719	-0.419151	17
0.300317	-0.389843	18
0.321830	-0.356419	19
0.339528	-0.319308	20
0.349009	-0.280145	21
0.350118	-0.262858	22
0.354989	-0.240830	23
0.353169	-0.224078	24
0.352139	-0.205371	25
0.348899	-0.183595	26
0.345502	-0.161000	27
0.339927	-0.134802	28
0.333907	-0.102204	29
0.327807	-0.053281	30
0.321970	-0.019517	31
0.313278	0.019061	32
0.295441	0.071643	33
0.281353	0.101887	34
0.265282	0.133150	35
0.245062	0.165966	36
0.219366	0.202936	37
0.191182	0.237332	38
0.164528	0.268189	39
0.137394	0.316686	40
0.122531	0.363195	41
0.113411	0.417092	42
0.109135	0.449486	43
0.100481	0.498139	44
0.098194	0.546314	45
0.099455	0.577644	46
0.102540	0.610047	47
0.084817	0.640615	48
0.070804	0.668773	49
0.054121	0.683909	50
0.037871	0.714231	51
0.009831	0.713238	52
-0.029320	0.721369	53
-0.043942	0.704285	54
-0.023653	0.718623	55
0.034313	0.709049	56
-0.017543	0.709317	57
-0.026736	0.716974	58
-0.022159	0.708980	59
0.023387	0.692043	60
0.043715	0.689455	61
0.049398	0.705363	62
0.011607	0.713938	63
-0.030260	0.713800	64
-0.028462	0.706842	65
-0.026002	0.708097	66
-0.019816	0.714049	67
-0.022258	0.713428	68
-0.032055	0.709241	69
-0.026696	0.708405	70
0.008686	0.695401	71
0.039132	0.689102	72
0.044936	0.691811	73
0.050191	0.702576	74
0.034118	0.718071	75
0.045321	0.691139	76
0.045687	0.686775	77
0.043874	0.682972	78
0.039108	0.681276	79
0.011203	0.686054	80
-0.038863	0.681064	81
-0.074711	0.669419	82
-0.104883	0.652444	83
-0.144807	0.624624	84
-0.176577	0.609214	85
-0.205140	0.595666	86
-0.192719	0.597259	87
-0.224903	0.584193	88
-0.258612	0.568815	89
-0.309023	0.543966	90
-0.345349	0.524174	91
-0.379649	0.503401	92
-0.407237	0.484031	93
-0.434903	0.463878	94
-0.463908	0.438746	95
-0.491764	0.412331	96
-0.513010	0.387960	97
-0.534399	0.362686	98
-0.560453	0.326176	99
-0.583996	0.288492	100
-0.601459	0.253926	101
-0.618461	0.216995	102
-0.637320	0.161673	103
-0.650628	0.108511	104
-0.656508	0.069849	105
-0.661130	0.028275	106
-0.661679	-0.003761	107
-0.661868	-0.037945	108
-0.656524	-0.096249	109
-0.650253	-0.129991	110
-0.642399	-0.167259	111
-0.629194	-0.211890	112
-0.612643	-0.258070	113
-0.602010	-0.279412	114
-0.580798	-0.320742	115
-0.556033	-0.362836	116
-0.534260	-0.392900	117
-0.509327	-0.425121	118
-0.486619	-0.448935	119
-0.466822	-0.468302	120
-0.444812	-0.490063	121
-0.424043	-0.507388	122
-0.401305	-0.526856	123
-0.384040	-0.538371	124
-0.362351	-0.553378	125
-0.338704	-0.570846	126
-0.316677	-0.584764	127
-0.292605	-0.601569	128
-0.249835	-0.628203	129
-0.207292	-0.655657	130
-0.182358	-0.673348	131
-0.157670	-0.690983	132
-0.125382	-0.714440	133
-0.089013	-0.736263	134
-0.059486	-0.749610	135
-0.022835	-0.760677	136
0.026461	-0.763916	137
0.068983	-0.754229	138
0.109260	-0.738966	139
0.143486	-0.723713	140
0.159093	-0.712918	141
0.183436	-0.704804	142
0.218195	-0.687644	143
0.250435	-0.670759	144
0.265751	-0.660245	145
0.291322	-0.650436	146
0.315021	-0.636975	147
0.341029	-0.623672	148
0.372385	-0.606161	149
0.403671	-0.588256	150
0.434805	-0.567722	151
0.463908	-0.546938	152
0.489029	-0.527058	153
0.514901	-0.506061	154
0.543987	-0.479313	155
0.572291	-0.450595	156
0.600371	-0.417439	157
0.625648	-0.383231	158
0.652761	-0.342536	159
0.658125	-0.329341	160
0.677601	-0.298418	161
0.696722	-0.256789	162
0.702291	-0.239845	163
0.717331	-0.206085	164
0.721076	-0.189728	165
0.734790	-0.152189	166
0.739296	-0.130013	167
0.748885	-0.092763	168
0.754671	-0.052702	169
0.759374	-0.008915	170
0.761288	0.038793	171
0.760349	0.088176	172
0.755868	0.136422	173
0.748218	0.187615	174
0.736323	0.240783	175
0.719812	0.297356	176
0.704919	0.336267	177
0.687268	0.376684	178
0.664988	0.420415	179
0.639624	0.463152	180
0.613955	0.500885	181
0.585427	0.538294	182
0.555273	0.572989	183
0.518169	0.612372	184
0.494436	0.633674	185
0.462435	0.662047	186
0.431650	0.685632	187
0.393425	0.713261	188
0.357961	0.735005	189
0.316613	0.759116	190
0.272736	0.781902	191
0.220024	0.806422	192
0.180555	0.821679	193
0.125786	0.840280	194
0.074505	0.852612	195
0.040924	0.857752	196
0.007437	0.861718	197
-0.044558	0.861988	198
-0.076944	0.859470	199
-0.107832	0.856716	200
-0.161013	0.847284	201
-0.189907	0.840215	202
-0.217742	0.833959	203
-0.257144	0.822129	204
-0.298306	0.809203	205
-0.339774	0.793972	206
-0.383986	0.776704	207
-0.421484	0.759473	208
-0.462122	0.739711	209
-0.499201	0.718424	210
-0.538509	0.693886	211
-0.567848	0.672853	212
-0.599057	0.649500	213
-0.630041	0.623599	214
-0.663605	0.593609	215
-0.693065	0.563935	216
-0.724088	0.530544	217
-0.751250	0.497049	218
-0.780002	0.458975	219
-0.800494	0.427563	220
-0.821747	0.393455	221
-0.840420	0.358835	222
-0.859904	0.320580	223
-0.874664	0.286310	224
-0.889461	0.249338	225
-0.902004	0.211871	226
-0.914367	0.171310	227
-0.922068	0.138166	228
-0.929862	0.102819	229
-0.935874	0.065154	230
-0.941452	0.024018	231
-0.943968	-0.016999	232
-0.945274	-0.064786	233
-0.943487	-0.117416	234
-0.938795	-0.174257	235
-0.934268	-0.207098	236
-0.928871	-0.242541	237
-0.921744	-0.277754	238
-0.914083	-0.313693	239
-0.899766	-0.369144	240
-0.884366	-0.421167	241
-0.874580	-0.468294	242
-0.871741	-0.500798	243
