time = 4.9	Re = 10
0.128366	0.154027	0
0.164669	0.127895	1
0.202126	0.088493	2
0.223583	0.051542	3
0.241235	0.012322	4
0.258880	-0.012785	5
0.276479	-0.037399	6
0.313397	-0.001528	7
0.325203	0.044028	8
0.328759	0.095032	9
0.323278	0.125969	10
0.317145	0.157123	11
0.305698	0.187983	12
0.292998	0.219028	13
0.274381	0.251148	14
0.254450	0.283070	15
0.231676	0.316289	16
0.208897	0.350856	17
0.183097	0.392738	18
0.157911	0.442987	19
0.143320	0.478972	20
0.129468	0.516995	21
0.112932	0.570233	22
0.102961	0.604002	23
0.091898	0.639348	24
0.079276	0.674774	25
0.048755	0.712364	26
-0.001645	0.718152	27
-0.056020	0.714474	28
-0.075457	0.695361	29
-0.105826	0.665586	30
-0.082027	0.678806	31
-0.090736	0.664738	32
-0.136199	0.636761	33
-0.123959	0.638741	34
-0.170472	0.608202	35
-0.170020	0.603914	36
-0.203479	0.584638	37
-0.224599	0.567931	38
-0.263961	0.543458	39
-0.287348	0.525674	40
-0.328017	0.498817	41
-0.332740	0.491988	42
-0.360214	0.473296	43
-0.387373	0.454197	44
-0.389893	0.448478	45
-0.414854	0.428446	46
-0.439731	0.407998	47
-0.429481	0.412803	48
-0.458311	0.387143	49
-0.486254	0.360342	50
-0.472744	0.369424	51
-0.497255	0.343281	52
-0.521358	0.315866	53
-0.538656	0.290772	54
-0.555925	0.265500	55
-0.579210	0.222759	56
-0.593332	0.193604	57
-0.607376	0.163575	58
-0.620949	0.123129	59
-0.629659	0.093257	60
-0.638290	0.062937	61
-0.643349	0.030872	62
-0.648191	-0.001585	63
-0.652835	-0.035024	64
-0.652680	-0.059344	65
-0.653291	-0.093775	66
-0.653166	-0.129294	67
-0.649753	-0.158401	68
-0.645174	-0.192092	69
-0.639949	-0.226754	70
-0.629651	-0.265578	71
-0.617150	-0.306604	72
-0.600044	-0.351212	73
-0.579421	-0.397502	74
-0.560895	-0.430569	75
-0.540137	-0.465035	76
-0.514629	-0.501823	77
-0.485842	-0.539598	78
-0.461023	-0.566943	79
-0.434351	-0.595017	80
-0.400456	-0.626291	81
-0.362815	-0.657856	82
-0.334118	-0.677987	83
-0.303974	-0.698177	84
-0.266513	-0.719992	85
-0.226203	-0.741482	86
-0.190629	-0.757311	87
-0.153069	-0.772701	88
-0.114669	-0.785464	89
-0.073928	-0.797469	90
-0.038167	-0.805217	91
-0.001254	-0.812402	92
0.036327	-0.817340	93
0.075355	-0.821490	94
0.112017	-0.822872	95
0.149864	-0.823475	96
0.188547	-0.821655	97
0.229194	-0.818545	98
0.264962	-0.813536	99
0.301269	-0.807610	100
0.337171	-0.799670	101
0.373849	-0.790885	102
0.406321	-0.780945	103
0.439269	-0.770461	104
0.473122	-0.757249	105
0.507879	-0.742766	106
0.538145	-0.728444	107
0.568536	-0.713566	108
0.597841	-0.697047	109
0.627564	-0.680003	110
0.654960	-0.661611	111
0.682473	-0.642648	112
0.710637	-0.620727	113
0.739740	-0.597007	114
0.780085	-0.562199	115
0.818855	-0.526271	116
0.852227	-0.493013	117
0.884901	-0.458921	118
