Time	U_x	U_y	P	Max.Res.
0	0	0	0	0
0.001	6.357284363e-07	6.779108801e-06	-0.001392327319	1
0.002	1.311369462e-05	2.438220965e-05	-0.005824876844	214.1763383
0.003	2.018025353e-05	3.940040191e-05	-0.00898348725	23.18448385
0.004	2.694151262e-05	4.896616595e-05	-0.009452995807	6.574266005
0.005	2.952843747e-05	5.097354795e-05	-0.007931893928	11.67957999
0.006	2.468607847e-05	4.737262078e-05	-0.005410886032	21.2484388
0.007	1.713714842e-05	4.366432621e-05	-0.003453000438	9.076927834
0.008	-3.59571125e-06	3.451742308e-05	-0.00022118149	29.74732198
0.009	-2.85171998e-05	2.550217894e-05	0.002242029477	49.75595029
0.01	-5.574909872e-05	1.754067077e-05	0.004107778306	27.95428353
0.011	-8.442942701e-05	1.024989925e-05	0.005433867384	6.224294858
0.012	-0.0001138060971	3.437713196e-06	0.006330877794	10.15858078
0.013	-0.0001433341639	-2.972615749e-06	0.006885636196	18.1623975
0.014	-0.0001742371141	-9.420130821e-06	0.00724443989	6.077288624
0.015	-0.0002046825202	-1.515143322e-05	0.007314610675	46.6163575
0.016	-0.0002333484757	-1.993887546e-05	0.007132779096	4.872484415
0.017	-0.0002599147908	-2.398008394e-05	0.006788184397	6.834768155
0.018	-0.0002845921897	-2.751887722e-05	0.006370315554	16.01074808
0.019	-0.0003072113101	-3.044507973e-05	0.005842514706	4.097112945
0.02	-0.0003278606231	-3.280005007e-05	0.005254772017	6.806057661
0.021	-0.0003469087984	-3.474581958e-05	0.004669890133	5.002104074
0.022	-0.0003646379141	-3.636228935e-05	0.004113705662	5.826028088
0.023	-0.000381273649	-3.768750161e-05	0.00359381351	2.853632076
0.024	-0.0003970200022	-3.875288327e-05	0.003111675909	1.499328675
0.025	-0.0004121180111	-3.961559243e-05	0.002676836033	2.330117246
0.026	-0.0004266948071	-4.028415932e-05	0.002276788716	4.717063066
0.027	-0.0004409222311	-4.080157357e-05	0.00191638024	4.102961466
0.028	-0.0004549321151	-4.119679297e-05	0.001592107754	1.303868427
0.029	-0.0004687347375	-4.141992269e-05	0.001260411669	8.774925298
0.03	-0.0004824926332	-4.153083023e-05	0.0009507789102	3.283860997
0.031	-0.0004963315182	-4.156772386e-05	0.0006641232914	2.212810366
0.032	-0.0005103395236	-4.154978067e-05	0.0004012597152	2.700874229
0.033	-0.0005245974786	-4.149025399e-05	0.0001566676077	1.076347846
0.034	-0.0005391501958	-4.14064243e-05	-6.287614837e-05	3.100797515
0.035	-0.0005540619067	-4.131646642e-05	-0.0002633567322	2.797808427
0.036	-0.0005693675851	-4.122899855e-05	-0.0004447031573	1.29283529
0.037	-0.0005850923122	-4.115512508e-05	-0.0006072535189	4.392337975
0.038	-0.0006012502539	-4.110414e-05	-0.0007516395846	4.546730241
0.039	-0.0006179022495	-4.109001594e-05	-0.0008834124638	1.870753429
0.04	-0.0006350657047	-4.111200447e-05	-0.001002889861	0.775218665
0.041	-0.000652681319	-4.116393469e-05	-0.001106498569	0.4850851235
0.042	-0.0006709699542	-4.129539284e-05	-0.001207047812	0.5187141222
0.043	-0.0006899017902	-4.147112479e-05	-0.001300310799	1.113817223
0.044	-0.0007095972919	-4.171752991e-05	-0.001389868624	0.4607637693
0.045	-0.0007300196816	-4.201438321e-05	-0.001472390829	0.7780268556
0.046	-0.0007511957865	-4.237475463e-05	-0.00154827918	0.7873564002
0.047	-0.0007731489836	-4.280369207e-05	-0.001617770873	1.453815631
0.048	-0.0007960045189	-4.332495416e-05	-0.001683215678	1.038201987
0.049	-0.0008195732343	-4.38852138e-05	-0.001740007369	0.6576756761
0.05	-0.0008439448745	-4.45308581e-05	-0.001790089365	0.5450810747
0.051	-0.000869241031	-4.527959345e-05	-0.001834379479	0.4010865275
0.052	-0.0008952383838	-4.606820772e-05	-0.001869570546	0.7493336278
0.053	-0.0009220231728	-4.694560804e-05	-0.001896712227	1.448312587
0.054	-0.0009495878187	-4.790281929e-05	-0.001915478201	0.7481347407
0.055	-0.0009779176907	-4.893610032e-05	-0.001925891584	0.4988518063
0.056	-0.001007000452	-5.004372151e-05	-0.001928148185	0.4882269342
0.057	-0.001036822016	-5.122298597e-05	-0.001922692537	0.4119898747
0.058	-0.001067498476	-5.249834821e-05	-0.001909565496	0.408165606
0.059	-0.001099042649	-5.385369113e-05	-0.001889360015	0.7432494393
0.06	-0.001131334506	-5.525631599e-05	-0.001864034104	1.150495556
0.061	-0.001164355057	-5.671562141e-05	-0.001834762288	0.5418192476
0.062	-0.001198081707	-5.822909227e-05	-0.00180271297	0.4861741365
0.063	-0.001232486026	-5.979111579e-05	-0.001769024244	0.6459173142
0.064	-0.001267663441	-6.142184122e-05	-0.001733390937	0.4801641208
