time = 23.077	Re = 13	rotation = -16.4521
0.953738	0.078281	9908	
-0.186093	0.872555	8127	
0.759830	0.638816	6277	
0.196936	-0.283521	3959	
0.430698	0.239465	1844	
0.671910	-0.096416	1318	
0.219474	0.627549	1143	
0.607942	0.003350	1515	
0.488538	-0.149616	2826	
-0.527440	0.654311	3742	
0.157045	-0.275725	2638	
0.067697	0.982591	8387	
0.425543	0.153508	3498	
0.380594	0.031603	4385	
0.089419	-0.336538	1101	
0.581570	0.501540	8079	
0.838923	0.345309	10018	
0.530016	0.340178	986	
-0.376452	0.805688	7154	
0.619588	0.438792	5189	
0.469547	0.613757	845	
-0.842749	-0.439607	2630	
0.523986	0.564705	5571	
0.151519	-0.350750	2982	
0.845887	-0.132660	6156	
-0.472767	0.848970	501	
0.887338	0.387383	2108	
0.446082	0.642111	2326	
0.092216	-0.891502	5912	
-0.129380	0.078560	3417	
0.703208	0.547256	7959	
-0.433368	-0.427057	9367	
-0.309284	-0.166486	9125	
-0.144558	-0.133844	5470	
0.545428	0.131724	1130	
-0.453638	0.679085	5445	
-0.097230	-0.714276	6985	
-0.112286	0.728359	4056	
0.736252	-0.447956	8866	
-0.024745	-0.426462	4235	
0.802321	-0.557070	5432	
0.468328	0.797306	396	
0.337354	0.862083	8686	
0.333366	-0.066139	4604	
-0.645538	0.637938	5830	
0.287279	-0.103725	7826	
0.880961	0.170383	9758	
0.112407	0.382167	1539	
-0.829778	-0.118254	2084	
0.246821	0.912525	1395	
-0.116716	-0.020356	8297	
0.153057	-0.312386	7439	
0.061273	0.384992	3454	
-0.747829	0.470904	8947	
0.544217	0.805823	8485	
0.627303	0.422135	2740	
0.296799	0.172974	5868	
-0.165045	0.709369	2285	
0.698104	0.142262	7009	
-0.759797	0.448355	9887	
0.355237	-0.128070	4713	
-0.274433	0.941579	9288	
-0.082877	0.543414	3170	
0.949927	0.067432	9908	
-0.244367	0.872006	6978	
0.108692	0.668505	2645	
0.344987	-0.085526	2554	
0.636338	0.402882	3090	
0.263747	-0.467221	3124	
-0.365195	0.697409	5493	
0.220766	0.003464	9486	
0.251583	0.326275	5433	
0.534368	-0.348049	1312	
-0.424674	0.597476	4862	
-0.462730	0.537763	9329	
0.198669	0.606618	1371	
0.530525	0.320535	864	
0.989627	0.060447	1851	
0.542074	-0.326334	7726	
0.515968	-0.720031	7203	
0.656476	0.528778	6211	
0.462864	0.862366	8146	
0.075366	0.406602	2718	
0.374488	0.418614	5985	
0.311403	-0.261896	2125	
0.180723	0.130984	9376	
0.508257	0.450456	6450	
0.085183	0.429561	3363	
0.773386	0.412128	767	
0.245206	0.139968	1406	
0.568378	-0.052106	5314	
0.035875	0.444881	4885	
-0.738886	-0.229080	977	
