time = 0.447	Re = 25	rotation = -0.237313
-0.901730	0.033233	8383	
-0.904838	0.080581	9710	
-0.906533	0.135227	9986	
-0.905385	0.168923	9935	
-0.900823	0.211238	10111	
-0.891446	0.264005	9139	
-0.875517	0.321852	1692	
-0.864800	0.351687	5574	
-0.853818	0.381454	566	
-0.840198	0.411071	524	
-0.826454	0.440733	10104	
-0.810126	0.470194	10152	
-0.793398	0.499823	9033	
-0.773832	0.529575	9106	
-0.753918	0.559175	7226	
-0.733523	0.584435	4450	
-0.713344	0.609578	9086	
-0.680749	0.641313	5738	
-0.658388	0.656992	5236	
