time = 0.5002	Re = 25	rotation = -2.08454e-06
-0.929643	0.123871	848	
-0.929643	0.123868	848	
-0.929642	0.123889	848	
-0.929640	0.123915	848	
-0.929635	0.123956	848	
-0.929631	0.123957	848	
-0.929623	0.124032	848	
-0.929619	0.124071	848	
-0.929617	0.124075	848	
-0.929613	0.124089	848	
-0.929602	0.124202	848	
-0.929582	0.124360	848	
-0.929563	0.124511	848	
-0.929544	0.124692	848	
-0.929527	0.124871	848	
-0.929505	0.125039	848	
-0.929490	0.125158	848	
-0.929463	0.125370	848	
-0.929445	0.125526	848	
-0.929425	0.125710	848	
-0.929407	0.125810	848	
-0.929377	0.126055	848	
-0.929340	0.126369	848	
-0.929309	0.126592	848	
-0.929279	0.126874	848	
-0.929242	0.127188	848	
-0.929225	0.127262	848	
-0.929186	0.127543	848	
-0.929137	0.127949	848	
-0.929096	0.128263	848	
-0.929051	0.128628	848	
-0.929028	0.128759	848	
-0.928971	0.129178	848	
-0.928928	0.129544	848	
-0.928869	0.130015	848	
-0.928825	0.130267	848	
-0.928781	0.130575	848	
-0.928708	0.131161	848	
-0.928657	0.131534	848	
-0.928602	0.131847	848	
-0.928548	0.132263	848	
-0.928468	0.132793	848	
-0.928413	0.133234	848	
-0.928348	0.133641	848	
-0.928274	0.134124	848	
-0.928204	0.134629	848	
-0.928139	0.135026	848	
-0.928044	0.135653	848	
-0.927979	0.136067	848	
-0.927902	0.136583	848	
-0.927820	0.137135	848	
-0.927732	0.137669	848	
-0.927637	0.138286	848	
-0.927556	0.138765	848	
-0.927460	0.139382	848	
-0.927353	0.140047	848	
-0.927272	0.140524	848	
-0.927151	0.141299	848	
-0.927095	0.141827	848	
-0.927012	0.142542	848	
-0.926935	0.143170	848	
-0.926860	0.143795	848	
-0.926770	0.144418	848	
-0.926696	0.144952	848	
-0.926592	0.145677	848	
-0.926526	0.146114	848	
-0.926408	0.146976	2000	
-0.926324	0.147429	2000	
-0.926191	0.148357	2000	
-0.926095	0.148956	2000	
-0.925974	0.149770	2000	
-0.925878	0.150265	2000	
-0.925758	0.151054	2000	
-0.925656	0.151639	2000	
-0.925522	0.152486	2000	
-0.925417	0.153103	2000	
-0.925285	0.153906	2000	
-0.925175	0.154611	2000	
-0.925038	0.155400	2000	
-0.924914	0.156195	2000	
-0.924793	0.156862	2000	
-0.924641	0.157902	2000	
-0.924512	0.158639	2000	
-0.924362	0.159601	2000	
-0.924224	0.160492	2000	
-0.924080	0.161301	2000	
-0.923936	0.162150	2000	
-0.923811	0.162838	2000	
-0.923656	0.163658	2000	
-0.923492	0.164404	2000	
-0.923357	0.165030	10270	
-0.923181	0.165989	10270	
-0.923016	0.166884	10270	
-0.922871	0.167608	10270	
-0.922710	0.168467	10270	
-0.922536	0.169441	10270	
-0.922366	0.170346	10270	
-0.922183	0.171300	9989	
-0.921987	0.172308	9989	
-0.921817	0.173115	9989	
-0.921702	0.173972	9989	
-0.921557	0.174911	9989	
-0.921390	0.175961	9989	
-0.921222	0.176924	9989	
-0.921051	0.177852	9989	
-0.920863	0.178924	9989	
-0.920673	0.179952	9989	
-0.920476	0.181026	9989	
-0.920287	0.182047	9989	
-0.920095	0.183070	9989	
-0.919880	0.184221	9989	
-0.919683	0.185215	9989	
-0.919451	0.186188	9989	
-0.919228	0.187155	9989	
-0.919009	0.188134	9989	
-0.918779	0.189185	9989	
-0.918580	0.190059	9989	
-0.918347	0.191128	9989	
-0.918101	0.192271	9989	
-0.917858	0.193369	9989	
-0.917575	0.194552	10039	
-0.917337	0.195655	10039	
-0.917103	0.196784	10039	
-0.916855	0.197984	8850	
-0.916610	0.199094	8850	
-0.916362	0.200203	8850	
-0.916112	0.201295	8850	
-0.915865	0.202402	8850	
-0.915603	0.203579	8850	
-0.915349	0.204728	8850	
-0.915084	0.205934	8850	
-0.914826	0.207085	8850	
-0.914543	0.208997	8850	
-0.914261	0.210609	8850	
-0.913974	0.212119	8850	
-0.913693	0.213498	8850	
-0.913415	0.214817	8850	
-0.913126	0.216180	8850	
-0.912824	0.217527	8850	
-0.912540	0.218773	8850	
-0.912214	0.220192	8850	
-0.911907	0.221507	8850	
-0.911544	0.222627	8850	
-0.911158	0.223875	8850	
-0.910771	0.225155	8850	
-0.910376	0.226487	8850	
-0.909946	0.227913	6274	
-0.909558	0.229168	6274	
-0.909170	0.230385	6274	
-0.908760	0.231654	6274	
-0.908322	0.233022	6274	
-0.907912	0.234319	6274	
-0.907472	0.235697	6274	
-0.907077	0.237019	6274	
-0.906680	0.238308	6274	
-0.906272	0.239647	6274	
-0.905877	0.240948	6274	
-0.905461	0.242332	6274	
-0.905070	0.243573	6274	
-0.904653	0.244897	6274	
-0.904247	0.246192	6274	
-0.903840	0.247536	1492	
-0.903438	0.248908	1492	
-0.903050	0.250222	1492	
-0.902632	0.251629	1492	
-0.902075	0.253222	8887	
-0.901579	0.254740	8887	
-0.901126	0.256161	8887	
-0.900653	0.257643	8887	
-0.900187	0.259110	8887	
-0.899710	0.260655	1443	
-0.899247	0.262198	1443	
-0.898833	0.263598	1443	
-0.898434	0.265058	1443	
-0.897982	0.266575	1443	
-0.897495	0.268192	1443	
-0.897021	0.269713	1443	
-0.896555	0.271204	1443	
-0.896086	0.272686	1443	
-0.895539	0.274390	1453	
-0.895004	0.276020	1453	
-0.894495	0.277584	1453	
-0.894000	0.279085	1453	
-0.893444	0.280794	1453	
-0.892877	0.282522	8452	
-0.892316	0.284236	8452	
-0.891797	0.285800	8452	
-0.891231	0.287587	8452	
-0.890722	0.289382	8452	
-0.890140	0.291316	8452	
-0.889617	0.292970	8452	
-0.889104	0.294543	8452	
-0.888613	0.296065	8452	
-0.888096	0.297600	8452	
-0.887558	0.299228	10091	
-0.886964	0.300988	10091	
-0.886311	0.302961	10091	
-0.885730	0.304684	10091	
-0.885049	0.306521	10091	
-0.884345	0.308350	10091	
-0.883650	0.310184	10091	
-0.882975	0.311924	10091	
-0.882362	0.313466	10091	
-0.881708	0.315201	10091	
-0.881012	0.317032	10091	
-0.880336	0.318769	10091	
-0.879715	0.320353	10945	
-0.879076	0.322008	10945	
-0.878416	0.323710	10930	
-0.877707	0.325520	10930	
-0.876974	0.327484	10930	
-0.876213	0.329499	10930	
-0.875434	0.331591	10930	
-0.874676	0.333583	10930	
-0.873945	0.335460	10930	
-0.873239	0.337251	10930	
-0.872544	0.338858	10930	
-0.871765	0.340736	10930	
-0.870960	0.342667	10930	
-0.870214	0.344442	10930	
-0.869372	0.346321	10930	
-0.868619	0.348042	10548	
-0.867885	0.349789	10548	
-0.867148	0.351517	10548	
-0.866375	0.353394	10293	
-0.865626	0.355174	10293	
-0.864943	0.356756	10293	
-0.864165	0.358609	10293	
-0.863429	0.360306	10293	
-0.862676	0.362046	10293	
-0.861833	0.364083	10293	
-0.860965	0.366200	10293	
-0.860157	0.368143	10293	
-0.859309	0.370183	10293	
-0.858458	0.372187	10293	
-0.857648	0.374049	10293	
