time = 6.2202	Re = 25	rotation = -9.59738
0.783295	0.122284	6652	
0.783172	0.122050	6652	
0.802974	0.158246	8772	
0.816469	0.248816	6857	
-0.033936	0.863853	9045	
0.031601	0.869178	1460	
-0.228135	0.816321	7654	
-0.281417	0.794198	7660	
-0.272385	0.798436	9738	
-0.275191	0.797168	7660	
-0.537970	0.505957	5952	
-0.391918	0.391977	2439	
-0.462898	0.114393	3789	
-0.805566	0.342682	9619	
-0.785194	0.512984	512	
-0.811007	0.455887	2758	
-0.783517	0.324377	6435	
-0.418287	0.061196	5325	
-0.320842	0.771509	3792	
0.314775	-0.346501	5109	
-0.240364	-0.550728	4649	
0.478586	0.214423	3778	
-0.067093	0.195856	3505	
0.664950	0.532595	7059	
-0.378958	-0.446555	895	
0.242112	0.577151	5080	
0.411999	-0.705254	10989	
0.057284	0.502633	5634	
-0.860992	0.045720	7450	
0.051970	0.530658	10772	
0.513828	0.704083	8577	
-0.007053	0.554903	8855	
0.803872	-0.298381	7291	
-0.517759	0.309692	2495	
-0.484560	-0.539967	9550	
0.335187	0.112752	9795	
0.713090	-0.310425	3249	
-0.498686	-0.455511	4717	
0.473830	-0.819022	10258	
0.721227	-0.588219	5193	
0.258451	-0.917232	9790	
-0.351247	0.055826	2606	
-0.729173	-0.622353	10582	
-0.878716	-0.364497	2147	
-0.419381	-0.189996	2858	
-0.389239	-0.059625	1796	
-0.489226	-0.498869	5997	
-0.057940	-0.957031	1528	
0.677520	-0.294112	436	
-0.779119	-0.097914	5830	
0.200555	0.507169	9179	
-0.498288	-0.332167	8410	
0.545571	-0.079652	9511	
-0.477175	0.274844	4351	
0.625755	-0.231037	5500	
-0.897211	-0.361562	2199	
0.380498	0.795258	695	
0.611640	-0.337522	7965	
-0.149936	-0.695200	8943	
-0.010563	-0.797048	7838	
0.009526	0.410659	8556	
-0.839002	-0.439168	8262	
-0.068916	-0.434578	1230	
0.712147	0.096971	488	
0.581852	-0.428654	1268	
-0.584933	-0.224748	8044	
-0.643954	0.668328	870	
-0.403259	0.557328	4771	
0.576637	-0.326534	3767	
0.349880	0.895993	1554	
0.864268	0.095890	10315	
0.226713	0.455527	372	
-0.150135	-0.158419	9823	
-0.284414	-0.240722	7320	
0.356882	-0.555902	3644	
0.296131	0.497461	10083	
0.298551	0.603300	5043	
0.234200	0.085697	1376	
0.388818	0.080636	4786	
-0.743814	0.328563	4861	
-0.187284	-0.194170	8912	
-0.204476	-0.267978	4429	
-0.296486	-0.231563	7028	
-0.379093	0.136236	3605	
0.331234	0.095237	10787	
0.497388	0.594130	8127	
0.462838	0.689378	6438	
0.324172	-0.687766	5786	
0.881278	-0.331157	6884	
-0.935477	0.034754	9646	
0.251659	0.407570	2966	
-0.611734	-0.768259	4079	
-0.546739	-0.772751	8451	
0.341505	-0.265821	4989	
0.682043	0.529965	5967	
0.028982	0.095277	2848	
-0.222461	0.508336	5226	
0.101215	0.709989	2770	
