time = 0.5002	Re = 25	rotation = -2.08454e-06
-0.929643	0.123871	848	
-0.929602	0.124202	848	
-0.929407	0.125810	848	
-0.929051	0.128628	848	
-0.928548	0.132263	848	
-0.927820	0.137135	848	
-0.926935	0.143170	848	
-0.925974	0.149770	2000	
-0.924793	0.156862	2000	
-0.923357	0.165030	10270	
-0.921702	0.173972	9989	
-0.919880	0.184221	9989	
-0.917575	0.194552	10039	
-0.915084	0.205934	8850	
-0.912214	0.220192	8850	
-0.908322	0.233022	6274	
-0.904247	0.246192	6274	
-0.899710	0.260655	1443	
-0.895004	0.276020	1453	
-0.889617	0.292970	8452	
-0.883650	0.310184	10091	
-0.876974	0.327484	10930	
-0.869372	0.346321	10930	
-0.861833	0.364083	10293	
-0.853291	0.383915	10293	
-0.843882	0.403938	650	
-0.833685	0.424822	10656	
-0.823163	0.444658	6670	
-0.811659	0.464958	10337	
-0.799233	0.485609	10694	
-0.787561	0.503995	11022	
-0.775317	0.521414	9254	
-0.764620	0.534302	9254	
-0.755620	0.544111	9392	
-0.748210	0.551777	9392	
-0.741201	0.559477	8356	
-0.734735	0.566679	8304	
-0.728209	0.574085	8304	
-0.721645	0.581333	8304	
-0.714756	0.588854	7097	
-0.708169	0.595818	8655	
-0.701446	0.602993	8655	
-0.694941	0.609893	8655	
-0.688112	0.616643	8815	
-0.681716	0.622895	9800	
-0.675564	0.628715	9800	
-0.669767	0.633988	9800	
-0.664304	0.638628	10359	
-0.659250	0.642870	10359	
-0.654501	0.646654	10359	
-0.650000	0.650000	10359	
