time = 24.217	Re = 4	rotation = -37.1212
0.110621	0.667539	599	
0.081710	0.642856	5681	
0.066896	0.630046	3206	
0.076312	0.635692	4962	
0.129109	0.671548	9619	
0.117310	0.654839	5689	
0.099098	0.640780	5733	
0.047710	0.593629	3040	
0.068146	0.573622	2400	
0.038836	0.533103	6498	
0.031242	0.460897	4173	
0.027233	0.395307	4749	
0.008348	0.301392	5390	
0.046022	0.153360	8913	
-0.073450	0.185168	6685	
-0.111025	0.211237	3075	
-0.138118	0.240787	2305	
-0.171558	0.277202	6615	
-0.204969	0.313263	7956	
-0.243377	0.378537	10161	
-0.237148	0.382936	9595	
-0.236925	0.442274	5642	
-0.224941	0.495617	5403	
-0.224119	0.536852	6393	
-0.320147	0.566212	5320	
-0.667448	0.316594	4418	
-0.766793	0.077781	3195	
-0.783526	-0.014799	1210	
-0.774492	-0.129348	6561	
-0.758907	-0.182876	7163	
-0.749920	-0.208894	7992	
-0.739757	-0.232247	5860	
-0.752655	-0.222332	7808	
-0.760781	-0.202388	7992	
-0.767551	-0.185922	7282	
-0.743407	-0.236826	5860	
-0.756586	-0.217856	7808	
-0.769245	-0.193072	7282	
-0.767019	-0.204769	7794	
-0.758256	-0.228399	7808	
-0.769319	-0.214538	7794	
-0.767559	-0.218001	7808	
-0.770906	-0.225252	7808	
-0.758887	-0.228009	7808	
-0.766490	-0.204499	7794	
-0.765854	-0.202823	7794	
-0.748247	-0.230882	6402	
-0.739558	-0.231198	5860	
-0.747819	-0.214781	7992	
-0.728315	-0.240747	5050	
-0.767297	-0.161268	2558	
-0.783697	-0.088116	6132	
-0.784417	-0.012795	1210	
-0.782509	-0.067217	7132	
-0.695105	0.267855	4056	
-0.661307	0.326329	4400	
-0.271561	0.567117	6539	
-0.224201	0.523887	5982	
-0.228396	0.486715	5403	
-0.239356	0.390252	2869	
-0.227130	0.360179	10037	
-0.232133	0.366362	10141	
-0.183468	0.295514	2210	
-0.118292	0.226196	3973	
0.045206	0.155528	8913	
0.040247	0.485893	4968	
0.035708	0.575819	4123	
0.008721	0.560413	6068	
0.010568	0.559340	6068	
0.062168	0.585783	1585	
0.027835	0.534319	5259	
0.032941	0.544596	4155	
0.058980	0.570794	3923	
0.052580	0.564238	3923	
0.035696	0.578516	4123	
0.086985	0.632994	5681	
0.103603	0.654781	645	
0.018108	0.587077	7746	
0.015770	0.586242	7746	
-0.006090	0.563802	7013	
0.168735	0.716264	1402	
0.211858	0.748990	8480	
0.110842	0.669693	599	
0.163159	0.712887	3252	
0.011231	0.584588	7746	
0.097935	0.659367	645	
0.208081	0.746383	8480	
0.207213	0.745844	7580	
0.015025	0.593778	7746	
0.025706	0.603162	6608	
0.010123	0.589437	7746	
0.039137	0.614568	2918	
0.043627	0.618227	2597	
0.047271	0.621205	3029	
0.108152	0.670084	599	
0.195614	0.738614	10234	
0.218492	0.751930	8698	
0.182685	0.728340	1108	
0.172303	0.720303	1402	
0.182277	0.727948	1108	
0.239361	0.759002	9465	
0.224075	0.753509	8592	
0.018885	0.590257	7342	
0.025997	0.595868	7342	
0.027979	0.596952	7342	
0.064118	0.624997	3029	
0.119023	0.662608	8941	
0.065032	0.614384	2562	
0.041374	0.581863	4123	
0.055758	0.567397	3923	
0.028426	0.531190	5259	
0.024881	0.428214	5761	
0.010234	0.310095	5390	
0.042940	0.166748	9490	
-0.018079	0.167544	3282	
-0.095569	0.204890	1135	
-0.155797	0.261767	6247	
-0.180390	0.295235	2210	
-0.202287	0.320088	5556	
-0.224270	0.357136	10037	
-0.238700	0.430873	4226	
-0.229430	0.446482	6240	
-0.226263	0.482202	5403	
-0.245896	0.559972	6563	
-0.505763	0.489363	4654	
-0.562879	0.444306	7034	
-0.669918	0.315175	4418	
-0.780922	-0.097557	6101	
-0.762238	-0.169898	2558	
-0.759557	-0.182955	7282	
-0.761086	-0.196181	7163	
-0.757188	-0.210096	7992	
-0.770540	-0.189001	7282	
-0.775177	-0.177480	7282	
-0.772120	-0.183198	7282	
-0.773866	-0.181274	7282	
-0.772942	-0.191745	7282	
-0.773762	-0.204125	8138	
-0.776003	-0.199324	8138	
-0.780735	-0.192209	8138	
-0.779634	-0.198693	8138	
-0.775035	-0.216359	7794	
-0.774941	-0.216890	7794	
-0.779124	-0.196464	8138	
-0.777056	-0.197036	8138	
-0.776823	-0.199905	8138	
-0.770852	-0.195371	7282	
-0.754874	-0.217720	7808	
-0.761930	-0.191947	7163	
-0.774222	-0.154436	2558	
-0.749782	-0.204172	7992	
-0.779337	-0.120815	6561	
-0.787327	-0.050055	2002	
-0.782075	0.011411	1927	
-0.727402	0.199757	1812	
-0.694114	0.270128	4056	
-0.358087	0.560264	5297	
-0.243180	0.559234	6563	
-0.221547	0.520897	5982	
-0.233516	0.432316	5642	
-0.231205	0.402191	2869	
-0.232476	0.384447	9595	
-0.208565	0.334879	6169	
-0.155153	0.272723	6304	
-0.056029	0.182845	6351	
0.022240	0.345700	4106	
0.013438	0.507597	3713	
0.005202	0.515003	3713	
0.003551	0.507634	1110	
0.034813	0.511001	5902	
0.023953	0.463051	7880	
0.025462	0.465471	7404	
0.037510	0.480295	4207	
0.032982	0.473089	4945	
0.021036	0.521698	3955	
0.057900	0.573667	2668	
0.034331	0.574439	4123	
0.010703	0.558398	6068	
0.007311	0.556040	6068	
0.001123	0.549634	4159	
0.082856	0.631335	4962	
0.082126	0.637353	4962	
0.024787	0.580816	7746	
0.012522	0.567685	6709	
0.013397	0.568727	6709	
0.055618	0.610933	3029	
0.067828	0.625473	2562	
0.055196	0.615758	3029	
-0.002132	0.563122	7013	
-0.001936	0.563348	7013	
-0.005206	0.559941	7013	
0.005664	0.571175	6068	
0.012449	0.577997	7746	
0.015065	0.580530	7746	
0.026145	0.590699	7342	
0.065019	0.623582	3029	
0.077197	0.631793	4962	
0.072699	0.626237	3070	
0.068946	0.622734	2562	
0.073319	0.626435	3070	
0.060861	0.620825	3029	
0.089465	0.636985	5681	
0.010028	0.561319	6068	
0.012492	0.562174	6068	
0.014271	0.563064	6068	
0.026026	0.567739	4975	
0.060576	0.583064	2668	
0.035502	0.551934	4155	
0.023207	0.518441	3713	
0.032739	0.473639	4945	
0.019207	0.437713	5761	
-0.005843	0.278739	5904	
0.026976	0.160403	10167	
-0.051677	0.180531	4182	
-0.093608	0.211119	1135	
-0.145299	0.259683	4804	
-0.190163	0.309800	3950	
-0.207378	0.338336	6424	
-0.219903	0.359019	10037	
-0.229402	0.399615	2869	
-0.225306	0.472073	4995	
-0.214680	0.498169	3980	
-0.218019	0.528342	5982	
-0.325701	0.567401	5320	
-0.613063	0.393081	920	
-0.657093	0.336578	8116	
-0.725415	0.209162	3152	
-0.782678	-0.101128	6101	
-0.770586	-0.155200	2558	
-0.767825	-0.173444	7282	
-0.772667	-0.185989	7282	
-0.769783	-0.201346	8138	
-0.778785	-0.191178	8138	
-0.784738	-0.178032	7282	
-0.782225	-0.181146	7282	
-0.783848	-0.180585	7282	
-0.784688	-0.190664	8138	
-0.787856	-0.201807	8138	
-0.789440	-0.198728	8138	
-0.793618	-0.191816	8749	
-0.793624	-0.198892	8138	
-0.792236	-0.214023	7794	
-0.792328	-0.214537	7794	
-0.793740	-0.194650	8138	
-0.789411	-0.198316	8138	
-0.787778	-0.202940	8138	
-0.782509	-0.193363	8138	
-0.770458	-0.204722	7794	
-0.775182	-0.177300	7282	
-0.779136	-0.155811	2558	
-0.766814	-0.178661	7282	
-0.781474	-0.126974	6561	
-0.789233	-0.068592	8006	
-0.787787	-0.023826	8620	
-0.754448	0.130385	4356	
-0.734364	0.185349	2954	
-0.559833	0.448053	7034	
-0.311593	0.569225	6046	
-0.234118	0.557138	5253	
-0.219449	0.475588	4995	
-0.223239	0.447768	6240	
-0.228774	0.427359	4226	
-0.221974	0.376322	8655	
-0.187192	0.322317	5556	
-0.120427	0.237814	4086	
0.018624	0.184303	9497	
0.010720	0.418781	7432	
0.007220	0.446707	8390	
0.005742	0.436247	8832	
0.020729	0.393408	6867	
0.007293	0.323724	8272	
0.008400	0.324374	4675	
0.017858	0.330766	4675	
0.014093	0.325633	4675	
0.015253	0.430465	8832	
0.035301	0.485123	4968	
0.021825	0.513031	3713	
0.009242	0.513562	3713	
0.007368	0.513847	3713	
0.003678	0.510799	1110	
0.042832	0.563952	3923	
0.040454	0.575644	4123	
0.015855	0.536806	5259	
0.008835	0.526660	3955	
0.010797	0.529815	3955	
0.027389	0.552569	4155	
0.033341	0.568777	4975	
0.027218	0.564267	4975	
-0.001099	0.536127	4502	
-0.001659	0.535604	4502	
-0.000577	0.536784	4502	
0.004473	0.542282	4502	
0.007625	0.545586	4159	
0.007884	0.545810	4159	
0.014514	0.552637	4159	
0.031358	0.567822	4975	
0.038535	0.570667	4123	
0.037407	0.565859	4975	
0.036122	0.563726	4975	
0.037333	0.564918	4975	
0.030177	0.567761	4975	
0.045767	0.567064	3923	
0.008576	0.519400	3955	
0.010268	0.518218	3955	
0.010541	0.516516	3955	
0.015719	0.509425	3713	
0.036696	0.499769	6503	
0.023372	0.468809	7404	
0.015903	0.421480	6175	
0.013571	0.326075	4675	
-0.005345	0.293172	1406	
-0.006765	0.169219	3282	
-0.077836	0.203893	563	
-0.118802	0.235740	4575	
-0.143084	0.269160	5841	
-0.181537	0.311845	8438	
-0.212222	0.351433	6424	
-0.219415	0.379257	8655	
-0.224638	0.401428	2401	
-0.222143	0.445383	6240	
-0.214160	0.517526	5256	
-0.210662	0.541244	7486	
-0.236359	0.562611	5253	
-0.455927	0.521581	4643	
-0.688655	0.283234	6262	
-0.714197	0.235273	1543	
-0.755573	0.134437	4356	
-0.783846	-0.111551	6101	
-0.775711	-0.152140	2558	
-0.777715	-0.162478	2558	
-0.784006	-0.182516	7282	
-0.781280	-0.202654	8138	
-0.790997	-0.192319	8138	
-0.795539	-0.180531	8749	
-0.793401	-0.183059	8749	
-0.795119	-0.183559	8749	
-0.798729	-0.189101	8749	
-0.805218	-0.203240	8749	
-0.805907	-0.200875	8749	
-0.810084	-0.197533	8749	
-0.811330	-0.198657	8749	
-0.813355	-0.211257	6747	
-0.813381	-0.211249	6747	
-0.810551	-0.198563	8749	
-0.806767	-0.198656	8749	
-0.806177	-0.202920	8749	
-0.796648	-0.195693	8749	
-0.781291	-0.203781	8138	
-0.784492	-0.177207	7282	
-0.784955	-0.159924	3248	
-0.775207	-0.172935	2558	
-0.784419	-0.133953	6561	
-0.790263	-0.090099	6101	
-0.791421	-0.051344	2002	
-0.770662	0.083207	2722	
-0.759118	0.118501	496	
-0.644033	0.356669	2009	
-0.430624	0.534404	1022	
-0.294688	0.572001	5370	
-0.209028	0.522107	5256	
-0.209140	0.495692	3980	
-0.216053	0.474162	4995	
-0.221424	0.420611	3397	
-0.205862	0.366860	9705	
-0.161990	0.293736	9713	
-0.058223	0.200579	10041	
-0.014080	0.281602	5318	
-0.002067	0.330876	5400	
-0.006193	0.319276	7328	
-0.009065	0.230072	9624	
0.011470	0.172492	2363	
0.012457	0.171809	2258	
0.023920	0.173770	4637	
0.022965	0.169771	4637	
-0.008721	0.290109	1406	
0.017816	0.341280	4106	
0.015121	0.413595	7301	
0.009119	0.436882	8832	
0.007960	0.440129	8390	
0.005907	0.441293	8390	
0.027382	0.482606	7652	
0.025878	0.508217	6688	
0.013047	0.468116	7880	
0.009088	0.460923	7880	
0.009182	0.461352	7880	
0.019228	0.480937	7652	
0.022264	0.504023	6688	
0.018921	0.503351	3713	
0.003246	0.491609	1844	
0.002830	0.491426	1844	
0.003383	0.491855	1844	
0.006390	0.494270	1844	
0.008186	0.495708	1844	
0.008457	0.495866	1844	
0.012640	0.498994	1110	
0.021168	0.504698	3713	
0.025116	0.500925	6688	
0.024511	0.493152	7652	
0.023866	0.490640	7652	
0.024439	0.491386	7652	
0.019743	0.505664	3713	
0.029094	0.485398	7652	
0.009109	0.448899	8390	
0.009706	0.443022	8390	
0.009760	0.439457	8832	
0.011938	0.417847	7432	
0.020992	0.365370	4133	
0.009127	0.333376	4648	
-0.012127	0.274925	5904	
0.021642	0.170301	4637	
-0.006913	0.173622	3677	
-0.093861	0.219912	2533	
-0.129693	0.261111	3594	
-0.161712	0.292259	9713	
-0.176528	0.321846	5526	
-0.203456	0.354931	7584	
-0.220148	0.393614	2401	
-0.218246	0.424710	4258	
-0.217275	0.447534	5230	
-0.208105	0.492785	3980	
-0.221707	0.556024	5560	
-0.247201	0.572384	6563	
-0.306154	0.572853	6046	
-0.589344	0.421208	5894	
-0.732446	0.195161	3152	
-0.751693	0.147419	4356	
-0.775711	0.073554	3195	
-0.784864	-0.124817	6561	
-0.773236	-0.175172	7282	
-0.781274	-0.174223	2558	
-0.795722	-0.185261	8749	
-0.796692	-0.201742	8749	
-0.806892	-0.195312	8749	
-0.809089	-0.188040	8749	
-0.807128	-0.189500	8749	
-0.809857	-0.188670	8749	
-0.815726	-0.195489	6747	
-0.827532	-0.206774	6747	
-0.828510	-0.204400	6747	
-0.832864	-0.202321	4451	
-0.835588	-0.201966	4451	
