time = 50.002	Re = 4	rotation = 0.0208417
0.518269	-0.263828	1884	
0.132674	0.821247	4890	
0.243057	0.184276	7473	
-0.645402	0.661770	10986	
0.269350	0.428914	6984	
0.254148	0.429153	8572	
0.529732	0.406907	2284	
0.795937	0.387170	5307	
-0.013298	0.880854	9634	
0.545913	-0.185558	514	
0.783190	-0.322037	10712	
0.835468	0.266912	8526	
-0.220347	0.891049	9330	
0.618585	0.658266	4975	
0.119281	0.794240	3218	
0.395033	0.601639	9830	
-0.079973	0.844206	6299	
0.079015	0.834215	5516	
0.792192	-0.063032	1810	
0.749780	0.011257	10984	
0.342421	0.069703	4127	
0.286614	0.106762	6012	
0.119587	0.143290	8276	
0.117028	0.169015	886	
0.072225	0.298026	6794	
0.052256	0.371313	800	
0.052198	0.419725	4765	
0.096067	0.453449	4437	
0.247985	0.501997	2670	
0.288340	0.562302	9641	
0.031891	0.733026	10903	
-0.214210	0.743920	4213	
-0.288560	0.730744	4450	
-0.207026	0.745816	4213	
-0.288244	0.730712	4450	
-0.172109	0.749294	1391	
-0.200156	0.745497	3399	
-0.478016	0.659190	5532	
-0.550381	0.614539	7746	
-0.505522	0.644130	2976	
-0.510141	0.641317	2976	
-0.549652	0.615237	7746	
-0.496675	0.645629	2976	
-0.382686	0.700654	7870	
-0.144354	0.750606	1676	
0.040762	0.730610	10903	
0.064849	0.723735	8565	
0.148516	0.690669	4021	
0.264654	0.513652	4952	
0.150991	0.478690	3987	
0.097463	0.454021	4437	
0.062345	0.426214	5701	
0.042374	0.412778	5673	
0.074197	0.304266	8094	
0.074011	0.287458	7226	
0.073892	0.274498	6756	
0.127053	0.131727	8258	
0.119681	0.132398	8276	
0.451825	0.097419	5283	
0.396363	0.668415	6014	
0.378415	0.730961	4388	
0.173023	0.742461	932	
0.546874	0.635168	3509	
0.607702	0.661376	4975	
-0.520370	0.735211	8105	
-0.295425	0.808710	7926	
0.672264	-0.315956	10261	
0.818694	-0.098264	1952	
0.850328	0.116951	361	
0.191438	0.376420	2564	
0.235698	0.277428	7414	
-0.035129	0.756732	2350	
0.090663	0.925121	5926	
0.835135	0.338023	890	
-0.618713	0.616877	4311	
0.561714	0.653229	4169	
0.904362	-0.194541	8857	
0.042683	0.855959	7292	
0.043732	-0.245430	8798	
0.039985	-0.228567	4605	
-0.065641	0.933874	9198	
0.407201	-0.201285	5657	
0.311369	0.137283	10051	
-0.493950	0.812025	1501	
0.574964	0.754938	1764	
0.829767	-0.317946	9115	
0.130746	-0.346464	6743	
0.101190	-0.097601	4115	
0.265884	-0.109514	7215	
0.266367	-0.106719	1627	
0.265949	-0.105682	1627	
0.262143	-0.110677	7215	
0.033257	-0.216144	4599	
0.048999	-0.278973	4168	
0.292086	-0.353014	9234	
0.898533	0.339993	637	
0.281142	0.899912	582	
-0.680391	0.675196	5986	
0.204598	0.174750	8011	
0.316941	0.384894	3208	
