time = 0.052	Re = 40	rotation = 5.07201e-06
0.559189	0.716889	3429	
0.633032	-0.204374	3002	
0.334941	-0.873474	1287	
0.273314	-0.042180	848	
0.813280	-0.003317	2140	
0.360330	0.695626	696	
0.329864	0.308801	937	
0.344767	0.923383	777	
0.089177	0.769080	2282	
0.445753	0.626539	2447	
0.506071	0.381098	2288	
0.713072	0.196071	2308	
0.514113	0.543337	2881	
0.177626	0.485424	1703	
0.248604	-0.719352	1461	
0.354802	-0.685697	1594	
0.226963	-0.222573	2914	
0.906009	-0.059452	2435	
0.042024	0.944715	3407	
0.681338	-0.629279	321	
0.339358	0.520862	2265	
0.622519	-0.323264	2485	
0.588704	-0.147065	2025	
0.466102	0.266334	1191	
0.328234	0.363434	1569	
0.295997	0.576722	1293	
0.876361	0.059325	1945	
0.466198	0.399045	1887	
0.217798	0.129998	215	
0.863385	0.057451	2065	
0.098652	-0.441440	359	
0.616691	0.711024	3466	
0.269573	-0.198278	1171	
0.582527	-0.644361	1971	
0.400908	-0.689976	2218	
0.551985	0.433749	2241	
0.291331	-0.127702	817	
0.764769	-0.173903	2474	
0.883305	0.316624	236	
0.877947	0.391839	2827	
0.110542	0.546543	3369	
0.399968	0.368711	1840	
0.262658	-0.364747	859	
0.961238	0.200139	1329	
0.656692	0.094917	1080	
0.234530	-0.205909	2626	
0.620727	-0.024202	665	
0.452812	0.454361	2195	
0.294509	-0.225116	1434	
0.139355	-0.809832	1546	
0.352322	0.113084	903	
-0.026881	0.937868	3351	
0.344198	-0.543524	726	
0.177223	-0.798393	1716	
0.541101	-0.082815	1485	
0.105353	-0.293433	3294	
0.435717	0.707321	971	
0.537683	-0.642772	2142	
0.443265	-0.700889	2097	
-0.015378	0.965673	2693	
0.378409	-0.148124	2588	
0.053450	-0.268479	3414	
0.037723	-0.537472	287	
0.763780	-0.287222	1886	
0.502384	-0.301843	1790	
0.207583	-0.649753	776	
0.425403	0.773685	1342	
0.936250	0.245906	3013	
0.569852	0.596106	2983	
0.259540	0.368473	1215	
0.959620	0.140638	3197	
0.234947	-0.545959	793	
0.219590	0.139187	215	
0.614125	0.111137	2303	
0.843590	0.507271	1272	
0.465100	0.375384	1408	
0.587811	0.457608	2205	
0.472827	-0.070792	2011	
0.184880	0.786047	193	
0.893233	0.326553	236	
0.324642	0.045938	1053	
0.010878	-0.376106	1158	
0.385553	0.794197	981	
0.683301	-0.058273	1124	
0.457018	0.602296	2522	
0.185442	0.783626	193	
0.274396	0.927659	2784	
0.454916	0.445271	2300	
0.147767	0.469637	3080	
0.671330	-0.540432	1989	
0.166078	0.639045	503	
0.730552	0.384063	2042	
0.304771	-0.637660	978	
0.707266	-0.042839	1124	
0.198003	-0.742339	704	
0.205354	0.513029	1030	
0.224572	-0.418312	958	
0.728230	-0.608566	260	
0.506704	0.181418	1337	
0.777371	0.248716	3041	
0.218504	-0.089764	323	
0.878643	0.024482	1849	
0.716363	0.003739	719	
0.708350	0.027395	1568	
0.020317	-0.460619	2982	
0.415455	-0.129684	2680	
0.303084	-0.189920	1212	
0.402628	0.151995	1210	
0.319798	0.598975	2014	
0.421764	-0.265949	2699	
0.415041	-0.380101	1447	
0.285009	0.920229	2784	
0.263011	0.787868	753	
0.243600	0.364060	1481	
0.815819	-0.098988	2211	
0.414959	-0.789118	1997	
0.254793	0.187862	2923	
0.477623	-0.006775	1076	
0.457307	0.065580	733	
0.406892	0.729657	1090	
0.402205	0.677864	2174	
0.685749	-0.556415	2196	
0.830181	0.400152	3256	
0.217177	-0.851298	3137	
-0.061393	0.776583	317	
0.124563	0.575252	3480	
0.493250	-0.042580	1157	
0.882866	0.016928	1849	
0.443006	-0.632818	1543	
0.449657	0.591740	2652	
0.586482	-0.654344	1971	
0.142235	0.299532	3418	
0.553541	-0.325620	2198	
0.176277	-0.673293	1397	
0.131745	0.155875	448	
0.027297	0.832655	353	
0.078316	0.617387	3004	
0.428385	-0.039350	1132	
0.561130	0.459518	2241	
0.330227	-0.521028	639	
0.578457	-0.791486	1317	
0.591801	0.750613	3374	
0.121255	-0.806456	1724	
0.940461	-0.065602	603	
0.704606	0.518443	2487	
0.340637	-0.746098	2242	
0.451866	-0.199775	645	
0.497689	0.717610	2383	
0.521511	0.384704	2288	
0.131666	-0.883052	1940	
0.106903	-0.521935	1580	
0.836766	0.082928	2431	
0.501594	0.321822	2004	
0.554952	0.570172	2983	
0.377190	-0.007511	2482	
0.279212	0.685778	513	
0.793394	0.316929	2008	
0.382375	-0.360045	1051	
0.693509	-0.208316	637	
0.853302	0.034343	2065	
0.397258	0.669083	2174	
0.742369	-0.072969	1415	
0.379138	0.497612	1968	
0.427028	0.886378	930	
0.263212	-0.229947	1455	
0.141055	-0.511857	1468	
0.228364	-0.021948	451	
0.902968	-0.245424	2553	
0.341619	0.854676	3151	
0.114121	0.260383	3276	
0.136207	-0.249749	338	
0.314491	0.373784	1391	
0.794584	0.043615	1829	
0.253807	0.793834	615	
0.334961	0.495295	1850	
0.581501	-0.571503	2072	
0.547164	0.061214	1413	
0.181122	-0.729043	739	
0.688335	0.451001	2153	
0.596772	0.371436	2562	
0.432734	0.412645	1576	
0.414105	-0.782126	1997	
-0.032675	0.958586	3422	
0.166602	-0.476669	1117	
0.216305	0.160320	215	
0.877082	0.439512	2862	
0.233056	0.811004	615	
0.310020	0.940782	2735	
0.114494	0.822917	3383	
0.287863	0.800454	753	
0.511892	0.040979	1149	
0.385759	0.071654	1525	
0.664635	0.308448	2934	
0.567633	-0.430328	1663	
0.106129	0.744485	3104	
0.652166	-0.372288	1806	
0.569340	-0.254172	2009	
0.533405	-0.669357	1877	
0.383709	0.834688	3105	
-0.052474	0.935828	2672	
0.289593	0.082066	3332	
0.733411	-0.189941	2230	
0.227516	-0.090088	3259	
0.427148	0.389895	1120	
0.915071	0.125574	3504	
0.809497	-0.041512	2246	
0.822670	0.115780	2453	
0.333859	-0.181655	1677	
0.535180	0.266521	2058	
0.377776	0.095321	1127	
0.119023	0.362434	209	
0.320019	-0.903285	3417	
0.151089	-0.781179	1716	
0.337069	-0.493547	749	
0.572274	0.220541	2345	
0.237715	0.163775	2923	
0.154781	-0.324738	1388	
0.637025	-0.250193	1615	
0.433493	0.049862	752	
0.502193	-0.609576	1520	
0.461924	-0.605125	1350	
0.712824	0.077500	1196	
0.584699	0.324616	2109	
-0.055087	0.938402	2672	
0.681652	-0.383773	2358	
0.145689	0.868309	3069	
0.314573	-0.185172	1212	
0.397307	0.874282	3095	
0.597551	-0.111847	2634	
0.604770	-0.265501	2037	
0.643475	0.334180	1453	
0.829818	-0.157127	2489	
-0.008603	0.970073	2693	
0.426309	0.886980	930	
0.692287	-0.435879	2353	
0.129868	-0.451183	347	
0.079473	0.539082	1658	
0.053321	-0.723848	1401	
0.220345	0.765325	229	
0.179118	-0.133949	456	
0.322257	0.175304	1214	
0.197580	0.546654	906	
0.137669	0.818330	3159	
0.045665	-0.818283	406	
0.628807	-0.208472	3002	
0.054909	0.973353	1019	
0.474899	-0.023289	1076	
0.139847	-0.915773	2981	
0.486938	-0.065439	1157	
0.274662	-0.870988	2620	
0.075559	0.748780	2409	
0.408076	-0.222904	2105	
0.023103	-0.250323	2527	
0.650575	0.280166	2598	
0.337574	-0.355353	951	
0.269585	0.441622	1820	
0.569565	-0.177416	2347	
0.548836	-0.817537	2861	
0.875365	0.396338	2827	
0.320757	0.719792	465	
0.749627	0.476603	2471	
0.649837	-0.357002	1591	
0.556344	-0.427138	850	
0.046814	-0.948915	1378	
0.229032	-0.255555	2649	
-0.012799	0.827377	638	
0.318893	0.441830	2031	
0.442774	-0.378985	2134	
0.417973	-0.661362	1562	
0.386193	-0.792155	2385	
0.855533	0.372844	3424	
0.138331	0.853830	3069	
0.583170	-0.064482	2731	
0.663659	-0.462640	2354	
