time = 4.252	Re = 40	rotation = 0.489188
-0.888354	-0.272989	2262	
0.333447	0.559527	3217	
0.386259	0.835113	481	
0.198090	-0.220182	2288	
-0.403462	0.714878	3639	
-0.787209	-0.136835	4241	
0.258531	0.282963	4098	
-0.792949	-0.599643	2997	
-0.652612	0.100448	3157	
-0.812956	-0.096568	3084	
-0.470760	0.541377	1482	
-0.430073	0.631760	3796	
-0.817341	0.033179	3985	
0.102504	0.506529	593	
0.640770	0.104702	1906	
0.600507	0.391994	2505	
0.169518	-0.382032	859	
-0.595993	0.688056	4803	
-0.588272	-0.709382	2717	
-0.030292	0.931791	572	
-0.604633	0.369922	2506	
0.352834	0.595093	4147	
0.395784	0.432949	3230	
0.211184	0.454095	2113	
0.192140	0.383211	1922	
-0.630624	0.300973	657	
-0.614377	0.629056	4612	
-0.432206	0.557715	2223	
0.247844	-0.048320	2205	
-0.586346	0.638909	4612	
0.083643	-0.545900	353	
-0.927546	-0.195767	2746	
0.204964	-0.350556	1371	
0.233146	0.837731	736	
0.540890	0.536207	1726	
-0.712818	0.312418	2999	
0.212697	-0.293332	3255	
-0.117514	0.809418	369	
-0.871064	0.350131	2163	
0.069065	0.633994	4887	
0.121581	0.576344	1303	
0.302780	-0.387748	548	
0.068605	0.734311	489	
0.170310	-0.364941	466	
0.287232	0.525123	997	
-0.621588	0.393504	4329	
0.251410	-0.341974	2463	
0.669315	0.171951	894	
0.365254	-0.013792	4735	
-0.579331	-0.695689	1177	
0.585539	0.016057	1129	
0.664396	0.212787	4698	
0.430666	0.303407	3246	
0.091129	-0.407333	1218	
-0.810987	-0.303987	4207	
0.341236	0.756514	2286	
0.464839	0.658166	3235	
0.367207	-0.192498	1786	
-0.089807	0.837890	2349	
0.518705	0.243534	3728	
0.486484	-0.289876	4825	
-0.788462	-0.456815	2194	
-0.887511	0.381471	3720	
-0.865878	-0.116890	4469	
0.206994	0.300112	2258	
-0.846017	0.474217	4345	
0.415798	-0.348784	1933	
0.253957	-0.047129	4495	
0.181890	0.599619	1362	
-0.293720	0.630878	3193	
-0.783390	0.208290	3952	
0.459227	0.102019	2342	
-0.733306	-0.131432	3663	
-0.897639	0.315079	2535	
0.302951	-0.143398	3709	
-0.766340	-0.479570	1946	
0.168772	0.683204	1099	
-0.811350	-0.047924	3177	
-0.732481	-0.123685	3491	
-0.707684	-0.674009	4573	
-0.597590	0.420925	3767	
0.112384	0.412697	1880	
0.107147	0.865160	4337	
-0.550577	0.348454	4289	
-0.776453	0.334357	3945	
0.618262	0.072913	1622	
0.059098	0.762166	1531	
0.627173	-0.011627	1851	
-0.213415	0.635994	636	
0.289008	-0.441295	3503	
-0.157018	0.937291	4049	
0.270963	0.413906	2270	
-0.644890	0.517428	3680	
0.150547	-0.197369	1713	
-0.590074	0.652921	4689	
-0.065846	0.773180	853	
-0.068420	0.768686	853	
0.425560	-0.094187	1593	
0.247143	-0.321455	1469	
-0.561613	-0.782703	1730	
0.374824	0.152959	3406	
-0.685726	0.210062	2662	
0.488222	-0.050418	3621	
0.542025	0.024499	371	
-0.760311	-0.264407	2798	
0.212222	0.276833	2948	
-0.336572	0.761072	1205	
0.394428	0.779929	4251	
0.305554	-0.008060	1994	
0.436350	0.155921	2571	
0.409020	0.169521	3507	
-0.798812	-0.325325	4284	
-0.802730	-0.165140	734	
0.043540	0.891441	602	
-0.881302	0.275162	508	
0.593880	0.559184	3513	
-0.610510	0.138782	3273	
-0.276061	0.596753	1113	
0.446449	0.178440	1097	
-0.593848	0.655083	4689	
0.524008	0.527673	1726	
-0.801932	-0.004999	3376	
0.208846	0.855331	750	
0.201130	0.172307	1284	
0.469234	0.416445	3445	
0.456059	-0.350971	2771	
0.141357	0.145075	2768	
-0.699828	-0.150793	3059	
-0.143940	0.652026	411	
0.428280	-0.013360	626	
-0.766161	0.224685	3908	
0.554361	-0.077884	639	
-0.926808	-0.259275	2676	
0.665012	0.105901	2613	
-0.670257	0.664555	4396	
-0.883989	0.112992	947	
0.573242	0.514283	1916	
0.488655	0.021690	3263	
-0.837187	-0.354925	4272	
-0.524964	0.505394	2822	
0.620677	0.540986	3513	
0.096319	-0.613190	1575	
-0.550246	0.640398	3642	
-0.123101	0.703027	810	
-0.851342	-0.062391	3446	
0.363668	-0.116056	4601	
0.216922	0.956676	1181	
-0.730729	0.038192	2098	
-0.755139	0.414947	3144	
0.495753	-0.105551	4546	
0.190001	0.712844	1451	
-0.543518	0.662110	3642	
-0.798859	-0.127809	4241	
-0.090056	0.787747	3048	
-0.615807	0.373622	4724	
0.212448	-0.373229	1626	
0.185108	-0.578566	3743	
0.186629	-0.138133	556	
-0.496741	0.791884	2329	
-0.729137	-0.584406	1993	
0.167128	0.173941	1158	
0.107259	-0.375620	1515	
0.185455	0.384391	1551	
-0.398621	0.699800	3627	
-0.757553	-0.270808	2798	
-0.530374	0.454244	3227	
0.317622	0.745331	563	
0.337318	0.390534	1983	
0.580268	-0.146062	1793	
-0.825702	0.213530	4684	
-0.630467	0.434918	594	
-0.393264	0.575427	1860	
0.408041	0.763986	3535	
-0.536424	-0.770987	1357	
0.227195	-0.535835	2348	
0.263039	-0.031528	1231	
-0.750209	-0.301474	3723	
-0.720030	-0.176388	3662	
-0.760149	-0.352331	3076	
0.390906	0.287867	1624	
0.389049	-0.003909	506	
-0.586831	0.504099	3245	
0.429325	0.552054	3433	
-0.630908	0.164958	3251	
0.273785	0.699691	4377	
0.445157	0.413222	3445	
0.320180	0.786828	1101	
-0.759295	-0.550604	2126	
-0.575562	-0.693497	3393	
0.278303	-0.127411	1719	
0.030604	0.800230	2429	
0.152863	-0.212171	3977	
-0.941589	0.254477	2020	
-0.210191	0.659730	866	
-0.749843	0.538838	364	
-0.358861	0.737812	1205	
-0.555195	0.624029	3358	
0.294863	-0.280814	2841	
0.081793	0.696573	799	
0.383764	0.011461	3423	
0.135467	0.253241	1748	
0.329045	0.890450	1501	
0.645482	0.027334	1106	
0.540225	-0.096547	366	
0.097611	0.685200	2059	
0.280856	-0.041351	1333	
0.140503	-0.489912	764	
0.328512	0.588296	3354	
0.416302	0.087430	4815	
0.443284	0.633643	959	
0.514400	0.526157	1726	
-0.186418	0.737724	4286	
-0.467825	0.563125	3149	
-0.567598	-0.706336	2915	
0.188195	0.772225	4416	
-0.716258	-0.414148	1151	
0.263354	-0.307694	3439	
-0.804581	-0.543761	2524	
0.369963	0.454264	3244	
0.390584	0.514318	4983	
-0.612415	0.472202	3645	
-0.346334	0.779143	4466	
0.124323	0.825528	3331	
0.132575	-0.576991	1288	
0.070948	0.526375	3859	
0.387752	-0.477174	3465	
-0.741477	-0.115214	3491	
0.125852	-0.197357	488	
0.350000	0.037759	3347	
-0.406170	0.524392	600	
-0.726313	-0.187768	3662	
0.671785	0.075792	1743	
0.342153	0.550401	3217	
0.443050	0.136136	2571	
0.550444	0.691508	925	
0.456985	0.148577	1739	
0.485595	0.734870	4071	
-0.596795	0.222318	1289	
0.448015	-0.112255	2070	
-0.488665	0.571067	2459	
-0.947112	0.243438	2020	
0.418720	-0.237862	3325	
0.117160	0.521248	682	
0.431134	0.385246	4019	
-0.774642	-0.139105	4241	
-0.877184	0.189512	4508	
0.284320	0.683442	4969	
0.449079	0.520359	1943	
0.541577	0.748864	4621	
0.187363	-0.409712	1684	
-0.689039	-0.122387	2043	
-0.062606	0.710383	461	
0.551827	0.118617	4806	
0.539688	0.518300	1726	
0.443593	0.734177	3878	
-0.884965	0.297376	2163	
-0.724352	-0.341749	3076	
0.370951	0.421720	1705	
0.197348	0.793032	4524	
0.137678	0.911128	4814	
-0.529303	0.328757	4509	
0.585428	0.234308	2040	
-0.830778	0.052623	3985	
0.082092	0.710702	811	
0.174426	0.256319	995	
-0.698497	0.164144	3249	
-0.398671	0.760790	1321	
-0.799816	-0.562439	2524	
0.296421	0.859356	2275	
0.290277	0.628721	3531	
