time = 4.05	Re = 90
0.102760	0.167730	0
0.153476	0.145595	1
0.184949	0.102411	2
0.210085	0.066409	3
0.218666	0.032371	4
0.225957	0.006266	5
0.227271	-0.042273	6
0.222603	-0.087650	7
0.203014	-0.134500	8
0.181241	-0.174650	9
0.167853	-0.192757	10
0.152955	-0.220174	11
0.140423	-0.250919	12
0.138194	-0.299136	13
0.142048	-0.351144	14
0.145590	-0.399737	15
0.151796	-0.433146	16
0.158230	-0.466066	17
0.175007	-0.517539	18
0.225525	-0.540131	19
0.261152	-0.529476	20
0.298675	-0.516504	21
0.322797	-0.494769	22
0.348255	-0.472366	23
0.368325	-0.446093	24
0.392014	-0.415957	25
0.399849	-0.394836	26
0.417112	-0.361161	27
0.425636	-0.333083	28
0.442812	-0.291559	29
0.452254	-0.261262	30
0.464244	-0.220281	31
0.467167	-0.195160	32
0.475589	-0.158038	33
0.474346	-0.134698	34
0.458426	-0.148739	35
0.425354	-0.192397	36
0.402605	-0.214149	37
0.380094	-0.235302	38
0.353769	-0.248020	39
0.328798	-0.249070	40
0.306513	-0.231365	41
0.298485	-0.212901	42
0.294514	-0.189761	43
0.293000	-0.145599	44
0.292579	-0.118721	45
0.293700	-0.090995	46
0.294358	-0.053256	47
0.287216	-0.004714	48
0.276816	0.043548	49
0.265340	0.071699	50
0.252048	0.101496	51
0.231826	0.134934	52
0.209622	0.167675	53
0.182764	0.201333	54
0.151772	0.232063	55
0.126942	0.273541	56
0.118885	0.300926	57
0.111929	0.340002	58
0.105581	0.373878	59
0.101612	0.405004	60
0.098674	0.437727	61
0.091200	0.479129	62
0.084423	0.503613	63
0.078107	0.535274	64
0.071673	0.564419	65
0.065287	0.596137	66
0.057831	0.625780	67
0.060882	0.676582	68
0.046774	0.708966	69
-0.005093	0.727018	70
-0.025749	0.722869	71
-0.067704	0.717208	72
-0.043658	0.713327	73
-0.080822	0.709152	74
-0.111076	0.704045	75
-0.147151	0.693075	76
-0.110615	0.701532	77
-0.079630	0.705036	78
-0.036168	0.707927	79
-0.031426	0.719613	80
0.023304	0.721722	81
0.050639	0.701389	82
0.042470	0.691194	83
0.012458	0.697094	84
-0.025076	0.711624	85
-0.080205	0.703868	86
-0.112465	0.697548	87
-0.148127	0.687498	88
-0.191250	0.673241	89
-0.220991	0.662506	90
-0.251054	0.651303	91
-0.209602	0.665975	92
-0.172190	0.679196	93
-0.138012	0.691534	94
-0.106101	0.701284	95
-0.075665	0.705856	96
-0.035071	0.710370	97
-0.016562	0.722216	98
0.034011	0.718961	99
0.046442	0.692706	100
0.046352	0.693342	101
0.037200	0.695967	102
-0.016596	0.715282	103
-0.024742	0.703301	104
-0.060113	0.700153	105
-0.090493	0.697324	106
-0.122216	0.691619	107
-0.159820	0.680893	108
-0.204977	0.665239	109
-0.256889	0.644977	110
-0.284843	0.631933	111
-0.312286	0.618808	112
-0.347449	0.599771	113
-0.379601	0.580301	114
-0.334489	0.606249	115
-0.288682	0.629856	116
-0.242426	0.651550	117
-0.196267	0.669557	118
-0.153360	0.683910	119
-0.117448	0.693384	120
-0.086119	0.697683	121
-0.031147	0.701294	122
-0.015904	0.712437	123
0.034235	0.704067	124
-0.001653	0.707535	125
-0.032502	0.709676	126
-0.027626	0.718025	127
0.027112	0.695521	128
-0.000454	0.705388	129
-0.023614	0.699465	130
-0.059394	0.696151	131
-0.089725	0.693149	132
-0.121995	0.686663	133
-0.163539	0.676050	134
-0.217558	0.658631	135
-0.246125	0.646582	136
-0.274259	0.634804	137
-0.304144	0.620041	138
-0.334005	0.604598	139
-0.364774	0.586139	140
-0.393373	0.567831	141
-0.423309	0.545560	142
-0.452260	0.522746	143
-0.486988	0.491310	144
-0.517847	0.459882	145
-0.479259	0.498045	146
-0.434532	0.536728	147
-0.408624	0.556309	148
-0.381647	0.575851	149
-0.353641	0.592984	150
-0.326115	0.609344	151
-0.297367	0.623901	152
-0.267728	0.638073	153
-0.240024	0.649427	154
-0.211224	0.661166	155
-0.158320	0.677739	156
-0.117408	0.687586	157
-0.085314	0.693341	158
-0.026102	0.698738	159
-0.000961	0.704959	160
0.028601	0.694794	161
-0.023735	0.718835	162
-0.019637	0.710564	163
-0.020531	0.720844	164
0.024775	0.719045	165
-0.017092	0.717810	166
-0.033203	0.711695	167
0.017559	0.697043	168
0.047521	0.694486	169
0.043738	0.711507	170
0.035157	0.718269	171
0.050689	0.700026	172
0.045824	0.692658	173
0.022665	0.694085	174
-0.010183	0.700040	175
-0.063155	0.688569	176
-0.115911	0.685683	177
-0.156333	0.675720	178
-0.209832	0.658063	179
-0.244089	0.644670	180
-0.278313	0.630082	181
-0.317224	0.610986	182
-0.353905	0.590973	183
-0.387860	0.568634	184
-0.421774	0.544737	185
-0.453056	0.518942	186
-0.485673	0.489775	187
-0.514101	0.459959	188
-0.540693	0.429375	189
-0.563517	0.398744	190
-0.587116	0.364761	191
-0.612920	0.320778	192
-0.634701	0.277744	193
-0.608260	0.328585	194
-0.577732	0.378527	195
-0.554218	0.410957	196
-0.531081	0.440939	197
-0.503891	0.470684	198
-0.477890	0.497404	199
-0.446727	0.524625	200
-0.415818	0.549544	201
-0.382125	0.572668	202
-0.350412	0.593415	203
-0.314494	0.612785	204
-0.275550	0.631594	205
-0.241541	0.645929	206
-0.207382	0.659072	207
-0.153341	0.676585	208
-0.113333	0.686052	209
-0.061846	0.688561	210
-0.010519	0.699117	211
0.022185	0.693550	212
0.045286	0.691505	213
0.049702	0.696881	214
0.038596	0.715650	215
0.047701	0.708049	216
0.047160	0.694087	217
0.015769	0.697279	218
-0.032882	0.712592	219
-0.016454	0.717507	220
-0.037603	0.716403	221
0.006311	0.716460	222
-0.027483	0.718409	223
-0.018373	0.713175	224
0.030649	0.693860	225
0.045029	0.690245	226
0.046506	0.691078	227
0.048488	0.707080	228
0.023796	0.723614	229
-0.027506	0.727022	230
-0.040368	0.724511	231
0.000392	0.726758	232
0.041305	0.713283	233
0.048484	0.695583	234
0.047139	0.689071	235
0.044812	0.685392	236
0.038667	0.682940	237
0.014305	0.683037	238
-0.045029	0.683423	239
-0.092407	0.681696	240
-0.138114	0.676028	241
-0.167761	0.668426	242
-0.197578	0.660897	243
-0.228820	0.649219	244
-0.262913	0.635094	245
-0.302014	0.616677	246
-0.340547	0.596189	247
-0.382092	0.570220	248
-0.422419	0.541663	249
-0.464488	0.506945	250
-0.501079	0.471943	251
-0.531664	0.436987	252
-0.561118	0.399693	253
-0.585989	0.362490	254
-0.610588	0.321126	255
-0.629233	0.283302	256
-0.646938	0.242473	257
-0.659932	0.204449	258
-0.671309	0.165736	259
-0.683416	0.110082	260
-0.690908	0.056063	261
-0.682869	0.110892	262
-0.675923	0.141314	263
-0.669161	0.170854	264
-0.653436	0.220664	265
-0.633797	0.270989	266
-0.611535	0.316345	267
-0.584628	0.363277	268
-0.554369	0.406496	269
-0.518809	0.450608	270
-0.483596	0.487402	271
-0.445058	0.522671	272
-0.406617	0.552420	273
-0.366732	0.579912	274
-0.326548	0.603210	275
-0.287840	0.623508	276
-0.251389	0.639650	277
-0.215936	0.654179	278
-0.186162	0.663575	279
-0.154762	0.673918	280
-0.111059	0.679935	281
-0.076190	0.681037	282
-0.041210	0.685132	283
0.010484	0.688657	284
0.039124	0.683426	285
0.046162	0.682616	286
0.049525	0.684033	287
0.050621	0.685966	288
0.050706	0.699718	289
0.036389	0.717428	290
-0.018002	0.727591	291
-0.058569	0.719445	292
-0.099653	0.709487	293
-0.048101	0.722547	294
-0.017992	0.727556	295
0.022647	0.714120	296
0.049646	0.704755	297
0.048577	0.695648	298
0.046186	0.709539	299
0.047376	0.708426	300
0.033943	0.701023	301
-0.023482	0.717759	302
0.031874	0.701158	303
0.048130	0.707513	304
0.045120	0.710448	305
0.048593	0.695708	306
0.050847	0.700876	307
0.023892	0.712552	308
-0.016606	0.727536	309
-0.053831	0.720861	310
-0.082935	0.713571	311
-0.113100	0.705159	312
-0.133325	0.698022	313
-0.079233	0.714075	314
-0.028266	0.726933	315
0.020759	0.724552	316
0.047835	0.694786	317
0.051278	0.686526	318
0.055109	0.678078	319
0.059277	0.666846	320
0.059068	0.661006	321
0.055797	0.658729	322
0.050222	0.658134	323
0.042534	0.659091	324
0.032831	0.661217	325
0.020428	0.664346	326
-0.035023	0.676579	327
-0.090674	0.678079	328
-0.131065	0.675569	329
-0.177798	0.663156	330
-0.218319	0.650965	331
-0.263580	0.632406	332
-0.308852	0.612579	333
-0.349482	0.589707	334
-0.390072	0.563854	335
-0.431768	0.532604	336
-0.472104	0.498121	337
-0.511989	0.457345	338
-0.548110	0.414179	339
-0.565542	0.389556	340
-0.582877	0.364901	341
-0.611558	0.316407	342
-0.633364	0.270596	343
-0.652503	0.222894	344
-0.666332	0.178005	345
-0.678623	0.128302	346
-0.685812	0.082583	347
-0.690850	0.036016	348
-0.691955	-0.005691	349
-0.691281	-0.050378	350
-0.685968	-0.109332	351
-0.677131	-0.160986	352
-0.661849	-0.215867	353
-0.642840	-0.267782	354
-0.629059	-0.297122	355
-0.612185	-0.331167	356
-0.592277	-0.364448	357
-0.569322	-0.399723	358
-0.541258	-0.434522	359
-0.517819	-0.460749	360
-0.490027	-0.490093	361
-0.467850	-0.509927	362
-0.442666	-0.531975	363
-0.405147	-0.559181	364
-0.366597	-0.583787	365
-0.341799	-0.596604	366
-0.312890	-0.611265	367
-0.285538	-0.623455	368
-0.253646	-0.637923	369
-0.230029	-0.646958	370
-0.202952	-0.658931	371
-0.171942	-0.671756	372
-0.130325	-0.694899	373
-0.105883	-0.709038	374
-0.070261	-0.730276	375
-0.028082	-0.747920	376
0.019294	-0.756814	377
0.064247	-0.752251	378
0.112973	-0.741827	379
0.152883	-0.730405	380
0.175248	-0.722301	381
0.203988	-0.715682	382
0.243580	-0.701364	383
0.264788	-0.691169	384
0.296673	-0.679922	385
0.334426	-0.661642	386
0.378998	-0.637384	387
0.404754	-0.620770	388
0.433850	-0.602641	389
0.465542	-0.579764	390
0.495167	-0.556493	391
0.526964	-0.527986	392
0.563141	-0.492098	393
0.594536	-0.455727	394
0.605746	-0.439283	395
0.630098	-0.410572	396
0.655089	-0.374004	397
0.676980	-0.338196	398
0.696854	-0.300073	399
0.714687	-0.261167	400
0.731683	-0.217183	401
0.741480	-0.187819	402
0.751266	-0.157908	403
0.764125	-0.105440	404
0.769837	-0.073629	405
0.775434	-0.040422	406
0.779080	0.001541	407
0.781083	0.044156	408
0.780237	0.090977	409
0.777079	0.138336	410
0.769824	0.189027	411
0.758927	0.240870	412
0.744588	0.292382	413
0.726659	0.344445	414
0.713766	0.373224	415
0.700313	0.403152	416
0.684200	0.433267	417
0.663917	0.470706	418
0.642525	0.503525	419
0.617598	0.539708	420
0.592308	0.571377	421
0.563447	0.605945	422
0.540641	0.628841	423
0.509802	0.659190	424
0.478780	0.686180	425
0.443314	0.714785	426
0.412823	0.735804	427
0.377927	0.758497	428
0.345995	0.775918	429
0.312537	0.793500	430
0.285062	0.806267	431
0.256819	0.818667	432
0.224907	0.831005	433
0.190700	0.844092	434
0.156773	0.854596	435
0.119261	0.865553	436
0.077724	0.874934	437
0.031925	0.883218	438
-0.009848	0.887415	439
-0.053967	0.889266	440
-0.100865	0.887788	441
-0.151366	0.884202	442
-0.201314	0.877624	443
-0.253276	0.868173	444
-0.296415	0.857694	445
-0.340461	0.845736	446
-0.367824	0.835873	447
-0.395629	0.826571	448
-0.424167	0.814913	449
-0.452066	0.803527	450
-0.502817	0.778357	451
-0.528640	0.763617	452
-0.554592	0.748785	453
-0.600934	0.717182	454
-0.627061	0.697367	455
-0.653669	0.676824	456
-0.682449	0.650364	457
-0.715360	0.617992	458
-0.753931	0.575232	459
-0.790251	0.530339	460
-0.824705	0.485432	461
-0.855391	0.442396	462
-0.876194	0.414205	463
-0.895693	0.388293	464
-0.911175	0.418492	465
