time = 4	Re = 90
0.203192	0.032269	0
0.214208	0.006943	1
0.217859	-0.016136	2
0.218423	-0.035860	3
0.218638	-0.051256	4
0.219540	-0.058758	5
0.220358	-0.068382	6
0.219862	-0.087060	7
0.211272	-0.113064	8
0.204822	-0.129162	9
0.198131	-0.148642	10
0.187408	-0.168765	11
0.179296	-0.183492	12
0.173269	-0.196616	13
0.167423	-0.225494	14
0.165792	-0.251110	15
0.168244	-0.268707	16
0.171151	-0.285991	17
0.174663	-0.301155	18
0.178010	-0.316300	19
0.187853	-0.343794	20
0.199395	-0.368255	21
0.211917	-0.383618	22
0.225594	-0.396851	23
0.240629	-0.402212	24
0.256142	-0.406302	25
0.273562	-0.402755	26
0.291609	-0.397831	27
0.310304	-0.388540	28
0.330302	-0.376490	29
0.350332	-0.359665	30
0.371017	-0.341985	31
0.381325	-0.330944	32
0.391733	-0.319773	33
0.401258	-0.307268	34
0.410694	-0.295338	35
0.421941	-0.279296	36
0.433395	-0.264326	37
0.443748	-0.249177	38
0.453903	-0.232252	39
0.462573	-0.215525	40
0.469470	-0.198711	41
0.479123	-0.178330	42
0.488921	-0.156415	43
0.498295	-0.133656	44
0.506252	-0.111086	45
0.511325	-0.088665	46
0.519971	-0.061082	47
0.525105	-0.037360	48
0.528180	-0.015522	49
0.530124	0.001449	50
0.532173	0.018188	51
0.533873	0.033555	52
0.535379	0.048787	53
0.536139	0.075623	54
0.535243	0.104664	55
0.533659	0.120014	56
0.532074	0.135364	57
0.527636	0.164053	58
0.520889	0.192253	59
0.512194	0.220661	60
0.502497	0.246108	61
0.491838	0.270242	62
0.480439	0.291388	63
0.467743	0.312373	64
0.454643	0.331589	65
0.440569	0.350107	66
0.426423	0.366003	67
0.411524	0.381597	68
0.396749	0.394925	69
0.380100	0.409047	70
0.367103	0.418586	71
0.354345	0.427613	72
0.341622	0.436155	73
0.328133	0.444742	74
0.315648	0.451434	75
0.303703	0.457912	76
0.291877	0.464189	77
0.277932	0.471118	78
0.265453	0.476496	79
0.253606	0.482312	80
0.242365	0.487819	81
0.229498	0.495302	82
0.218683	0.501893	83
0.208147	0.509113	84
0.197222	0.518340	85
0.184591	0.529926	86
0.172225	0.540346	87
0.157489	0.555139	88
0.145242	0.573880	89
0.140004	0.587942	90
0.134326	0.603015	91
0.128242	0.624198	92
0.116065	0.650754	93
0.100347	0.665422	94
0.089431	0.673304	95
0.074055	0.686091	96
0.060300	0.696859	97
0.049183	0.705932	98
0.040796	0.714093	99
0.023715	0.725200	100
0.005951	0.727865	101
-0.009599	0.731284	102
-0.025623	0.732119	103
-0.043203	0.731562	104
-0.064550	0.727951	105
-0.082472	0.725028	106
-0.098512	0.722038	107
-0.112147	0.719070	108
-0.130593	0.714394	109
-0.153399	0.709273	110
-0.168390	0.704837	111
-0.186273	0.700111	112
-0.203804	0.694232	113
-0.225479	0.688110	114
-0.241760	0.682674	115
-0.260111	0.676643	116
-0.275508	0.671315	117
-0.291542	0.665572	118
-0.306279	0.659915	119
-0.320593	0.654174	120
-0.334872	0.647905	121
-0.351144	0.640671	122
-0.365669	0.633598	123
-0.380293	0.626583	124
-0.405768	0.612701	125
-0.429908	0.599063	126
-0.449089	0.586678	127
-0.469799	0.573100	128
-0.487881	0.560108	129
-0.505987	0.546751	130
-0.521275	0.534293	131
-0.537278	0.521284	132
-0.550667	0.508944	133
-0.566135	0.495264	134
-0.579587	0.482172	135
-0.594828	0.467429	136
-0.607385	0.453951	137
-0.621031	0.439235	138
-0.631612	0.426427	139
-0.644612	0.411092	140
-0.656715	0.395834	141
-0.671315	0.377816	142
-0.682840	0.362048	143
-0.695354	0.343927	144
-0.706593	0.326346	145
-0.717049	0.309539	146
-0.726304	0.293252	147
-0.735604	0.276503	148
-0.744185	0.259947	149
-0.752695	0.242913	150
-0.760334	0.226411	151
-0.768063	0.209460	152
-0.775328	0.192251	153
-0.782465	0.174786	154
-0.787853	0.159964	155
-0.793299	0.144821	156
-0.798229	0.129670	157
-0.803206	0.114448	158
-0.807932	0.098075	159
-0.812556	0.081568	160
-0.816540	0.065978	161
-0.820482	0.049956	162
-0.826441	0.021618	163
-0.831455	-0.006945	164
-0.833800	-0.023743	165
-0.836016	-0.040696	166
-0.837616	-0.056570	167
-0.839245	-0.073032	168
-0.839920	-0.090100	169
-0.840820	-0.105762	170
-0.841025	-0.120795	171
-0.841229	-0.135827	172
-0.840317	-0.163461	173
-0.838849	-0.191212	174
-0.836562	-0.220783	175
-0.834993	-0.236074	176
-0.833339	-0.251359	177
-0.831225	-0.266231	178
-0.829125	-0.281152	179
-0.824240	-0.310350	180
-0.818420	-0.339666	181
-0.814714	-0.356305	182
-0.810942	-0.373055	183
-0.806745	-0.389351	184
-0.802514	-0.405464	185
-0.798330	-0.420259	186
-0.794080	-0.434823	187
-0.786633	-0.458360	188
-0.778509	-0.481564	189
-0.769617	-0.503890	190
-0.759852	-0.526475	191
-0.749692	-0.547702	192
-0.738763	-0.569328	193
-0.725811	-0.592172	194
-0.710151	-0.617544	195
-0.697824	-0.634795	196
-0.683067	-0.654455	197
-0.668490	-0.672810	198
-0.653270	-0.691390	199
-0.641220	-0.705998	200
-0.629726	-0.719467	201
-0.618577	-0.732236	202
-0.607528	-0.744784	203
-0.595894	-0.760672	204
-0.585243	-0.775518	205
-0.577045	-0.794658	206
