time = 8	Re = 90
0.206792	0.035804	0
0.213525	0.002649	1
0.214512	-0.048773	2
0.214511	-0.070393	3
0.202125	-0.113172	4
0.198676	-0.132121	5
0.179457	-0.166625	6
0.164210	-0.191587	7
0.141633	-0.225535	8
0.125507	-0.253498	9
0.118542	-0.307100	10
0.122837	-0.348235	11
0.124354	-0.385599	12
0.127495	-0.422388	13
0.129976	-0.456663	14
0.133115	-0.486783	15
0.136973	-0.517716	16
0.146131	-0.565195	17
0.159214	-0.589681	18
0.187245	-0.600930	19
0.232032	-0.591607	20
0.275055	-0.581207	21
0.312498	-0.560746	22
0.351200	-0.537170	23
0.387751	-0.509412	24
0.425302	-0.478585	25
0.450295	-0.451178	26
0.472969	-0.423902	27
0.492509	-0.396372	28
0.512704	-0.367074	29
0.532393	-0.323409	30
0.550450	-0.278361	31
0.554547	-0.247767	32
0.560318	-0.210680	33
0.559252	-0.185063	34
0.558692	-0.154653	35
0.559057	-0.117530	36
0.553378	-0.091202	37
0.553921	-0.059751	38
0.553436	-0.026273	39
0.554142	0.020813	40
0.550566	0.056213	41
0.547309	0.087258	42
0.543828	0.119530	43
0.535361	0.157163	44
0.524445	0.196005	45
0.503212	0.239335	46
0.487608	0.264188	47
0.470701	0.288091	48
0.443710	0.312486	49
0.415616	0.327505	50
0.401773	0.323706	51
0.389990	0.314066	52
0.387088	0.299615	53
0.381540	0.285906	54
0.382565	0.266403	55
0.382703	0.245941	56
0.390156	0.205624	57
0.394932	0.159328	58
0.396224	0.118739	59
0.390716	0.082267	60
0.383390	0.055229	61
0.367508	0.035093	62
0.347246	0.031781	63
0.318940	0.058107	64
0.298982	0.088270	65
0.273631	0.123067	66
0.249899	0.155811	67
0.219863	0.191308	68
0.193869	0.220705	69
0.164168	0.247727	70
0.138673	0.286713	71
0.122469	0.332776	72
0.116569	0.371172	73
0.108222	0.429734	74
0.104155	0.483871	75
0.101434	0.520430	76
0.102324	0.550867	77
0.107364	0.584666	78
0.080084	0.620864	79
0.061584	0.636585	80
0.047461	0.694217	81
0.015169	0.721654	82
-0.020970	0.722590	83
-0.056865	0.715880	84
-0.091573	0.712663	85
-0.057297	0.715492	86
-0.022243	0.721371	87
0.020518	0.710049	88
-0.009871	0.715385	89
-0.039430	0.707291	90
-0.097732	0.702450	91
-0.129884	0.694902	92
-0.164570	0.683946	93
-0.205752	0.667716	94
-0.244525	0.653185	95
-0.278119	0.639869	96
-0.242010	0.654046	97
-0.202334	0.668826	98
-0.161690	0.684757	99
-0.127767	0.695726	100
-0.095452	0.703095	101
-0.039924	0.707963	102
-0.019861	0.722249	103
0.018104	0.714625	104
-0.011764	0.719564	105
-0.042754	0.712622	106
-0.007298	0.712251	107
-0.024902	0.697104	108
-0.060024	0.695033	109
-0.090933	0.693084	110
-0.124107	0.688255	111
-0.164824	0.677813	112
-0.216705	0.660598	113
-0.244600	0.649323	114
-0.272430	0.638074	115
-0.323819	0.612570	116
-0.350396	0.596695	117
-0.376035	0.581106	118
-0.418302	0.552086	119
-0.457372	0.522002	120
-0.483130	0.497509	121
-0.507499	0.472870	122
-0.529704	0.447230	123
-0.552454	0.419746	124
-0.571036	0.393244	125
-0.589624	0.365867	126
-0.606110	0.336995	127
-0.623475	0.305683	128
-0.641386	0.265930	129
-0.657541	0.224058	130
-0.669500	0.185936	131
-0.681242	0.142469	132
-0.687013	0.110935	133
-0.692424	0.077570	134
-0.697602	0.018336	135
-0.697779	-0.024644	136
-0.695963	-0.070180	137
-0.691278	-0.113938	138
-0.684115	-0.159856	139
-0.672331	-0.207609	140
-0.655706	-0.260321	141
-0.642231	-0.293804	142
-0.626163	-0.330675	143
-0.609545	-0.361538	144
-0.590533	-0.395110	145
-0.573038	-0.419697	146
-0.554586	-0.445179	147
-0.521787	-0.485142	148
-0.483673	-0.526403	149
-0.461889	-0.545197	150
-0.438735	-0.565291	151
-0.401091	-0.594495	152
-0.358553	-0.624687	153
-0.334101	-0.638414	154
-0.307742	-0.653962	155
-0.269763	-0.673826	156
-0.226875	-0.695868	157
-0.188485	-0.713490	158
-0.143282	-0.734446	159
-0.094083	-0.756439	160
-0.061501	-0.769439	161
-0.026522	-0.779872	162
0.026930	-0.787157	163
0.059845	-0.784826	164
0.089231	-0.782824	165
0.116675	-0.776864	166
0.145358	-0.771794	167
0.174192	-0.763417	168
0.203524	-0.755865	169
0.242712	-0.742498	170
0.289340	-0.725178	171
0.332745	-0.706937	172
0.353507	-0.695644	173
0.381790	-0.684175	174
0.426760	-0.658926	175
0.446928	-0.645280	176
0.473335	-0.629471	177
0.494805	-0.613061	178
0.519162	-0.595460	179
0.544726	-0.574318	180
0.571215	-0.551908	181
0.599164	-0.523889	182
0.627654	-0.493645	183
0.661453	-0.453230	184
0.677465	-0.431253	185
0.697129	-0.406186	186
0.718221	-0.372218	187
0.740437	-0.334371	188
0.762735	-0.289890	189
0.786161	-0.238234	190
0.797776	-0.205031	191
0.809631	-0.169639	192
0.821112	-0.126000	193
0.831628	-0.077349	194
0.837114	-0.039044	195
0.842188	0.004196	196
0.843943	0.045323	197
0.844895	0.091752	198
0.842814	0.130614	199
0.838690	0.172275	200
0.831873	0.211785	201
0.822998	0.255398	202
0.814711	0.284894	203
0.805389	0.319325	204
0.794242	0.353213	205
0.781368	0.390613	206
0.766809	0.424957	207
0.750776	0.460713	208
0.733992	0.492082	209
0.714358	0.527801	210
0.692858	0.561264	211
0.667289	0.599869	212
0.637455	0.638433	213
0.605108	0.677927	214
0.580485	0.703446	215
0.551310	0.732931	216
0.520337	0.760201	217
0.486169	0.787303	218
0.457101	0.807559	219
0.425558	0.828495	220
0.392427	0.848312	221
0.356529	0.868841	222
0.307099	0.891771	223
0.274618	0.904609	224
0.241791	0.917750	225
0.204337	0.929318	226
0.159962	0.941730	227
0.110393	0.952224	228
0.063986	0.960433	229
0.026397	0.963952	230
-0.016766	0.967372	231
-0.067396	0.968760	232
-0.117639	0.968278	233
-0.148609	0.966576	234
-0.178222	0.965295	235
-0.230496	0.961588	236
