Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_y	Time: 4.0700	Mesh (Number of cells): 259
0.7777365992 	 -0.1039812750 	 0.7395184995 	 0.7395181254 	 129
-0.7777365992 	 0.1039812750 	 -0.7395185017 	 -0.7395181276 	 130
0.8998733124 	 0.0197918233 	 0.9604242699 	 0.9604242382 	 131
-0.8998733124 	 -0.0197918233 	 -0.9604242673 	 -0.9604242357 	 132
-0.4250648166 	 0.7238791480 	 -0.3758912477 	 -0.3758911844 	 133
0.4250648166 	 -0.7238791480 	 0.3758912160 	 0.3758911528 	 134
0.1879697739 	 0.8442834143 	 0.1853391233 	 0.1853390317 	 135
-0.1879697739 	 -0.8442834143 	 -0.1853392734 	 -0.1853391814 	 136
-0.1879697734 	 0.8442834146 	 -0.1781913581 	 -0.1781912977 	 137
0.1879697734 	 -0.8442834146 	 0.1781914680 	 0.1781914073 	 138
0.0642641004 	 0.9258347050 	 0.0729766572 	 0.0729767204 	 139
-0.0642641004 	 -0.9258347050 	 -0.0729765526 	 -0.0729766161 	 140
-0.0642641002 	 0.9258347052 	 -0.0814406479 	 -0.0814407009 	 141
0.0642641002 	 -0.9258347052 	 0.0814405769 	 0.0814406301 	 142
0.8701983130 	 -0.2521139310 	 0.9352080170 	 0.9352080353 	 143
-0.8701983130 	 0.2521139310 	 -0.9352080194 	 -0.9352080377 	 144
-0.1362810234 	 0.1927668046 	 0.0026372377 	 0.0026372750 	 145
0.1362810234 	 -0.1927668046 	 -0.0026372474 	 -0.0026372846 	 146
-0.1398748117 	 -0.1897558548 	 0.0108539328 	 0.0108539130 	 147
0.1398748117 	 0.1897558548 	 -0.0108539376 	 -0.0108539177 	 148
-0.6184490227 	 -0.5533685875 	 -0.6263829996 	 -0.6263829902 	 149
0.6184490227 	 0.5533685875 	 0.6263829748 	 0.6263829654 	 150
-0.0757594535 	 0.7586547495 	 -0.0512844501 	 -0.0512843772 	 151
0.0757594535 	 -0.7586547495 	 0.0512844995 	 0.0512844264 	 152
0.0757594536 	 0.7586547495 	 0.0355061822 	 0.0355061356 	 153
