time = 1	Re = 90
0.141421	0.141421	0
0.176777	0.176777	1
0.187584	0.148788	2
0.190318	0.118888	3
0.192568	0.086556	4
0.221004	0.067327	5
0.252677	0.045810	6
0.298584	0.020717	7
0.345128	-0.006488	8
0.377715	-0.024007	9
0.405314	-0.018074	10
0.422709	0.007120	11
0.440103	0.032313	12
0.433566	0.062271	13
0.418509	0.103951	14
0.401042	0.145624	15
0.394372	0.190188	16
0.388179	0.216092	17
0.377583	0.245631	18
0.369714	0.271630	19
0.354787	0.307223	20
0.334271	0.358198	21
0.323913	0.401175	22
0.312558	0.429968	23
0.301202	0.458762	24
0.272971	0.502134	25
0.267944	0.535471	26
0.264888	0.570538	27
0.240294	0.605239	28
0.215898	0.638532	29
0.203196	0.666308	30
0.207776	0.680769	31
0.219544	0.689814	32
0.234990	0.696230	33
0.252448	0.699593	34
0.271038	0.696755	35
0.290972	0.692200	36
0.311990	0.686159	37
0.333918	0.678770	38
0.356572	0.670180	39
0.380313	0.660235	40
0.407261	0.647786	41
0.433649	0.633904	42
0.483166	0.604805	43
0.518529	0.608344	44
0.548655	0.615782	45
0.577664	0.624137	46
0.634237	0.638661	47
0.671752	0.671751	48
0.707107	0.707106	49
