time = 1.3	Re = 90
0.141421	0.141421	0
0.176777	0.176777	1
0.187584	0.148788	2
0.190318	0.118888	3
0.192568	0.086556	4
0.221004	0.067327	5
0.252677	0.045810	6
0.277739	0.028910	7
0.302949	0.011797	8
0.314284	-0.031266	9
0.325298	-0.061260	10
0.342538	-0.094959	11
0.374115	-0.114884	12
0.408176	-0.113258	13
0.438264	-0.083105	14
0.464913	-0.045372	15
0.466289	-0.017388	16
0.457850	0.017478	17
0.440130	0.055719	18
0.421397	0.097214	19
0.411237	0.120022	20
0.397073	0.146179	21
0.386877	0.168522	22
0.367008	0.203547	23
0.346652	0.257263	24
0.338225	0.286094	25
0.323530	0.324665	26
0.305546	0.373247	27
0.290530	0.417124	28
0.275416	0.448305	29
0.260301	0.479486	30
0.245457	0.507224	31
0.246037	0.522968	32
0.219000	0.569370	33
0.178084	0.608093	34
0.145450	0.636934	35
0.137970	0.652426	36
0.140857	0.662492	37
0.148937	0.669934	38
0.159845	0.676134	39
0.172701	0.681488	40
0.187071	0.686396	41
0.202692	0.690921	42
0.219368	0.695292	43
0.236999	0.699348	44
0.255500	0.700512	45
0.274779	0.696594	46
0.294930	0.691448	47
0.316115	0.684995	48
0.338258	0.677269	49
0.361063	0.668404	50
0.385526	0.657983	51
0.412425	0.645211	52
0.438722	0.631040	53
0.483166	0.604805	54
0.518529	0.608344	55
0.548655	0.615782	56
0.577664	0.624137	57
0.634237	0.638661	58
0.671752	0.671751	59
0.707107	0.707106	60
