time = 7.8,Re = 90
0.134732,0.157095,0
0.156834,0.137831,1
0.188006,0.108556,2
0.212558,0.065342,3
0.231225,0.025708,4
0.239875,-0.012956,5
0.246162,-0.046311,6
0.261073,-0.074731,7
0.276737,-0.101315,8
0.32204,-0.119557,9
0.355118,-0.102025,10
0.387001,-0.075959,11
0.395284,-0.045339,12
0.403848,-0.010129,13
0.383746,0.007978,14
0.359198,-0.005193,15
0.327053,-0.004448,16
0.297707,0.008875,17
0.266208,0.044784,18
0.245107,0.071171,19
0.227257,0.099958,20
0.189513,0.140608,21
0.1516,0.183843,22
0.109028,0.198521,23
0.066599,0.208342,24
0.022034,0.224268,25
-0.018127,0.230924,26
-0.072333,0.228177,27
-0.097887,0.220355,28
-0.134738,0.218057,29
-0.175294,0.220095,30
-0.203818,0.224026,31
-0.245868,0.240938,32
-0.273601,0.253164,33
-0.301229,0.265311,34
-0.349583,0.285479,35
-0.393778,0.294394,36
-0.430641,0.293688,37
-0.463238,0.281369,38
-0.489726,0.264372,39
-0.516233,0.24706,40
-0.558511,0.208167,41
-0.58991,0.168074,42
-0.60937,0.15685,43
-0.623776,0.152022,44
-0.621326,0.184823,45
-0.617493,0.216759,46
-0.604189,0.254966,47
-0.589477,0.292033,48
-0.568005,0.334217,49
-0.543646,0.37557,50
-0.512018,0.416522,51
-0.476633,0.456217,52
-0.433295,0.49637,53
-0.40862,0.515589,54
-0.384179,0.534498,55
-0.352622,0.553692,56
-0.320337,0.572071,57
-0.286083,0.588896,58
-0.251785,0.60494,59
-0.220197,0.614889,60
-0.188597,0.624463,61
-0.155169,0.627355,62
-0.121875,0.629562,63
-0.103068,0.602991,64
-0.086626,0.566122,65
-0.082298,0.537524,66
-0.076056,0.512476,67
-0.023773,0.490281,68
0.031668,0.495902,69
0.055511,0.51259,70
0.035164,0.499921,71
-0.010754,0.486506,72
0.033024,0.500665,73
0.056392,0.516368,74
0.062563,0.527098,75
0.0648,0.569713,76
0.059238,0.624832,77
0.057538,0.655197,78
0.056831,0.685501,79
0.056821,0.685524,80
0.057039,0.685004,81
0.057174,0.684682,82
0.057246,0.684509,83
0.057243,0.684517,84
0.057177,0.684675,85
0.0571,0.684858,86
0.05698,0.685141,87
0.056379,0.686329,88
0.024024,0.700802,89
-0.029955,0.703684,90
,,91
,,92
,,93
,,94
,,95
,,96
,,97
-0.132652,0.666977,98
-0.166719,0.65707,99
-0.199323,0.646879,100
-0.24348,0.630321,101
-0.285832,0.612466,102
-0.328763,0.590911,103
-0.370426,0.567338,104
-0.403823,0.545053,105
-0.436737,0.521237,106
-0.472625,0.490498,107
-0.506728,0.457808,108
-0.534449,0.426669,109
-0.561039,0.393994,110
-0.590256,0.350692,111
-0.61672,0.30572,112
-0.636431,0.264612,113
-0.654313,0.221683,114
-0.6396,0.257068,115
-0.624372,0.290936,116
-0.604871,0.326466,117
-0.584564,0.360432,118
-0.562483,0.391453,119
-0.539796,0.421181,120
-0.512078,0.451976,121
-0.483466,0.481276,122
-0.457777,0.503575,123
-0.431969,0.525212,124
-0.40238,0.546378,125
-0.372695,0.566525,126
-0.326516,0.593044,127
-0.277848,0.617173,128
-0.239783,0.633216,129
-0.201146,0.648121,130
-0.172053,0.657809,131
-0.142913,0.6674,132
-0.101378,0.680781,133
-0.0727,0.691827,134
-0.042345,0.704002,135
-0.042346,0.703992,136
-0.09393,0.683487,137
-0.131687,0.670908,138
-0.185685,0.653479,139
-0.222337,0.640016,140
-0.258547,0.625628,141
-0.305054,0.604034,142
-0.349576,0.580387,143
-0.376544,0.563326,144
-0.403572,0.545893,145
-0.42825,0.527167,146
-0.452828,0.508312,147
-0.482098,0.48161,148
-0.51082,0.45345,149
-0.534842,0.425865,150
