time = 7.95	Re = 90
0.111416	0.167623	0
0.163243	0.139727	1
0.211827	0.107233	2
0.247004	0.119691	3
0.285689	0.130895	4
0.335415	0.147818	5
0.384487	0.164013	6
0.420454	0.176259	7
0.453969	0.187885	8
0.505910	0.207373	9
0.537620	0.228498	10
0.552332	0.256645	11
0.548704	0.291965	12
0.543899	0.327806	13
0.525002	0.366000	14
0.505081	0.403110	15
0.479841	0.433114	16
0.453841	0.462309	17
0.425202	0.485870	18
0.395973	0.508124	19
0.349216	0.528838	20
0.306434	0.541635	21
0.285415	0.536131	22
0.266486	0.528100	23
0.259268	0.512711	24
0.251853	0.496514	25
0.258325	0.466405	26
0.266925	0.435755	27
0.288478	0.414890	28
0.310372	0.393310	29
0.339053	0.376233	30
0.365223	0.356437	31
0.388285	0.330139	32
0.394341	0.291098	33
0.375176	0.266478	34
0.351763	0.243734	35
0.320299	0.232539	36
0.288203	0.222003	37
0.251060	0.218030	38
0.213703	0.217003	39
0.156220	0.232762	40
0.122244	0.244840	41
0.086595	0.256305	42
0.052706	0.270944	43
0.020956	0.285865	44
-0.004809	0.303468	45
-0.030055	0.321553	46
-0.054663	0.365126	47
-0.068930	0.411790	48
-0.057196	0.427461	49
-0.033810	0.433189	50
-0.007814	0.437749	51
0.027709	0.450696	52
0.063483	0.489571	53
0.067992	0.521409	54
0.069315	0.551829	55
0.066820	0.581814	56
0.064321	0.611793	57
0.051719	0.669922	58
0.057183	0.687196	59
0.055583	0.690679	60
0.057460	0.686591	61
0.059321	0.682534	62
0.059492	0.682146	63
0.057410	0.686596	64
0.053143	0.688371	65
0.037456	0.695333	66
-0.008951	0.711917	67
-0.030830	0.707263	68
-0.030207	0.708001	69
-0.072313	0.693896	70
-0.105022	0.684570	71
-0.159080	0.673299	72
-0.202105	0.663418	73
-0.243446	0.651354	74
-0.272598	0.640615	75
-0.301690	0.629678	76
-0.354016	0.604941	77
-0.300706	0.629972	78
-0.270846	0.641100	79
-0.241066	0.651893	80
-0.196500	0.664638	81
-0.147425	0.675014	82
-0.096677	0.685935	83
-0.066843	0.695810	84
-0.032095	0.707951	85
-0.029043	0.707776	86
-0.060348	0.698981	87
-0.089850	0.690933	88
-0.133087	0.682746	89
-0.091290	0.690643	90
-0.061295	0.698192	91
-0.028565	0.706809	92
-0.032530	0.709269	93
-0.027696	0.717639	94
0.006636	0.710889	95
0.043228	0.701259	96
0.053712	0.694753	97
0.045438	0.704435	98
-0.000150	0.711673	99
-0.046871	0.711496	100
-0.034831	0.708088	101
-0.026626	0.707771	102
-0.073049	0.694126	103
-0.107897	0.685989	104
-0.160411	0.676218	105
-0.106172	0.686363	106
-0.072512	0.694795	107
-0.028965	0.708067	108
-0.032074	0.707629	109
-0.077687	0.691985	110
-0.111578	0.682234	111
-0.143026	0.675825	112
-0.174070	0.669185	113
-0.203713	0.661599	114
-0.233314	0.653959	115
-0.284297	0.636106	116
-0.317452	0.621531	117
-0.350234	0.606096	118
