time,rotation,gamma,N1,N2,exp,,Re = 90
0,0,1,1123,0
0.199,0.0316719,1,1116,0,1
0.399,0.0635029,1,1114,0,1
0.599,0.0953339,1,1112,0,1
0.799,0.127165,1,1113,0,1
0.999,0.158996,1,1118,0,1
1.199,0.190827,1,1114,0,1
1.399,0.222658,1,1115,0,1
1.599,0.254489,1,1117,0,1
1.799,0.28632,0.971403,1103,16,1
1.999,0.318151,0.908929,1069,51,0.99971403
2.199,0.349982,0.838938,1039,91,0.9988061797
2.399,0.381813,0.742958,990,146,0.997207497903
2.599,0.413644,0.659574,936,192,0.99466500292397
2.799,0.445475,0.559682,882,249,0.99131409289473
2.999,0.477306,0.466312,827,301,0.98699777196578
3.199,0.509137,0.364685,769,358,0.98179091424613
3.399,0.540968,0.28007,729,410,0.97561985510366
3.599,0.572799,0.213086,686,445,0.96866435655263
3.799,0.60463,0.155556,650,475,0.9611085729871
3.999,0.636461,0.107774,627,505,0.95305304725723
4.199,0.668292,0.072695,605,523,0.94460025678466
4.399,0.700123,0.0363798,584,543,0.93588120421681
4.599,0.731954,0.00707965,569,561,0.92688619017464
4.799,0.763785,0.0159574,555,573,0.9176881247729
4.999,0.795616,0.0240427,548,575,0.90867081752517
5.199,0.827447,0.0184697,558,579,0.89982453634992
5.399,0.859278,0.00175747,568,570,0.89101098798642
5.599,0.891109,0.0388007,589,545,0.88211845280655
5.799,0.92294,0.0954064,620,512,0.87368527527849
5.999,0.954771,0.133747,640,489,0.8659024865257
6.199,0.986602,0.195101,683,460,0.85858093166044
6.399,1.01843,0.26773,715,413,0.85194613234384
6.599,1.05026,0.325132,754,384,0.8461039710204
6.799,1.0821,0.381079,781,350,0.8408942513102
6.999,1.11393,0.43567,809,318,0.8362960987971
7.199,1.14576,0.468667,832,301,0.83228983780912
7.399,1.17759,0.513369,849,273,0.82865360943103
7.599,1.20942,0.550044,875,254,0.82550076333672
7.799,1.24125,0.579323,886,236,0.82274619570336
7.999,1.27308,0.604569,913,225,0.82031196374632
8.199,1.30491,0.636526,914,203,0.81815453410886
8.399,1.33674,0.641526,925,202,0.81633824876777
8.599,1.36857,0.636684,928,206,0.81459012628009
8.799,1.40041,0.620231,913,214,0.81281106501729
8.999,1.43224,0.611702,909,219,0.81088526436712
9.199,1.46407,0.583039,896,236,0.80889343172345
9.399,1.4959,0.552,873,252,0.80663488740621
9.599,1.52773,0.50917,864,281,0.80408853853215
9.799,1.55956,0.469136,833,301,0.80113935314683
9.999,1.59139,0.437722,808,316,0.79781931961536
10.199,1.62322,0.39576,790,342,0.79421834641921
10.399,1.65505,0.366932,773,358,0.79023376295502
10.599,1.68688,0.345778,757,368,0.78600074532547
10.799,1.71872,0.323869,746,381,0.78159851787221
10.999,1.75055,0.297966,734,397,0.77702122269349
11.199,1.78238,0.276106,721,409,0.77223067046655
11.399,1.81421,0.258407,711,419,0.76726942376189
11.599,1.84604,0.24911,702,422,0.76218079952427
11.799,1.87787,0.25815,714,421,0.75705009152903
11.999,1.9097,0.259843,720,423,0.75206109061374
12.199,1.94153,0.281553,726,407,0.7471389097076
12.399,1.97336,0.293488,725,396,0.74248305061052
12.599,2.00519,0.315044,743,387,0.73799310010442
12.799,2.03703,0.353199,772,369,0.73376360910337
12.999,2.06886,0.389232,787,346,0.72995796301234
13.199,2.10069,0.420677,797,325,0.72655070338222
13.399,2.13252,0.450667,816,309,0.72349196634839
13.599,2.16435,0.465839,826,301,0.72076371668491
13.799,2.19618,0.491645,848,289,0.71821446951806
13.999,2.22801,0.522546,861,270,0.71594877482288
14.199,2.25984,0.549692,881,256,0.71401474707465
14.399,2.29167,0.560593,895,252,0.71237151960391
14.599,2.3235,0.572438,890,242,0.71085373440787
14.799,2.35534,0.591111,895,230,0.70946957706379
14.999,2.38717,0.584071,895,235,0.70828599129315
15.199,2.419,0.568421,894,246,0.70704384138022
15.399,2.45083,0.564602,884,246,0.70565761296642
15.599,2.48266,0.551601,872,252,0.70424705683675
15.799,2.51449,0.542403,873,259,0.70272059626838
15.999,2.54632,0.506944,868,284,0.7011174203057
16.199,2.57815,0.476357,843,299,0.69917568610264
16.399,2.60998,0.459841,827,306,0.69694749924162
16.599,2.64182,0.43838,817,319,0.6945764342492
16.799,2.67365,0.423519,805,326,0.69201446990671
16.999,2.70548,0.394316,785,341,0.68932951520764
17.199,2.73731,0.370567,773,355,0.68637938005557
17.399,2.76914,0.355009,771,367,0.68322125625501
17.599,2.80097,0.333333,754,377,0.67993913369246
17.799,2.8328,0.336898,750,372,0.67647307235554
17.999,2.86463,0.308231,747,395,0.67307732163198
18.199,2.89646,0.295675,734,399,0.66942885841566
18.399,2.92829,0.292145,732,401,0.6656913198315
18.599,2.96013,0.309921,746,393,0.66195585663319
18.799,2.99196,0.322154,749,384,0.65843550806686
18.999,3.02379,0.340351,764,376,0.65507269298619
19.199,3.05562,0.371125,774,355,0.65192547605633
19.399,3.08745,0.38475,790,351,0.64911747129576
19.599,3.11928,0.402643,796,339,0.64647379658281
