time = 4.1	Re = 1
0.201550	-0.010866	0
0.204723	-0.051298	1
0.204113	-0.093075	2
0.199050	-0.150135	3
0.237815	-0.179703	4
0.277254	-0.162740	5
0.318530	-0.134383	6
0.338472	-0.110009	7
0.358274	-0.085149	8
0.374889	-0.054520	9
0.390833	-0.022630	10
0.401229	0.014804	11
0.409902	0.054380	12
0.413354	0.095682	13
0.413895	0.139210	14
0.408249	0.182567	15
0.399420	0.227896	16
0.385721	0.271704	17
0.368844	0.316909	18
0.347820	0.359732	19
0.323787	0.404725	20
0.296721	0.448660	21
0.266328	0.496571	22
0.232643	0.545302	23
0.213179	0.573788	24
0.192626	0.603369	25
0.168406	0.637173	26
0.139786	0.673940	27
0.117620	0.696891	28
0.093660	0.719610	29
0.056520	0.739114	30
0.017270	0.749325	31
-0.025108	0.748592	32
-0.064006	0.742431	33
-0.094847	0.726784	34
-0.122551	0.712645	35
-0.143890	0.695453	36
-0.167456	0.681519	37
-0.181485	0.667766	38
-0.205096	0.656167	39
-0.217413	0.643897	40
-0.240636	0.632845	41
-0.250631	0.622581	42
-0.274674	0.612344	43
-0.284162	0.602540	44
-0.307548	0.592140	45
-0.341042	0.573098	46
-0.371952	0.553863	47
-0.402715	0.535091	48
-0.432354	0.515217	49
-0.463346	0.494720	50
-0.488872	0.474545	51
-0.516704	0.453030	52
-0.542078	0.430626	53
-0.569984	0.406127	54
-0.590471	0.383826	55
-0.614171	0.358602	56
-0.632445	0.335159	57
-0.655512	0.306980	58
-0.670590	0.283492	59
-0.691208	0.253698	60
-0.704461	0.228989	61
-0.723537	0.196313	62
-0.733505	0.172608	63
-0.748519	0.140526	64
-0.759349	0.111195	65
-0.770040	0.081634	66
-0.778333	0.052155	67
-0.786558	0.022548	68
-0.792763	-0.007243	69
-0.798926	-0.037139	70
-0.805922	-0.094825	71
-0.807918	-0.125059	72
-0.809867	-0.155343	73
-0.809218	-0.211753	74
-0.805474	-0.271346	75
-0.797639	-0.326289	76
-0.786685	-0.382914	77
-0.773528	-0.433067	78
-0.756941	-0.486311	79
-0.738452	-0.535068	80
-0.717182	-0.584031	81
-0.696073	-0.627158	82
-0.672556	-0.670621	83
-0.648164	-0.710729	84
-0.622292	-0.750287	85
-0.598816	-0.784476	86
-0.574378	-0.818361	87
