time = 5	Re = 1
0.201447	-0.013532	0
0.201645	-0.062244	1
0.193914	-0.112792	2
0.185036	-0.145372	3
0.175583	-0.176986	4
0.209483	-0.211930	5
0.255200	-0.195293	6
0.304608	-0.162789	7
0.328530	-0.135485	8
0.352057	-0.105571	9
0.371219	-0.069772	10
0.388801	-0.030548	11
0.399151	0.013450	12
0.405881	0.060673	13
0.406616	0.109207	14
0.401747	0.160704	15
0.389918	0.209615	16
0.372994	0.261060	17
0.350940	0.309128	18
0.324474	0.358903	19
0.295146	0.405145	20
0.278553	0.430370	21
0.261978	0.455631	22
0.244473	0.481110	23
0.226858	0.506895	24
0.206875	0.537388	25
0.185691	0.569902	26
0.162963	0.605327	27
0.136798	0.645445	28
0.116307	0.673673	29
0.092016	0.702945	30
0.046139	0.731027	31
-0.004814	0.738491	32
-0.061356	0.729115	33
-0.100256	0.706559	34
-0.127152	0.683023	35
-0.151193	0.664128	36
-0.172949	0.644524	37
-0.196471	0.627657	38
-0.214545	0.612210	39
-0.239330	0.597337	40
-0.253870	0.584394	41
-0.278598	0.570344	42
-0.289662	0.559485	43
-0.317177	0.545096	44
-0.329606	0.533734	45
-0.356353	0.518511	46
-0.363759	0.509364	47
-0.394293	0.492153	48
-0.401325	0.482921	49
-0.430045	0.464753	50
-0.435565	0.456445	51
-0.464976	0.436440	52
-0.470160	0.427840	53
-0.496664	0.407091	54
-0.529124	0.375214	55
-0.556474	0.343620	56
-0.583120	0.310213	57
-0.606627	0.275841	58
-0.630648	0.237766	59
-0.647578	0.204121	60
-0.665752	0.165635	61
-0.679943	0.128118	62
-0.694894	0.084798	63
-0.702950	0.050358	64
-0.711841	0.009004	65
-0.716134	-0.025608	66
-0.721235	-0.070502	67
-0.721495	-0.103068	68
-0.721979	-0.148260	69
-0.719014	-0.181069	70
-0.714769	-0.228330	71
-0.708771	-0.257711	72
-0.700158	-0.301042	73
-0.689815	-0.337217	74
-0.678203	-0.374449	75
-0.664725	-0.408775	76
-0.650011	-0.443928	77
-0.633539	-0.476907	78
-0.615717	-0.510722	79
-0.597048	-0.540284	80
-0.577356	-0.570387	81
-0.555353	-0.600069	82
-0.531983	-0.630208	83
-0.509032	-0.655690	84
-0.485157	-0.681440	85
-0.458717	-0.706935	86
-0.430938	-0.732655	87
-0.404390	-0.753772	88
-0.376990	-0.775018	89
-0.347639	-0.795315	90
-0.317194	-0.815465	91
-0.289253	-0.831405	92
-0.260872	-0.847306	93
-0.229626	-0.862600	94
-0.197405	-0.877655	95
-0.166958	-0.889774	96
-0.136033	-0.901743	97
-0.103991	-0.912062	98
-0.071325	-0.922170	99
-0.041607	-0.929528	100
-0.011779	-0.936845	101
0.019355	-0.942613	102
0.050821	-0.948207	103
0.081100	-0.951831	104
0.111485	-0.955433	105
0.142174	-0.957403	106
0.172961	-0.959314	107
0.227467	-0.960335	108
0.282679	-0.959016	109
